Sample ID,5_Granby_00001
Species,5_Granby
Subgroup,5_Granby
Group,5_Granby
Library,EXM_MRS
Sample Description,Sample 5
Date Added,"02/20/2024,02/20/2024"
Viewing Geometry,
Other Information,"Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,50,50,30 integration times; 100,100 scans averaged"
Composition,
Resolution,2.8nm@700nm 8nm@1500nm 6nm@2100nm
Grain Size,
Locality,
Database of Origin,ExoMars Mission Reference Samples
Wavelength,Response
1323.0,0.217139
1324.0,0.21729199999999999
1325.0,0.217442
1326.0,0.217588
1327.0,0.217728
1328.0,0.21786000000000003
1329.0,0.217982
1330.0,0.21810400000000002
1331.0,0.218239
1332.0,0.218389
1333.0,0.21855
1334.0,0.218718
1335.0,0.21889299999999998
1336.0,0.219081
1337.0,0.21927700000000003
1338.0,0.219471
1339.0,0.219654
1340.0,0.21982500000000002
1341.0,0.219992
1342.0,0.220163
1343.0,0.220345
1344.0,0.220535
1345.0,0.220729
1346.0,0.220923
1347.0,0.22111799999999998
1348.0,0.22131699999999999
1349.0,0.22150999999999998
1350.0,0.22168700000000002
1351.0,0.221844
1352.0,0.221987
1353.0,0.222124
1354.0,0.22226600000000002
1355.0,0.22241499999999997
1356.0,0.22256399999999998
1357.0,0.222697
1358.0,0.222805
1359.0,0.222894
1360.0,0.22296500000000002
1361.0,0.22301500000000002
1362.0,0.223038
1363.0,0.223029
1364.0,0.22300799999999998
1365.0,0.22299499999999997
1366.0,0.22299499999999997
1367.0,0.222998
1368.0,0.22300899999999999
1369.0,0.223034
1370.0,0.223079
1371.0,0.223136
1372.0,0.223194
1373.0,0.223247
1374.0,0.223309
1375.0,0.223367
1376.0,0.223397
1377.0,0.223387
1378.0,0.223357
1379.0,0.22328900000000002
1380.0,0.22316299999999997
1381.0,0.22296500000000002
1382.0,0.22270399999999999
1383.0,0.222392
1384.0,0.222042
1385.0,0.221647
1386.0,0.221208
1387.0,0.22074200000000002
1388.0,0.22026199999999999
1389.0,0.21976800000000002
1390.0,0.219253
1391.0,0.218711
1392.0,0.218136
1393.0,0.21752500000000002
1394.0,0.216887
1395.0,0.216234
1396.0,0.21557099999999998
1397.0,0.21489
1398.0,0.214196
1399.0,0.213494
1400.0,0.212773
1401.0,0.212036
1402.0,0.21130700000000002
1403.0,0.21060600000000002
1404.0,0.20992
1405.0,0.209252
1406.0,0.20861999999999997
1407.0,0.208031
1408.0,0.207465
1409.0,0.20694800000000002
1410.0,0.20651599999999998
1411.0,0.206193
1412.0,0.205962
1413.0,0.20579999999999998
1414.0,0.205686
1415.0,0.205616
1416.0,0.205603
1417.0,0.20563900000000002
1418.0,0.205723
1419.0,0.205859
1420.0,0.20604199999999998
1421.0,0.206262
1422.0,0.206509
1423.0,0.206788
1424.0,0.207104
1425.0,0.207457
1426.0,0.207848
1427.0,0.208272
1428.0,0.20873799999999998
1429.0,0.209251
1430.0,0.209836
1431.0,0.21047899999999997
1432.0,0.21113099999999999
1433.0,0.21174800000000002
1434.0,0.212345
1435.0,0.212928
1436.0,0.213486
1437.0,0.214007
1438.0,0.21448499999999998
1439.0,0.21494700000000003
1440.0,0.215424
1441.0,0.215937
1442.0,0.21647300000000003
1443.0,0.217008
1444.0,0.217522
1445.0,0.21801500000000001
1446.0,0.218493
1447.0,0.21895399999999998
1448.0,0.21939499999999998
1449.0,0.21981799999999999
1450.0,0.22022200000000003
1451.0,0.220606
1452.0,0.220966
1453.0,0.221305
1454.0,0.22162099999999998
1455.0,0.22191400000000003
1456.0,0.222175
1457.0,0.222406
1458.0,0.222627
1459.0,0.22285900000000003
1460.0,0.223098
1461.0,0.22333999999999998
1462.0,0.22358599999999998
1463.0,0.223837
1464.0,0.224087
1465.0,0.224345
1466.0,0.224623
1467.0,0.224927
1468.0,0.225252
1469.0,0.225594
1470.0,0.22594999999999998
1471.0,0.226324
1472.0,0.226717
1473.0,0.227117
1474.0,0.227515
1475.0,0.227913
1476.0,0.228313
1477.0,0.228717
1478.0,0.229128
1479.0,0.22954799999999997
1480.0,0.22997
1481.0,0.230382
1482.0,0.230782
1483.0,0.231176
1484.0,0.23156
1485.0,0.231934
1486.0,0.232285
1487.0,0.232627
1488.0,0.232977
1489.0,0.233352
1490.0,0.23375
1491.0,0.234159
1492.0,0.23457
1493.0,0.23497900000000002
1494.0,0.23539000000000002
1495.0,0.23580600000000002
1496.0,0.23622900000000002
1497.0,0.236669
1498.0,0.237117
1499.0,0.23755700000000002
1500.0,0.237975
1501.0,0.238382
1502.0,0.238773
1503.0,0.239136
1504.0,0.23945699999999998
1505.0,0.239734
1506.0,0.23999800000000002
1507.0,0.240281
1508.0,0.240591
1509.0,0.240915
1510.0,0.24124400000000001
1511.0,0.24157499999999998
1512.0,0.241912
1513.0,0.24225200000000002
1514.0,0.24258400000000002
1515.0,0.242896
1516.0,0.24319400000000002
1517.0,0.243487
1518.0,0.24378699999999998
1519.0,0.24410199999999999
1520.0,0.244423
1521.0,0.244739
1522.0,0.245041
1523.0,0.24533000000000002
1524.0,0.24561
1525.0,0.245878
1526.0,0.246132
1527.0,0.246373
1528.0,0.246602
1529.0,0.24681899999999998
1530.0,0.24701399999999998
1531.0,0.24718900000000002
1532.0,0.24736999999999998
1533.0,0.247581
1534.0,0.247824
