filter_id,cwl,fwhm,snr
S139,1629.66154068,12.4473864814,14488.1230236
S140,1635.88523392,12.5127136779,14338.7543859
S141,1642.14159076,12.8667963113,14188.6018217
S142,1648.57498892,13.520439319,14034.200266
S143,1655.33520858,14.2764638169,8047.56127813
S144,1662.47344048,15.1643400183,83.5075004863
S145,1670.05561049,16.2268260559,53.4737653295
S146,1678.16902352,16.7670662686,53.0306091434
S147,1686.55255666,16.8253002974,52.5534160095
S148,1694.9652068,16.883559485,51.9805799287
S149,1703.40698655,16.9418428869,51.3794631795
S150,1711.87790799,17.0001495599,50.755024936
S151,1720.37798277,17.0584785619,50.1448866974
S152,1728.90722205,17.1168289522,49.5115842105
S153,1737.46563653,17.1665588573,48.8495575483
S154,1746.04891596,17.209330546,48.165322508
S155,1754.65358123,17.2520001064,47.4660621718
S156,1763.27958128,17.2945672585,46.7517361468
S157,1771.92686491,17.3370317306,46.0148243278
S158,1780.59538078,17.379393259,45.2617567397
S159,1789.28507741,17.421651588,44.489860166
S160,1797.9959032,17.4502439935,43.6808404155
S161,1806.7210252,17.4699692709,43.0807831023
S162,1815.45600983,17.4895709999,42.5157560405
S163,1824.20079533,17.5090501632,41.8971191956
S164,1832.95532041,17.5284077356,41.1696495273
S165,1841.71952428,17.5476446832,40.5946631861
S166,1850.49334662,17.5667619645,40.1835313925
S167,1859.27672761,17.5736219487,39.5615361558
S168,1868.06353858,17.571257359,38.5030642399
S169,1876.84916726,17.5689158506,37.4100760735
S170,1885.63362519,17.5665970844,37.135028617
S171,1894.41692373,17.5643007277,37.158587426
S172,1903.19907409,17.5620264544,37.0407520802
S173,1911.98008732,17.5597739447,36.5356438303
S174,1920.75997429,17.5783362842,36.0967898657
S175,1929.54914243,17.6152962864,35.0904896537
S176,1938.35679058,17.6521518822,33.3346499586
S177,1947.18286652,17.6889030541,29.5854588363
S178,1956.02731804,17.7255497903,27.0372831947
S179,1964.89009294,17.7620920843,26.1243786365
S180,1973.77113898,17.7985299348,28.1251608811
S181,1982.67040395,17.8178396642,28.9085526116
S182,1991.57932378,17.8192315727,26.7832049694
S183,2000.48893957,17.8206114058,21.5821088498
S184,2009.39924527,17.821979319,18.748084237
S185,2018.31023493,17.823335465,20.1432109844
S186,2027.22190266,17.8246799943,23.4400865013
S187,2036.13424266,17.8260130546,25.6664156911
S188,2045.04724919,17.8281161271,25.0626123023
S189,2053.96130725,17.831270169,24.0768686387
S190,2062.87694233,17.8343986053,23.3268647481
S191,2071.79414164,17.837501742,24.2282142335
S192,2080.71289251,17.8405798804,25.2063264819
S193,2089.63318245,17.8436333168,26.187291975
S194,2098.55499911,17.8466623431,27.0401456806
S195,2107.47833028,17.8660070783,27.5766415052
S196,2116.41133382,17.9191928847,27.9222404167
S197,2125.37093026,17.9724029408,28.0873145768
S198,2134.35713173,18.0256366315,27.9318598405
S199,2143.36995005,18.0788933418,27.5499327587
S200,2152.40939672,18.1321724572,27.1088858144
S201,2161.47548295,18.1854733637,26.8414493186
S202,2170.56821963,18.2387954478,26.9390278549
S203,2179.68761735,18.2921380965,26.9631602005
S204,2188.8336864,18.3455006972,26.8552094809
S205,2198.00643675,18.3988826382,26.6407915616
S206,2207.20587807,18.452283308,26.4699999977
S207,2216.43201972,18.5057020962,26.304985042
S208,2225.68487077,18.5591383926,26.1327241617
S209,2234.96443997,18.6114280476,25.9767901473
S210,2244.27015399,18.6599020467,25.7892255147
S211,2253.60010501,18.7083514125,25.5944333656
S212,2262.95428072,18.7567756101,25.4062666633
S213,2272.33266852,18.8051741076,25.2018098187
S214,2281.73525558,18.8535463758,25.0070778914
S215,2291.16202877,18.9018918887,24.8146065219
S216,2300.61297471,18.9396490411,24.6185798435
S217,2310.08279923,18.9486383541,24.4077795496
S218,2319.55711841,18.9575669208,24.1577321598
S219,2329.03590187,18.9664353235,23.9273593007
S220,2338.51911953,18.9752441376,23.7454846739
S221,2348.0067416,18.9839939314,23.5951100386
S222,2357.49873856,18.9926852664,23.4015436792
S223,2366.9950812,19.0013186972,23.2073661042
S224,2376.49574055,19.0098947719,23.027200468
S225,2386.00068793,19.0184140318,22.8572178137
S226,2395.50989495,19.026877012,22.6931230792
S227,2405.02333345,19.035284241,22.5471981219
S228,2414.54097557,19.0436362411,22.4175041313
S229,2424.0627937,19.0519335282,22.2913473083
S230,2433.58876046,19.0601766123,22.1605461319
S231,2443.11884877,19.0683659973,22.0184802756
S232,2452.65303176,19.076502181,21.871344921
S233,2462.19128285,19.0845856556,21.7304984965
S234,2471.73357568,19.0926169072,21.5801467965
S235,2481.27988414,19.1005964166,21.3934760439
S236,2490.83018234,19.1085246584,21.1944006309
S237,2500.38444467,19.1164021023,21.0077399859
S238,2509.94264572,19.124229212,20.8349693693
S239,2519.50476033,19.132006446,20.660979742
S240,2529.07076355,19.1397342577,20.4511407557
S241,2538.64063068,19.1474130949,20.1960315031
S242,2548.21433723,19.1550434003,19.9597915245
S243,2557.79185893,19.1626256118,19.6318782082
S244,2567.37317174,19.1701601619,19.2604871322
S245,2576.95825182,19.1776474782,18.8856967287
S246,2586.54707556,19.1850879837,18.5822583401
S247,2596.13961955,19.1924820962,18.3386673214
S248,2605.7358606,19.199830229,18.1974342377
S249,2615.33577571,19.2071327905,18.1357733515
S250,2624.93934211,19.2143901846,18.110125268
S251,2634.5465372,19.2216028106,18.1635188167
S252,2644.1573386,19.2287710634,17.9440114135
S253,2653.77172414,19.2358953332,15.809244697
S254,2663.3896718,19.242976006,10.758656607
S255,2673.0111598,19.2500134635,4.37899148011
S256,2682.63616654,19.257008083,
S257,2692.26467058,19.2639602376,
S258,2701.8966507,19.2708702964,
S259,2711.53208585,19.2777386242,
S260,2721.17095516,19.2845655819,
S261,2730.81323795,19.2913515264,6.01744141826
S262,2740.45891371,19.2980968105,
S263,2750.10796212,19.3048017833,
S264,2759.76036301,19.31146679,
S265,2769.4160964,19.318092172,
S266,2779.07514249,19.324678267,
S267,2788.73748162,19.331225409,
S268,2798.40309433,19.3377339283,
S269,2808.07196129,19.3442041516,4.73157994547
S270,2817.74406337,19.3506364023,6.64750269987
S271,2827.41938157,19.357031,8.37783745156
S272,2837.09789707,19.3633882611,9.56182738365
S273,2846.7795912,19.3697084983,10.5313204797
S274,2856.46444545,19.3759920212,11.6441979037
S275,2866.15244146,19.382239136,12.6798236939
S276,2875.84356103,19.3884501456,13.435388326
S277,2885.5377861,19.3946253496,13.9123638904
S278,2895.23509877,19.4007650446,14.2928203963
S279,2904.9354813,19.4068695239,14.5335712772
S280,2914.63891606,19.4129390777,14.6304974647
S281,2924.3453856,19.4189739931,14.612283096
S282,2934.05487259,19.4249745544,14.5265635317
S283,2943.76735987,19.4309410426,14.4146071509
S284,2953.48283039,19.4368737359,14.2364284295
S285,2963.20126726,19.4427729096,13.9588843666
S286,2972.92265372,19.448638836,13.6578039288
S287,2982.64697313,19.4544717846,13.4600518669
S288,2992.37420903,19.4602720223,13.3603225291
S289,3002.10434504,19.4660398129,13.3296166586
S290,3011.83736494,19.4717754177,13.2965722696
S291,3021.57325265,19.4774790952,13.1739846661
S292,3031.3119922,19.4831511012,13.0927942133
S293,3041.05356775,19.4887916889,13.0153294256
S294,3050.79796359,19.4944011089,12.897959025
S295,3060.54516415,19.4999796092,12.7689515662
S296,3070.29515395,19.5055274354,12.6326445705
S297,3080.04791767,19.5110448303,12.490738221
S298,3089.80344009,19.5165320346,12.3431432758
S299,3099.5617061,19.5219892863,12.1885077658
