Wavelength,Resolving Power
1611.93,100.126
1673.354,100
1732.701,101.075
1792.699,102.803
1854.283,105.507
1916.113,109.126
1978.328,111.035
2041.291,114.507
2104.575,117.912
2232.792,120.042
2298.07,121.352
2363.76,124.419
