Data ID,bir2jbg60a
Sample ID,JB-JLB-G60-A
Mineral Name,halite
Sample Description,"Halite medium grains (JB1660a, Melissa Lane SL6)"
Date Added,2017-06-02
Viewing Geometry,            i=NA deg             e=NA deg
Other Information,Instrument name: Thermo Nicolet Nexus 870 FTIR with Pike AutoDiff Diffuse Reflectance Accessory;                         Range: 833.4 - 99718.8 nm;                         Mineral Group: halide
Grain Size,0 - 250 micrometer
Database of Origin,RELAB
Wavelength,Response
856.0,0.54838
856.1,0.54506
856.2,0.54589
856.2,0.5486
856.3,0.54854
856.4,0.54749
856.4,0.54629
856.5,0.54569
856.6,0.54768
856.6,0.54944
856.7,0.54998
856.8,0.54839
856.9,0.54741
856.9,0.54626
857.0,0.54495
857.1,0.54575
857.1,0.54792
857.2,0.54878
857.3,0.54913
857.3,0.54757
857.4,0.54751
857.5,0.54906
857.6,0.54686
857.6,0.54513
857.7,0.54799
857.8,0.54951
857.8,0.54934
857.9,0.5492
858.0,0.54837
858.1,0.54871
858.1,0.54789
858.2,0.54927
858.3,0.5505
858.3,0.54813
858.4,0.54835
858.5,0.5493
858.6,0.54921
858.6,0.54839
858.7,0.54783
858.8,0.54747
858.8,0.54794
858.9,0.54803
859.0,0.54629
859.1,0.54806
859.1,0.55098
859.2,0.54923
859.3,0.54686
859.3,0.5454
859.4,0.54606
859.5,0.54568
859.5,0.54524
859.6,0.54527
859.7,0.54737
859.8,0.54838
859.8,0.54709
859.9,0.54492
860.0,0.5449
860.0,0.54645
860.1,0.54751
860.2,0.54827
860.3,0.54702
860.3,0.54453
860.4,0.54438
860.5,0.54651
860.5,0.54601
860.6,0.54498
860.7,0.54592
860.8,0.54829
860.8,0.54883
860.9,0.54716
861.0,0.54605
861.0,0.54572
861.1,0.54369
861.2,0.54423
861.3,0.54493
861.3,0.54608
861.4,0.54861
861.5,0.5476
861.5,0.5447
861.6,0.54441
861.7,0.54435
861.8,0.54428
861.8,0.54458
861.9,0.54356
862.0,0.54381
862.0,0.54518
862.1,0.54347
862.2,0.54294
862.3,0.54388
862.3,0.54344
862.4,0.54185
862.5,0.5411
862.6,0.54188
862.6,0.54379
862.7,0.54548
862.8,0.54576
862.8,0.54535
862.9,0.54505
863.0,0.5437
863.1,0.54247
863.1,0.54532
863.2,0.54692
863.3,0.54527
863.3,0.54425
863.4,0.54519
863.5,0.54418
863.6,0.5425
863.6,0.54148
863.7,0.54268
863.8,0.5452
863.8,0.5465
863.9,0.54504
864.0,0.54456
864.1,0.54591
864.1,0.54761
864.2,0.54639
864.3,0.54365
864.3,0.54344
864.4,0.54293
864.5,0.54176
864.6,0.54123
864.6,0.5425
864.7,0.54332
864.8,0.54351
864.9,0.54467
864.9,0.5446
865.0,0.5432
865.1,0.54221
865.1,0.54082
865.2,0.54084
865.3,0.542
865.4,0.54044
865.4,0.54137
865.5,0.54414
865.6,0.54383
865.7,0.54319
865.7,0.54225
865.8,0.5415
865.9,0.54243
865.9,0.54276
866.0,0.54264
866.1,0.54141
866.2,0.54015
866.2,0.54085
866.3,0.54284
866.4,0.54403
866.5,0.54354
866.5,0.5425
866.6,0.54138
866.7,0.53846
866.7,0.53799
866.8,0.54061
866.9,0.54125
867.0,0.54274
867.0,0.54303
867.1,0.54155
867.2,0.54126
867.2,0.54011
867.3,0.54047
867.4,0.54115
867.5,0.54138
867.5,0.5419
867.6,0.54091
867.7,0.54027
867.8,0.54188
867.8,0.54258
867.9,0.54111
868.0,0.54006
868.0,0.54045
868.1,0.54226
868.2,0.54165
868.3,0.54022
868.3,0.53945
868.4,0.53882
868.5,0.53951
868.5,0.54069
868.6,0.53988
868.7,0.53918
868.8,0.53967
868.8,0.53934
868.9,0.53839
869.0,0.53877
869.1,0.54001
869.1,0.54087
869.2,0.54067
869.3,0.5397
869.3,0.5393
869.4,0.539
869.5,0.54068
869.6,0.54117
869.6,0.54046
869.7,0.54002
869.8,0.5409
869.9,0.54006
869.9,0.53706
870.0,0.53685
870.1,0.53872
870.2,0.53971
870.2,0.54046
870.3,0.53945
870.4,0.53813
870.4,0.53695
870.5,0.53572
870.6,0.53611
870.7,0.53871
870.7,0.54053
870.8,0.54023
870.9,0.5377
871.0,0.5351
871.0,0.53593
871.1,0.53698
