Sample ID,11_Iceland_00001
Species,11_Iceland
Subgroup,11_Iceland
Group,11_Iceland
Library,EXM_MRS
Sample Description,Sample 11
Date Added,"02/20/2024,02/20/2024"
Viewing Geometry,
Other Information,"Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,50,50,30 integration times; 100,100 scans averaged"
Composition,
Resolution,2.8nm@700nm 8nm@1500nm 6nm@2100nm
Grain Size,
Locality,
Database of Origin,ExoMars Mission Reference Samples
Wavelength,Response
350.0,0.115979
351.0,0.115983
352.0,0.11607200000000001
353.0,0.11624599999999999
354.0,0.116427
355.0,0.11651199999999999
356.0,0.116535
357.0,0.116531
358.0,0.11659900000000001
359.0,0.116602
360.0,0.116549
361.0,0.116601
362.0,0.11671200000000001
363.0,0.116858
364.0,0.116942
365.0,0.11705299999999999
366.0,0.117257
367.0,0.117561
368.0,0.117919
369.0,0.11827299999999999
370.0,0.118606
371.0,0.118903
372.0,0.11913
373.0,0.119353
374.0,0.119578
375.0,0.119794
376.0,0.11995900000000001
377.0,0.120051
378.0,0.12001300000000001
379.0,0.119957
380.0,0.119967
381.0,0.12009399999999999
382.0,0.120296
383.0,0.120511
384.0,0.12079599999999999
385.0,0.121149
386.0,0.121543
387.0,0.122004
388.0,0.122502
389.0,0.12290100000000001
390.0,0.123262
391.0,0.123606
392.0,0.123992
393.0,0.124442
394.0,0.12496499999999999
395.0,0.125503
396.0,0.126084
397.0,0.126723
398.0,0.127302
399.0,0.12782400000000002
400.0,0.128304
401.0,0.128631
402.0,0.128819
403.0,0.128907
404.0,0.129072
405.0,0.129304
406.0,0.12951100000000001
407.0,0.129808
408.0,0.13020500000000002
409.0,0.130657
410.0,0.131106
411.0,0.131524
412.0,0.131954
413.0,0.1324
414.0,0.13286699999999999
415.0,0.133216
416.0,0.133528
417.0,0.13386699999999999
418.0,0.134236
419.0,0.13458399999999998
420.0,0.134843
421.0,0.135151
422.0,0.135497
423.0,0.13584300000000002
424.0,0.136132
425.0,0.136382
426.0,0.136677
427.0,0.136913
428.0,0.1371
429.0,0.137374
430.0,0.137638
431.0,0.137872
432.0,0.138072
433.0,0.138233
434.0,0.138353
435.0,0.138457
436.0,0.138541
437.0,0.138605
438.0,0.13865
439.0,0.138704
440.0,0.13878500000000002
441.0,0.138837
442.0,0.138858
443.0,0.138837
444.0,0.138823
