Sample ID,11_Iceland_00003
Species,11_Iceland
Subgroup,11_Iceland
Group,11_Iceland
Library,EXM_MRS
Sample Description,Sample 11
Date Added,"02/20/2024,02/20/2024"
Viewing Geometry,
Other Information,"Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,50,50,30 integration times; 100,100 scans averaged"
Composition,
Resolution,2.8nm@700nm 8nm@1500nm 6nm@2100nm
Grain Size,
Locality,
Database of Origin,ExoMars Mission Reference Samples
Wavelength,Response
442.0,0.093701
443.0,0.093652
444.0,0.09359999999999999
445.0,0.093544
446.0,0.093483
447.0,0.093474
448.0,0.093504
449.0,0.093555
450.0,0.09361000000000001
451.0,0.093662
452.0,0.09368399999999999
453.0,0.093773
454.0,0.09389099999999999
455.0,0.093922
456.0,0.094015
457.0,0.094155
458.0,0.094253
459.0,0.094414
460.0,0.094625
461.0,0.09473599999999999
462.0,0.09485400000000001
463.0,0.095001
464.0,0.095193
465.0,0.095297
466.0,0.09532500000000001
467.0,0.09548
468.0,0.09561199999999999
469.0,0.095709
470.0,0.09587
471.0,0.096
472.0,0.096071
473.0,0.096179
474.0,0.096292
475.0,0.096401
476.0,0.09650700000000001
477.0,0.096677
478.0,0.096921
479.0,0.097026
480.0,0.09718199999999999
481.0,0.09744
482.0,0.097546
483.0,0.097615
484.0,0.097697
485.0,0.09785
486.0,0.09798899999999999
487.0,0.098088
488.0,0.09824899999999999
489.0,0.098414
490.0,0.09855900000000001
491.0,0.098667
492.0,0.098789
493.0,0.09894399999999999
494.0,0.099104
495.0,0.099245
496.0,0.09936099999999999
497.0,0.099512
498.0,0.09965199999999999
499.0,0.09976499999999999
500.0,0.09989200000000001
501.0,0.100013
502.0,0.10012
503.0,0.1002
504.0,0.10026
505.0,0.100303
506.0,0.10034900000000001
507.0,0.100406
508.0,0.10049
509.0,0.100653
510.0,0.100829
511.0,0.101006
512.0,0.101219
513.0,0.10140700000000001
514.0,0.101564
515.0,0.10172
516.0,0.101887
517.0,0.102051
518.0,0.10217499999999999
519.0,0.102282
520.0,0.102383
521.0,0.102494
522.0,0.102591
523.0,0.10268000000000001
524.0,0.10278000000000001
525.0,0.102911
526.0,0.10304600000000001
527.0,0.10314899999999999
528.0,0.103249
529.0,0.103328
530.0,0.103358
531.0,0.10337
532.0,0.103391
533.0,0.10344300000000001
534.0,0.10347300000000001
535.0,0.103495
536.0,0.103516
537.0,0.103526
538.0,0.103537
539.0,0.10355
540.0,0.10354799999999999
541.0,0.10358200000000001
542.0,0.103657
543.0,0.103727
544.0,0.1038
545.0,0.103864
546.0,0.103879
547.0,0.103904
548.0,0.103953
549.0,0.10404400000000001
550.0,0.104112
551.0,0.10416600000000001
552.0,0.10422599999999999
553.0,0.104323
554.0,0.10443799999999999
555.0,0.10455600000000001
556.0,0.104637
557.0,0.104724
558.0,0.10483700000000001
559.0,0.104923
