Sample ID,11_Iceland_00004
Species,11_Iceland
Subgroup,11_Iceland
Group,11_Iceland
Library,EXM_MRS
Sample Description,Sample 11
Date Added,"02/20/2024,02/20/2024"
Viewing Geometry,
Other Information,"Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,50,50,30 integration times; 100,100 scans averaged"
Composition,
Resolution,2.8nm@700nm 8nm@1500nm 6nm@2100nm
Grain Size,
Locality,
Database of Origin,ExoMars Mission Reference Samples
Wavelength,Response
350.0,0.076934
351.0,0.077124
352.0,0.077325
353.0,0.077536
354.0,0.07771499999999999
355.0,0.077805
356.0,0.077865
357.0,0.077915
358.0,0.077997
359.0,0.07803
360.0,0.078026
361.0,0.07812999999999999
362.0,0.078285
363.0,0.078465
364.0,0.07864
365.0,0.0788
366.0,0.078933
367.0,0.07907600000000001
368.0,0.079238
369.0,0.079435
370.0,0.079611
371.0,0.079768
372.0,0.079924
373.0,0.08006600000000001
374.0,0.080196
375.0,0.08033699999999999
376.0,0.080473
377.0,0.0806
378.0,0.080707
379.0,0.080782
380.0,0.080818
381.0,0.08088699999999999
382.0,0.080994
383.0,0.081145
384.0,0.081264
385.0,0.081372
386.0,0.08152200000000001
387.0,0.08170999999999999
388.0,0.081937
389.0,0.08218299999999999
390.0,0.08245799999999999
391.0,0.082764
392.0,0.083104
393.0,0.08343400000000001
394.0,0.083734
395.0,0.083985
396.0,0.08419800000000001
397.0,0.084384
398.0,0.084578
399.0,0.08473800000000001
400.0,0.084803
401.0,0.084969
402.0,0.08522199999999999
403.0,0.085509
404.0,0.08573399999999999
405.0,0.085906
406.0,0.08606899999999999
407.0,0.08627000000000001
408.0,0.086507
409.0,0.086671
410.0,0.086856
411.0,0.087093
412.0,0.087319
413.0,0.087538
414.0,0.08775000000000001
415.0,0.08794700000000001
416.0,0.088157
417.0,0.088416
418.0,0.088598
419.0,0.088743
420.0,0.088903
421.0,0.089081
422.0,0.089264
423.0,0.08942800000000001
424.0,0.08955199999999999
425.0,0.089647
426.0,0.089748
427.0,0.089803
428.0,0.089825
429.0,0.089917
430.0,0.090021
431.0,0.09011699999999999
432.0,0.090153
433.0,0.090173
434.0,0.090199
435.0,0.090237
436.0,0.090283
437.0,0.09033300000000001
438.0,0.09032299999999999
439.0,0.09028499999999999
440.0,0.090238
441.0,0.090208
442.0,0.09019
