Sample ID,3_Sabtha_00003
Species,3_Sabtha
Subgroup,3_Sabtha
Group,3_Sabtha
Library,EXM_MRS
Sample Description,Sample 3
Date Added,"02/20/2024,02/20/2024"
Viewing Geometry,
Other Information,"Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,15,50,30 integration times; 100,100 scans averaged"
Composition,
Resolution,2.8nm@700nm 8nm@1500nm 6nm@2100nm
Grain Size,
Locality,
Database of Origin,ExoMars Mission Reference Samples
Wavelength,Response
570.0,0.507901
571.0,0.508259
572.0,0.508514
573.0,0.508744
574.0,0.508997
575.0,0.5092690000000001
576.0,0.509597
577.0,0.509945
578.0,0.510178
579.0,0.5103949999999999
580.0,0.5105729999999999
581.0,0.510659
582.0,0.510794
583.0,0.510991
584.0,0.511254
585.0,0.511487
586.0,0.511748
587.0,0.512055
588.0,0.512324
589.0,0.512591
590.0,0.51286
591.0,0.513123
592.0,0.5133209999999999
593.0,0.513459
594.0,0.51354
595.0,0.513691
596.0,0.513843
597.0,0.513946
598.0,0.5140870000000001
599.0,0.514167
600.0,0.514191
601.0,0.514282
602.0,0.514247
603.0,0.514218
604.0,0.514463
605.0,0.514601
606.0,0.514687
607.0,0.514763
608.0,0.5149360000000001
609.0,0.5149900000000001
610.0,0.5149159999999999
611.0,0.5149009999999999
612.0,0.514914
613.0,0.514968
614.0,0.515081
615.0,0.515185
616.0,0.515274
617.0,0.515339
618.0,0.51535
619.0,0.515358
620.0,0.515378
621.0,0.515415
622.0,0.515448
623.0,0.515481
624.0,0.51552
625.0,0.515622
626.0,0.515699
627.0,0.5157229999999999
628.0,0.515703
629.0,0.515697
630.0,0.515659
631.0,0.5155460000000001
632.0,0.515502
633.0,0.515563
634.0,0.515719
635.0,0.515779
636.0,0.515903
637.0,0.516045
638.0,0.516086
639.0,0.516123
640.0,0.516146
641.0,0.516148
642.0,0.516125
643.0,0.516086
644.0,0.516041
645.0,0.516007
646.0,0.51603
647.0,0.516065
648.0,0.5160969999999999
649.0,0.516213
650.0,0.516166
651.0,0.51605
652.0,0.516087
653.0,0.5160750000000001
654.0,0.516074
655.0,0.516087
656.0,0.516039
657.0,0.516039
658.0,0.516029
659.0,0.515948
660.0,0.515879
661.0,0.5158400000000001
662.0,0.515848
663.0,0.515935
664.0,0.515941
665.0,0.515953
666.0,0.516013
667.0,0.51591
668.0,0.5159
669.0,0.51598
670.0,0.516069
671.0,0.516105
672.0,0.516007
673.0,0.515834
674.0,0.515824
675.0,0.515846
676.0,0.515852
677.0,0.515812
678.0,0.515842
679.0,0.5158400000000001
680.0,0.515816
681.0,0.515813
682.0,0.51585
683.0,0.515832
684.0,0.515768
685.0,0.515772
686.0,0.515989
687.0,0.516184
688.0,0.5162019999999999
689.0,0.516242
690.0,0.5163340000000001
691.0,0.516379
692.0,0.5162939999999999
693.0,0.516327
694.0,0.516293
695.0,0.516212
696.0,0.516189
697.0,0.516239
698.0,0.516325
699.0,0.5163989999999999
700.0,0.516391
701.0,0.516427
702.0,0.516464
703.0,0.516501
704.0,0.516637
705.0,0.516637
706.0,0.516623
707.0,0.5166919999999999
708.0,0.5167499999999999
709.0,0.516773
710.0,0.516836
711.0,0.516972
712.0,0.517052
713.0,0.517126
714.0,0.517215
715.0,0.517307
716.0,0.517198
717.0,0.517039
718.0,0.516961
719.0,0.517047
720.0,0.517019
721.0,0.517045
722.0,0.517096
723.0,0.517109
724.0,0.517169
725.0,0.517289
726.0,0.517452
727.0,0.517626
728.0,0.517813
729.0,0.517977
730.0,0.5180899999999999
731.0,0.518142
732.0,0.518243
733.0,0.518374
734.0,0.518487
735.0,0.518549
736.0,0.518563
737.0,0.518544
738.0,0.518556
739.0,0.518629
740.0,0.518702
741.0,0.518865
742.0,0.519046
743.0,0.51921
744.0,0.519354
745.0,0.519471
746.0,0.519632
747.0,0.519848
748.0,0.520073
749.0,0.520295
750.0,0.520456
751.0,0.52063
752.0,0.52088
753.0,0.5207780000000001
754.0,0.520696
755.0,0.520696
756.0,0.5207970000000001
757.0,0.5210560000000001
758.0,0.521137
759.0,0.521238
760.0,0.521405
761.0,0.521525
762.0,0.521815
763.0,0.521923
764.0,0.521992
765.0,0.5222950000000001
766.0,0.522653
767.0,0.5228119999999999
768.0,0.522829
769.0,0.522875
770.0,0.523138
771.0,0.523491
772.0,0.5236959999999999
773.0,0.523759
774.0,0.523799
775.0,0.5239670000000001
776.0,0.52422
777.0,0.524433
778.0,0.524578
779.0,0.5247160000000001
780.0,0.524775
781.0,0.5249900000000001
782.0,0.525244
783.0,0.525442
784.0,0.525698
785.0,0.52594
786.0,0.52611
787.0,0.526205
788.0,0.526246
789.0,0.526273
790.0,0.5261939999999999
791.0,0.526139
792.0,0.52615
793.0,0.5262100000000001
794.0,0.526624
795.0,0.52692
796.0,0.527118
797.0,0.527245
798.0,0.5273140000000001
799.0,0.5273749999999999
800.0,0.527446
801.0,0.527393
802.0,0.527386
803.0,0.527712
804.0,0.527821
805.0,0.527903
806.0,0.527922
807.0,0.527951
808.0,0.528104
809.0,0.5282009999999999
810.0,0.5283100000000001
811.0,0.528444
812.0,0.52863
813.0,0.528824
814.0,0.528671
815.0,0.528699
816.0,0.528774
817.0,0.5288539999999999
818.0,0.528917
819.0,0.5289459999999999
820.0,0.528964
821.0,0.5289820000000001
822.0,0.528994
823.0,0.529095
824.0,0.529313
825.0,0.529089
826.0,0.529091
827.0,0.528968
828.0,0.5287810000000001
829.0,0.528681
830.0,0.528776
831.0,0.528776
832.0,0.528682
833.0,0.528895
834.0,0.529054
835.0,0.528807
836.0,0.528597
837.0,0.528568
