,CAGR01 Calcite.,F1CC06B Magnesite.,HS433 Halite.,LAZE03 Prehnite.,bkr1jb329c Siliceous-sinter.,GDS26 Epidote.,GDS1 Analcime.,NBPP22 Clinopyroxene.,LAPP47B Orthopyroxene.,LAPO05 Fayalite.,LASC02 Forsterite.,GDS27 Hematite.,NCLS04 Plagioclase.,LACL14 Chlorite.,LAKA04 Kaolinite.,LAIL02 Illite.,GDS106 Margarite.,c1cy29 Vermiculite.,LALZ01 Serpentine.,LAMO02 Montmorillonite.,NCJB26 Nontronite.,LASA58 Saponite.,GDS23 Talc.,F1CC08B Alunite.,GDS145 Bassanite.,LASF41A Gypsum.,LASF21A Jarosite.,F1CC15 Kieserite.,799F366 Mg-sulphate.
2234.96443997,0.8503709827062415,0.9315776173661021,0.9651964721641879,0.8821128414580637,0.8623103019890292,0.6836849272074303,0.9041587522983544,0.6555002767923196,0.6936379120395341,0.9259204951631445,0.8291437062277046,0.9208503865114609,0.7746810066255749,0.8935449669588793,0.8995684627943678,0.9911932299519776,0.8289720336634011,0.8863585139634864,0.8732066551831588,0.8960544714499219,0.9463570833926213,0.9823999724955345,0.9298319075297165,0.870284886608351,0.8978555171759672,0.8496041896492789,0.8299009153803624,0.7483280508344057,0.9788256070826661
2244.27015399,0.8600722994448329,0.8988718515488556,0.9279574145342789,0.9054436351198915,0.8449390800088306,0.6406822164709578,0.8913544401638689,0.6092640172770413,0.6951711733669246,0.8827573413044664,0.8442003994084286,0.8845284932809264,0.8196120723116966,0.850431458650295,0.8602795721844106,0.9711494492988209,0.7905967195599023,0.9255032065462669,0.9252930316538095,0.8985109338476779,0.9231168436010131,0.9519229115005021,0.8946377387156211,0.9299696331287179,0.9636777246038067,0.9033625926568102,0.856299043251166,0.7621875063319155,0.9641764373574692
2253.60010501,0.9422801599168998,0.8272060172036253,0.9259517415207421,0.8818342184375166,0.8797030835305804,0.6108150888760004,1.0,0.6513702945532318,0.6870311051842001,0.8391217998909524,0.8970331872096164,0.8681507660043045,0.803213906110638,0.820338628645855,0.8697742880916955,0.9189534083457397,0.8019001825145624,0.8804594755888101,0.9225290885200628,0.8828569846248656,0.9500213625918646,0.9725881461141062,0.8634994090523783,0.9613660114719179,0.9109188696708256,0.9811458381616583,0.8186333577861588,0.821827099142105,1.0
2262.95428072,0.9221251233543781,0.869768787498317,0.9368252868716338,0.8746482120917662,0.9160744471425931,0.5978972194835733,0.9375911261304816,0.7141170459984801,0.7146795856798176,0.8750015504492089,0.8923804938951434,0.9288804804267201,0.7744141190776077,0.8967452284233975,0.802816941392207,0.9257323002814383,0.776490537056677,0.8830987879669042,0.9692504341926319,0.9475752867489415,0.9457447328718476,0.9763267072632715,0.7178890831360556,1.0,0.9306278883245707,0.827690663676634,0.775983213921873,0.8189498724720691,0.9785071153958723
2272.33266852,0.9316997479412564,0.846194869258843,0.9780096981158578,0.8795542375870339,0.8717008300932881,0.6037663592177707,0.9237749446317389,0.6341906383888521,0.6769606836600727,0.876723545592356,0.8783157023090619,0.865148538793723,0.7615071669212882,0.8514272154794763,0.9018830783311113,0.8899973841909505,0.781292642890863,0.8831066834964925,0.8926757690169191,0.9864198667943156,0.8890760930106176,0.9015039531800071,0.6779630999512597,0.9769615260752701,0.9144419490677053,0.9061673374972113,0.8070294148126328,0.8730404031511978,0.995612316759002
2281.73525558,0.8287137515757573,0.8790139082327584,0.9171419348956246,0.9158638088508075,0.9183956618108213,0.5688257806104522,0.8890142416210051,0.6195260924630391,0.7748180246092735,0.8887384627425017,0.8579288620150836,0.8208282775099186,0.8398302365407632,0.8369553784712309,0.9084424357600571,0.8876719983467181,0.7946306541545056,0.8902728972581001,0.8953605140888096,0.9955751804281842,0.8514203269720989,0.9802473016994476,0.5425868784892572,0.9540397380797945,0.9052360512706329,0.9474226970217619,0.7556358937834933,0.7817987389004235,0.9448910098476152
2291.16202877,0.7989740553793805,0.8852085617961385,0.9864966852594599,0.9197078113469475,0.9219756885038769,0.5197622266876404,0.9883367221842596,0.6398188886088697,0.7686975214009274,0.8488759903626837,0.7549564849038054,0.8838255535425581,0.822972386068517,0.7581702471075163,0.8498380150396689,0.9549666464585073,0.8205449979749074,0.8667980386438514,0.8808361220552056,0.967317452152991,0.8650080710857653,0.8249373652974814,0.44976284300198044,0.9925815002398983,0.9295119833420763,0.9092314367756184,0.8510565242989134,0.7758522743141479,0.9217912815959891
2300.61297471,0.8381477851029993,0.8241731508443247,0.8930801295130836,0.8922919502080728,0.9092003424390376,0.49844592869358795,0.9934934694592804,0.6363613439434269,0.7887856203504683,0.879855849158219,0.903050217876118,0.9267287041342747,0.8121280337970104,0.8026583659165888,0.8408658095694804,0.905142742759274,0.8048145375059261,0.8315137264520132,0.7704632540872465,0.9713046617471289,0.8885213194740323,0.8376514535962108,0.4275386889477909,0.9431135724345817,1.0,0.9024809961917595,0.8934798622799176,0.7265034836482814,0.9356358663816347
2310.08279923,0.8613060369462184,0.8647020000667317,0.9410771816920636,0.8528611527854835,0.8863047725222742,0.436512603411737,0.9606611471624013,0.6620455058005443,0.7414321773748098,0.8568582757280788,0.8788232539644449,0.9047340085491495,0.810612861421556,0.7697596675095111,0.8680858124258237,0.973958401050736,0.7679561005376376,0.8062484726939472,0.8066243691327807,0.9631623801594543,0.9568385449682876,0.7805050859840197,0.37934372384742643,0.8176985694525772,0.916435861630136,1.0,0.9127285361451632,0.7571352425527166,0.9414429060460698
2319.55711841,0.8654689889754641,0.9191939564473992,1.0,0.8456661198385689,0.9759174589715099,0.37452250988099306,0.9359690459897876,0.6151365644350754,0.7696453170428224,0.9152423698814178,0.8254014281986932,0.9629477209577008,0.7948796835556515,0.7812114148937578,0.8052864291280817,0.9095896162078498,0.7114109700030546,0.797465881119142,0.7839783615793707,0.9167743711916124,0.9462980460907197,0.7840977410256923,0.4337604054185113,0.9186979036952082,0.9872091386864938,0.9256193662742246,0.9222685027060401,0.7375433358762861,0.9442183336389122
