Sample ID,8_Mudstone_00003
Species,8_Mudstone
Subgroup,8_Mudstone
Group,8_Mudstone
Library,EXM_MRS
Sample Description,Sample 8
Date Added,"02/20/2024,02/20/2024"
Viewing Geometry,
Other Information,"Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,100,50,30 integration times; 100,100 scans averaged"
Composition,
Resolution,2.8nm@700nm 8nm@1500nm 6nm@2100nm
Grain Size,
Locality,
Database of Origin,ExoMars Mission Reference Samples
Wavelength,Response
610.0,0.078396
611.0,0.078466
612.0,0.078499
613.0,0.078525
614.0,0.078584
615.0,0.07865
616.0,0.078719
617.0,0.078787
618.0,0.07885500000000001
619.0,0.078916
620.0,0.078975
621.0,0.079049
622.0,0.079123
623.0,0.079199
624.0,0.079282
625.0,0.07935500000000001
626.0,0.079418
627.0,0.079478
628.0,0.07954900000000001
629.0,0.07961800000000001
630.0,0.079693
631.0,0.079782
632.0,0.079861
633.0,0.079932
634.0,0.079999
635.0,0.080074
636.0,0.080148
637.0,0.08021800000000001
638.0,0.080282
639.0,0.08035500000000001
640.0,0.080431
641.0,0.080506
642.0,0.080584
643.0,0.080635
644.0,0.080667
645.0,0.080703
646.0,0.08076900000000001
647.0,0.08084300000000001
648.0,0.080915
649.0,0.081015
650.0,0.081097
651.0,0.08116899999999999
652.0,0.081251
653.0,0.08134499999999999
654.0,0.081441
655.0,0.081533
656.0,0.081622
657.0,0.081705
658.0,0.08177799999999999
659.0,0.081838
660.0,0.08191100000000001
661.0,0.081974
662.0,0.082027
663.0,0.082088
664.0,0.08217599999999999
665.0,0.082272
666.0,0.082354
667.0,0.08241300000000001
668.0,0.082464
669.0,0.082518
670.0,0.082587
671.0,0.08262900000000001
672.0,0.082674
673.0,0.082737
674.0,0.082814
675.0,0.082897
676.0,0.082988
677.0,0.083081
678.0,0.083133
679.0,0.08318199999999999
680.0,0.08323499999999999
681.0,0.08329
682.0,0.083343
683.0,0.083409
684.0,0.08348499999999999
685.0,0.083546
686.0,0.08361700000000001
687.0,0.083681
688.0,0.08372500000000001
689.0,0.083762
690.0,0.08380599999999999
691.0,0.083852
692.0,0.083895
693.0,0.08396
694.0,0.084015
695.0,0.08407099999999999
696.0,0.084151
697.0,0.084224
698.0,0.08429700000000001
699.0,0.084352
700.0,0.084363
701.0,0.08440099999999999
702.0,0.084456
703.0,0.084513
704.0,0.084544
705.0,0.08461
706.0,0.084689
707.0,0.084755
708.0,0.08479900000000001
709.0,0.08481999999999999
710.0,0.08483700000000001
711.0,0.084865
712.0,0.08491
713.0,0.084997
714.0,0.08509800000000001
715.0,0.08517799999999999
716.0,0.085236
717.0,0.08526500000000001
718.0,0.085296
719.0,0.085357
720.0,0.085407
721.0,0.085466
722.0,0.085521
723.0,0.085557
724.0,0.085588
725.0,0.085623
726.0,0.085671
727.0,0.085739
728.0,0.08581699999999999
729.0,0.085913
730.0,0.08600400000000001
731.0,0.086067
732.0,0.086104
733.0,0.086169
734.0,0.086237
735.0,0.086296
736.0,0.086403
737.0,0.086502
738.0,0.086579
739.0,0.08664300000000001
740.0,0.086734
741.0,0.086813
742.0,0.08690400000000001
743.0,0.087005
744.0,0.087081
745.0,0.087188
746.0,0.08727700000000001
747.0,0.087332
748.0,0.087368
749.0,0.087393
750.0,0.087402
751.0,0.08742000000000001
752.0,0.087467
753.0,0.087482
754.0,0.08749599999999999
755.0,0.08753899999999999
756.0,0.087625
757.0,0.087719
758.0,0.087759
759.0,0.087826
760.0,0.08793699999999999
761.0,0.088047
762.0,0.08813900000000001
763.0,0.088191
764.0,0.088246
765.0,0.08835699999999999
766.0,0.088431
767.0,0.088516
768.0,0.088568
769.0,0.08859199999999999
770.0,0.08865500000000001
771.0,0.088741
772.0,0.08882
773.0,0.088886
774.0,0.08894
775.0,0.088973
776.0,0.089078
777.0,0.08919700000000001
778.0,0.089296
779.0,0.08937200000000001
780.0,0.08940899999999999
781.0,0.08951
782.0,0.08963900000000001
783.0,0.08975300000000001
784.0,0.089848
785.0,0.08987099999999999
786.0,0.089893
787.0,0.089921
788.0,0.089953
789.0,0.09004300000000001
790.0,0.09010199999999999
791.0,0.090194
792.0,0.09031399999999999
793.0,0.090403
794.0,0.090518
795.0,0.09058
796.0,0.09061999999999999
797.0,0.090662
798.0,0.090711
799.0,0.090726
800.0,0.090792
801.0,0.090884
802.0,0.090971
803.0,0.091033
804.0,0.09112500000000001
805.0,0.091176
806.0,0.09124499999999999
807.0,0.091357
808.0,0.091478
809.0,0.091541
810.0,0.091594
811.0,0.091634
812.0,0.091662
813.0,0.091697
814.0,0.091801
815.0,0.09193
816.0,0.092012
817.0,0.092068
818.0,0.092122
819.0,0.092173
820.0,0.092201
821.0,0.092249
822.0,0.09231500000000001
823.0,0.092368
824.0,0.092374
825.0,0.092387
826.0,0.09240399999999999
827.0,0.09242800000000001
828.0,0.092441
829.0,0.09245900000000001
830.0,0.092532
831.0,0.09254899999999999
832.0,0.09258
833.0,0.09264099999999999
834.0,0.092705
835.0,0.09272399999999999
836.0,0.092673
837.0,0.092731
838.0,0.09270300000000001
839.0,0.092693
840.0,0.09272999999999999
841.0,0.09277799999999999
842.0,0.0928
843.0,0.09291600000000001
844.0,0.09300599999999999
845.0,0.093073
846.0,0.093124
847.0,0.093149
848.0,0.09314700000000001
849.0,0.093194
850.0,0.09326599999999999
851.0,0.093264
852.0,0.093269
853.0,0.093316
854.0,0.093371
855.0,0.093369
856.0,0.093384
857.0,0.09346600000000001
858.0,0.093483
859.0,0.093459
860.0,0.09345200000000001
861.0,0.09348100000000001
862.0,0.093524
863.0,0.093525
864.0,0.09358000000000001
865.0,0.093538
866.0,0.09347899999999999
867.0,0.093461
868.0,0.093484
869.0,0.09351599999999999
870.0,0.093453
871.0,0.093443
872.0,0.09339
873.0,0.093432
874.0,0.093488
875.0,0.093513
876.0,0.09356099999999999
877.0,0.093662
878.0,0.093682
879.0,0.09372299999999999
880.0,0.093701
881.0,0.093689
882.0,0.09380100000000001
883.0,0.09387499999999999
884.0,0.093868
885.0,0.093895
886.0,0.093856
887.0,0.09379799999999999
888.0,0.093741
889.0,0.09366
890.0,0.093675
891.0,0.093656
892.0,0.093644
893.0,0.093666
894.0,0.09367
895.0,0.093712
896.0,0.093848
897.0,0.09383599999999999
898.0,0.093871
899.0,0.093919
900.0,0.093927
901.0,0.09395300000000001
902.0,0.09389099999999999
903.0,0.093892
904.0,0.09393800000000001
905.0,0.09392099999999999
906.0,0.094041
907.0,0.09414099999999999
908.0,0.09417199999999999
909.0,0.094119
910.0,0.094218
911.0,0.094198
912.0,0.094199
913.0,0.094221
914.0,0.094277
915.0,0.094228
916.0,0.094155
917.0,0.094081
918.0,0.094095
919.0,0.094178
920.0,0.09415
921.0,0.094232
922.0,0.094237
923.0,0.09428800000000001
924.0,0.09441700000000001
925.0,0.094362
926.0,0.09445
927.0,0.09443099999999999
928.0,0.09445600000000001
929.0,0.09455399999999999
930.0,0.094582
931.0,0.094595
932.0,0.094735
933.0,0.094756
934.0,0.094794
935.0,0.09482499999999999
936.0,0.09482499999999999
937.0,0.09471
938.0,0.09470700000000001
939.0,0.09477000000000001
940.0,0.09483000000000001
941.0,0.095
942.0,0.095039
943.0,0.095044
944.0,0.095132
945.0,0.095094
946.0,0.095053
947.0,0.09504699999999999
948.0,0.094941
949.0,0.094909
950.0,0.094955
951.0,0.095058
952.0,0.095111
953.0,0.095046
954.0,0.094959
955.0,0.094916
956.0,0.09498200000000001
957.0,0.095111
958.0,0.095063
959.0,0.095168
960.0,0.09535600000000001
961.0,0.095334
962.0,0.095438
963.0,0.09551899999999999
964.0,0.095582
965.0,0.095595
966.0,0.095566
967.0,0.095512
968.0,0.095589
969.0,0.095656
970.0,0.095638
971.0,0.095693
972.0,0.09568099999999999
973.0,0.095632
974.0,0.095752
975.0,0.095667
976.0,0.095758
977.0,0.09554
978.0,0.095702
979.0,0.09571500000000001
980.0,0.095671
981.0,0.09567500000000001
982.0,0.095749
983.0,0.095872
984.0,0.095997
985.0,0.096123
986.0,0.096251
987.0,0.09638
988.0,0.09651
989.0,0.09664199999999999
990.0,0.096775
991.0,0.096909
992.0,0.09704499999999999
993.0,0.097181
994.0,0.09731999999999999
995.0,0.09740700000000001
996.0,0.097416
997.0,0.097425
998.0,0.09743399999999999
999.0,0.097443
1000.0,0.09745200000000001
1001.0,0.097461
1002.0,0.097471
1003.0,0.09748
1004.0,0.09749000000000001
1005.0,0.097498
1006.0,0.09750500000000001
1007.0,0.09751099999999999
1008.0,0.09751599999999999
1009.0,0.09752000000000001
1010.0,0.09752100000000001
1011.0,0.097518
1012.0,0.097518
1013.0,0.09752599999999999
1014.0,0.097546
1015.0,0.09757400000000001
1016.0,0.097607
1017.0,0.09763999999999999
1018.0,0.097682
1019.0,0.097731
1020.0,0.09777
1021.0,0.097781
1022.0,0.097749
1023.0,0.09768700000000001
1024.0,0.097621
1025.0,0.09757300000000001
1026.0,0.097539
1027.0,0.097512
1028.0,0.09750199999999999
1029.0,0.097519
1030.0,0.097577
1031.0,0.09766400000000001
1032.0,0.09775299999999999
1033.0,0.09782
1034.0,0.097871
1035.0,0.097912
1036.0,0.097942
1037.0,0.09796099999999999
1038.0,0.09796200000000001
1039.0,0.097951
1040.0,0.097937
