Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
1686.0,0.8976458072662353,0.8186579942703247,0.9053326845169067,0.7366314053535461,0.46909667253494264,0.5075778245925904,0.8751898407936096,0.4312644064426422,0.24445919692516327,0.3892895996570587,0.7117247999999999,0.8318819999694824,0.3330755889415741,0.4554178059101105,0.9300421953201294,0.63235422372818,0.5659065961837768,0.715052,0.5305623888969422,0.6405136108398437,0.519126009941101,0.8582694054,0.668245816230774,0.7454504013061524,0.8418413639068604,0.8846926093101501,0.8782584071159363,0.4100441873073578,0.8276250720024109
1687.0,0.8976186037063598,0.8183209896087646,0.9051117897033691,0.7365527987480164,0.46894999742507937,0.5090685844421386,0.8743494749069214,0.4311038076877594,0.24358239769935608,0.38961719870567324,0.7121516,0.8324745893478394,0.33302019238471986,0.45555760264396666,0.9296144008636474,0.6322824239730835,0.5664999723434448,0.714974,0.5304637908935547,0.6403342127799988,0.5193180084228516,0.8584878088,0.6688761591911316,0.7447838068008423,0.8414819717407227,0.884609043598175,0.878095805644989,0.4099543869495392,0.8272801160812377
1688.0,0.8975914001464844,0.8179839849472046,0.9048908948898315,0.7364741921424866,0.46880332231521604,0.510559344291687,0.8735091090202332,0.4309432089328766,0.2427055984735489,0.3899447977542877,0.7125784,0.8330671787261963,0.3329647958278656,0.4556973993778229,0.9291866064071655,0.632210624217987,0.5670933485031128,0.7148960000000001,0.5303651928901673,0.6401548147201538,0.519510006904602,0.8587062122,0.6695065021514892,0.7441172122955322,0.8411225795745849,0.8845254778862,0.8779332041740417,0.4098645865917206,0.8269351601600647
1689.0,0.8975641965866089,0.8176469802856445,0.904670000076294,0.7363955855369568,0.46865664720535277,0.5120501041412353,0.8726687431335449,0.4307826101779938,0.2418287992477417,0.3902723968029022,0.7130052,0.8336597681045532,0.3329093992710114,0.45583719611167905,0.9287588119506835,0.6321388244628906,0.5676867246627808,0.7148180000000001,0.5302665948867797,0.6399754166603089,0.5197020053863526,0.8589246156,0.6701368451118469,0.7434506177902221,0.8407631874084472,0.8844419121742249,0.8777706027030945,0.40977478623390196,0.8265902042388916
1690.0,0.8975369930267334,0.8173099756240845,0.9044491052627563,0.736316978931427,0.4685099720954895,0.5135408639907837,0.8718283772468567,0.43062201142311096,0.2409520000219345,0.3905999958515167,0.713432,0.8342523574829102,0.3328540027141571,0.4559769928455353,0.9283310174942017,0.6320670247077942,0.5682801008224487,0.71474,0.5301679968833923,0.6397960186004639,0.519894003868103,0.859143019,0.6707671880722046,0.7427840232849121,0.8404037952423096,0.8843583464622498,0.8776080012321472,0.4096849858760834,0.8262452483177185
1691.0,0.8974829912185669,0.8171289801597595,0.9045764327049255,0.7363127827644348,0.4683129727840424,0.5146963596343994,0.8714738965034485,0.43069360852241517,0.24039919972419738,0.3910455942153931,0.7139336,0.8346672296524048,0.3329412043094635,0.45617019534111025,0.9287460088729859,0.6325372219085693,0.5685734868049621,0.7146060000000001,0.5303679943084717,0.6400122165679931,0.5198224067687989,0.85879581,0.6714548945426941,0.7420600175857544,0.8397948384284973,0.8828898072242737,0.8777503967285156,0.4096289873123169,0.8260229349136352
1692.0,0.8974289894104004,0.8169479846954346,0.9047037601470947,0.7363085865974426,0.4681159734725952,0.5158518552780151,0.8711194157600403,0.4307652056217194,0.23984639942646027,0.3914911925792694,0.7144351999999999,0.8350821018218995,0.3330284059047699,0.45636339783668517,0.9291610002517701,0.6330074191093444,0.5688668727874756,0.714472,0.5305679917335511,0.6402284145355225,0.5197508096694946,0.858448601,0.6721426010131836,0.7413360118865967,0.8391858816146851,0.8814212679862976,0.877892792224884,0.4095729887485504,0.825800621509552
1693.0,0.8973749876022339,0.8167669892311096,0.9048310875892639,0.7363043904304505,0.4679189741611481,0.5170073509216309,0.8707649350166321,0.43083680272102354,0.23929359912872314,0.39193679094314576,0.7149368,0.835496973991394,0.3331156075000763,0.45655660033226014,0.9295759916305542,0.6334776163101197,0.569160258769989,0.714338,0.5307679891586303,0.6404446125030517,0.5196792125701905,0.858101392,0.6728303074836731,0.7406120061874389,0.8385769248008728,0.8799527287483215,0.8780351877212524,0.40951699018478394,0.8255783081054687
1694.0,0.8973209857940674,0.8165859937667846,0.9049584150314331,0.7363001942634583,0.4677219748497009,0.5181628465652466,0.8704104542732238,0.43090839982032775,0.23874079883098603,0.3923823893070221,0.7154384,0.8359118461608886,0.3332028090953827,0.45674980282783506,0.9299909830093384,0.6339478135108948,0.5694536447525025,0.714204,0.5309679865837097,0.6406608104705811,0.5196076154708862,0.857754183,0.6735180139541626,0.7398880004882813,0.8379679679870605,0.8784841895103455,0.8781775832176208,0.40946099162101746,0.8253559947013855
1695.0,0.8972669839859009,0.8164049983024597,0.9050857424736023,0.7362959980964661,0.4675249755382538,0.5193183422088623,0.8700559735298157,0.43097999691963196,0.2381879985332489,0.39282798767089844,0.71594,0.8363267183303833,0.3332900106906891,0.45694300532341003,0.9304059743881226,0.6344180107116699,0.5697470307350159,0.71407,0.5311679840087891,0.6408770084381104,0.519536018371582,0.857406974,0.6742057204246521,0.7391639947891235,0.8373590111732483,0.8770156502723694,0.8783199787139893,0.409404993057251,0.8251336812973022
1696.0,0.8980977892875671,0.8164531946182251,0.9054452180862427,0.7363181948661804,0.467361307144165,0.5202503681182862,0.870025384426117,0.43104139566421507,0.23761339783668517,0.3931437909603119,0.7162402,0.8366231322288513,0.33340001106262207,0.457598602771759,0.9302973747253418,0.6345476031303405,0.5698404431343078,0.714132,0.531378984451294,0.6408210039138794,0.5198092103004456,0.8571055772,0.6749316811561584,0.738973593711853,0.83658367395401,0.8758231163024902,0.8785427808761597,0.4094023942947388,0.8248332977294922
