Data ID,Forsterite LASC02
Sample ID,LASC02
Mineral Name,forsterite
Sample Description,
Date Added,
Viewing Geometry,
Other Information,
Grain Size,
Database of Origin,MICA Files (USGS/RELAB)
Wavelength,Response
1910.0,0.749276
1915.0,0.746666
1920.0,0.747078
1925.0,0.749288
1930.0,0.748348
1935.0,0.747487
1940.0,0.747475
1945.0,0.748871
1950.0,0.748353
1955.0,0.748313
1960.0,0.74842
1965.0,0.749277
1970.0,0.748918
1975.0,0.74931
1980.0,0.74999
1985.0,0.751509
1990.0,0.751507
1995.0,0.75166
2000.0,0.750591
2005.0,0.751247
2009.9999999999998,0.751873
2015.0000000000002,0.752792
2020.0,0.752655
2025.0,0.752803
2029.9999999999998,0.752135
2035.0000000000002,0.753615
2040.0,0.753806
2045.0,0.753974
2050.0,0.753622
2055.0,0.753716
2060.0,0.753767
2065.0,0.75426
2070.0,0.755072
2075.0,0.7552
2080.0,0.754491
2085.0,0.755117
2090.0,0.75615
2095.0,0.756158
2100.0,0.756351
2105.0,0.756585
2110.0,0.75729
2115.0,0.757585
2120.0,0.75768
2125.0,0.757019
2130.0,0.757901
2135.0,0.758073
2140.0,0.758279
2145.0,0.757952
2150.0,0.757396
2155.0,0.758184
2160.0,0.758045
2165.0,0.757098
2170.0,0.755972
2175.0,0.755896
2180.0,0.755842
2185.0,0.756824
2190.0,0.757031
2195.0,0.756902
2200.0,0.757058
2205.0,0.756485
2210.0,0.757941
2215.0,0.757304
2220.0,0.757271
2225.0,0.757635
2230.0,0.758791
2235.0,0.757778
2240.0,0.758028
2245.0,0.757013
2250.0,0.758465
2255.0,0.758176
2260.0,0.758482
2265.0,0.759075
2270.0,0.759535
2275.0,0.759766
2280.0,0.759866
2285.0,0.760086
2290.0,0.759742
2295.0,0.759984
2300.0,0.761612
2305.0,0.761766
2310.0,0.762455
2315.0,0.761242
2320.0,0.761624
2325.0,0.761922
2330.0,0.761608
2335.0,0.762879
2340.0,0.761752
2345.0,0.762364
2350.0,0.761767
2355.0,0.76165
2360.0,0.762186
2365.0,0.761666
2370.0,0.762115
2375.0,0.76186
2380.0,0.762312
2385.0,0.762511
2390.0,0.761509
2395.0,0.762155
2400.0,0.763963
2405.0,0.761721
2410.0,0.762711
2415.0,0.762352
2420.0,0.761839
2425.0,0.763946
2430.0,0.764152
2435.0,0.762957
2440.0,0.762688
2445.0,0.761609
2450.0,0.761221
2455.0,0.762484
2460.0,0.762029
2465.0,0.760401
2470.0,0.760022
2475.0,0.759719
2480.0,0.761921
2485.0,0.760329
2490.0,0.760035
2495.0,0.758931
2500.0,0.759391
2505.0,0.757965
2510.0,0.757758
2515.0,0.757184
2520.0,0.756804
2525.0,0.758029
2530.0,0.756742
2531.32,0.755944
2532.55,0.755412
2533.7900000000004,0.755994
2535.0299999999997,0.756195
2536.27,0.755888
2537.51,0.756387
2538.75,0.756406
2540.0,0.756152
2541.2400000000002,0.756193
2542.49,0.756097
2543.7400000000002,0.756007
2544.99,0.756468
2546.2400000000002,0.756231
2547.49,0.756266
2548.74,0.756657
2549.9900000000002,0.756909
2551.25,0.756619
2552.5,0.756483
2553.76,0.756404
2555.02,0.757104
2556.28,0.757522
2557.54,0.757511
2558.8,0.757515
2560.07,0.757519
2561.33,0.756952
2562.6000000000004,0.757471
2563.86,0.757871
2565.13,0.758011
2566.3999999999996,0.758461
2567.67,0.758885
2568.9500000000003,0.758311
2570.22,0.758745
2571.5,0.760004
2572.77,0.75931
2574.05,0.758429
2575.33,0.760449
2576.61,0.760233
2577.89,0.760075
2579.17,0.761109
2580.46,0.760923
2581.74,0.760448
2583.0299999999997,0.761221
2584.31,0.760833
2585.6,0.762491
2586.89,0.762928
2588.19,0.762545
2589.48,0.763091
2590.77,0.76346
2592.07,0.76376
2593.36,0.763328
2594.6600000000003,0.761398
2595.96,0.763492
2597.2599999999998,0.767727
2598.56,0.7683
2599.8700000000003,0.767513
2601.17,0.767044
2602.48,0.767153
2603.78,0.767964
2605.09,0.767113
2606.3999999999996,0.767555
2607.71,0.769556
2609.03,0.770237
2610.3399999999997,0.77015
2611.6600000000003,0.770584
2612.97,0.771093
2614.29,0.771745
2615.61,0.772089
2616.93,0.771267
2618.25,0.772974
2619.57,0.773666
2620.8999999999996,0.772553
2622.22,0.774677
2623.5499999999997,0.775228
2624.88,0.77541
2626.21,0.775069
2627.5400000000004,0.775225
2628.87,0.776773
2630.21,0.776211
2631.5400000000004,0.777019
2632.88,0.778987
2634.21,0.777958
2635.5499999999997,0.777838
2636.8900000000003,0.778113
2638.2400000000002,0.778711
2639.58,0.779142
2640.92,0.779571
2642.27,0.779536
2643.62,0.779945
2644.97,0.780433
2646.3199999999997,0.780799
2647.67,0.781703
2649.02,0.782252
2650.38,0.782225
2651.73,0.781812
2653.09,0.781774
2654.4500000000003,0.782445
2655.81,0.782754
2657.1699999999996,0.783668
2658.5299999999997,0.783275
2659.89,0.782713
2661.2599999999998,0.783955
2662.63,0.785145
2664.0,0.784888
2665.36,0.783953
2666.74,0.784531
2668.11,0.786041
2669.48,0.786052
2670.8599999999997,0.78413
2672.23,0.787125
2673.61,0.788344
2674.9900000000002,0.787121
2676.37,0.785907
2677.76,0.78654
2679.14,0.787185
2680.52,0.787746
2681.91,0.788217
2683.3,0.787488
2684.6899999999996,0.787261
2686.08,0.787379
2687.47,0.787585
2688.87,0.787742
2690.2599999999998,0.787624
2691.6600000000003,0.78717
2693.06,0.786365
2694.46,0.785555
2695.86,0.786532
2697.26,0.787004
2698.66,0.786456
2700.07,0.785513
2701.48,0.784367
2702.89,0.784259
2704.2999999999997,0.784843
2705.71,0.783885
2707.1200000000003,0.783027
2708.53,0.782102
2709.9500000000003,0.781785
2711.37,0.781539
2712.79,0.782775
2714.21,0.782713
2715.63,0.782109
2717.05,0.781907
2718.48,0.781499
2719.9,0.780029
2721.33,0.77955
2722.76,0.781747
2724.19,0.780179
