Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
2175.0,0.30946800112724304,0.3725210130214691,0.43614301085472107,0.755896,0.821883499622345,0.3356339931488037,0.2799129784107208,0.6264771223068237,0.6065402626991272,0.7453600168228149,0.24603800475597382,0.7189348340034485,0.48718199133872986,0.5927190184593201,0.6534799933433533,0.43810001015663147,0.62821,0.504518985748291,0.5723810195922852,0.5113173723220825,0.697830021,0.5377776026725769,0.8667600154876709,0.710053026676178,0.9066386818885803,0.7116050124168396,0.32970115542411804,0.6429798007011414,0.699177086353302
2176.0,0.309264600276947,0.37340341210365297,0.43626040816307066,0.7558852,0.8213049292564392,0.3356805920600891,0.2782508969306946,0.6257295846939087,0.6058849453926086,0.7446750164031982,0.24864540100097657,0.7191725969314575,0.4870491921901703,0.5927106142044067,0.652664589881897,0.4348664522171021,0.628236,0.5040939927101136,0.5705692172050476,0.5109170198440551,0.6983974216000001,0.5400742888450623,0.8667374134063721,0.7100744247436523,0.9065794825553894,0.7112884044647216,0.32821049690246584,0.6422034859657287,0.6988300204277038
2177.0,0.309061199426651,0.3742858111858368,0.4363778054714203,0.7558744000000001,0.8207263588905335,0.3357271909713745,0.2765888154506683,0.6249820470809937,0.60522962808609,0.7439900159835815,0.2512527972459793,0.7194103598594666,0.4869163930416107,0.5927022099494934,0.6518491864204407,0.4316328942775726,0.628262,0.503668999671936,0.5687574148178101,0.5105166673660279,0.6989648222,0.5423709750175476,0.8667148113250732,0.7100958228111267,0.9065202832221985,0.7109717965126038,0.3267198383808136,0.6414271712303161,0.6984829545021057
2178.0,0.308857798576355,0.3751682102680206,0.4364952027797699,0.7558636,0.8201477885246277,0.33577378988265993,0.2749267339706421,0.6242345094680786,0.6045743107795716,0.7433050155639649,0.25386019349098204,0.7196481227874756,0.48678359389305115,0.5926938056945801,0.6510337829589844,0.4283993363380432,0.6282880000000001,0.5032440066337586,0.5669456124305725,0.5101163148880005,0.6995322228,0.544667661190033,0.8666922092437744,0.7101172208786011,0.9064610838890076,0.7106551885604858,0.3252291798591614,0.6406508564949036,0.6981358885765075
2179.0,0.30865439772605896,0.37605060935020446,0.43661260008811953,0.7558528,0.819569218158722,0.3358203887939453,0.2732646524906158,0.6234869718551636,0.603918993473053,0.7426200151443482,0.2564675897359848,0.7198858857154846,0.4866507947444916,0.5926854014396667,0.650218379497528,0.42516577839851377,0.628314,0.502819013595581,0.565133810043335,0.5097159624099732,0.7000996234,0.5469643473625183,0.8666696071624755,0.7101386189460754,0.9064018845558166,0.710338580608368,0.32373852133750913,0.639874541759491,0.6977888226509095
2180.0,0.30845099687576294,0.3769330084323883,0.4367299973964691,0.755842,0.8189906477928162,0.3358669877052307,0.2716025710105896,0.6227394342422485,0.6032636761665344,0.7419350147247314,0.25907498598098755,0.7201236486434937,0.486517995595932,0.5926769971847534,0.6494029760360718,0.4219322204589844,0.62834,0.5023940205574036,0.5633220076560974,0.5093156099319458,0.700667024,0.5492610335350037,0.8666470050811768,0.7101600170135498,0.9063426852226257,0.71002197265625,0.32224786281585693,0.6390982270240784,0.6974417567253113
2181.0,0.30812439918518064,0.37817280888557436,0.4368047952651978,0.7560384,0.8184121131896973,0.3358743906021118,0.27276493310928346,0.6219919323921204,0.6030326247215271,0.7409468173980713,0.26097518801689146,0.720348572731018,0.48622379899024964,0.5924163937568665,0.6477711796760559,0.41869881749153137,0.62812,0.5024470210075378,0.5613304018974304,0.5090061068534851,0.7009752158,0.5515576124191284,0.8666498064994812,0.7100698113441467,0.9062834858894349,0.7097361803054809,0.3208289921283722,0.6383219599723816,0.6970947027206421
2182.0,0.3077978014945984,0.37941260933876036,0.4368795931339264,0.7562348,0.8178335785865783,0.33588179349899294,0.2739272952079773,0.6212444305419922,0.6028015732765197,0.7399586200714111,0.2628753900527954,0.7205734968185424,0.4859296023845673,0.5921557903289795,0.64613938331604,0.41546541452407837,0.6279,0.5025000214576721,0.5593387961387635,0.5086966037750245,0.7012834076,0.5538541913032532,0.8666526079177856,0.7099796056747436,0.9062242865562439,0.7094503879547119,0.31941012144088743,0.6375456929206849,0.696747648715973
2183.0,0.3074712038040161,0.3806524097919464,0.43695439100265504,0.7564312000000001,0.8172550439834595,0.335889196395874,0.2750896573066711,0.620496928691864,0.6025705218315125,0.738970422744751,0.26477559208869933,0.7207984209060669,0.48563540577888487,0.5918951869010926,0.6445075869560242,0.41223201155662537,0.62768,0.5025530219078064,0.5573471903800964,0.5083871006965637,0.7015915994,0.5561507701873779,0.8666554093360901,0.7098894000053406,0.906165087223053,0.7091645956039428,0.31799125075340273,0.636769425868988,0.6964005947113037
2184.0,0.30714460611343386,0.3818922102451324,0.43702918887138364,0.7566276000000001,0.8166765093803405,0.3358965992927551,0.276252019405365,0.6197494268417358,0.6023394703865051,0.7379822254180908,0.2666757941246033,0.7210233449935913,0.4853412091732025,0.5916345834732055,0.6428757905960083,0.40899860858917236,0.62746,0.5026060223579407,0.5553555846214294,0.508077597618103,0.7018997912,0.5584473490715027,0.8666582107543945,0.7097991943359375,0.906105887889862,0.7088788032531739,0.316572380065918,0.6359931588172912,0.6960535407066345
2185.0,0.30681800842285156,0.3831320106983185,0.4371039867401123,0.756824,0.8160979747772217,0.33590400218963623,0.27741438150405884,0.6190019249916077,0.6021084189414978,0.7369940280914307,0.2685759961605072,0.7212482690811157,0.48504701256752014,0.5913739800453186,0.6412439942359924,0.40576520562171936,0.62724,0.502659022808075,0.5533639788627625,0.5077680945396423,0.702207983,0.5607439279556274,0.866661012172699,0.7097089886665344,0.9060466885566711,0.7085930109024048,0.3151535093784332,0.6352168917655945,0.6957064867019653
2186.0,0.3066110074520111,0.38416720628738404,0.4370633900165558,0.7568654,0.8159142136573792,0.3360509991645813,0.2828640937805176,0.6183168530464173,0.6017933487892151,0.7359556198120117,0.27010599970817567,0.7214596271514893,0.4851026117801666,0.5904639840126038,0.6399971961975097,0.4006129324436188,0.626968,0.5026316165924072,0.5508533835411071,0.5074691772460938,0.7021163824,0.5612048387527466,0.8664952039718627,0.7094247937202454,0.9060614466667175,0.7082426071166992,0.31389991044998167,0.6342386603355408,0.6957679152488708
2187.0,0.30640400648117067,0.3852024018764496,0.43702279329299926,0.7569068,0.8157304525375366,0.3361979961395264,0.2883138060569763,0.6176317811012269,0.6014782786369324,0.7349172115325928,0.27163600325584414,0.7216709852218628,0.4851582109928131,0.5895539879798889,0.6387503981590271,0.3954606592655182,0.626696,0.5026042103767395,0.5483427882194519,0.5071702599525452,0.7020247817999999,0.5616657495498657,0.8663293957710266,0.7091405987739563,0.9060762047767639,0.7078922033309937,0.31264631152153016,0.6332604289054871,0.6958293437957763
2188.0,0.3061970055103302,0.3862375974655151,0.43698219656944276,0.7569482000000001,0.8155466914176941,0.3363449931144714,0.29376351833343506,0.6169467091560363,0.6011632084846497,0.7338788032531738,0.27316600680351255,0.7218823432922363,0.4852138102054596,0.5886439919471741,0.6375036001205444,0.3903083860874176,0.626424,0.5025768041610718,0.5458321928977966,0.5068713426589966,0.7019331812,0.5621266603469849,0.8661635875701904,0.7088564038276672,0.9060909628868103,0.7075417995452881,0.3113927125930786,0.6322821974754333,0.6958907723426819
2189.0,0.30599000453948977,0.3872727930545807,0.4369415998458862,0.7569896,0.8153629302978516,0.3364919900894165,0.2992132306098938,0.6162616372108459,0.6008481383323669,0.7328403949737549,0.274696010351181,0.7220937013626099,0.4852694094181061,0.5877339959144592,0.6362568020820618,0.385156112909317,0.626152,0.5025493979454041,0.5433215975761414,0.506572425365448,0.7018415806,0.562587571144104,0.8659977793693543,0.7085722088813782,0.9061057209968567,0.7071913957595826,0.3101391136646271,0.6313039660453796,0.6959522008895874
2190.0,0.3057830035686493,0.38830798864364624,0.4369010031223297,0.757031,0.815179169178009,0.3366389870643616,0.30466294288635254,0.6155765652656555,0.6005330681800842,0.7318019866943359,0.2762260138988495,0.7223050594329834,0.48532500863075256,0.5868239998817444,0.6350100040435791,0.38000383973121643,0.62588,0.5025219917297363,0.5408110022544861,0.5062735080718994,0.70174998,0.5630484819412231,0.8658319711685181,0.7082880139350891,0.9061204791069031,0.706840991973877,0.30888551473617554,0.6303257346153259,0.6960136294364929
2191.0,0.30562480092048644,0.3892875909805298,0.4368852019309998,0.7570052,0.8149954199790954,0.33667718768119814,0.30940629839897155,0.614891517162323,0.5999188303947449,0.7305047869682312,0.2774416089057922,0.7224771022796631,0.4850366055965424,0.5848036050796509,0.6332840085029602,0.3748518109321594,0.625602,0.5023115992546081,0.5380939960479736,0.5060595989227294,0.701687586,0.5635093808174133,0.8661011815071106,0.7078848123550415,0.9061352252960205,0.7064191937446594,0.3076911151409149,0.6293475508689881,0.6960750460624695
2192.0,0.3054665982723236,0.39026719331741333,0.4368694007396698,0.7569794,0.8148116707801819,0.33671538829803466,0.31414965391159055,0.6142064690589905,0.5993045926094055,0.7292075872421264,0.27865720391273496,0.7226491451263428,0.48474820256233214,0.5827832102775574,0.6315580129623413,0.3696997821331024,0.625324,0.50210120677948,0.5353769898414612,0.5058456897735596,0.701625192,0.5639702796936035,0.8663703918457031,0.7074816107749939,0.906149971485138,0.7059973955154419,0.3064967155456543,0.6283693671226501,0.6961364626884461
2193.0,0.3053083956241608,0.3912467956542969,0.43685359954833985,0.7569536,0.8146279215812683,0.3367535889148712,0.3188930094242096,0.613521420955658,0.5986903548240662,0.7279103875160218,0.27987279891967776,0.7228211879730224,0.48445979952812196,0.5807628154754638,0.6298320174217225,0.36454775333404543,0.625046,0.5018908143043518,0.5326599836349487,0.5056317806243896,0.701562798,0.5644311785697937,0.8666396021842957,0.7070784091949462,0.9061647176742553,0.7055755972862243,0.3053023159503937,0.6273911833763123,0.6961978793144226
2194.0,0.30515019297599794,0.3922263979911804,0.43683779835700987,0.7569277999999999,0.8144441723823548,0.33679178953170774,0.3236363649368286,0.6128363728523254,0.5980761170387268,0.726613187789917,0.2810883939266205,0.7229932308197021,0.4841713964939117,0.5787424206733703,0.6281060218811035,0.3593957245349884,0.624768,0.5016804218292237,0.5299429774284363,0.5054178714752198,0.7015004039999999,0.5648920774459839,0.8669088125228882,0.7066752076148987,0.9061794638633728,0.7051537990570068,0.30410791635513307,0.6264129996299743,0.6962592959403991
2195.0,0.3049919903278351,0.39320600032806396,0.43682199716567993,0.756902,0.8142604231834412,0.3368299901485443,0.32837972044944763,0.6121513247489929,0.5974618792533875,0.7253159880638123,0.28230398893356323,0.7231652736663818,0.48388299345970154,0.5767220258712769,0.6263800263404846,0.3542436957359314,0.62449,0.5014700293540955,0.5272259712219238,0.5052039623260498,0.70143801,0.5653529763221741,0.8671780228614807,0.7062720060348511,0.9061942100524902,0.7047320008277893,0.30291351675987244,0.6254348158836365,0.6963207125663757
2196.0,0.3049795925617218,0.3942272007465363,0.43683819770812987,0.7569332,0.8141819834709167,0.3368627905845642,0.3359602212905884,0.6115914225578308,0.5968011736869812,0.7239591956138611,0.2831621885299683,0.7232727885246277,0.48336819410324094,0.5745408177375794,0.6246190190315246,0.3496873676776886,0.624074,0.501201617717743,0.5239207744598389,0.5050293564796448,0.7014688135999999,0.5654366612434387,0.8671022176742553,0.705664598941803,0.9057960152626038,0.7036481976509095,0.30168881416320803,0.6238257169723511,0.6964794397354126
2197.0,0.3049671947956085,0.39524840116500853,0.4368543982505798,0.7569644,0.8141035437583923,0.3368955910205841,0.34354072213172915,0.6110315203666687,0.596140468120575,0.7226024031639099,0.2840203881263733,0.7233803033828735,0.4828533947467804,0.5723596096038819,0.6228580117225647,0.3451310396194458,0.623658,0.5009332060813904,0.5206155776977539,0.5048547506332397,0.7014996172,0.5655203461647034,0.86702641248703,0.7050571918487549,0.9053978204727173,0.7025643944740295,0.30046411156654357,0.6222166180610657,0.6966381669044495
2198.0,0.30495479702949524,0.39626960158348085,0.4368705987930298,0.7569956,0.8140251040458679,0.336928391456604,0.35112122297286985,0.6104716181755065,0.5954797625541687,0.7212456107139588,0.2848785877227783,0.7234878182411194,0.4823385953903198,0.5701784014701843,0.6210970044136047,0.340574711561203,0.623242,0.5006647944450379,0.517310380935669,0.5046801447868348,0.7015304207999999,0.565604031085968,0.8669506072998047,0.7044497847557067,0.9049996256828308,0.7014805912971497,0.29923940896987916,0.6206075191497803,0.6967968940734863
2199.0,0.30494239926338196,0.3972908020019531,0.43688679933547975,0.7570268,0.8139466643333435,0.3369611918926239,0.3587017238140106,0.6099117159843445,0.5948190569877625,0.7198888182640075,0.28573678731918334,0.7235953330993652,0.4818237960338593,0.5679971933364868,0.6193359971046448,0.3360183835029602,0.622826,0.5003963828086853,0.514005184173584,0.5045055389404297,0.7015612244,0.5656877160072327,0.8668748021125794,0.7038423776626587,0.9046014308929443,0.7003967881202697,0.2980147063732147,0.6189984202384948,0.6969556212425232
2200.0,0.3049300014972687,0.3983120024204254,0.4369029998779297,0.757058,0.8138682246208191,0.3369939923286438,0.36628222465515137,0.6093518137931824,0.5941583514213562,0.7185320258140564,0.2865949869155884,0.7237028479576111,0.4813089966773987,0.5658159852027893,0.6175749897956848,0.3314620554447174,0.62241,0.5001279711723328,0.510699987411499,0.5043309330940247,0.701592028,0.5657714009284973,0.866798996925354,0.7032349705696106,0.9042032361030579,0.6993129849433899,0.2967900037765503,0.6173893213272095,0.6971143484115601
2201.0,0.3045462012290955,0.399166601896286,0.437006402015686,0.7569434,0.8137897968292236,0.3369857966899872,0.3613184213638306,0.6087919473648071,0.5925440311431884,0.7174812197685242,0.28702878952026367,0.7238147616386413,0.4810285985469818,0.5586013913154602,0.6157325863838196,0.3269059419631958,0.621888,0.5002801775932312,0.5081791877746582,0.5038591861724854,0.7013098238,0.565855085849762,0.866791594028473,0.7026533722877503,0.9038050532341003,0.6980141878128052,0.2955793559551239,0.6157802939414978,0.697273063659668
2202.0,0.30416240096092223,0.4000212013721466,0.43710980415344236,0.7568288,0.8137113690376282,0.33697760105133057,0.3563546180725098,0.6082320809364319,0.5909297108650208,0.716430413722992,0.28746259212493896,0.7239266753196716,0.48074820041656496,0.5513867974281311,0.6138901829719543,0.3223498284816742,0.621366,0.5004323840141296,0.5056583881378174,0.5033874392509461,0.7010276195999999,0.5659387707710266,0.8667841911315918,0.7020717740058899,0.9034068703651428,0.6967153906822204,0.29436870813369753,0.6141712665557861,0.6974317789077759
2203.0,0.30377860069274903,0.4008758008480072,0.43721320629119875,0.7567142,0.8136329412460327,0.33696940541267395,0.35139081478118894,0.6076722145080566,0.589315390586853,0.7153796076774597,0.28789639472961426,0.724038589000702,0.48046780228614805,0.544172203540802,0.6120477795600892,0.3177937150001526,0.6208440000000001,0.5005845904350281,0.5031375885009766,0.5029156923294067,0.7007454154,0.5660224556922913,0.8667767882347107,0.7014901757240295,0.9030086874961853,0.6954165935516358,0.2931580603122711,0.6125622391700745,0.6975904941558838
2204.0,0.3033948004245758,0.4017304003238678,0.4373166084289551,0.7565995999999999,0.8135545134544373,0.33696120977401733,0.34642701148986815,0.6071123480796814,0.5877010703086853,0.7143288016319275,0.28833019733428955,0.7241505026817322,0.4801874041557312,0.536957609653473,0.6102053761482239,0.313237601518631,0.620322,0.5007367968559265,0.5006167888641357,0.5024439454078674,0.7004632112,0.5661061406135559,0.8667693853378295,0.7009085774421692,0.9026105046272278,0.694117796421051,0.2919474124908447,0.6109532117843628,0.6977492094039917
2205.0,0.3030110001564026,0.4025849997997284,0.4374200105667114,0.756485,0.8134760856628418,0.3369530141353607,0.34146320819854736,0.6065524816513062,0.5860867500305176,0.7132779955863953,0.28876399993896484,0.7242624163627625,0.47990700602531433,0.5297430157661438,0.6083629727363586,0.3086814880371094,0.6198,0.500889003276825,0.4980959892272949,0.5019721984863281,0.700181007,0.5661898255348206,0.8667619824409485,0.7003269791603088,0.9022123217582703,0.6928189992904663,0.29073676466941833,0.6093441843986511,0.6979079246520996
2206.0,0.3031153976917267,0.4036692023277283,0.43743600845336916,0.7567762,0.8133603096008301,0.33708041310310366,0.3367390513420105,0.6054563999176026,0.5847231268882751,0.7115911960601806,0.2890429973602295,0.724321472644806,0.4796244025230408,0.5178210139274597,0.6070097804069519,0.3139110028743744,0.619084,0.5002822041511535,0.4981693923473358,0.5015981197357178,0.7002504108,0.5651716709136962,0.8662655830383301,0.6993819832801819,0.9023393034934998,0.6905753970146179,0.28983539938926695,0.6079233527183533,0.6978390336036682
2207.0,0.3032197952270508,0.40475340485572814,0.43745200634002684,0.7570674,0.8132445335388183,0.33720781207084655,0.3320148944854736,0.6043603181838989,0.5833595037460327,0.7099043965339661,0.2893219947814941,0.7243805289268493,0.47934179902076723,0.5058990120887756,0.6056565880775452,0.3191405177116394,0.618368,0.4996754050254822,0.4982427954673767,0.5012240409851074,0.7003198145999999,0.564153516292572,0.8657691836357116,0.6984369874000549,0.9024662852287293,0.6883317947387695,0.2889340341091156,0.6065025210380555,0.6977701425552368
2208.0,0.3033241927623749,0.40583760738372804,0.4374680042266846,0.7573586,0.8131287574768067,0.3373352110385895,0.3272907376289368,0.6032642364501953,0.5819958806037903,0.7082175970077514,0.2896009922027588,0.7244395852088928,0.47905919551849363,0.49397701025009155,0.6043033957481384,0.3243700325489044,0.617652,0.4990686058998108,0.4983161985874176,0.5008499622344971,0.7003892184,0.5631353616714477,0.8652727842330933,0.697491991519928,0.9025932669639587,0.6860881924629212,0.2880326688289642,0.6050816893577575,0.6977012515068054
2209.0,0.303428590297699,0.4069218099117279,0.43748400211334226,0.7576497999999999,0.8130129814147949,0.3374626100063324,0.3225665807723999,0.6021681547164917,0.5806322574615479,0.7065307974815369,0.28987998962402345,0.7244986414909362,0.4787765920162201,0.48205500841140747,0.6029502034187317,0.3295995473861694,0.616936,0.4984618067741394,0.4983896017074585,0.5004758834838867,0.7004586222,0.5621172070503235,0.8647763848304748,0.696546995639801,0.9027202486991882,0.6838445901870728,0.2871313035488129,0.6036608576774597,0.6976323604583741
2210.0,0.30353298783302307,0.4080060124397278,0.4375,0.757941,0.8128972053527832,0.3375900089740753,0.31784242391586304,0.6010720729827881,0.5792686343193054,0.7048439979553223,0.2901589870452881,0.7245576977729797,0.47849398851394653,0.4701330065727234,0.601597011089325,0.33482906222343445,0.61622,0.497855007648468,0.4984630048274994,0.5001018047332764,0.700528026,0.5610990524291992,0.8642799854278564,0.6956019997596741,0.9028472304344177,0.6816009879112244,0.2862299382686615,0.6022400259971619,0.6975634694099426
2211.0,0.3032633900642395,0.4091006100177765,0.43744540214538574,0.7578136,0.8127814292907715,0.3376208066940308,0.32398630380630494,0.5999760389328003,0.5778005599975586,0.7029853940010071,0.29027758836746215,0.7246278882026672,0.4779577910900116,0.47957381010055544,0.600285804271698,0.34005833268165586,0.615308,0.4973422050476074,0.5004526019096375,0.49933401346206663,0.7005572202,0.5600809454917908,0.8644907832145691,0.6948248028755188,0.9029742002487182,0.6783715844154358,0.2858739495277405,0.6008192658424377,0.6974945902824402
2212.0,0.3029937922954559,0.4101952075958252,0.4373908042907715,0.7576862,0.8126656532287597,0.33765160441398623,0.33013018369674685,0.5988800048828125,0.5763324856758117,0.7011267900466919,0.2903961896896362,0.7246980786323547,0.47742159366607667,0.48901461362838744,0.598974597454071,0.34528760313987733,0.6143959999999999,0.49682940244674684,0.5024421989917756,0.49856622219085694,0.7005864144,0.5590628385543823,0.8647015810012817,0.6940476059913635,0.9031011700630188,0.6751421809196472,0.28551796078681946,0.5993985056877136,0.6974257111549378
2213.0,0.3027241945266724,0.4112898051738739,0.4373362064361572,0.7575588,0.8125498771667481,0.33768240213394163,0.3362740635871887,0.5977839708328248,0.574864411354065,0.6992681860923767,0.2905147910118103,0.7247682690620423,0.4768853962421417,0.4984554171562195,0.5976633906364441,0.35051687359809874,0.613484,0.4963165998458862,0.5044317960739135,0.4977984309196472,0.7006156085999999,0.5580447316169739,0.8649123787879944,0.6932704091072083,0.9032281398773193,0.6719127774238587,0.28516197204589844,0.5979777455329895,0.6973568320274353
2214.0,0.30245459675788877,0.4123844027519226,0.43728160858154297,0.7574314,0.8124341011047364,0.3377131998538971,0.3424179434776306,0.5966879367828369,0.5733963370323181,0.6974095821380615,0.2906333923339844,0.7248384594917298,0.4763491988182068,0.5078962206840515,0.5963521838188172,0.3557461440563202,0.612572,0.49580379724502566,0.5064213931560516,0.4970306396484375,0.7006448028,0.5570266246795654,0.865123176574707,0.6924932122230529,0.9033551096916199,0.6686833739280701,0.2848059833049774,0.5965569853782654,0.6972879528999328
2215.0,0.3021849989891052,0.4134790003299713,0.4372270107269287,0.757304,0.8123183250427246,0.33774399757385254,0.3485618233680725,0.5955919027328491,0.5719282627105713,0.6955509781837463,0.29075199365615845,0.7249086499214172,0.47581300139427185,0.5173370242118835,0.5950409770011902,0.3609754145145416,0.61166,0.49529099464416504,0.5084109902381897,0.4962628483772278,0.700673997,0.556008517742157,0.8653339743614197,0.6917160153388977,0.9034820795059204,0.6654539704322815,0.2844499945640564,0.5951362252235413,0.6972190737724304
2216.0,0.3020402014255524,0.4145262002944946,0.4371666073799133,0.7572974,0.8120166897773743,0.3378081977367401,0.36184281706809995,0.5950662732124329,0.5712109804153442,0.6939817786216735,0.29091039299964905,0.7248668789863586,0.47510340213775637,0.5371468186378479,0.594450581073761,0.3681460916996002,0.610702,0.4950551986694336,0.5115521907806396,0.4952446937561035,0.7002463934,0.5505034923553467,0.8652627825736999,0.6904802083969116,0.9036125898361206,0.6619509816169739,0.28438243865966795,0.5919598937034607,0.6966961622238159
2217.0,0.30189540386199953,0.41557340025901796,0.43710620403289796,0.7572908,0.811715054512024,0.3378723978996277,0.37512381076812745,0.5945406436920166,0.5704936981201172,0.6924125790596009,0.29106879234313965,0.7248251080513001,0.47439380288124083,0.5569566130638123,0.5938601851463318,0.3753167688846588,0.609744,0.49481940269470215,0.5146933913230896,0.49422653913497927,0.6998187898,0.5449984669685364,0.8651915907859802,0.6892444014549255,0.9037431001663208,0.6584479928016662,0.28431488275527955,0.5887835621833801,0.6961732506752014
2218.0,0.30175060629844663,0.41662060022354125,0.43704580068588256,0.7572842,0.8114134192466735,0.33793659806251525,0.3884048044681549,0.5940150141716003,0.5697764158248901,0.690843379497528,0.29122719168663025,0.7247833371162414,0.47368420362472535,0.5767664074897766,0.5932697892189026,0.3824874460697174,0.608786,0.4945836067199707,0.5178345918655396,0.49320838451385496,0.6993911862,0.5394934415817261,0.8651203989982605,0.6880085945129395,0.903873610496521,0.6549450039863587,0.2842473268508911,0.5856072306632996,0.6956503391265869
2219.0,0.3016058087348938,0.4176678001880646,0.4369853973388672,0.7572776,0.8111117839813232,0.33800079822540285,0.4016857981681824,0.5934893846511841,0.5690591335296631,0.6892741799354554,0.29138559103012085,0.7247415661811829,0.4729746043682098,0.596576201915741,0.5926793932914733,0.389658123254776,0.607828,0.49434781074523926,0.5209757924079895,0.4921902298927307,0.6989635826,0.5339884161949158,0.8650492072105408,0.6867727875709534,0.9040041208267212,0.651442015171051,0.2841797709465027,0.582430899143219,0.6951274275779724
2220.0,0.30146101117134094,0.4187150001525879,0.4369249939918518,0.757271,0.8108101487159729,0.3380649983882904,0.41496679186820984,0.5929637551307678,0.568341851234436,0.6877049803733826,0.29154399037361145,0.7246997952461243,0.47226500511169434,0.6163859963417053,0.5920889973640442,0.3968288004398346,0.60687,0.4941120147705078,0.5241169929504395,0.49117207527160645,0.698535979,0.5284833908081055,0.864978015422821,0.6855369806289673,0.9041346311569214,0.6479390263557434,0.28411221504211426,0.5792545676231384,0.6946045160293579
2221.0,0.3013700067996979,0.41958960294723513,0.43706939816474916,0.7573438,0.8105085372924805,0.33805999755859373,0.426194953918457,0.5924381494522095,0.5692990183830261,0.6858729839324951,0.2918113946914673,0.724637258052826,0.4711746037006378,0.6261107921600342,0.592127001285553,0.40399913787841796,0.605376,0.4934092104434967,0.5267871975898742,0.4901436507701874,0.69781698,0.5229786276817322,0.8645854115486145,0.6842805862426757,0.9042651414871216,0.6452436208724975,0.2842457711696625,0.5760783910751343,0.6940816283226013
2222.0,0.30127900242805483,0.4204642057418823,0.4372138023376465,0.7574166,0.810206925868988,0.3380549967288971,0.4374231159687042,0.5919125437736511,0.5702561855316162,0.6840409874916077,0.2920787990093231,0.7245747208595276,0.4700842022895813,0.635835587978363,0.5921650052070617,0.4111694753170013,0.603882,0.4927064061164856,0.529457402229309,0.4891152262687683,0.697097981,0.5174738645553589,0.864192807674408,0.6830241918563843,0.9043956518173217,0.6425482153892517,0.2843793272972107,0.5729022145271301,0.6935587406158448
2223.0,0.3011879980564117,0.42133880853652955,0.4373582065105438,0.7574894,0.8099053144454956,0.33804999589920043,0.44865127801895144,0.5913869380950928,0.5712133526802063,0.6822089910507202,0.292346203327179,0.7245121836662293,0.46899380087852477,0.6455603837966919,0.5922030091285706,0.41833981275558474,0.602388,0.4920036017894745,0.5321276068687439,0.48808680176734925,0.696378982,0.5119691014289856,0.8638002038002014,0.6817677974700928,0.904526162147522,0.6398528099060059,0.2845128834247589,0.569726037979126,0.6930358529090881
2224.0,0.30109699368476867,0.42221341133117674,0.43750261068344115,0.7575622,0.8096037030220031,0.3380449950695038,0.4598794400691986,0.5908613324165344,0.5721705198287964,0.6803769946098328,0.2926136076450348,0.7244496464729309,0.4679033994674683,0.6552851796150208,0.5922410130500794,0.4255101501941681,0.600894,0.49130079746246336,0.5347978115081787,0.48705837726593015,0.695659983,0.5064643383026123,0.8634075999259949,0.6805114030838013,0.9046566724777222,0.63715740442276,0.2846464395523071,0.5665498614311218,0.6925129652023315
2225.0,0.3010059893131256,0.423088014125824,0.4376470148563385,0.757635,0.8093020915985107,0.33803999423980713,0.4711076021194458,0.5903357267379761,0.5731276869773865,0.6785449981689453,0.2928810119628906,0.7243871092796326,0.46681299805641174,0.6650099754333496,0.5922790169715881,0.43268048763275146,0.5994,0.49059799313545227,0.5374680161476135,0.4860299527645111,0.694940984,0.500959575176239,0.8630149960517883,0.6792550086975098,0.9047871828079224,0.6344619989395142,0.28477999567985535,0.5633736848831177,0.691990077495575
2226.0,0.3010029911994934,0.42417221069335936,0.43752881288528445,0.7578661999999999,0.809152615070343,0.3381023943424225,0.47676390409469604,0.5902867317199707,0.5757779717445374,0.6774924039840698,0.29330281019210813,0.7242926359176636,0.46541000008583067,0.6688883781433106,0.5931258082389832,0.43378558158874514,0.5971500000000001,0.48956979513168336,0.5384452104568481,0.4852709352970123,0.6944197892,0.49788440465927125,0.862758994102478,0.6776986122131348,0.9044942617416382,0.6315593957901001,0.28490519523620605,0.5574677348136902,0.691673481464386
2227.0,0.30099999308586123,0.42525640726089475,0.43741061091423034,0.7580973999999999,0.8090031385421753,0.33816479444503783,0.4824202060699463,0.5902377367019653,0.5784282565116883,0.6764398097991944,0.2937246084213257,0.7241981625556946,0.46400700211524964,0.6727667808532715,0.5939725995063782,0.43489067554473876,0.5949,0.48854159712791445,0.5394224047660827,0.4845119178295135,0.6938985944,0.4948092341423035,0.8625029921531677,0.6761422157287598,0.904201340675354,0.6286567926406861,0.28503039479255676,0.5515617847442627,0.6913568854331971
