Data ID,SRS-99 Aber Spectralon
Sample ID,SRS-99 Aber Spectralon
Mineral Name,spectralon
Sample Description,
Date Added,
Viewing Geometry,
Other Information,
Grain Size,
Database of Origin,Aberystwyth University
Wavelength,Response
235,0.320409323
236,0.327733919
237,0.332579006
238,0.335612537
239,0.337515668
240,0.338982488
241,0.338952608
242,0.338915402
243,0.34265825
244,0.34979354
245,0.357584336
246,0.366008912
247,0.377153459
248,0.389606192
249,0.404200601
250,0.420659747
251,0.439168814
252,0.461261222
253,0.484354997
254,0.503003672
255,0.519235073
256,0.535790114
257,0.549584567
258,0.565499123
259,0.592560692
260,0.62345438
261,0.646729181
262,0.671944364
263,0.710110448
264,0.751696145
265,0.784444481
266,0.804665348
267,0.817890821
268,0.825169859
269,0.827042498
270,0.824575634
271,0.818121437
272,0.807806672
273,0.787738526
274,0.766582496
275,0.755919188
276,0.758023775
277,0.760164515
278,0.758072861
279,0.745058618
280,0.722064914
281,0.722430692
282,0.764764685
283,0.801805778
284,0.813169259
285,0.812499614
286,0.799847054
287,0.762133994
288,0.717495389
289,0.704064032
290,0.713728853
291,0.724646528
292,0.731801114
293,0.738438506
294,0.736207019
295,0.735371639
296,0.747124334
297,0.766523528
298,0.770214527
299,0.771627734
300,0.783719918
301,0.800956259
302,0.816159257
303,0.823569542
304,0.832220945
305,0.838667213
306,0.840754736
307,0.841623191
308,0.84629969
309,0.856942379
310,0.864424394
311,0.867812129
312,0.869458292
313,0.866426318
314,0.863780957
315,0.860748479
316,0.855193382
317,0.850528511
318,0.846918431
319,0.842360003
320,0.840152159
321,0.835786853
322,0.83323106
323,0.822360329
324,0.80208098
325,0.802825721
326,0.816519698
327,0.822116843
328,0.832054463
329,0.839392649
330,0.836509265
331,0.833823026
332,0.818349245
333,0.803997962
334,0.786309236
335,0.772784693
336,0.782023517
337,0.80660159
338,0.81998567
339,0.823359572
340,0.821095361
341,0.817879724
342,0.808424441
343,0.796568741
344,0.78446672
345,0.763538183
346,0.750827582
347,0.730586213
348,0.695937707
349,0.665294012
350,0.653960627
351,0.658782476
352,0.666212012
353,0.683958662
354,0.709377722
355,0.719897732
356,0.714280337
357,0.698025617
358,0.665767934
359,0.632060522
360,0.606567878
361,0.594532646
362,0.597419927
363,0.604207628
364,0.605037617
365,0.609011621
366,0.613022354
367,0.618209477
368,0.64165742
369,0.68114456
370,0.719110979
371,0.738452015
372,0.742067018
373,0.741438521
374,0.731046212
375,0.704776859
376,0.646733204
377,0.572020649
378,0.513383399
379,0.486826091
380,0.500418755
381,0.533657213
382,0.554627492
383,0.57303512
384,0.603665783
385,0.64093454
386,0.670441526
387,0.692285858
388,0.70657208
389,0.710541935
390,0.712938428
391,0.733420583
392,0.772771526
393,0.805930091
394,0.820725722
395,0.826614989
396,0.83267234
397,0.843246485
398,0.852483383
399,0.859687541
400,0.864988496
401,0.865949885
402,0.864194579
403,0.863234198
404,0.86309216
405,0.855804545
406,0.834366509
407,0.803360006
408,0.782295695
409,0.783820196
410,0.803334509
411,0.82453256
412,0.837342557
413,0.832994
414,0.803627828
415,0.764933498
416,0.749627468
417,0.762063191
418,0.77046254
419,0.758634785
420,0.752553539
421,0.769157972
422,0.78723305
423,0.79484642
424,0.803605985
425,0.818355986
426,0.830605697
427,0.839913389
428,0.855138905
429,0.879616466
430,0.901229228
431,0.911943791
432,0.915386894
433,0.915249869
434,0.911598065
435,0.903802193
436,0.892909088
437,0.878175053
438,0.859738805
439,0.839274848
440,0.81629927
441,0.792263366
442,0.768749084
443,0.743561918
444,0.705037301
445,0.641129444
446,0.558143027
447,0.48223862
448,0.435682484
449,0.430679132
450,0.470063015
451,0.532938347
452,0.579653657
453,0.574822457
454,0.531289619
455,0.509123726
456,0.525007502
457,0.555793901
458,0.59879582
459,0.640662659
460,0.644680187
461,0.601876988
462,0.553153841
