Sample ID,6_Hydrothermal_Clay_00001
Species,6_Hydrothermal_Clay
Subgroup,6_Hydrothermal_Clay
Group,6_Hydrothermal_Clay
Library,EXM_MRS
Sample Description,Sample 6
Date Added,"02/20/2024,02/20/2024"
Viewing Geometry,
Other Information,"Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged"
Composition,
Resolution,2.8nm@700nm 8nm@1500nm 6nm@2100nm
Grain Size,
Locality,
Database of Origin,ExoMars Mission Reference Samples
Wavelength,Response
1118.0,0.34916800000000003
1119.0,0.349426
1120.0,0.34968200000000005
1121.0,0.34993899999999994
1122.0,0.35019399999999995
1123.0,0.35044400000000003
1124.0,0.35068
1125.0,0.350908
1126.0,0.351143
1127.0,0.351402
1128.0,0.351695
1129.0,0.352008
1130.0,0.352327
1131.0,0.352638
1132.0,0.352942
1133.0,0.35324500000000003
1134.0,0.35354599999999997
1135.0,0.353845
1136.0,0.354141
1137.0,0.354435
1138.0,0.35473
1139.0,0.355029
1140.0,0.355339
1141.0,0.355649
1142.0,0.355947
1143.0,0.356221
1144.0,0.35646900000000004
1145.0,0.356706
1146.0,0.35694699999999996
1147.0,0.35720399999999997
1148.0,0.357469
1149.0,0.357739
1150.0,0.35800899999999997
1151.0,0.35828200000000004
1152.0,0.35856099999999996
1153.0,0.358836
1154.0,0.359098
1155.0,0.359334
1156.0,0.359545
1157.0,0.359756
1158.0,0.35999000000000003
1159.0,0.360253
1160.0,0.360533
1161.0,0.360833
1162.0,0.361153
1163.0,0.361503
1164.0,0.36188000000000003
1165.0,0.362264
1166.0,0.362637
1167.0,0.363013
1168.0,0.363388
1169.0,0.363742
1170.0,0.364058
1171.0,0.364331
1172.0,0.364576
1173.0,0.364806
1174.0,0.365035
1175.0,0.36525399999999997
1176.0,0.365464
1177.0,0.36566899999999997
1178.0,0.36586799999999997
1179.0,0.366049
1180.0,0.36623100000000003
1181.0,0.366439
1182.0,0.36668999999999996
1183.0,0.366969
1184.0,0.367275
1185.0,0.367607
1186.0,0.367981
1187.0,0.36840000000000006
1188.0,0.368826
1189.0,0.369218
1190.0,0.369553
1191.0,0.36985399999999996
1192.0,0.37014
1193.0,0.37043
1194.0,0.370729
1195.0,0.371027
1196.0,0.371319
1197.0,0.371597
1198.0,0.37185899999999994
1199.0,0.37211
1200.0,0.372357
1201.0,0.372607
1202.0,0.372853
1203.0,0.373097
1204.0,0.373348
1205.0,0.373615
1206.0,0.373901
1207.0,0.374195
1208.0,0.374485
1209.0,0.374764
1210.0,0.375037
1211.0,0.37530500000000006
1212.0,0.375565
1213.0,0.37581200000000003
1214.0,0.376042
1215.0,0.376272
1216.0,0.376519
1217.0,0.376792
1218.0,0.377081
1219.0,0.377383
1220.0,0.377693
1221.0,0.378025
1222.0,0.37837600000000005
1223.0,0.378716
1224.0,0.379016
1225.0,0.379266
1226.0,0.379483
1227.0,0.379685
1228.0,0.37988700000000003
1229.0,0.38007399999999997
1230.0,0.380254
1231.0,0.380443
1232.0,0.380657
1233.0,0.38089300000000004
1234.0,0.381143
1235.0,0.381401
1236.0,0.381666
1237.0,0.381947
1238.0,0.38223100000000004
1239.0,0.382502
1240.0,0.382749
1241.0,0.382973
1242.0,0.38319400000000003
1243.0,0.383426
1244.0,0.383684
1245.0,0.383956
1246.0,0.384229
1247.0,0.38449
1248.0,0.38473399999999996
1249.0,0.38497
1250.0,0.38520200000000004
1251.0,0.385431
1252.0,0.385659
1253.0,0.385884
1254.0,0.38610500000000003
1255.0,0.38632399999999995
1256.0,0.38654200000000005
1257.0,0.38675600000000004
1258.0,0.386965
1259.0,0.38716500000000004
1260.0,0.387356
1261.0,0.387541
1262.0,0.38772399999999996
1263.0,0.387908
1264.0,0.388092
1265.0,0.38827199999999995
1266.0,0.38844700000000004
1267.0,0.388613
1268.0,0.38877
1269.0,0.38892699999999997
1270.0,0.389092
1271.0,0.389268
1272.0,0.38945
1273.0,0.389635
1274.0,0.38981699999999997
1275.0,0.389999
1276.0,0.39018099999999994
1277.0,0.39036099999999996
1278.0,0.39053400000000005
1279.0,0.39069899999999996
1280.0,0.390861
1281.0,0.39102600000000004
1282.0,0.391197
1283.0,0.391373
1284.0,0.391552
1285.0,0.39173600000000003
1286.0,0.39193
1287.0,0.392137
1288.0,0.392343
1289.0,0.39253
1290.0,0.392686
1291.0,0.39281999999999995
1292.0,0.392951
1293.0,0.393098
1294.0,0.39326900000000004
1295.0,0.39344999999999997
1296.0,0.393634
1297.0,0.393813
1298.0,0.39399999999999996
1299.0,0.394186
1300.0,0.394349
1301.0,0.394469
1302.0,0.39454300000000003
1303.0,0.394596
1304.0,0.394655
1305.0,0.394738
1306.0,0.394829
1307.0,0.394931
1308.0,0.395053
1309.0,0.395206
1310.0,0.395388
1311.0,0.395578
1312.0,0.395758
1313.0,0.395926
1314.0,0.396092
1315.0,0.39624499999999996
1316.0,0.396378
1317.0,0.396486
1318.0,0.39657600000000004
1319.0,0.396661
1320.0,0.396753
1321.0,0.396851
1322.0,0.396948
1323.0,0.397036
1324.0,0.39710999999999996
1325.0,0.39716799999999997
1326.0,0.39722
1327.0,0.397275
1328.0,0.397335
1329.0,0.397395
1330.0,0.39746000000000004
1331.0,0.397534
1332.0,0.397618
1333.0,0.397711
1334.0,0.397811
1335.0,0.397918
1336.0,0.398031
1337.0,0.39815100000000003
1338.0,0.39827599999999996
1339.0,0.39841
1340.0,0.398568
1341.0,0.398727
1342.0,0.39885800000000005
1343.0,0.39893500000000004
1344.0,0.398971
1345.0,0.398977
1346.0,0.398967
1347.0,0.398936
1348.0,0.398876
1349.0,0.398812
1350.0,0.398768
1351.0,0.398754
1352.0,0.398755
1353.0,0.398754
1354.0,0.398739
1355.0,0.398715
1356.0,0.39868400000000004
1357.0,0.39864199999999994
1358.0,0.39858699999999997
1359.0,0.398523
1360.0,0.39844700000000005
1361.0,0.398354
1362.0,0.398245
1363.0,0.398124
1364.0,0.397981
1365.0,0.39780299999999996
