Sample ID,9_Congo_00002
Species,9_Congo
Subgroup,9_Congo
Group,9_Congo
Library,EXM_MRS
Sample Description,Sample 9
Date Added,"02/20/2024,02/20/2024"
Viewing Geometry,
Other Information,"Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,100,50,30 integration times; 100,100 scans averaged"
Composition,
Resolution,2.8nm@700nm 8nm@1500nm 6nm@2100nm
Grain Size,
Locality,
Database of Origin,ExoMars Mission Reference Samples
Wavelength,Response
868.0,0.097386
869.0,0.09733900000000001
870.0,0.09727000000000001
871.0,0.097214
872.0,0.097138
873.0,0.09715
874.0,0.097184
875.0,0.097172
876.0,0.09716200000000001
877.0,0.097235
878.0,0.097217
879.0,0.097256
880.0,0.097219
881.0,0.097209
882.0,0.09727000000000001
883.0,0.097259
884.0,0.097223
885.0,0.097282
886.0,0.097263
887.0,0.097228
888.0,0.097228
889.0,0.09725400000000001
890.0,0.097309
891.0,0.097271
892.0,0.09718199999999999
893.0,0.097178
894.0,0.09725
895.0,0.097262
896.0,0.09725099999999999
897.0,0.09725400000000001
898.0,0.09728999999999999
899.0,0.097258
900.0,0.09721199999999999
901.0,0.097144
902.0,0.097126
903.0,0.097181
904.0,0.097244
905.0,0.097258
906.0,0.097239
907.0,0.097227
908.0,0.097189
909.0,0.097111
910.0,0.097165
911.0,0.097166
912.0,0.09718
913.0,0.097264
914.0,0.09733599999999999
915.0,0.09740700000000001
916.0,0.097484
917.0,0.097512
918.0,0.09756000000000001
919.0,0.097622
920.0,0.09757500000000001
921.0,0.097581
922.0,0.09762
923.0,0.09762499999999999
924.0,0.097605
925.0,0.09752100000000001
926.0,0.09762399999999999
927.0,0.097568
928.0,0.097605
929.0,0.09759499999999999
930.0,0.09749000000000001
931.0,0.097597
932.0,0.097569
933.0,0.097547
934.0,0.0977
935.0,0.097728
936.0,0.097748
937.0,0.097788
938.0,0.097874
939.0,0.097873
940.0,0.097799
941.0,0.097874
942.0,0.097931
943.0,0.09789500000000001
944.0,0.097941
945.0,0.09804299999999999
946.0,0.098087
947.0,0.09802799999999999
948.0,0.098005
949.0,0.098189
950.0,0.09821300000000001
951.0,0.098103
952.0,0.098292
953.0,0.09843099999999999
954.0,0.0983
955.0,0.09815099999999999
956.0,0.09837699999999999
957.0,0.098469
958.0,0.09846500000000001
959.0,0.098438
960.0,0.098634
961.0,0.098644
962.0,0.098607
963.0,0.098665
964.0,0.09861800000000001
965.0,0.098734
966.0,0.09878
967.0,0.098704
968.0,0.098856
969.0,0.09891299999999999
970.0,0.09889200000000001
971.0,0.09911400000000001
972.0,0.098811
973.0,0.099037
974.0,0.099009
975.0,0.098948
976.0,0.09886400000000001
977.0,0.099091
978.0,0.09899200000000001
979.0,0.099093
980.0,0.099085
981.0,0.099103
982.0,0.09915900000000001
983.0,0.09924
984.0,0.099322
985.0,0.099403
986.0,0.09948399999999999
987.0,0.099565
988.0,0.099647
989.0,0.099728
990.0,0.099809
991.0,0.09989
992.0,0.09997
993.0,0.100051
994.0,0.100132
995.0,0.10018700000000001
996.0,0.100203
997.0,0.10022
998.0,0.100236
999.0,0.100252
1000.0,0.100269
1001.0,0.100285
1002.0,0.10030099999999999
1003.0,0.100318
1004.0,0.10033500000000001
1005.0,0.10035
1006.0,0.100366
1007.0,0.100383
1008.0,0.100397
1009.0,0.10040800000000001
1010.0,0.10040900000000001
1011.0,0.100402
1012.0,0.100398
1013.0,0.10040800000000001
1014.0,0.100443
1015.0,0.100494
1016.0,0.10055
1017.0,0.10059699999999999
1018.0,0.100637
1019.0,0.100676
1020.0,0.10070399999999999
1021.0,0.10071300000000001
1022.0,0.100692
1023.0,0.100648
1024.0,0.100602
1025.0,0.100572
1026.0,0.100556
1027.0,0.100547
1028.0,0.100549
1029.0,0.10056599999999999
1030.0,0.10061099999999999
1031.0,0.10067500000000001
1032.0,0.100732
1033.0,0.100757
1034.0,0.100741
1035.0,0.100703
1036.0,0.100664
1037.0,0.10064500000000001
1038.0,0.100642
1039.0,0.100648
1040.0,0.100664
1041.0,0.100688
1042.0,0.10073399999999999
1043.0,0.10078799999999999
1044.0,0.100831
1045.0,0.100845
1046.0,0.100828
1047.0,0.100795
1048.0,0.100766
1049.0,0.10075799999999999
1050.0,0.10076800000000001
1051.0,0.100786
1052.0,0.10080299999999999
1053.0,0.100813
1054.0,0.10082
1055.0,0.100825
1056.0,0.100823
1057.0,0.100811
1058.0,0.10078799999999999
1059.0,0.100761
1060.0,0.10073700000000001
1061.0,0.100722
1062.0,0.10071400000000001
1063.0,0.10070899999999999
1064.0,0.100706
1065.0,0.10070399999999999
1066.0,0.100702
1067.0,0.10070399999999999
1068.0,0.10071
1069.0,0.100726
1070.0,0.10074899999999999
1071.0,0.100775
1072.0,0.100794
1073.0,0.100806
1074.0,0.10081200000000001
1075.0,0.100815
1076.0,0.100815
1077.0,0.10080700000000001
1078.0,0.100792
1079.0,0.100779
1080.0,0.100777
1081.0,0.100787
1082.0,0.100806
1083.0,0.100831
1084.0,0.100862
1085.0,0.10090400000000001
1086.0,0.100952
1087.0,0.101001
1088.0,0.101044
1089.0,0.10108
1090.0,0.101113
1091.0,0.101145
1092.0,0.101178
1093.0,0.10121000000000001
1094.0,0.101243
1095.0,0.10127599999999999
1096.0,0.101311
1097.0,0.10134800000000001
1098.0,0.101387
1099.0,0.101423
1100.0,0.10145200000000001
1101.0,0.10147500000000001
1102.0,0.101495
1103.0,0.10151199999999999
1104.0,0.101528
1105.0,0.101537
1106.0,0.101546
1107.0,0.101562
1108.0,0.10159000000000001
1109.0,0.10162900000000001
1110.0,0.10167299999999999
1111.0,0.10172
1112.0,0.101769
1113.0,0.101824
1114.0,0.101878
1115.0,0.101925
1116.0,0.10196
1117.0,0.10198800000000001
1118.0,0.102011
1119.0,0.102034
1120.0,0.10205700000000001
1121.0,0.102079
1122.0,0.10210100000000001
1123.0,0.102128
1124.0,0.102161
1125.0,0.10219900000000001
1126.0,0.10223800000000001
1127.0,0.102277
1128.0,0.102314
1129.0,0.102351
1130.0,0.10239000000000001
1131.0,0.102434
1132.0,0.102483
1133.0,0.102536
1134.0,0.102589
1135.0,0.102638
1136.0,0.102683
1137.0,0.102727
1138.0,0.10276999999999999
1139.0,0.10281599999999999
1140.0,0.10286400000000001
1141.0,0.102912
1142.0,0.102959
1143.0,0.10300000000000001
1144.0,0.103033
1145.0,0.10306599999999999
1146.0,0.103104
1147.0,0.10315300000000001
1148.0,0.103211
1149.0,0.103274
1150.0,0.10333600000000001
1151.0,0.103393
1152.0,0.103447
1153.0,0.103502
1154.0,0.103558
1155.0,0.10361700000000001
1156.0,0.103678
1157.0,0.103741
1158.0,0.103807
1159.0,0.103879
1160.0,0.103954
1161.0,0.104032
1162.0,0.10411300000000001
1163.0,0.10419600000000001
1164.0,0.104283
1165.0,0.10436899999999999
1166.0,0.10445299999999999
1167.0,0.104534
1168.0,0.104612
1169.0,0.10469099999999999
1170.0,0.10477299999999999
1171.0,0.10486000000000001
1172.0,0.104947
1173.0,0.105032
1174.0,0.105109
1175.0,0.10518000000000001
1176.0,0.105247
1177.0,0.10531
1178.0,0.10536899999999999
1179.0,0.10542199999999999
1180.0,0.105473
1181.0,0.105529
1182.0,0.105592
1183.0,0.10565899999999999
1184.0,0.10573199999999999
1185.0,0.105817
1186.0,0.10592
1187.0,0.10604100000000001
1188.0,0.106166
1189.0,0.10628399999999999
1190.0,0.106387
1191.0,0.10648099999999999
1192.0,0.106574
1193.0,0.10667299999999999
1194.0,0.106784
1195.0,0.106901
1196.0,0.107014
1197.0,0.107113
1198.0,0.107197
1199.0,0.10727
1200.0,0.10734
1201.0,0.107412
1202.0,0.10748200000000001
1203.0,0.10755
1204.0,0.10762100000000001
1205.0,0.107696
1206.0,0.107775
1207.0,0.10785700000000001
1208.0,0.10794100000000001
1209.0,0.108027
1210.0,0.108112
1211.0,0.108201
1212.0,0.108297
1213.0,0.10840299999999999
1214.0,0.10852
1215.0,0.108642
1216.0,0.108763
1217.0,0.108883
1218.0,0.10900399999999999
1219.0,0.109124
1220.0,0.109242
1221.0,0.10936
1222.0,0.109478
1223.0,0.109588
1224.0,0.109684
1225.0,0.109764
1226.0,0.109832
1227.0,0.10988899999999999
1228.0,0.10993399999999999
1229.0,0.10995799999999999
1230.0,0.109971
1231.0,0.109992
1232.0,0.11004
1233.0,0.11011100000000001
1234.0,0.110196
1235.0,0.110284
1236.0,0.110369
1237.0,0.110456
1238.0,0.11054399999999999
1239.0,0.110634
1240.0,0.110724
1241.0,0.11081200000000001
1242.0,0.110904
1243.0,0.11100199999999999
1244.0,0.111113
1245.0,0.111235
1246.0,0.111356
1247.0,0.111465
1248.0,0.11156
1249.0,0.11164500000000001
1250.0,0.111727
1251.0,0.11180799999999999
1252.0,0.111882
1253.0,0.111953
1254.0,0.11203099999999999
1255.0,0.112125
1256.0,0.11223599999999999
1257.0,0.112355
1258.0,0.112475
1259.0,0.11258900000000001
1260.0,0.11270300000000001
1261.0,0.112815
1262.0,0.11291999999999999
1263.0,0.113012
1264.0,0.113093
1265.0,0.113169
1266.0,0.113248
1267.0,0.11333399999999999
1268.0,0.113422
1269.0,0.113511
1270.0,0.11359899999999999
1271.0,0.113682
1272.0,0.113763
1273.0,0.113847
1274.0,0.11393800000000001
1275.0,0.114038
1276.0,0.11414300000000001
1277.0,0.114253
1278.0,0.11436600000000001
1279.0,0.11448900000000001
1280.0,0.114615
1281.0,0.114733
1282.0,0.11483399999999999
1283.0,0.11492100000000001
1284.0,0.11500099999999999
1285.0,0.115081
1286.0,0.115165
1287.0,0.11525
1288.0,0.11533500000000001
1289.0,0.115418
1290.0,0.115495
1291.0,0.11556699999999999
1292.0,0.115643
1293.0,0.115733
1294.0,0.11584
1295.0,0.115958
1296.0,0.11608
1297.0,0.116199
1298.0,0.116328
1299.0,0.116456
1300.0,0.116568
1301.0,0.116646
1302.0,0.116684
1303.0,0.11670799999999999
1304.0,0.116746
1305.0,0.116819
1306.0,0.116914
1307.0,0.117025
1308.0,0.117147
1309.0,0.117284
1310.0,0.11744199999999999
1311.0,0.1176
1312.0,0.11773600000000001
1313.0,0.117843
