Data ID,Saponite LASA58
1315.0,0.8961470127105713
1320.0,0.8897579908370972
1325.0,0.8844379782676697
1330.0,0.8782209753990173
1335.0,0.8737890124320984
1340.0,0.8695679903030396
1345.0,0.8641319870948792
1350.0,0.8583869934082031
1355.0,0.851140022277832
1360.0,0.8456400036811829
1365.0,0.8439139723777771
1370.0,0.8345080018043518
1375.0,0.821349024772644
1380.0,0.7965390086174011
1385.0,0.7239289879798889
1390.0,0.5725100040435791
1395.0,0.6407250165939331
1400.0,0.6835520267486572
1405.0,0.6592119932174683
1410.0,0.6389859914779663
1415.0,0.6333060264587402
1420.0,0.6414539813995361
1425.0,0.6574159860610962
1430.0,0.6727240085601807
1435.0,0.6867430210113525
1440.0,0.698714017868042
1445.0,0.7070930004119873
1450.0,0.7133539915084839
