Sample ID,Standard_00003
Species,Standard
Subgroup,Standard
Group,Standard
Library,EXM_MRS
Sample Description,Setup + Grey
Date Added,"02/20/2024,02/20/2024"
Viewing Geometry,
Other Information,"Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged"
Composition,
Resolution,2.8nm@700nm 8nm@1500nm 6nm@2100nm
Grain Size,
Locality,
Database of Origin,ExoMars Mission Reference Samples
Wavelength,Response
642.0,0.41419199999999995
643.0,0.4144
644.0,0.414613
645.0,0.414793
646.0,0.414931
647.0,0.415046
648.0,0.41516
649.0,0.415345
650.0,0.415518
651.0,0.415678
652.0,0.41584699999999997
653.0,0.41601999999999995
654.0,0.416168
655.0,0.416292
656.0,0.416423
657.0,0.41653100000000004
658.0,0.416625
659.0,0.416718
660.0,0.416855
661.0,0.41702300000000003
662.0,0.417207
663.0,0.417366
664.0,0.417601
665.0,0.417803
666.0,0.41790799999999995
667.0,0.418059
668.0,0.418189
669.0,0.418311
670.0,0.418465
671.0,0.418652
672.0,0.41883899999999996
673.0,0.419002
674.0,0.41911000000000004
675.0,0.419319
676.0,0.419537
677.0,0.419671
678.0,0.41981
679.0,0.41991100000000003
680.0,0.420015
681.0,0.420201
682.0,0.42040900000000003
683.0,0.420551
684.0,0.42064799999999997
685.0,0.42086100000000004
686.0,0.42101799999999995
687.0,0.421167
688.0,0.421343
689.0,0.421481
690.0,0.42161299999999996
691.0,0.42177
692.0,0.421968
693.0,0.42204200000000003
694.0,0.422155
695.0,0.422323
696.0,0.422502
697.0,0.42263300000000004
698.0,0.422765
699.0,0.42288899999999996
700.0,0.42295699999999997
701.0,0.42309399999999997
702.0,0.42324
703.0,0.423373
704.0,0.423564
705.0,0.423726
706.0,0.423862
707.0,0.423987
708.0,0.42412
709.0,0.424283
710.0,0.42443800000000004
711.0,0.42456499999999997
712.0,0.424724
713.0,0.424942
714.0,0.42515000000000003
715.0,0.425286
716.0,0.425441
717.0,0.425546
718.0,0.425625
719.0,0.42572200000000004
720.0,0.42594499999999996
721.0,0.426112
722.0,0.426205
723.0,0.42626800000000004
724.0,0.426386
725.0,0.42659199999999997
726.0,0.426815
727.0,0.426968
728.0,0.42719799999999997
729.0,0.427332
730.0,0.427402
731.0,0.427467
732.0,0.427616
733.0,0.427686
734.0,0.427806
735.0,0.428054
736.0,0.428252
737.0,0.42838099999999996
738.0,0.428521
739.0,0.428686
740.0,0.428689
741.0,0.42883899999999997
742.0,0.42898200000000003
743.0,0.429093
744.0,0.429328
745.0,0.429497
746.0,0.42963
747.0,0.42973799999999995
748.0,0.429809
749.0,0.429931
750.0,0.43005200000000005
751.0,0.430191
752.0,0.430375
753.0,0.43048699999999995
754.0,0.430708
755.0,0.43094
756.0,0.43109200000000003
757.0,0.431175
758.0,0.43134500000000003
759.0,0.431531
760.0,0.43168100000000004
761.0,0.431768
762.0,0.431952
763.0,0.43213
764.0,0.432283
765.0,0.432415
766.0,0.43243299999999996
767.0,0.432597
768.0,0.43280799999999997
769.0,0.43300400000000006
770.0,0.433243
771.0,0.433371
772.0,0.43351500000000004
773.0,0.433697
774.0,0.433892
775.0,0.43404200000000004
776.0,0.434161
777.0,0.43424100000000004
778.0,0.434297
779.0,0.434368
780.0,0.43454099999999996
781.0,0.434648
782.0,0.434809
783.0,0.43507399999999996
784.0,0.43518700000000005
785.0,0.435297
786.0,0.43530700000000006
787.0,0.435396
788.0,0.43573500000000004
789.0,0.43585
790.0,0.43603200000000003
791.0,0.436204
792.0,0.436375
793.0,0.436596
794.0,0.436641
795.0,0.436787
796.0,0.43689500000000003
797.0,0.436983
798.0,0.437183
799.0,0.43736800000000003
800.0,0.43761000000000005
801.0,0.43783299999999997
802.0,0.43802
803.0,0.438204
804.0,0.438346
805.0,0.438541
806.0,0.43863199999999997
807.0,0.4386
808.0,0.43859099999999995
809.0,0.438726
810.0,0.43898699999999996
811.0,0.439157
812.0,0.43926499999999996
813.0,0.43945999999999996
814.0,0.43978
815.0,0.439899
816.0,0.440013
817.0,0.44012999999999997
818.0,0.440248
819.0,0.440414
820.0,0.44052199999999997
821.0,0.440666
822.0,0.440725
823.0,0.440773
824.0,0.440977
825.0,0.441065
826.0,0.441336
827.0,0.44146700000000005
828.0,0.44158200000000003
829.0,0.441675
830.0,0.441524
831.0,0.441634
832.0,0.44168799999999997
833.0,0.441812
834.0,0.441997
835.0,0.442187
836.0,0.44242800000000004
837.0,0.442812
838.0,0.442877
839.0,0.44287999999999994
840.0,0.442898
841.0,0.44297400000000003
842.0,0.443281
843.0,0.44338500000000003
844.0,0.443392
845.0,0.443529
846.0,0.443741
847.0,0.443911
848.0,0.444015
849.0,0.444292
850.0,0.44468
851.0,0.44463500000000006
852.0,0.44475499999999996
853.0,0.44496699999999995
854.0,0.444984
855.0,0.444971
856.0,0.44512599999999997
857.0,0.445083
858.0,0.445454
859.0,0.44552100000000006
860.0,0.44547600000000004
861.0,0.44575400000000004
862.0,0.44589199999999996
863.0,0.445837
864.0,0.44628300000000004
865.0,0.446519
866.0,0.44667
867.0,0.446868
868.0,0.44703000000000004
869.0,0.447063
870.0,0.447089
871.0,0.447226
872.0,0.44736600000000004
873.0,0.44752600000000003
874.0,0.447735
875.0,0.447881
876.0,0.447935
877.0,0.448042
878.0,0.448015
879.0,0.448251
880.0,0.44860700000000003
881.0,0.44864400000000004
882.0,0.44888599999999995
883.0,0.449077
884.0,0.44915999999999995
885.0,0.44939500000000004
886.0,0.449304
887.0,0.449656
888.0,0.449723
889.0,0.449898
890.0,0.44986600000000004
891.0,0.449894
892.0,0.449919
893.0,0.450088
894.0,0.450508
895.0,0.450722
896.0,0.45088900000000004
897.0,0.450925
898.0,0.451217
899.0,0.451202
900.0,0.451279
901.0,0.451352
902.0,0.451519
903.0,0.45163400000000004
904.0,0.45175800000000005
905.0,0.451984
906.0,0.45201099999999994
907.0,0.452115
908.0,0.452202
909.0,0.452658
910.0,0.452835
911.0,0.452815
912.0,0.453278
913.0,0.45344700000000004
914.0,0.453405
915.0,0.453579
916.0,0.453739
917.0,0.453921
918.0,0.454034
919.0,0.453971
920.0,0.45409999999999995
921.0,0.454148
922.0,0.45414099999999996
923.0,0.45433999999999997
924.0,0.45453000000000005
925.0,0.454555
926.0,0.454301
927.0,0.454529
928.0,0.45481
929.0,0.454778
930.0,0.45525799999999994
931.0,0.45518000000000003
932.0,0.455504
933.0,0.455843
934.0,0.455371
935.0,0.455741
936.0,0.456049
937.0,0.45598500000000003
938.0,0.456385
939.0,0.456592
940.0,0.456528
941.0,0.456708
942.0,0.45671300000000004
943.0,0.457027
944.0,0.45742
945.0,0.457288
946.0,0.45731499999999997
947.0,0.45752200000000004
948.0,0.45757800000000004
949.0,0.457866
950.0,0.45785800000000004
951.0,0.457732
952.0,0.458117
953.0,0.45838500000000004
954.0,0.45825099999999996
955.0,0.458305
956.0,0.45835299999999995
957.0,0.45859900000000003
958.0,0.458675
959.0,0.458713
960.0,0.458737
961.0,0.458926
962.0,0.459188
963.0,0.459207
964.0,0.459448
965.0,0.45942900000000003
966.0,0.459377
967.0,0.45953299999999997
968.0,0.459635
969.0,0.460038
970.0,0.459855
971.0,0.46051699999999995
972.0,0.46048
973.0,0.460274
974.0,0.460525
975.0,0.460584
976.0,0.460606
977.0,0.46035600000000004
978.0,0.46049599999999996
979.0,0.460661
980.0,0.460856
981.0,0.46091099999999996
982.0,0.461054
983.0,0.461253
984.0,0.46146099999999995
985.0,0.46167700000000006
986.0,0.4619
987.0,0.462132
988.0,0.462373
989.0,0.46262099999999995
990.0,0.462877
991.0,0.463141
992.0,0.463414
993.0,0.463695
994.0,0.463983
995.0,0.46420900000000004
996.0,0.464329
997.0,0.46445000000000003
998.0,0.46457099999999996
999.0,0.46469099999999997
1000.0,0.464812
1001.0,0.464933
1002.0,0.465053
1003.0,0.46517400000000003
1004.0,0.465295
1005.0,0.46541499999999997
1006.0,0.465536
1007.0,0.465657
1008.0,0.465777
1009.0,0.465892
1010.0,0.465995
1011.0,0.466089
1012.0,0.466186
1013.0,0.466299
1014.0,0.46643900000000005
1015.0,0.46659799999999996
1016.0,0.466762
1017.0,0.466919
1018.0,0.46707
1019.0,0.467221
1020.0,0.467361
1021.0,0.46747900000000003
1022.0,0.467569
1023.0,0.467637
1024.0,0.467695
1025.0,0.467754
1026.0,0.46779600000000005
1027.0,0.467828
1028.0,0.467881
1029.0,0.467987
1030.0,0.46816899999999995
1031.0,0.468399
1032.0,0.46863900000000003
1033.0,0.468852
1034.0,0.469048
1035.0,0.46923699999999996
1036.0,0.46940899999999997
1037.0,0.469556
1038.0,0.46966299999999994
1039.0,0.46974699999999997
1040.0,0.46983400000000003
1041.0,0.469954
1042.0,0.47011800000000004
1043.0,0.47029699999999997
1044.0,0.470458
1045.0,0.47056800000000004
1046.0,0.470623
1047.0,0.470653
1048.0,0.470687
1049.0,0.470751
1050.0,0.470835
1051.0,0.470931
1052.0,0.471036
1053.0,0.471149
1054.0,0.471275
1055.0,0.471408
1056.0,0.47154
1057.0,0.47166600000000003
1058.0,0.47179099999999996
1059.0,0.47191299999999997
1060.0,0.472032
1061.0,0.47214599999999995
1062.0,0.472256
1063.0,0.47236199999999995
1064.0,0.47246699999999997
1065.0,0.472569
1066.0,0.47266800000000003
1067.0,0.472766
1068.0,0.472866
1069.0,0.47296900000000003
1070.0,0.473074
1071.0,0.47318
1072.0,0.47328600000000004
1073.0,0.473394
1074.0,0.47350499999999995
1075.0,0.473612
1076.0,0.473708
1077.0,0.473786
1078.0,0.473848
1079.0,0.473911
1080.0,0.473991
1081.0,0.47409199999999996
1082.0,0.474207
1083.0,0.47433100000000006
1084.0,0.474462
1085.0,0.474608
1086.0,0.47476399999999996
1087.0,0.474916
1088.0,0.475048
1089.0,0.475154
1090.0,0.475246
1091.0,0.475339
1092.0,0.475449
1093.0,0.475574
1094.0,0.47570700000000005
1095.0,0.47584000000000004
1096.0,0.475967
1097.0,0.476088
1098.0,0.476206
1099.0,0.47632399999999997
1100.0,0.476444
1101.0,0.476568
1102.0,0.47669199999999995
1103.0,0.47681199999999996
1104.0,0.47692599999999996
1105.0,0.477038
1106.0,0.47714399999999996
1107.0,0.477241
1108.0,0.47732199999999997
1109.0,0.477383
1110.0,0.47743899999999995
1111.0,0.477508
1112.0,0.477601
1113.0,0.477708
1114.0,0.477827
1115.0,0.477956
1116.0,0.478097
