,white_spectralon_enfys_sampled Au_measured,white_spectralon Au_reference
Filepath,../data/spectral_library/Calibration/Spectralon/SRS-99/AU_Measured/white_spectralon_enfys_sampled.csv,../data/spectral_library/Calibration/Spectralon/SRS-99/AU_Reference/white_spectralon.csv
Category,Measured,Reference
Sample ID,SRS-99 Aber Spectralon,SRS-99 Aber Spectralon
Species,au_measured,au_reference
Subgroup,SRS-99,SRS-99
Group,Spectralon,Spectralon
Library,Calibration,Calibration
Sample Description,,
Date Added,,
Viewing Geometry,,
Other Information,As measured by Enfys,
Composition,,
Resolution,,
Grain Size,,
Locality,,
Database of Origin,Aberystwyth University,Aberystwyth University
Reflectance,---,---
1338.0,0.731210104038961,0.739761533
1339.0,0.7365108937965368,0.746509112
1340.0,0.7417413057099567,0.753047693
1341.0,0.7469717176233766,0.759102497
1342.0,0.752045535978355,0.764741348
1343.0,0.7567484748528138,0.770096753
1344.0,0.7614514137272728,0.774589544
1345.0,0.7661543526017316,0.778394294
1346.0,0.7703912990952382,0.781488269
1347.0,0.7744164308701299,0.783881666
1348.0,0.7784415626450216,0.785833793
1349.0,0.7822986806753246,0.787583798
1350.0,0.7841732365194805,0.789508754
1351.0,0.7860477923636363,0.791845766
1352.0,0.7879223482077922,0.794667086
1353.0,0.7901507101558441,0.797877971
1354.0,0.7927800523549783,0.801206441
1355.0,0.7954093945541125,0.804302963
1356.0,0.7980387367532468,0.807062336
1357.0,0.8024310932380952,0.809413955
1358.0,0.807111942969697,0.811401407
1359.0,0.8117927927012988,0.813141629
1360.0,0.8160025396103897,0.815329808
1361.0,0.8187989780519481,0.818130086
1362.0,0.8215954164935065,0.821469437
1363.0,0.824391854935065,0.824912999
1364.0,0.8265725438398268,0.828533294
1365.0,0.8284078122727273,0.832363667
1366.0,0.8302430807056277,0.835846181
1367.0,0.832117678073593,0.838936115
1368.0,0.8352114724285714,0.841950881
1369.0,0.8383052667835498,0.844623098
1370.0,0.8413990611385281,0.846623429
1371.0,0.843107285038961,0.847913219
1372.0,0.8429167642424242,0.848561597
1373.0,0.8427262434458874,0.848533481
1374.0,0.8425357226493507,0.848134934
1375.0,0.8433225107878788,0.847441106
1376.0,0.8443348317575757,0.846958526
1377.0,0.8453471527272727,0.847099385
1378.0,0.8465522867142857,0.847901555
1379.0,0.848513841,0.849422186
1380.0,0.8504753952857144,0.851589719
1381.0,0.8524369495714286,0.853891523
1382.0,0.8542311502121213,0.856472498
1383.0,0.8559108457272727,0.858804452
1384.0,0.8575905412424243,0.860851052
1385.0,0.8592702367575757,0.862661159
1386.0,0.8611687912727273,0.864104588
1387.0,0.8630708197402597,0.865102373
1388.0,0.8649728482077922,0.865836476
1389.0,0.8665498074805195,0.866322584
1390.0,0.8675849847619047,0.866747852
1391.0,0.8686201620432901,0.867238181
1392.0,0.8696553393246753,0.867706676
1393.0,0.8724116193333333,0.868322996
1394.0,0.8756947675238096,0.869155991
1395.0,0.8789779157142857,0.87076196
1396.0,0.8819831981904762,0.872897543
1397.0,0.8834880058095238,0.874851191
1398.0,0.8849928134285715,0.876841334
1399.0,0.8864976210476191,0.878949476
1400.0,0.888039737909091,0.881194319
1401.0,0.8896127681428572,0.883266974
1402.0,0.8911857983766234,0.884798675
1403.0,0.8927588286103896,0.88599887
1404.0,0.8949107055974026,0.887346683
1405.0,0.8971011723679654,0.888583715
1406.0,0.8992916391385282,0.889771724
1407.0,0.9012693367272727,0.891212849
1408.0,0.9028113640865801,0.892731293
1409.0,0.9043533914458874,0.894491756
1410.0,0.9058954188051949,0.896429321
1411.0,0.9069246815757576,0.898560062
1412.0,0.9077532973333333,0.900839195
1413.0,0.9085819130909091,0.903118931
1414.0,0.9094029415151516,0.905456132
1415.0,0.9101621873679654,0.907791605
1416.0,0.9109214332207792,0.909690515
1417.0,0.9116806790735931,0.911529773
1418.0,0.9120908336017316,0.912960566
1419.0,0.9121518968051948,0.913842917
1420.0,0.912212960008658,0.9143756
1421.0,0.9122740232121213,0.914426531
1422.0,0.9111579675714285,0.914044652
1423.0,0.9098973534761905,0.913680809
1424.0,0.9086367393809524,0.913001165
1425.0,0.9075547221428572,0.912235076
1426.0,0.9069291190952381,0.911260394
1427.0,0.906303516047619,0.910413638
1428.0,0.905677913,0.909369719
1429.0,0.9041774647142857,0.908562959
1430.0,0.9022497664285715,0.907929458
1431.0,0.9003220681428571,0.90735551
1432.0,0.8984336788614719,0.906656111
1433.0,0.8971349246450216,0.906052787
1434.0,0.8958361704285713,0.90534905
1435.0,0.8945374162121211,0.904198607
1436.0,0.89204193004329,0.90317357
1437.0,0.8881021122077922,0.901929842
1438.0,0.8841622943722943,0.900695582
1439.0,0.8802224765367965,0.899410913
1440.0,0.876238121090909,0.897810839
1441.0,0.8722455179393939,0.896012891
1442.0,0.8682529147878788,0.893652623
1443.0,0.8637885912467532,0.890812547
1444.0,0.8577833144329005,0.887782022
1445.0,0.8517780376190476,0.884537945
1446.0,0.8457727608051948,0.881184104
1447.0,0.8390181787099568,0.877925825
1448.0,0.8318140134458875,0.874521935
