    Data ID,SRS-99 Aber Spectralon
Sample ID,SRS-99 Aber Spectralon
Mineral Name,spectralon
Sample Description,
Date Added,
Viewing Geometry,
Other Information,As measured by Enfys
Grain Size,
Database of Origin,Aberystwyth University
Wavelength,Response
775.03125,1
778.640625,1
782.25,1
785.859375,1
789.46875,1
793.078125,0.5
796.6875,1
800.296875,0.5
803.90625,1
807.515625,1
811.125,1
814.734375,2
818.34375,0.333333333
821.953125,1
825.5625,0.777777778
829.171875,0.866666667
832.78125,0.84
836.390625,0.794117647
840,0.85
843.609375,0.860465116
847.21875,0.840909091
850.828125,0.822222222
854.4375,0.844444444
858.046875,0.866666667
861.65625,0.875
865.265625,0.867924528
868.875,0.859375
872.484375,0.847222222
876.09375,0.853333333
879.703125,0.846153846
883.3125,0.857142857
886.921875,0.846153846
890.53125,0.841584158
894.140625,0.857142857
897.75,0.842592593
901.359375,0.844036697
904.96875,0.851851852
908.578125,0.85046729
912.1875,0.859813084
915.796875,0.869158879
919.40625,0.899082569
923.015625,0.891891892
926.625,0.902654867
930.234375,0.903508772
933.84375,0.913043478
937.453125,0.913793103
941.0625,0.915966387
944.671875,0.909836066
948.28125,0.92
951.890625,0.921259843
955.5,0.916030534
959.109375,0.902985075
962.71875,0.875912409
966.328125,0.841726619
969.9375,0.836879433
973.546875,0.826388889
977.15625,0.834482759
980.765625,0.837837838
984.375,0.852348993
987.984375,0.85620915
991.59375,0.883870968
995.203125,0.898089172
998.8125,0.900621118
1002.421875,0.902439024
1006.03125,0.910179641
1009.640625,0.905325444
1013.25,0.901162791
1016.859375,0.902298851
1020.46875,0.909090909
1024.078125,0.91011236
1027.6875,0.911111111
1031.296875,0.901639344
1034.90625,0.888297872
1038.515625,0.881443299
1042.125,0.869346734
1045.734375,0.856435644
1049.34375,0.855
1052.953125,0.842364532
1056.5625,0.830097087
1060.171875,0.818181818
1063.78125,0.800947867
1067.390625,0.794392523
1071,0.792626728
1074.609375,0.790909091
1078.21875,0.794642857
1081.828125,0.796460177
1085.4375,0.795652174
1089.046875,0.793991416
1092.65625,0.791489362
1096.265625,0.789029536
1099.875,0.788381743
1103.484375,0.800829876
1107.09375,0.8
1110.703125,0.79757085
1114.3125,0.796
1117.921875,0.790513834
1121.53125,0.791338583
1125.140625,0.78515625
1128.75,0.786821705
1132.359375,0.780769231
1135.96875,0.779467681
1139.578125,0.773584906
1143.1875,0.78358209
1146.796875,0.791821561
1150.40625,0.791208791
1154.015625,0.789090909
1157.625,0.805054152
1161.234375,0.810714286
1164.84375,0.812720848
1168.453125,0.810526316
1172.0625,0.798611111
1175.671875,0.788927336
1179.28125,0.776632302
1182.890625,0.74829932
1186.5,0.717171717
1190.109375,0.688963211
1193.71875,0.661129568
1197.328125,0.648026316
1200.9375,0.641693811
1204.546875,0.648387097
1208.15625,0.642172524
1211.765625,0.640378549
1215.375,0.639751553
1218.984375,0.634730539
1222.59375,0.638242894
1226.203125,0.622596154
1229.8125,0.608910891
1233.421875,0.583569405
1237.03125,0.562682216
1240.640625,0.552023121
1244.25,0.537356322
1247.859375,0.515669516
1251.46875,0.487323944
1255.078125,0.463687151
1258.6875,0.430555556
1262.296875,0.41160221
1265.90625,0.41046832
1269.515625,0.425824176
1273.125,0.452054795
1276.734375,0.471389646
1280.34375,0.495934959
1283.953125,0.516216216
1287.5625,0.528301887
1291.171875,0.530831099
1294.78125,0.533512064
1298.390625,0.529255319
1302,0.534391534
1305.609375,0.55
1309.21875,0.572178478
1312.828125,0.590551181
1316.4375,0.612565445
1320.046875,0.628272251
1323.65625,0.650918635
1327.265625,0.668407311
1330.875,0.690104167
1334.484375,0.710182768
1338.09375,0.731770833
1341.703125,0.750649351
1345.3125,0.767624021
1348.921875,0.782152231
1352.53125,0.788918206
1356.140625,0.798408488
1359.75,0.81530343
1363.359375,0.825396825
