Sample ID,15_Oxia_Sophia_00001
Species,15_Oxia_Sophia
Subgroup,15_Oxia_Sophia
Group,15_Oxia_Sophia
Library,EXM_MRS
Sample Description,Sample 15
Date Added,"02/20/2024,02/20/2024"
Viewing Geometry,
Other Information,"Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged"
Composition,
Resolution,2.8nm@700nm 8nm@1500nm 6nm@2100nm
Grain Size,
Locality,
Database of Origin,ExoMars Mission Reference Samples
Wavelength,Response
350.0,0.151887
351.0,0.15096299999999999
352.0,0.150007
353.0,0.148931
354.0,0.147779
355.0,0.146611
356.0,0.145479
357.0,0.144345
358.0,0.143098
359.0,0.141875
360.0,0.140725
361.0,0.139829
362.0,0.138993
363.0,0.138142
364.0,0.137362
365.0,0.13683
366.0,0.136682
367.0,0.136368
368.0,0.136029
369.0,0.135828
370.0,0.135836
371.0,0.135946
372.0,0.135883
373.0,0.135815
374.0,0.135763
375.0,0.135788
376.0,0.13554
377.0,0.134904
378.0,0.134411
379.0,0.133966
380.0,0.133526
381.0,0.13300900000000002
382.0,0.132601
383.0,0.132556
384.0,0.13251200000000002
385.0,0.132486
386.0,0.132539
387.0,0.132848
388.0,0.133348
389.0,0.133546
390.0,0.133819
391.0,0.134268
392.0,0.134821
393.0,0.135381
394.0,0.135909
395.0,0.136553
396.0,0.137178
397.0,0.137689
398.0,0.137983
399.0,0.138121
400.0,0.138224
401.0,0.137935
402.0,0.13736700000000002
403.0,0.136818
404.0,0.136384
405.0,0.13608599999999998
406.0,0.135958
407.0,0.135995
408.0,0.136163
409.0,0.136326
410.0,0.13656000000000001
411.0,0.136876
412.0,0.137153
413.0,0.137445
414.0,0.137776
415.0,0.138038
416.0,0.138281
417.0,0.138548
418.0,0.138823
419.0,0.139095
420.0,0.139346
421.0,0.13960699999999998
422.0,0.139882
423.0,0.140167
424.0,0.140511
425.0,0.14092000000000002
426.0,0.141426
427.0,0.14191499999999999
428.0,0.142377
429.0,0.142882
430.0,0.14340999999999998
431.0,0.143974
432.0,0.144688
