Sample ID,15_Oxia_Sophia_00003
Species,15_Oxia_Sophia
Subgroup,15_Oxia_Sophia
Group,15_Oxia_Sophia
Library,EXM_MRS
Sample Description,Sample 15
Date Added,"02/20/2024,02/20/2024"
Viewing Geometry,
Other Information,"Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged"
Composition,
Resolution,2.8nm@700nm 8nm@1500nm 6nm@2100nm
Grain Size,
Locality,
Database of Origin,ExoMars Mission Reference Samples
Wavelength,Response
1271.0,0.334142
1272.0,0.334344
1273.0,0.33455599999999996
1274.0,0.33476500000000003
1275.0,0.334976
1276.0,0.33519
1277.0,0.335403
1278.0,0.33561100000000005
1279.0,0.335814
1280.0,0.336015
1281.0,0.336219
1282.0,0.336429
1283.0,0.33664499999999997
1284.0,0.336864
1285.0,0.337084
1286.0,0.33730600000000005
1287.0,0.337531
1288.0,0.337755
1289.0,0.337971
1290.0,0.338175
1291.0,0.338369
1292.0,0.33856200000000003
1293.0,0.338765
1294.0,0.33897799999999995
1295.0,0.33919600000000005
1296.0,0.33942
1297.0,0.339651
1298.0,0.339889
1299.0,0.340134
1300.0,0.340382
1301.0,0.34063299999999996
1302.0,0.34088700000000005
1303.0,0.341143
1304.0,0.341403
1305.0,0.341668
1306.0,0.341941
1307.0,0.342214
1308.0,0.342476
1309.0,0.34271700000000005
1310.0,0.342941
1311.0,0.343163
1312.0,0.343395
1313.0,0.34365
1314.0,0.34391599999999994
1315.0,0.344177
1316.0,0.344417
1317.0,0.34463099999999997
1318.0,0.34483199999999997
1319.0,0.345027
1320.0,0.345226
1321.0,0.345425
1322.0,0.345621
1323.0,0.345815
1324.0,0.346008
1325.0,0.346203
1326.0,0.34639200000000003
1327.0,0.346567
1328.0,0.34671599999999997
1329.0,0.34684
1330.0,0.346963
1331.0,0.34710599999999997
1332.0,0.347269
1333.0,0.347443
1334.0,0.34764
1335.0,0.34787100000000004
1336.0,0.34814799999999996
1337.0,0.348455
1338.0,0.348765
1339.0,0.349056
1340.0,0.349341
1341.0,0.34962000000000004
1342.0,0.34987999999999997
1343.0,0.35011200000000003
1344.0,0.350319
1345.0,0.35050899999999996
1346.0,0.35068699999999997
1347.0,0.350854
1348.0,0.35100499999999996
1349.0,0.35115
1350.0,0.35129800000000005
1351.0,0.35145000000000004
1352.0,0.351602
1353.0,0.351755
1354.0,0.351911
1355.0,0.35207
1356.0,0.35223
1357.0,0.352388
1358.0,0.35254399999999997
1359.0,0.352712
1360.0,0.35287100000000005
1361.0,0.352994
1362.0,0.353067
1363.0,0.353108
1364.0,0.35310699999999995
1365.0,0.353055
1366.0,0.35293399999999997
1367.0,0.35275
1368.0,0.352539
1369.0,0.352335
1370.0,0.352111
1371.0,0.351878
1372.0,0.351681
1373.0,0.351559
1374.0,0.35149299999999994
1375.0,0.35147799999999996
1376.0,0.351523
1377.0,0.351642
1378.0,0.35185299999999997
1379.0,0.352106
1380.0,0.352342
1381.0,0.35255200000000003
1382.0,0.35277200000000003
1383.0,0.352945
1384.0,0.35301099999999996
1385.0,0.35294
1386.0,0.35277500000000006
1387.0,0.352567
1388.0,0.35235900000000003
1389.0,0.352109
1390.0,0.351838
1391.0,0.351605
1392.0,0.35145200000000004
1393.0,0.351338
1394.0,0.351286
1395.0,0.35133200000000003
1396.0,0.35151400000000005
1397.0,0.351817
1398.0,0.35218400000000005
