Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
1009.39681451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014.44379858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019.51601758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024.61359767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029.73666565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034.88534898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040.05977573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045.26007461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050.48637498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055.73880685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061.01750089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066.32258839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071.65420133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077.01247234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082.3975347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087.80952238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093.24856999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098.71481284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104.2083869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109.72942884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115.27807598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120.85446636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126.45873869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132.09103239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137.75148755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143.44024499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149.15744621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154.90323344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160.67774961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166.48113836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172.31354405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
