Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
2154.28579022,0.31392160960287996,0.3584193110611206,0.436978393895272,0.7576133649166019,0.8216389759228566,0.33571316816221314,0.3111980510171901,0.6314961685741006,0.6276003765271654,0.7528009584139117,0.19208198591959955,0.7117379924148923,0.48477093700870255,0.6540150851915791,0.6573799698919303,0.4795892070061706,0.6168088644856601,0.49718556069700764,0.5867466777219873,0.5109564971704762,0.6942880223146808,0.5445240100818759,0.8637966672590724,0.6998145351707771,0.9069537354045452,0.7109049493967757,0.3409920795149344,0.6499901365507645,0.6864816742685239
2165.05721917,0.3116929370154566,0.36834949039241843,0.43670591510938234,0.7572206370110398,0.8206051170194454,0.3359035755919896,0.3027558679348147,0.6263124339062698,0.6176222123857634,0.7458970958237422,0.21639229640335864,0.7136219630942333,0.4837011682469326,0.6233023821315029,0.6530132335828787,0.4580145769889697,0.6185630626623124,0.4980111828513293,0.5783162041899996,0.5095609064113642,0.6942312653019304,0.5428000546278792,0.8636492135528736,0.7016430132520528,0.9065396425716716,0.7075479468501235,0.333721798611381,0.6404541637374261,0.6887926708396055
2175.88250527,0.30949317365944623,0.37816930062171744,0.43661994249491476,0.7568777083230247,0.8185523441976689,0.3361681952367476,0.30560816869756596,0.6204763841839407,0.6090051550315535,0.7382267321071061,0.24021893500366792,0.7153626015193717,0.48212475496028834,0.6075132648227166,0.6459577706402654,0.4320128693358975,0.6183452041961621,0.4977455756484587,0.5655651209017104,0.5072020006257112,0.6940701593980485,0.5404668120585597,0.8639921028426183,0.7015453567208411,0.9061624665658147,0.7031037401230462,0.3241135287435043,0.6287475478258776,0.6912284542353171
2186.7619178,0.3073981969519088,0.38832740450153436,0.4366974388667208,0.7570152044655039,0.8158162425638572,0.3365781938910869,0.32070146079377015,0.6139773582675084,0.6023654768660047,0.7288147145473417,0.25898132921052264,0.7168185120653864,0.47979332856963947,0.596850998273049,0.6359452952284315,0.40331046771823403,0.6160234724498607,0.49645062983006505,0.5497642154988187,0.5041578364306527,0.6940167208574267,0.5420951139618745,0.8638926505617136,0.6993853349345346,0.9056825200729981,0.6971890742998982,0.31330134413353233,0.6158345278462682,0.69172862103883
2197.69572739,0.30565567824764295,0.398615915726973,0.43675264485762466,0.7572229728972839,0.8136439504475671,0.3370594201727875,0.34629567505957354,0.6072174693408103,0.5958749383142687,0.7174041745343802,0.27170533930327345,0.7177282150667101,0.4763236487385393,0.5839215689309235,0.6241285057578743,0.3778603241802521,0.6114153756439161,0.4941273042021905,0.5338953968536478,0.5006816044341156,0.6928630571996205,0.5403411611152946,0.8633123450414861,0.6947264064743351,0.9048905890295337,0.6880230050635473,0.30310297266495295,0.6000820657052459,0.6915801927840515
2208.68420602,0.3041899964013173,0.4089059867038888,0.43680421154476806,0.7574705848086729,0.8118549115329463,0.33752933785852274,0.37026870190791106,0.6000939317142872,0.5888314673870179,0.7043604220416888,0.27937137110581955,0.7179036750212788,0.4713184085507593,0.5769742105966674,0.6132956870462098,0.3731976597979221,0.6039823596826596,0.49036456821067603,0.5263553161369026,0.4961151602861232,0.6905369627100754,0.5304499558872857,0.8619629848708303,0.6874179946541095,0.9041585563445822,0.6730911019108344,0.294987879608113,0.5793959137146035,0.6907457963577194
2219.72762705,0.3029371654756826,0.4192614356018432,0.43669274895699156,0.7577469575372213,0.8098426815571647,0.33798857399760973,0.4128035797754487,0.593259733903547,0.5857619344026561,0.6903555194698595,0.2841436919139865,0.71717929382124,0.4638365476437413,0.6091767514820876,0.60724982547438,0.39282890384698393,0.5926975521111405,0.48442695605026137,0.5324718173023734,0.4900591687339006,0.6865176827634913,0.5086855068666398,0.8598639893155704,0.6773801476113372,0.9041701129847681,0.6534849340163403,0.2904642113422104,0.5500154705787037,0.6883430956874118
2230.82626519,0.30198107930536017,0.42939894187330346,0.4364148242527252,0.7580461420527038,0.807613942195605,0.33837581080163986,0.4601993930150647,0.5878945672587075,0.5908926979302329,0.6775059448362876,0.28810556325925807,0.7153432660491194,0.4527686933338531,0.6486406231310962,0.6081687198113223,0.40953156536569874,0.5764775116155669,0.4753563703871635,0.5429357284699473,0.48420769328059027,0.680329405932965,0.48286753477097677,0.8564928765590835,0.6647345745287472,0.9042460287910693,0.6369949243440693,0.2886410510866494,0.5062312816279142,0.6848051105303657
2241.98039651,0.3012288382038762,0.43932675742975047,0.43594988558062364,0.7581996134359457,0.8053783714692342,0.3387722257560773,0.48787227355646495,0.5824714317667526,0.597908054519916,0.6653511464467181,0.2915857379009789,0.7121403297632749,0.44009567105665665,0.6660518816453973,0.6131475492846867,0.4072568250646545,0.5584141395543785,0.4638570565002506,0.5522405355649452,0.48024365646274136,0.6727545921918612,0.46408334968201115,0.8517684423749772,0.6502281353123501,0.904858724862624,0.632526575284339,0.2876775358791821,0.4502913407156031,0.6809876528461957
2253.1902985,0.3007543073602728,0.44889048925346103,0.43542967960106344,0.758555769237045,0.8036142364608764,0.33919164070086133,0.4999110648493287,0.5757039197527914,0.6008471010633797,0.6487635323732075,0.2934366412206669,0.7072573388809628,0.4313192663113092,0.6716907976844176,0.6186102164160027,0.39501101614886175,0.5435144944840931,0.4532712598271883,0.5604264742214223,0.4749687918085076,0.6621336918051097,0.4354950413746116,0.8458296933398174,0.6354651048256514,0.9053795217803661,0.6374445664754335,0.2870559645032888,0.405110912735299,0.677239290065172
2264.45624999,0.30062841454260764,0.45780695078149947,0.43487062616552086,0.7590939131230371,0.8017008925955266,0.3396465604529025,0.5026453454092811,0.5689178788438706,0.6008819309844813,0.6322095094253242,0.2922212477490828,0.7004999762094731,0.42638542229008536,0.6701529424225673,0.6251096936297301,0.3877505319679974,0.5276447710614675,0.4427957260110046,0.5652720550734203,0.4638927880888695,0.6439000330829151,0.3849551594707082,0.8382186735805415,0.6227091026698809,0.9056890182312514,0.6380641977497853,0.2870465726212108,0.38918771221614173,0.6724979697217975
2275.77853124,0.3006881504595312,0.4655869575995563,0.43442853332756226,0.7596422295019132,0.799810483445675,0.3401129062855214,0.4995613699096997,0.564640059556131,0.6039530747478773,0.633265953631017,0.28735350418255956,0.6919231183645607,0.42036141505402513,0.6628398032035868,0.6313749131639167,0.3863098009222694,0.5109323798374602,0.4311642720474014,0.5657577237162079,0.450045959312162,0.6136001935988109,0.31667236865371257,0.8290369594152259,0.6125261172153436,0.9061456478245934,0.629651199930155,0.28768962612726556,0.3815914265677139,0.6665194704664653
2287.15742389,0.30120099148021673,0.4721508808684646,0.4339544394281674,0.7601053331696659,0.7975400304042508,0.34066863682792464,0.4901278415182558,0.5623109028381924,0.6112022941634858,0.654566454611761,0.2802569797209336,0.6814874040843276,0.41003207609987646,0.6519927621615738,0.6345261394581109,0.37944513869613367,0.49404393154658316,0.4199086480668957,0.5626868572008709,0.4445136718384332,0.5724046809483881,0.24934558186099334,0.8194454232866026,0.6039369989449468,0.9060442036928283,0.620375477702783,0.2886454264044974,0.35907800197547723,0.6588807481570316
2298.59321101,0.3019202606886887,0.47826009718057433,0.4332466231368827,0.7607283803461202,0.7955648996274431,0.3412371013996372,0.4711972841901189,0.5605416085760866,0.6166475619756995,0.6799709458533247,0.2733675158664097,0.6689369018731538,0.3987178396112912,0.6391492447225627,0.6329658085456756,0.3642798267103982,0.47633550224511495,0.4074505393973391,0.5575082785398977,0.45227693042109934,0.5374180719539566,0.20760920123567006,0.8109172623406595,0.5975692239783672,0.9061645183237496,0.616669707008791,0.28956574449806105,0.3206860298712157,0.6500204454020596
2310.08617707,0.3027850102783424,0.48389603230366224,0.4322872268861587,0.761261872203241,0.7940126551972092,0.34166362669851486,0.4416042586501726,0.5581755579916841,0.6180611904671663,0.6999055386929629,0.2670897245801518,0.653907066283418,0.39032215658016645,0.6250575307648402,0.6270357223919371,0.3491591326852081,0.45954048018740606,0.39320536558639224,0.551310303095971,0.4635058311391208,0.5113500622738779,0.19512723900001333,0.8031461922598231,0.5959320424152065,0.9062231471924039,0.6076874243413614,0.29022194327142864,0.2754735145945608,0.6410981816339159
2321.63660795,0.3039592625098981,0.49124128571651093,0.43134206516991735,0.7614939884337143,0.7919591641874683,0.3420081088041185,0.41808982493705715,0.5545655964469648,0.6155705627161179,0.7188560944095781,0.25988861390173174,0.6359472696906621,0.38348914392855105,0.6129753908351333,0.618166541927289,0.33642835027731566,0.451595231049359,0.37992789972295077,0.5440831811006788,0.46957132829376325,0.5084915647938112,0.226874768722364,0.7946670485102565,0.6010412922640851,0.9043975936261242,0.5709221405630412,0.29035463016699176,0.23839428571248197,0.6328689484865464
2333.24479099,0.3056590903850197,0.500862524676918,0.43035808375589923,0.7617214497887225,0.7880948628935749,0.3422442706776573,0.4197441168346601,0.547366991412999,0.6090942718405185,0.7300313067434349,0.25055667856490604,0.6148569982122303,0.381152634952352,0.6048283208584369,0.6085084841616905,0.3238494576019035,0.45746323091338076,0.37566601545109796,0.535922673324143,0.470336381247348,0.5315644901943483,0.2886544682529954,0.7881767489951075,0.6103927339741301,0.9029776929289709,0.5151817856753887,0.2894822429725279,0.2218682757267331,0.6232115647045547
2344.91101495,0.3077454012174371,0.509953492126878,0.4294810062338809,0.7617983847697949,0.7838573395772492,0.342432962461385,0.4315360938634884,0.5358201409569409,0.597639067051789,0.731740993572917,0.23881942703150566,0.5910875320307581,0.385136742779683,0.5954293997706405,0.6004352589564678,0.31552493437844403,0.47306481500642616,0.38355907463407135,0.526560168170376,0.4674724356869399,0.5472274605590436,0.3242794686031076,0.7918817026859609,0.6180355658053627,0.902842330607441,0.47498496504819404,0.2873647202168445,0.23649300213256097,0.612017959570341
2356.63557002,0.3101886477244346,0.5173642343687395,0.4284989863887618,0.7618111232879513,0.7803680613697503,0.34273455565561267,0.4332496253327697,0.5199987015192312,0.5810130967675878,0.7249200648544072,0.22492908886773305,0.5660112395810102,0.39321090897500954,0.5824575244750174,0.596357397245755,0.31506023188146026,0.48432970954968774,0.3955157031247117,0.5166118467368745,0.46238270087091143,0.5453918090010826,0.31958872924720294,0.8074379004997296,0.6189418104609734,0.9026363876327763,0.4576107864915354,0.28402264363246704,0.28604510216055135,0.5989409694101602
2368.41874787,0.31262647286749345,0.5231181918400613,0.42767460670421653,0.7618905510417147,0.777346908391145,0.34319378790171073,0.41795864426821716,0.5010376615745205,0.559008096277145,0.7099083955330945,0.20923122172646164,0.5415157949813171,0.4022044396240902,0.5715787241989393,0.5959458777181554,0.3194340891220041,0.4827132446286172,0.40038617479441596,0.5070878162249298,0.45635013834771243,0.5306052299226443,0.292921708058645,0.8248936392558591,0.6133461441584159,0.9013071856280723,0.46584752546034314,0.27931747893849856,0.3565944342055279,0.5818658301228669
2380.26084161,0.3151607715578312,0.5274662607805713,0.4271101297194517,0.7620216357512222,0.7738513614012661,0.34374885590821375,0.3856402732354655,0.47991592619420387,0.5309706110243049,0.6877165588862264,0.19202452198380057,0.5190801617737372,0.40893596089113776,0.5613110629403509,0.5965752675228867,0.3230736419967765,0.4747419388923053,0.39859418709022326,0.49777703552017316,0.44945706664965623,0.5089814190093436,0.2624918259811556,0.8361170195037485,0.6040961639113775,0.8990221415335721,0.4846324356327698,0.27319188015335805,0.42417515490736785,0.5599208422192742
2392.16214582,0.31812784877338446,0.5315080070718455,0.4266382209636529,0.762162481016052,0.7697406369822939,0.34442142270739473,0.34806617383364563,0.456302872290177,0.49731806464603867,0.6600266084293797,0.17617493894133987,0.4999135902864323,0.41319143011442927,0.5567681791845523,0.5964730072773413,0.3224158682828802,0.46679536523267845,0.39538857864132415,0.4880273433415518,0.44205060040723204,0.49380885724923224,0.25735270094538265,0.8410725608123446,0.5924597352018437,0.8966160745444083,0.5020283356986599,0.2657393693993124,0.4757211859184481,0.5332288787725729
2404.12295655,0.32125105605159926,0.5364822879438775,0.42616005940102036,0.7623160712869522,0.7658205325963678,0.34515274289385545,0.32077725676671354,0.43040072276739133,0.46163609459855276,0.6334062907947312,0.1688699504844899,0.48483018087874313,0.4177670967790298,0.5577212523479544,0.5949071617545569,0.3194666263089793,0.45953292510447336,0.3923693905959178,0.47795861911817017,0.43627928786420006,0.4905394945807595,0.2770233464447958,0.8417591940203678,0.5789770712709787,0.8945812538580581,0.5261523456839747,0.2571078578232872,0.5117828856646212,0.5013547666102584
2416.14357133,0.3248789631127499,0.5406454525211778,0.42599555815176127,0.7623966093529475,0.762026828924253,0.3457334703753069,0.2993632735165024,0.4032223063823762,0.4311202397141932,0.6161346580227822,0.17182809132979623,0.47406291601308337,0.4211982663049136,0.554089937974872,0.5913211845863008,0.31620595627656944,0.4510039925461246,0.38891889573828464,0.46747837324755676,0.4336270933021784,0.4857288070620797,0.29944102039561377,0.8391785123487598,0.5636958409451209,0.8931040123293117,0.5508649595302878,0.2475978775685187,0.5350399895330449,0.4642053245356297
2428.22428919,0.32893327952628404,0.543461550432815,0.4260533075249024,0.7625584981163296,0.757747914061405,0.3462454413070943,0.28063976018801123,0.37710899795225206,0.4097146419672959,0.607767875148118,0.17642480250193407,0.4669547975189252,0.4203725913829548,0.5429567716894653,0.5858722903796845,0.3133051013488923,0.44126293993768445,0.38463593066206475,0.4568435010610455,0.4324937203231182,0.47392911092120515,0.3055856054178849,0.8332402763313884,0.5464934323714432,0.891142366194114,0.5716953256354,0.23760509273036062,0.547785205656244,0.4241868779553922
2440.36541064,0.33334241660934194,0.5455588386173779,0.4258261742486429,0.7621974343496575,0.7533270312642126,0.3467680775185377,0.2732632608504483,0.35347399738642876,0.3954004943200671,0.5992729754367153,0.17712581601765456,0.4622849527393967,0.41686616943561167,0.5276060300888075,0.5808639398796758,0.31183315640343234,0.4327248937678845,0.38143338007794264,0.44644458523702457,0.43123811938433676,0.460958773488703,0.29994170115731433,0.824227348177697,0.5283023365453023,0.8889268304381437,0.5850414188014549,0.2276009506852676,0.552664977418239,0.38409438811424174
2452.56723769,0.3379887784581608,0.5472459705296034,0.42504490841442705,0.7617091541606689,0.7494137378839493,0.34732612951282654,0.2707973497080933,0.33350729503995735,0.3849650724228951,0.5854185321500789,0.17447077040260456,0.4586927792053132,0.41211802361653255,0.5137603353699854,0.5778555910357008,0.3128813884297493,0.42496120807968213,0.3808201264678605,0.4371024207592593,0.42950358956376256,0.44781416503998067,0.2930616605844417,0.8121620912426826,0.5114587597953795,0.8871202843723983,0.5873183102182529,0.21813912260410107,0.5513963295131492,0.3466368893183359
2464.83007388,0.3422960704579793,0.5487921432247164,0.42414555361272827,0.7611590763203874,0.7462285590932279,0.3477585535369371,0.2638613507320888,0.3175003857895922,0.3750276146130405,0.5736673228675802,0.17037756190908931,0.4552742693439677,0.40715305236836197,0.5032431385554615,0.5766926436544406,0.315313913816335,0.4162528423448624,0.379196321998335,0.4294778893286395,0.4270590141412443,0.43554505518555064,0.2898401442528709,0.7968639826876479,0.4979954083829149,0.8857699710223802,0.5810113544615538,0.20970315331622502,0.545782312434304,0.31383594532850523
2477.15422425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489.53999537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501.98769535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514.49763382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527.07012199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539.7054726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552.40399996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2565.16601996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2577.99185006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2590.88180931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2603.83621836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2616.85539945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2629.93967645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2643.08937483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2656.30482171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2669.58634581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2682.93427754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696.34894893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709.83069368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723.37984714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736.99674638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750.68173011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2764.43513876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778.25731446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792.14860103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806.10934403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820.13989075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2834.24059021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2848.41179316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2862.65385212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2876.96712139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2891.35195699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2905.80871678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2920.33776036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2934.93944916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2949.61414641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2964.36221714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2979.18402823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2994.07994837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3009.05034811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3024.09559985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3039.21607785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3054.41215824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3069.68421903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3085.03264013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100.45780333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
