Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
913.5676125,0.20424583800835278,0.12262353559761921,0.2191970275145334,0.3192694112870687,0.25587498998848673,0.3291862388155305,0.8697726225413849,0.9200594283388037,0.9423172523366053,0.40878652249764663,0.854052058235329,0.9475634293254908,0.2785880783860326,0.9328892574522396,0.4393347835558415,0.4090227733124309,0.40264239102415494,0.5795428868081652,0.38247274885959326,0.909338244464664,0.563314454783977,0.884021460847108,0.9005763582407431,0.9001468666819435,0.7347438899006171,0.5692935208854764,0.2539249676414519,0.9042317772217834
918.135450562,0.19984945784479305,0.12330669145276174,0.21781087807208915,0.31456152388891345,0.25941273032009354,0.3290552779296276,0.8705628052999916,0.919142437072366,0.9421451823350901,0.4090494218693761,0.8540793887709852,0.9471575909154055,0.27948487057471494,0.9327701788544157,0.439356644626536,0.4093988981985865,0.4032346033381804,0.5797644201727663,0.3822493786027576,0.9089453058313911,0.5639472696477446,0.8840762361874749,0.900383366652586,0.9003146959031438,0.7348886406469822,0.5692667868776767,0.2523338178308134,0.9026104285217259
922.726127815,0.19540067009765552,0.12444328824040518,0.21641344925525363,0.3098014988954335,0.2634796265208238,0.3288201764848551,0.8712806293132507,0.9184346210393219,0.9418003072502467,0.4096754571460102,0.8540185672271683,0.9466547715829448,0.28044333787659737,0.933023821786616,0.43947091349009104,0.4100306250025347,0.40374877915013435,0.5802352735187587,0.3822024482582811,0.9079608004563317,0.5644909485255525,0.8844713424874483,0.9001226905889155,0.900813130739311,0.735042150747508,0.5690091461267034,0.25054821322851417,0.9008360834250491
927.339758454,0.1909204441429251,0.12592598711359052,0.21512506411820173,0.3047713821276193,0.2684983779351365,0.3284157976344945,0.8717344656582418,0.9183030087908555,0.9413160245751202,0.4106571897169629,0.853946853187148,0.9460001000381868,0.2818094749965797,0.9330318959315188,0.43962033019638996,0.410576834323335,0.4040064131922933,0.5811209480593891,0.3822535800105745,0.9069747090432304,0.5649734700767872,0.8847188088166236,0.8999868124786994,0.9013660656737473,0.7352735114224387,0.5683882098391208,0.24883868765095402,0.8986010361938049
931.976457247,0.18651002319973764,0.12775930597571478,0.2139647624473662,0.29932947481438166,0.2742038703500308,0.3280090570768886,0.8721943983341987,0.9181448712902399,0.9411321857400514,0.41176617931858095,0.8537571191986525,0.9451481363251997,0.2833683742196756,0.9326355165579316,0.43986231156555167,0.4110366644236102,0.40454508665654865,0.5822746625982651,0.3825064612995064,0.9059093214092344,0.5650103585366187,0.8846972494366784,0.8998614166635861,0.9016298729650365,0.7352993496738267,0.5677356841400745,0.2473200624414701,0.8959355562997923
936.636339533,0.1823119491762179,0.13018033277536345,0.21286423642656133,0.29370571195717243,0.2799316525838612,0.32760113231229276,0.8726066338561715,0.9169699912766696,0.9411790557259339,0.41328485905776574,0.8532391436481845,0.9440764587303089,0.28477707731971297,0.9323444659263518,0.44024548778736594,0.41154625113708054,0.40564978662486495,0.5828139985830038,0.382828502945867,0.9045563479857036,0.5638894392334979,0.8847125484647538,0.8998524079253541,0.9012754616618095,0.7351817595398954,0.5670384814052427,0.24597610422847913,0.8931178455355753
941.319521231,0.17819626864570937,0.13335474314390625,0.21177644293527684,0.2879883367528072,0.2855546881278876,0.3270281139621746,0.8725684073638036,0.9149872016003892,0.940863580358999,0.41517043213161653,0.8523462569764644,0.9428674799279887,0.2861747281246934,0.9319950519679707,0.44057027463084897,0.41200036882570884,0.4066279067760343,0.5826658003868613,0.3831534420494203,0.9018324664791532,0.560835324777081,0.8846874247297892,0.8999320099591797,0.9003835942761965,0.7352365832420638,0.5661305004629543,0.24463095284897138,0.890399563126878
946.026118837,0.17414117866465773,0.13704593700523549,0.21066250223363414,0.28227152269744193,0.29139455517466045,0.32632715090563147,0.8721530330327082,0.913074583433617,0.9399807215028956,0.4169496128983116,0.851129973000554,0.9417179266598789,0.28747103095632176,0.9315889868370985,0.44093066970553774,0.4123333185069733,0.40748688977082703,0.5829560584481658,0.3837158511239955,0.8978346311403651,0.5569451146692147,0.8847161571598446,0.8998656003701339,0.899552583444216,0.7353369059105898,0.5655248421853112,0.24317698278312858,0.8877679309173173
950.756249431,0.17022842296810758,0.1413274039420612,0.20947694276640955,0.2765892691530957,0.2979926390385688,0.3255851557385065,0.8719264086699609,0.9116284212894076,0.9391259133031987,0.4188532197304491,0.8497953308191266,0.9402433091237393,0.2887032267182372,0.9307702550763377,0.4412046804596576,0.4128370116480699,0.40858547530391504,0.5833728447351816,0.38444320828608586,0.8962727302597407,0.5565823698975131,0.8846749082843172,0.8999512444659442,0.8996349489482813,0.7354523775210625,0.5652967975172503,0.24188006312567972,0.8845931629948951
955.510030678,0.1666012952330545,0.1462674527403227,0.20834850381353612,0.2708279095231701,0.3056986701730471,0.32491358166311685,0.8717133349110116,0.9106398419782125,0.9381102188172051,0.4209276317852991,0.8484724630606169,0.9379457640334917,0.29011034230260674,0.9297621330040804,0.4414149749231871,0.41345487927182595,0.41001309958292514,0.5835217896025621,0.38517216913910923,0.8971689762600074,0.5610929461547508,0.8846531145205135,0.9000280395819813,0.9006667634223946,0.7356079811353439,0.564977551202956,0.2407715667196938,0.8799582729132241
