Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
1061.01750089,0.1559097151891042,0.4474420529937393,0.1892203751289771,0.19840394942896672,0.4952820466024744,0.30442238868802823,0.8837335810105195,0.918690415625143,0.9402593563207761,0.5308349678924108,0.8453948208529452,0.9432288349643385,0.3025294058390671,0.9414461790090622,0.44810448001265146,0.4190943644083563,0.4264419304201798,0.5916016471576764,0.43078801901569463,0.9096390523052416,0.5857129524154667,0.8833729201164096,0.9026501218584629,0.9017503169358051,0.7371650511327662,0.5616723036660134,0.23581143721171602,0.8969088373102931
1066.32258839,0.15892626017223943,0.4647722774424509,0.18902289898093677,0.19929539858683276,0.5030001855724475,0.3035339423529341,0.8844544902801305,0.918841814313577,0.9405801535851807,0.5382739679299797,0.8467218450314328,0.9437218951308273,0.30275586481878153,0.9415267217723541,0.4483420690142923,0.41892201444534666,0.4265476583534314,0.5927885280696628,0.4340003349982451,0.909888308826759,0.587096220554761,0.8834970325392956,0.9030448593465574,0.9025422343896491,0.7372722721193515,0.5613676984362526,0.2375388990855902,0.896455515553168
1071.65420133,0.162217354422479,0.48110941555781245,0.18890797863366326,0.20043292648965333,0.5106971210563873,0.30260985074300756,0.8850688796384897,0.9188746520773755,0.9408306470006166,0.5455519590410935,0.8478793499537968,0.9439654085609341,0.30303763055693,0.9413238145256423,0.4488223847822784,0.4186701002999853,0.42685206739824877,0.5938181380655098,0.4373507911098402,0.9102922370172546,0.5886536148292313,0.8835548321177707,0.9032335804936947,0.9025684647528562,0.7374365989314207,0.5610854377312812,0.23956086167749058,0.8958954544988789
1077.01247234,0.1658264124089881,0.4963361150647624,0.18896130523831864,0.20194585072962806,0.5185474628095887,0.301749155145008,0.8855374626338116,0.9186897178377553,0.9408380337749378,0.5529590745345472,0.8489629767534471,0.9440021432748393,0.30318793567700736,0.9410183103285136,0.4492000100570589,0.41855878737416996,0.42702899640976605,0.5947944320299002,0.44058606645804044,0.9105969084334499,0.5901685828300051,0.8841971891563112,0.903201988873136,0.9018703024471679,0.737615955396051,0.5607601516666301,0.24176838366484574,0.8953888707477475
1082.3975347,0.1697815892732196,0.5103994099952628,0.18920953636844012,0.204030204899657,0.5266777620109803,0.3009364942293138,0.8858222009688961,0.9184342521783118,0.9405732986766991,0.5605860929909473,0.8498671058076871,0.9437735092533037,0.30335330972676666,0.9412070628374134,0.4494142705412906,0.4186236520213488,0.4271583536133688,0.5952893274257492,0.4438274106688833,0.9107491400721807,0.5914669063146486,0.8847160129423441,0.9032772827926148,0.9012276934883714,0.7376992964723081,0.5604765212799238,0.24402144558677252,0.8947423603361084
1087.80952238,0.1740099973970662,0.5234654099244925,0.1894728897933845,0.2065378144929204,0.5349245972505771,0.3001587318164003,0.8859077519458738,0.9180015120668614,0.9399838272710735,0.5679271790854812,0.850560066407979,0.9434404602444366,0.3035818971427793,0.9421569658951365,0.44989867248337495,0.41904955273361805,0.4273879819580678,0.5956607714520822,0.44713435970176574,0.9106907747168327,0.5928657027582068,0.8848908408609402,0.9034369154468179,0.9014885381927575,0.7377393961293813,0.5601156787828111,0.24670872268152155,0.8937918131930922
1093.24856999,0.17851417718130105,0.5356501578188861,0.18979065762490502,0.20941558156506498,0.543225695438354,0.2995193478818876,0.8860121686798703,0.9169710042860776,0.9390290174963071,0.5752215379961872,0.8511322730988753,0.9428794958582546,0.3039949685112973,0.9430074851662024,0.45038570231317365,0.41966834372069717,0.42785955191297476,0.5963724544758735,0.4502816575047786,0.9107721120177092,0.5946339646091676,0.8848345856265087,0.9034273184257745,0.902513099596411,0.7377863834586307,0.5596460351055806,0.24989730294275575,0.8924243242711994
1098.71481284,0.18329960118282715,0.5466200487020924,0.19037094081332176,0.21257410168229507,0.5517655040274314,0.2989087805697161,0.8862205471141315,0.9156227762500482,0.9383732215058765,0.5825042930386266,0.8515342218577088,0.9420659603576454,0.30450477558115074,0.9432391255999604,0.45095272263007546,0.42037296440835814,0.42840777783865003,0.5966867005991565,0.4533448410971919,0.9107437683917685,0.5963988986969969,0.8846325016455582,0.9034387732868566,0.9029307898123949,0.7379063775834018,0.559147705901923,0.25347317589409674,0.8903340183659989
1104.2083869,0.18825911185094432,0.556476235669968,0.1910979742931604,0.21590721678313637,0.5607202820242961,0.2982677057606861,0.8863531202467487,0.9142999023947125,0.9379397536799008,0.5899561780717765,0.8517320271966385,0.9411171972364609,0.30490486106170867,0.9434655676733734,0.45171732775491114,0.4211466323811247,0.42898105012639665,0.5969796085318937,0.45642632304416547,0.9107465791554841,0.5981674931093934,0.884517371133745,0.9036192890240506,0.9031108418872292,0.7380150481191163,0.5586122720248248,0.25748471133043466,0.8877767884313144
1109.72942884,0.193375707901586,0.5654626007276664,0.19188706645277884,0.21930093825612004,0.569957276846365,0.2976601776744812,0.8865899720837694,0.9130061421262048,0.9372996795089998,0.5973061895092858,0.8517145483954307,0.9400677882352609,0.30536560865163354,0.9438145109469983,0.45260068543548176,0.4218881126040411,0.42967844478136086,0.5972105135689469,0.4594706722298666,0.9103666561877705,0.5999779783224117,0.8846310464863307,0.9038670915088766,0.9032853178650091,0.7380636417980911,0.558046799852204,0.26174108358387405,0.8851456880541008
1115.27807598,0.19861761850008092,0.5732512738439656,0.19277540367772936,0.22286265552300671,0.5792543520022134,0.29705221534270176,0.8869658769980527,0.9117511949552649,0.9363933040076857,0.6044351692179517,0.8515601310947583,0.9388194357680805,0.30604202373742834,0.9443695866667935,0.4537483074760646,0.4224135448056699,0.43053285087248755,0.5972753419864877,0.46264395752482523,0.9095618192817482,0.6017719560087753,0.8844481835512104,0.9039014829336929,0.9034867765902062,0.7381179315764963,0.5574728273183914,0.2660647792448021,0.882883269241344
1120.85446636,0.20399196815841195,0.579989040439159,0.19365893952186333,0.22662704310147247,0.5886607149461465,0.29643977239787483,0.8876340511721627,0.910989856422398,0.9355128280431517,0.6115670216517436,0.8511832516641883,0.9372782474959335,0.30696711180520136,0.9448115423551741,0.4548905569608661,0.42305969749476685,0.43112180979261844,0.5973186469193956,0.46559396578725387,0.9086832598880865,0.6034808834751573,0.8845690769224821,0.9038375853984864,0.9034388574836948,0.7381080266435287,0.5567559805872303,0.27041970199880544,0.8805975963600718
1126.45873869,0.2094285441924247,0.5860362464887586,0.1946374717137189,0.23034492230221637,0.5984778401064824,0.29586762379594994,0.8884554960229735,0.9099019809458662,0.9343997243212733,0.6188529131805208,0.8504248504154678,0.9353309826325203,0.30793736479667644,0.9453411065753656,0.45580911164920884,0.42402383081187517,0.4318089047883045,0.5979056846600902,0.46816947164668254,0.9074034652696253,0.605248876556146,0.8848482388574834,0.9038269419750304,0.9030317342766931,0.7379950876664237,0.5558465162988594,0.27485723497189857,0.877706094090206
1132.09103239,0.21480818274775723,0.5911493320639167,0.19573416796436516,0.2338327655315127,0.6089297758912617,0.2952783423362058,0.8892563879404628,0.9074116630165734,0.9329340617367846,0.6258423379339975,0.849031454824794,0.9331271490761629,0.3088500497964709,0.9452457986412062,0.4566381665065646,0.4249423834240504,0.4326407636026307,0.598710401975561,0.4707264534331315,0.9049396950534919,0.6070310029939395,0.8850076692269369,0.9036489633361038,0.9028849060763111,0.7379766297202365,0.5547330447349104,0.2794392728029006,0.8737041051228346
1137.75148755,0.22012885472337942,0.5955315938423139,0.19700206602137688,0.2373259670335064,0.6197589254106389,0.2946875190287902,0.8897589114791993,0.9037978273544911,0.9311452330685591,0.6324721804369902,0.8469239641684599,0.9302227006851281,0.30974943852495007,0.9454303447195243,0.45776806837615286,0.42586000478775676,0.4335825946848917,0.5988988978111768,0.4730769218899658,0.9012238740730343,0.6086382392062955,0.885168995502754,0.9033910249076497,0.9025591391778163,0.7380888726664534,0.5533206535534997,0.2841236596924614,0.8677566745256312
1143.44024499,0.22545652916189024,0.5995109324275112,0.19856053633655033,0.24086416493858195,0.6303457036684079,0.29411872640830783,0.8898744710857711,0.899295136018352,0.9287637177724034,0.6391124505959833,0.8439835969116608,0.9262067093561771,0.3109114377629682,0.9456025759617358,0.4589869674371589,0.42696321035791474,0.4343322054612048,0.5987719495349648,0.47510722681671264,0.8964033385141656,0.6101651281665972,0.8854743622723703,0.9031890966475744,0.9022880044764842,0.7381795484482783,0.5515852791174739,0.28902022881659784,0.858155310864423
1149.15744621,0.23068866916526148,0.60304329025715,0.20025377092430494,0.24426805970420026,0.6408268034378486,0.2935418753400343,0.8896106383091731,0.8934547597925486,0.9253198658194373,0.6458214325192634,0.8402493384259939,0.9208148110772343,0.3122572716223643,0.9454958433093081,0.46039108411793384,0.42829196558650096,0.43507208778003625,0.5987546005216896,0.4769764831114169,0.8914184336296306,0.6117911538792434,0.8856296820713639,0.9028748019107035,0.9025281606612008,0.7381404791416811,0.5499158714073276,0.29417814902897077,0.8425537795985266
1154.90323344,0.23579203731288792,0.6062427820732755,0.201766541986028,0.2476346869049333,0.6516740352879993,0.29297925157964905,0.889172830977987,0.8854711647518492,0.9206381545464964,0.6522259016003567,0.8359759602549375,0.9143302771840818,0.3136681514430806,0.9456640424393765,0.461898548353892,0.4296290076549285,0.43575970733209096,0.5997357577660832,0.4788576717557841,0.8886352243155726,0.6133991721446738,0.8853636476125473,0.9026092246477669,0.902932661557667,0.7381291665505524,0.5489364894905376,0.29956820809256635,0.8232382985833135
1160.67774961,0.24080761143962828,0.6089950335041137,0.203072366519378,0.2508496343397354,0.6625624005029402,0.29234922703557026,0.8887684735955527,0.8770098604932434,0.9151899766414521,0.6582230018328145,0.8316656979952901,0.9074866817317475,0.3151477925411025,0.9460456277924062,0.46349093587880963,0.4309398268997562,0.4369009502871452,0.6009972081835557,0.48108022566849584,0.8889830858764048,0.6149632829541449,0.8850763988970949,0.9024416830801135,0.9036586775614922,0.7381489640614092,0.5486347858244937,0.30486197987748476,0.8109785077420391
1166.48113836,0.2457475696380408,0.6114005487294981,0.20445104842024858,0.25371268604156577,0.6732803502168913,0.2916782037825152,0.8882817768721589,0.8720310034891577,0.9088166811783617,0.6641789396232387,0.8277103155761562,0.9009689876806202,0.3167204222000988,0.9464223460652348,0.46515837179942693,0.43225105564356764,0.43828452157882325,0.6017447046253808,0.4834898141747761,0.8912552426434448,0.6166600759275727,0.8855250276235924,0.9022378173229205,0.9044225753105737,0.7382023434952183,0.5486060888198063,0.3102141029395179,0.81486905950807
1172.31354405,0.2505696699043959,0.6135387139796068,0.20585670756090646,0.2563817725664916,0.6841444321403035,0.2910437869549973,0.8877333944705309,0.8729344184405265,0.9027411510099801,0.6701387262920244,0.8241044343137379,0.8954829020401208,0.31833583030622153,0.9463855045308656,0.4668582460287458,0.43356329560686285,0.4395697406441614,0.6019067845220469,0.4856838084856667,0.8937304708490329,0.6182914677978214,0.8861446467717654,0.9021083944478254,0.9046183914710778,0.7383058147647166,0.5485846360778065,0.3160055470450923,0.8283132296268413
1178.17511177,0.2551786828937827,0.6154909912157192,0.20702898607551395,0.25898551754325333,0.6952025427651847,0.29055688175669064,0.8870869824933557,0.8776209313463746,0.8984186061457063,0.6759540744793202,0.8205649795121059,0.8918897984771789,0.31996510840983616,0.9463866619662388,0.4685652927078071,0.43514915767685114,0.44089830044479444,0.6025891934129,0.48775431807674524,0.8960296259994592,0.6200180614953292,0.8862233326235902,0.9019678493988909,0.9044943355011447,0.7384464538303503,0.5485255269070446,0.32223303567755623,0.8413735276810251
1184.06598733,0.2596660029548571,0.6172499330026215,0.20817980216719398,0.2615277585287569,0.7060866471268585,0.29006098758527626,0.8863476064827286,0.8824125764424018,0.8955928272819073,0.6818877551248541,0.8170182425198494,0.8897693277183729,0.32167442432998056,0.9467548908648358,0.4707569853711396,0.4372192305417074,0.4422712236311838,0.6035029380057793,0.4897448668259252,0.8976787756604738,0.6220182957328545,0.8860425814883992,0.901679844441779,0.9038025159093778,0.7385853734824896,0.5483260190008499,0.32877070968706484,0.8501316839032302
1189.98631726,0.2640121757592695,0.6188038138605941,0.20937093320195033,0.2638778190464667,0.716153093486098,0.28946527253859894,0.8852526536566387,0.8856131564553846,0.8938110799224808,0.6878610982620417,0.8133935199716182,0.8881993351167359,0.3234173653398534,0.9469397839446575,0.47307475360872825,0.43930295858366863,0.44373795829020873,0.60491740855568,0.4915688203455047,0.8988586865639191,0.6236880222043686,0.8863574045023693,0.9013686901305272,0.9031652491136402,0.7386939941241796,0.5480071237700735,0.33538788469336145,0.8550028436938416
1195.93624885,0.26827791524869854,0.6200879841523612,0.2103406646967643,0.2662234783287788,0.7252101057689964,0.28885828060592944,0.8837760860909898,0.887425091132639,0.8928814532643918,0.6940132800158294,0.8094046034082987,0.8869094655962534,0.3252721426908609,0.946677121833237,0.47509133913548135,0.4410103694005259,0.4450640082431354,0.606655109233984,0.4934401908905891,0.8998598759514145,0.6248266633277269,0.8867623362804261,0.9009789245006126,0.902817955734768,0.7387698960873406,0.5477372558740572,0.34177632274120606,0.8582932181202771
1201.9159301,0.2724564841631581,0.6211627453808515,0.21111026935637897,0.26861178842057565,0.7337981868173408,0.2883673759382355,0.8818815776559935,0.8884616827015804,0.8923676781353133,0.7001198621492362,0.8052091502865625,0.8860535172152032,0.32727931934071036,0.9462611115012293,0.47715681580850045,0.442664496216476,0.4464017347792021,0.6088111651066097,0.49522555795970014,0.9008305517315383,0.6256509369528036,0.8871684694408112,0.9006424955669812,0.9034794174154676,0.7387426989519447,0.547522164322611,0.3477196589900338,0.8628564259778843
1207.92550975,0.2763779539583395,0.6219819739826098,0.21177803652523713,0.2708895189956161,0.7419526161849128,0.2879884414514215,0.8793203182923259,0.8895382772439763,0.8924679679884083,0.7061777676350363,0.8014500785783977,0.8855643594327247,0.32937375648542416,0.9455985501517494,0.47943285769969346,0.4446302622184424,0.44805079394509145,0.6110257261829546,0.4967887967586848,0.9015195186144594,0.6265228086283946,0.8872175529048877,0.9003734790030283,0.9040451217576657,0.7386793205587087,0.547279214132149,0.3536876503469367,0.8677985739462465
1213.96513729,0.28017180771689454,0.6228729894532399,0.21248667380568403,0.27312242852266083,0.7498700809826417,0.2876776509131634,0.8760975519184583,0.891191575938185,0.894040027867964,0.7122761183598946,0.7977512169280949,0.8849891976970548,0.33146844126422254,0.9451746430112044,0.4819045671288778,0.4467303191919193,0.4496428482433699,0.6123730147963736,0.49814607327323324,0.9024636529396496,0.6276557867185413,0.8870731380340086,0.8998602467785797,0.9040768862466169,0.738636773539981,0.5469764243914655,0.35949632413212573,0.871415054315066
1220.03496298,0.28387194451862413,0.623560151726551,0.21306145293651793,0.27546168816139377,0.7571529466765862,0.2873299239530736,0.871873605693709,0.8928433783992604,0.8960486673494124,0.7179634251186551,0.7939001205380884,0.8843104379111466,0.33349341942870186,0.9440595044629636,0.48409627267928745,0.44875883958723334,0.45104879932829844,0.6127698783402913,0.49939208640017135,0.9032632595068414,0.6286958485630184,0.8872930566466471,0.8994171775161371,0.9036521999348521,0.7387476396063672,0.5466106231586645,0.3651084709508381,0.8738627148531212
1226.1351378,0.2875292649935413,0.6239727162382978,0.21343581089112046,0.27791287098489914,0.7635317144303013,0.28698237990975106,0.8669357741559066,0.8941649376409058,0.897379984333119,0.7233808358571824,0.7900819205699982,0.8840184005736643,0.3355122566291937,0.9422210451395526,0.48625889987942006,0.450725763533752,0.4521407996327115,0.6128589465330203,0.5005964223948328,0.9039201353853669,0.6294713765340924,0.8874140301413529,0.8992441795256254,0.9032610939015707,0.7389738608929277,0.5461346320670921,0.3705567567239085,0.8752442802377057
1232.26581348,0.29115094397937746,0.6241576848831915,0.21383834460358206,0.2804874539225129,0.7695660771850562,0.2867169797579781,0.8622289407311814,0.8950535376504241,0.8987361317988743,0.728729710470267,0.7864979644031395,0.8839575842823193,0.3375769145918952,0.9402637560525383,0.4885789479183559,0.4527950408385208,0.45326031689706864,0.6134172857746955,0.5017165609878599,0.904301849840612,0.6302943177200315,0.8875366597066706,0.8991922368564911,0.9030621674764594,0.7392307890517329,0.5456114636333006,0.37549913931393253,0.8756641432673639
1238.42714255,0.2946560596931272,0.6242112689487221,0.214488864599968,0.28310689520581117,0.7753772437584432,0.28644068721402066,0.8579091303416467,0.8959461826037556,0.9009817581486347,0.7341113848562207,0.7830156421060982,0.8840516982343234,0.3396557638751209,0.9387592446669955,0.49084061069728413,0.45500637888039636,0.45470701712926287,0.6145035525201129,0.5026771810214697,0.9045810087446652,0.6314289775831158,0.8878904031335356,0.8992577178733854,0.9029141518806402,0.7393618701443863,0.5450589412166418,0.37989526837605136,0.8761437969035221
1244.61927826,0.29819702255203157,0.6242006959655695,0.21508542510055675,0.2857810476428614,0.780897670540949,0.2861806396415931,0.8534274323481705,0.8967776485526249,0.9035901119115327,0.7395630142024612,0.7796544453704852,0.8843314694606116,0.34171110259173104,0.9382660332285444,0.4932682473714858,0.45724201362646133,0.456369995804095,0.6151091828982399,0.5035423232093947,0.9046030640755945,0.6324447424309915,0.8882608957536032,0.8992431244054349,0.9032792694766392,0.7393456246076043,0.5445044490196406,0.3839922459425465,0.8771417252339194
1250.84237466,0.3017655239542793,0.6240340043210046,0.21557967850938323,0.2886364129696524,0.7859042087898732,0.2859875327623881,0.8479074528361615,0.8972488793041841,0.9057679848838464,0.7449424358130204,0.7762626828025608,0.8846858934994175,0.34363269123249834,0.9385846989248897,0.4957257469559159,0.4592382480280135,0.4582144054852385,0.615351531832073,0.5042262856950385,0.904811988966294,0.6330677911139126,0.888444331983191,0.8990587882348241,0.9040352613863345,0.7392613343455229,0.5440360599187238,0.38784741212133045,0.8780688279939486
1257.09658653,0.30522745331973344,0.6238813581500184,0.21601425079973832,0.2917531183329814,0.7901628263667269,0.2858308246382294,0.840401220866186,0.8972891420032786,0.9075090428594484,0.7502267601356783,0.7731124654974221,0.8850425497301208,0.34557493874429573,0.9389159394082893,0.49810696723966513,0.46132654846063725,0.4598945131963208,0.6157741936121999,0.5049268784981856,0.9045167095895581,0.632959515520844,0.8887023642739291,0.8989114438856752,0.9048708118761213,0.7390837665898463,0.5436733277548649,0.39148386056572115,0.8782838497661953
1263.38206946,0.3085737723788736,0.6236104729020473,0.2164631375072594,0.2949979547375443,0.7941097103526977,0.28572064054778173,0.8327969448824332,0.8966025128112244,0.9086932244242101,0.7554555163623458,0.7704402555936614,0.8853335966646889,0.3476718765321805,0.9384414205393659,0.5003823784053708,0.4636405949710816,0.4611939222496692,0.6161506292973593,0.505571926997836,0.9036945444394499,0.631754279188365,0.8887205022862125,0.8987632536918825,0.9055986867045412,0.7386615471894419,0.5432943016814086,0.3945992325774488,0.8781481256081743
1269.69897981,0.3118634172001106,0.6229835039064223,0.216821707259069,0.2983692557846671,0.7974780429590999,0.28564031924494065,0.8309057278200397,0.8955691165505887,0.9092085629159257,0.7608154668605525,0.7680809807668751,0.8854851489075821,0.34981453812047103,0.9368804714562231,0.5028060603145683,0.4659406226261176,0.462491884885854,0.615894095383682,0.5060635516175105,0.9021971300338267,0.6293662629815492,0.8886239221173046,0.8984059753410887,0.9057437422788137,0.7380072055696593,0.5428131156351562,0.39713459448585514,0.8776855997255064
1276.04747471,0.31510508225135225,0.6220333442627314,0.21720519150195583,0.3019881299117344,0.8002916070448826,0.28565028350366994,0.8364768283958758,0.8946406552562531,0.9094419271532992,0.7661505937901244,0.7657063942094955,0.8854630183196702,0.35195317176976565,0.9344505278819304,0.5052040088289306,0.4682455781703438,0.46381357339498125,0.6161066049636389,0.506446929317012,0.9006560981795345,0.6276755339546053,0.8885079378543089,0.8978046915647241,0.9055671437377503,0.7371618595065288,0.5421414881192661,0.39951107158602484,0.8766191573094528
1282.42771208,0.3183367058653236,0.620778642140709,0.2177091389304111,0.30583499738424363,0.8029695226857149,0.28577316190678204,0.8457525853306461,0.8934095033679148,0.9093910596567656,0.7713876265850037,0.7633302931740207,0.885327525968083,0.35414045740282557,0.931636939287109,0.5077549311613774,0.4705831691671211,0.46515995924988063,0.6160639445031786,0.5066623446110821,0.8997961315978745,0.6290686140654522,0.8885628053297888,0.8973676457600581,0.905221592556929,0.7361578163919145,0.5413483381566175,0.4017169671132241,0.874462289002784
1288.83985064,0.3216373807848199,0.6193763207768614,0.21833620687041047,0.30990951953876117,0.8054288486821812,0.28605141814527824,0.8545493868171176,0.8916637857426478,0.909213427248513,0.7763851502727047,0.761032180480187,0.8849503704128272,0.35628943566581844,0.927960073790858,0.5103919964398677,0.4726377466527241,0.46688414389793065,0.6157084201139643,0.506838336435079,0.8988206463287814,0.6314136887064241,0.8889011676263537,0.8971476519391303,0.9049517306888201,0.7354841067126893,0.5404352635646671,0.4036973463573193,0.8711670914412764
1295.2840499,0.3248599298594428,0.6178603719843345,0.21891532090537036,0.3144217660114114,0.807663757532472,0.28640225701008615,0.8597963968014882,0.88942925000154,0.9085177017561872,0.7815023238488555,0.7586070097727408,0.8842637635238534,0.3584730327929312,0.9232584881887492,0.5128484343340923,0.4746219935635882,0.46880939947649103,0.6153844849719999,0.5069345387605719,0.8965004402111291,0.6320736045853621,0.8891684240728681,0.8967496368395262,0.9046494535461505,0.7353459574526899,0.5393158874707431,0.405600759710308,0.8672942044494951
1301.76047015,0.3280562865773669,0.6159921387870566,0.21944334472165675,0.319186393711632,0.8096535937151367,0.286767435413476,0.8613291785105525,0.8863897359749033,0.9071616900586977,0.7867027917268918,0.7560580214637482,0.8832626614053686,0.3607226174606646,0.9185881939196661,0.5154576669461098,0.4767670860160167,0.47046047945612535,0.6151081548757076,0.5069762711981584,0.8940749044072067,0.6328909185944727,0.8892438403988543,0.8960703360544677,0.9045043298312553,0.7353636786377955,0.5379613973953906,0.40709157989760303,0.8632636017511514
1308.2692725,0.3312592778133024,0.613904109711491,0.22021224276663046,0.3240067976348639,0.8114040440556979,0.28723649962196746,0.8600046887626829,0.8824194549573539,0.9051541026162442,0.7919281604905394,0.7532573640040833,0.881902064004279,0.3629608224694884,0.9146576102517552,0.518172100596197,0.4790518616814409,0.47176073837924365,0.6153953286300958,0.5068655748811313,0.8912112597551519,0.6342186741409951,0.8889824458042753,0.8954570694256474,0.9045883020967663,0.7354989942713153,0.5362668545189004,0.4082624022503035,0.8585954601851545
1314.81061886,0.33447444977064394,0.6114427268005762,0.22106588011010192,0.3291189656406169,0.8129537593356989,0.287782267558269,0.8557642543443046,0.8774836091950312,0.9024605170820368,0.7969295619661594,0.7501628983545943,0.8802169814887407,0.3652507412553996,0.911375276037869,0.5206077565919546,0.4812515364832141,0.4732496928928627,0.6151924804432232,0.5064601615447575,0.8867651882500971,0.6346382250654062,0.8891556035329456,0.8949372476250299,0.9044197107885014,0.7358004679569993,0.534107556194778,0.40941029714740784,0.8521926157987785
1321.38467195,0.3376250532789307,0.6084154384609227,0.2218757880757006,0.3344784149192369,0.8144617893907218,0.2883477595877565,0.8499422787105341,0.8709325677163064,0.8987412147341471,0.8017128992864456,0.7465544877605306,0.8782100374613757,0.36746516654310074,0.9081161943357586,0.5230815990631288,0.48335464626148805,0.47487765969160267,0.614780536628316,0.5058192475341684,0.8807299162426877,0.6347080236873203,0.8893005694164452,0.8941695693691675,0.9044538179034277,0.7359507112763697,0.5314510600687393,0.41080105677590617,0.8428448561712926
1327.99159531,0.3407118469931046,0.6050100553233192,0.22280300773319825,0.3400787186587725,0.8157271772454711,0.28887860242368035,0.8440966221335234,0.8622322857757723,0.893949871844904,0.8067115868907512,0.7421783253800025,0.8759586537648045,0.3696218873944059,0.9049862449410258,0.5257346181254189,0.485356584054077,0.4761830275056679,0.6146193884417486,0.5051784438914211,0.8739936077977436,0.6350845950861512,0.8892439253623118,0.8932085043649065,0.904426845174003,0.7359558407966081,0.5282907697606126,0.412223858731959,0.8299507735910002
1334.63155329,0.3437890413263262,0.6013583211045193,0.22407999203317125,0.3462703711583113,0.8165377530527401,0.28938956706190405,0.8370901248988245,0.8522763982034564,0.8882586003909255,0.8115829522553195,0.7368125478410347,0.8735308708093485,0.37179260469061126,0.9018221248281828,0.5284344240252806,0.4874437514986932,0.4771571705248236,0.6146467241327165,0.5046329290059021,0.8670953321356459,0.6352906662553939,0.8889451337074512,0.8920967764987722,0.9044384183274023,0.735915041652758,0.5246752600435698,0.4133271575808589,0.8144344804473783
1341.30471106,0.34680211346891054,0.5972635376669977,0.2254696900957551,0.35263430308264454,0.8171855576576708,0.2900295722190059,0.8323866833913143,0.8435254379163731,0.8818647502626943,0.8159945359392002,0.730328670263166,0.8709182645420142,0.3738951172393046,0.8974721266710634,0.5305416592187737,0.4894223825096418,0.47783626392095335,0.6145385405560049,0.5040488643514873,0.8598637943998423,0.6347561014270504,0.8885385786331581,0.8908431364581938,0.9042157907195598,0.7358605398658221,0.5207014875775985,0.41439378391627674,0.7990998342020568
1348.01123461,0.34962591668352744,0.5924066937082887,0.2267335541824256,0.3590441142567149,0.8179660752378156,0.29074782830582574,0.8306145137604494,0.8381692981585168,0.8748555457443794,0.8199806132010967,0.7229249810455128,0.8681439695292252,0.3757037628981073,0.8905482447543095,0.5323257054611229,0.49121326413312744,0.4781257237515558,0.6139729901165015,0.5033953993218043,0.851685657566495,0.6334981860001954,0.8877569627271087,0.8892801608869367,0.9039744413988885,0.7356157033582015,0.516437970655114,0.41578886655600533,0.7856596408989038
1354.75129078,0.3523023608325009,0.5870814002161596,0.22808231850822058,0.36552622586192884,0.8185293686026882,0.2914968816693941,0.8296963517348307,0.8347918669524815,0.8674717000253211,0.8239483411392244,0.7153370850493087,0.8651295205601338,0.3771901613445346,0.8807975689912024,0.5342538814166544,0.49281950285670123,0.4777226831700055,0.6129928907555767,0.5026402426579615,0.8423552623819432,0.6311496594744493,0.886558943548823,0.8873181667268051,0.9035440211452727,0.7354017429081937,0.511570832970056,0.4175299711193258,0.7745939119031688
1361.52504724,0.35498091718090374,0.5818375518020904,0.2298873897875489,0.37248449455609917,0.8188725880637898,0.2923189925877278,0.8300420885121261,0.8305897970902043,0.8605425045281758,0.8284101775768595,0.7080183943485671,0.8618874994173741,0.3785847844076587,0.8720341285454782,0.5366859369756183,0.4938769838470352,0.47655565163899727,0.610489405080251,0.501121648987114,0.8317702614935775,0.6267201376823375,0.8857298856586694,0.8850737695159121,0.9035052254683867,0.7348815578233973,0.504957528056121,0.4192851212226089,0.7657983919693724
1368.33267247,0.3579435003958005,0.5763317835450474,0.23201306728777193,0.37996707454345907,0.8184075400674713,0.29332987674503913,0.8306366356023516,0.8233822803817576,0.8541771882391153,0.8329130784429994,0.7006759446764841,0.8582728380268313,0.37975492120370585,0.8631116189399891,0.5389874200092447,0.4941909453508217,0.47460911138740886,0.6067292045866919,0.4983714738977006,0.817163357742328,0.6185543514642414,0.8859205816736826,0.882415264508545,0.9034372612469641,0.734238880845179,0.4955702611194276,0.4207264162178195,0.7576102602012318
