,CAGR01 Calcite.,F1CC06B Magnesite.,HS433 Halite.,LAZE03 Prehnite.,bkr1jb329c Siliceous-sinter.,GDS26 Epidote.,GDS1 Analcime.,NBPP22 Clinopyroxene.,LAPP47B Orthopyroxene.,LAPO05 Fayalite.,LASC02 Forsterite.,GDS27 Hematite.,NCLS04 Plagioclase.,LACL14 Chlorite.,LAKA04 Kaolinite.,LAIL02 Illite.,GDS106 Margarite.,c1cy29 Vermiculite.,LALZ01 Serpentine.,LAMO02 Montmorillonite.,NCJB26 Nontronite.,LASA58 Saponite.,GDS23 Talc.,F1CC08B Alunite.,GDS145 Bassanite.,LASF41A Gypsum.,LASF21A Jarosite.,F1CC15 Kieserite.,799F366 Mg-sulphate.
1947.18286652,0.9933332153100818,0.8924158458353948,0.9612801206994853,0.978625471371715,0.6602297026859282,0.9688777624293571,0.6284112101595353,0.9184607566775588,0.35182756475650345,0.9995516920803067,0.9983476198227809,0.9582197136029519,0.9744348489386625,0.9809903771301101,0.9667707052310085,0.9520021909886817,0.9779123429051771,0.8108836805807114,0.9442849125887026,0.8341047641653166,0.8955697262378953,0.6510154243018152,0.9515554498681437,0.8965270445727809,0.6277954706622859,0.5040565579594282,0.9930228359023467,0.5140183770974793,0.7001439853485754
1956.02731804,0.9932143661458064,0.8877443321067626,0.960300432951261,0.9812706632044261,0.6802096572249908,0.9716486008723119,0.6804403414780177,0.9132647269656579,0.357592574526982,0.9994128688775334,0.998371262447118,0.9594085203379565,0.9733312757752659,0.9791806146399817,0.9717197452162004,0.95646400267219,0.9768120276409343,0.8166589249897297,0.9456648259018334,0.8474599125294459,0.908104172488747,0.6698907081516646,0.9570415891712383,0.8918925031411014,0.6671344486013627,0.5190491584929972,0.99416444558021,0.49333682112655913,0.7125195328476756
1964.89009294,0.992532903994688,0.8857531079655142,0.9613990847361075,0.9833652962518716,0.7019502158635511,0.9824442657650642,0.7315845703570525,0.907896969266163,0.36323610472330237,0.9996515968758953,0.9986404951308736,0.9613032336130509,0.9739370245254507,0.9768635272876226,0.9762092157654204,0.9605526967612033,0.975610259618614,0.8231487149434219,0.9457827066522098,0.8595807968469075,0.9185209592335318,0.6894955587746695,0.962482694884146,0.8892499032501584,0.707110191180661,0.5523228756526578,0.99466837724728,0.4782145977913806,0.7285314519608431
1973.77113898,0.9921379295510031,0.8842543081614115,0.9612749729570512,0.9860319797944437,0.7260011237422415,0.9936194594911224,0.7783581705191155,0.9021792695895169,0.3698163227868387,0.9990599938242498,0.9983185284139575,0.9632529635695138,0.973793904794957,0.9745756588811314,0.9817047270330767,0.964154131649157,0.9735320944812562,0.8309608617760851,0.9467184159774558,0.8724748166030926,0.9273935473155145,0.711542364656989,0.9660388193134742,0.8898116299263505,0.7423508280108033,0.5837034311983286,0.9965401010085734,0.4728981689828496,0.7463391685827133
1982.67040395,0.9917365446473431,0.8840775941019761,0.9635059678833691,0.987560282473001,0.7512676979423017,0.9987816671812179,0.8208530862131673,0.896292435529049,0.3771509981457088,0.998824374797327,0.9994896785709758,0.9650036575318806,0.9734473072536802,0.9728515385628854,0.9855373639225796,0.9689394017915158,0.9710221878910734,0.8407478390241173,0.9482341317653267,0.8872147895629994,0.9348279443759344,0.7351872208909098,0.9684047010515879,0.8884614508759155,0.7760306745365314,0.618009192678288,0.9979674497787865,0.47561609931000864,0.7649463973751395
1991.57932378,0.9917949223950642,0.8854999465857412,0.9660981961179104,0.9885848802925105,0.7779287775171664,1.0,0.8557913095278722,0.8910014251772186,0.3849978042958754,0.9998787190801869,0.9997051615575474,0.9673622540926134,0.9730557321438391,0.9713261344362261,0.9894596738174889,0.9731940524546214,0.9695963031272571,0.8518456163540717,0.9522582293776009,0.903256586293569,0.9424312493688562,0.7600656209267268,0.9696870325613873,0.880753853498232,0.8149070037017035,0.6648464905194418,0.9994048950822773,0.4814450794556882,0.7837792904708711
2000.48893957,0.9927876431045481,0.8874994135986957,0.9704025873903374,0.989997241112016,0.8024287169442108,1.0,0.8830959913274452,0.8852267701864831,0.39373662388674124,1.0,0.9994692413680665,0.9699069449174544,0.9732572681110943,0.9724687162251859,0.9929024171601508,0.9764979907179949,0.9700338880262258,0.8636681395883896,0.9574282069257475,0.9182402527100719,0.9495191546548909,0.7859457964596217,0.9701707161965599,0.8685684428245397,0.8573961486888784,0.7281511226555827,0.9991518142099863,0.48691779266069335,0.8027740010067462
2009.39924527,0.9945623227233914,0.8895645056387993,0.9744964452018952,0.9914515889506171,0.8281047423956213,0.9999283802997933,0.9039089910247035,0.8806952366781854,0.40286966253962975,0.9996665834377274,0.9995588051170982,0.9722085341077382,0.9733550157757384,0.975262452117079,0.9960671651012172,0.9813948401740193,0.9741663266106674,0.8754547893262464,0.9628288773982909,0.9322057930134297,0.9581426890103719,0.8104881284704779,0.9721265628140496,0.8587841461139676,0.8962988001363534,0.7931661685070175,1.0,0.4878819192419411,0.8199738119636004
2018.31023493,0.9963795845285823,0.8927991322140278,0.9779881010690147,0.9932413300386671,0.8494433458955815,0.9992572622497603,0.920387598475082,0.8748243849376176,0.41268803040197855,1.0,0.999021289682684,0.9744579703124164,0.973339389787905,0.9777837548122764,0.9977103151975101,0.9847862649517745,0.9794496323751476,0.8874034179390904,0.9677281704438594,0.946726477531839,0.9643590590942525,0.8326369201846625,0.9806576122302306,0.8566140337314807,0.9285012178385733,0.8459648646371938,1.0,0.482524909462107,0.8374486602976768
2027.22190266,0.9967909844191998,0.8958922858449679,0.9813894939500944,0.9948574498863777,0.8713714178105406,0.9991165689897101,0.932579445561829,0.8683815099517284,0.422750663932593,0.9994212193160517,0.9993986697968057,0.9764117379570632,0.9735330792740167,0.9823830273998353,1.0,0.9892789571784738,0.9848649696237608,0.8982708095388677,0.972305066817475,0.9572483365154217,0.970772060563434,0.8534473569759569,0.9930010163527587,0.8538352079400687,0.951540269735664,0.8849334753925349,0.9989118573004837,0.4710397765660173,0.8515035374451768
