,CAGR01 Calcite.,F1CC06B Magnesite.,HS433 Halite.,LAZE03 Prehnite.,bkr1jb329c Siliceous-sinter.,GDS26 Epidote.,GDS1 Analcime.,NBPP22 Clinopyroxene.,LAPP47B Orthopyroxene.,LAPO05 Fayalite.,LASC02 Forsterite.,GDS27 Hematite.,NCLS04 Plagioclase.,LACL14 Chlorite.,LAKA04 Kaolinite.,LAIL02 Illite.,GDS106 Margarite.,c1cy29 Vermiculite.,LALZ01 Serpentine.,LAMO02 Montmorillonite.,NCJB26 Nontronite.,LASA58 Saponite.,GDS23 Talc.,F1CC08B Alunite.,GDS145 Bassanite.,LASF41A Gypsum.,LASF21A Jarosite.,F1CC15 Kieserite.,799F366 Mg-sulphate.
900.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
903.28574336,0.9997343305163768,0.999803766950679,0.9995223397839694,0.9997113371188182,1.0,0.991651425820756,1.0,0.9822787406680729,0.9407680083421068,0.9920390549033148,0.9872554859610513,0.9859622795039188,0.9995433897454705,0.9983157170621534,0.9999505882357578,0.9983963153058037,0.997913131661937,0.9997777172425221,0.9991492153111934,0.9998073060084598,0.9952750799738427,0.9992675112169409,1.0,0.999507803401933,0.9994409379476334,0.9997320847683147,0.9898832439019553,0.9999051247093239,0.9998809691987648
906.618278421,0.9995047436017354,0.9993876571625196,0.9990512007532649,0.9995784068264227,0.9998663393507254,0.9835600646889782,0.9996690869812067,0.9642878765179128,0.8899733607436963,0.9844650010833067,0.9743131012925806,0.9732402116793198,0.9989352088817873,0.9970787117942296,0.9998456316342322,0.9965715737781439,0.9956684955684136,0.9997243901715656,0.9979809132817803,0.9990841078930067,0.9909884218974038,0.9982328359052812,1.0,0.9991530055104731,0.9988993619726092,0.9994805464088603,0.9806851585994744,0.9998774628294862,0.9996181286066589
909.999291084,0.9993960183514485,0.9986938492565319,0.998611857916519,0.9996146585729778,0.999959524947146,0.9756908591643175,0.9986189542173833,0.9458908402982369,0.8460544416424406,0.9771361846514929,0.9608845071122781,0.9618813314666722,0.9984432422050712,0.9962269761857249,0.999623859793175,0.9953345075573597,0.9934293624477497,0.999899141893766,0.9968397846883724,0.9981692919674485,0.9867479147339532,0.997474633271168,1.0,0.9989690488296081,0.9982624804126663,0.9991892341004327,0.9721858030841183,0.9999439227074042,0.999214528185574
913.430570243,0.9993227985097138,0.9986608905656605,0.9983504472225615,0.9998920162633884,0.9998690328022479,0.9673241697955774,0.997297638600468,0.92682878410719,0.8064785821814286,0.9695708571022383,0.9462692717016847,0.9512901306969348,0.9979706275336382,0.9955135804350929,0.9994830863880791,0.9936140220095808,0.9915531607312458,1.0,0.9962487721618045,0.9976886929056319,0.9823638846860534,0.9976781937401135,0.9996951210444547,0.9988939170176926,0.9976449659012488,0.9989368623288724,0.964711041403228,1.0,0.9989992483434339
916.914016797,0.9992495078449263,0.9984783279704037,0.9983368645946177,0.999826324150682,1.0,0.9578681096167294,0.9960916805042521,0.9071409341729795,0.7718563725594209,0.9614316170410943,0.9309530796808091,0.9411708679920228,0.9975620183736859,0.9947298743554449,0.9990811065598296,0.9917419512196737,0.9905385762117405,1.0,0.9956968664906198,0.9972617249585334,0.978527419966316,0.9976032525855598,0.9992317060468627,0.9992461916085623,0.9970149697586429,0.998880641805251,0.957641919006244,0.9999655680784467,0.998679533342121
920.451653694,0.9994175026573942,0.9981679209948919,0.9988232413401711,0.9996843295679628,1.0,0.9477094895066547,0.9949401671005568,0.8868146284367318,0.7418989258190952,0.9533216323411418,0.9156394275453663,0.9321514228636365,0.9972289136208057,0.9939079110358504,0.9988371961320794,0.9898746160432672,0.9900033816560581,1.0,0.9949977562482551,0.9969814675696745,0.9751828344480958,0.9968354539992194,0.998640651736574,0.9997418416569634,0.9963286275014345,0.9988872637980526,0.9506659641180955,1.0,0.9985049283804703
924.045637162,0.9998891627726765,0.9979401190206749,0.9993381252757606,0.9998637716222433,0.9997126359963697,0.9374780629995139,0.9933997327163242,0.8668412285341498,0.7150772384163347,0.9452442818185471,0.9001533569540301,0.9251730892156865,0.9962771454884636,0.9934255479378713,0.9991639308867813,0.9881224934763436,0.9896094935704143,0.9995250905161759,0.9940098849566845,0.9973287035909268,0.9716931073170911,0.9959074106708294,0.9979880613592517,0.9999556241547375,0.9959573347627007,0.9984093772544766,0.9446875615292747,0.9999510191655582,0.9981336526446966
927.698269301,0.999864604906801,0.99770993187016,0.9997178263464117,1.0,0.9989379257730931,0.9276506108336668,0.9914688739433469,0.8463561668936808,0.6913994710745839,0.9376562196232311,0.8838690789787395,0.9208575147847505,0.9950671203276479,0.9944188156417245,0.9987135378767364,0.9863615921831861,0.9889154437841656,0.9988952014008698,0.9922636040820597,0.9980119642241386,0.9685481961687241,0.9951029083139459,0.997427141336439,0.9998610377723469,0.996115450669698,0.9980909630162388,0.938841924376947,1.0,0.9976655361432207
931.412012249,0.9998653707472938,0.9975669301104657,1.0,0.9999399352783656,0.9983323339567576,0.9182297628788518,0.9893130114693025,0.8262444613442175,0.6702328796014089,0.9303016515137292,0.8666260629251327,0.9181018060295122,0.9939126559963258,0.9957519501496567,0.9979758573888494,0.9846589553002861,0.9878380840115124,0.9979519002284302,0.991209490593108,0.9991578571467964,0.9656886613941276,0.9941673513695565,0.9962619485134119,0.9999170022900332,0.9962838126017197,0.9979160636851306,0.9333943121537522,0.9998275648905105,0.9970833701570619
935.189504163,0.9998350392821017,0.9975058737520784,0.9997220146845326,0.9997221478903462,0.9978118228956088,0.909366520389502,0.9868938046991135,0.8068709318499478,0.6521411832017986,0.9230968193642075,0.8490178885547705,0.9151391908596335,0.9929316203842787,0.996295716477574,0.9975223262955167,0.9833692174979712,0.9870976673893971,0.9965147595224015,0.9916419505089437,0.9996154857251579,0.9629946750675246,0.9931901366846907,0.9937123098159016,0.9999924756946502,0.9955520838669227,0.9981237408307566,0.9281337634991547,0.9996199046512411,0.9963092773150932
939.033577299,0.9996059465892312,0.9974402460617108,0.9988677927769175,0.999729260431456,0.996932387922449,0.900588969672227,0.9844482931417821,0.7878128090849575,0.6381807568940793,0.9159019247204908,0.8312590549220762,0.9118243959223408,0.9915588312399257,0.9968691056296185,0.9971027073546349,0.9818662905899399,0.9864273368543752,0.994133502068647,0.99202445993218,0.9986453603115671,0.9600732383845756,0.9915198680554569,0.9888683807779316,0.9998368907167396,0.9938461692382259,0.9981901171031792,0.924126650641802,0.9987545111325786,0.9954092322681746
942.947278561,0.9995156990629405,0.9975735039122928,0.9978926868681488,0.9995765666128007,0.9958145083212663,0.8914593966963106,0.9822080427073042,0.7686412889887748,0.6268642849886842,0.9086052111883798,0.8133134460610244,0.9082786443829901,0.9897711108466543,0.9974519309558993,0.9965159679875074,0.9803664530489258,0.985254250232405,0.9914798992347216,0.9917283914481966,0.9977964381941503,0.9573716612525461,0.9877391720608629,0.9809663039974347,0.9990445678850878,0.9920672988151163,0.9977128640398831,0.9198616497931561,0.9977732955495139,0.9944598159575018
946.933892918,0.9995610520844292,0.9974172611294534,0.9971339344405622,0.9996443421543191,0.9954661886333002,0.8821274733688143,0.9798828436054833,0.7497294746484451,0.6177264882067919,0.9011464800777875,0.7953514652367174,0.9058053695964406,0.9876422705044366,0.9974833082662551,0.995916663132472,0.9788859779382095,0.9840868836607798,0.9897225918068477,0.9915270224662525,0.9977501960884042,0.9552230509436729,0.9839728678174239,0.9735132537402515,0.9981215193841387,0.9902882270704209,0.9967973712222133,0.9153797456753711,0.9965807767512914,0.9935471987806093
950.996970209,0.9993683067708746,0.9974512182552929,0.9974027330087052,0.9996774758741086,0.9957266577857926,0.8734231393501779,0.9771379626998482,0.7312839667721726,0.61099489939642,0.8932980325853074,0.7774378145948003,0.9052560107738084,0.9856482331839881,0.9974039134434222,0.9947434648278213,0.9771251942916879,0.9833183798408388,0.9899669467200356,0.9919106775367569,0.9976427277000925,0.9532273147115846,0.9830323692539831,0.9725706324966379,0.9975505582477768,0.98921161980494,0.9961021641252036,0.9112605514662375,0.9952118964455964,0.9923014083184242
955.140355948,0.9992969035897811,0.9974959564172466,0.9983519663755955,0.9997101967481817,0.9956293702493566,0.8652061259077605,0.9727929400599815,0.7137746377496709,0.6066959924239106,0.8855730300520361,0.7591596348387962,0.9074017818826247,0.9837522733997955,0.997946528625655,0.9934442050335995,0.9753856753530343,0.9826870023627777,0.9916943434329364,0.9928971227661892,0.9970699009338257,0.9511892187872487,0.9843184211720185,0.9787090540488856,0.9969332958861609,0.9884046172962079,0.9952846686549167,0.9072927045510869,0.9939168360713392,0.9902624954933074
959.368226885,0.999251118148785,0.9973613583037364,0.9992971951358706,0.9999526898489396,0.9951775481248696,0.8562223318266501,0.9664805248037079,0.6970392167056344,0.6049903655646569,0.8784700727455679,0.7406007577745048,0.911451746245118,0.9815436175459846,0.9990779073484789,0.992946815084722,0.9737037449927064,0.9813401114292637,0.9930075054692168,0.9942752650207065,0.9964312607158698,0.9493663043609905,0.984234988009242,0.9853234301518367,0.9961005519826158,0.9876263274507877,0.9938753370458926,0.9040796654588477,0.9925265777357967,0.9876781692711339
963.685132242,0.9993469752858749,0.9973727521501675,0.9996236034527661,0.9998915018438413,0.9949276705830106,0.8465333355267471,0.9588298571827535,0.6811335875320987,0.6062943580466685,0.8714776233060115,0.7219865272524656,0.9162913564266989,0.9793993936706242,1.0,0.992580617372914,0.9726243118750958,0.9796018559599928,0.9937277280411854,0.9957778110129655,0.9958876081898423,0.9477712974378028,0.9837603877510304,0.9891250231492813,0.994619893164067,0.9863816342793241,0.9925498239941566,0.9013018525322563,0.991049597580483,0.9848387522621429
968.096041789,0.9991518231587804,0.9974989893013921,0.9997596110413577,0.9998786890500857,0.9949011978320831,0.8368866070193431,0.9514065234728796,0.6658540614156839,0.6102313560053835,0.8645058163663544,0.7031589297761237,0.9206661687082406,0.9768790672215334,1.0,0.9931054722057456,0.97175406663919,0.9788783113793523,0.9944929729231734,0.9974796970602078,0.9953514056220204,0.9465113238428804,0.9842758929922261,0.9906858575446589,0.9927040094902595,0.9849225956055322,0.9912422694809625,0.8992807627366651,0.9895502316911119,0.9822061095796824
972.606402173,0.9990539760305687,0.9975057633442731,0.9997798363301079,0.999789339838319,0.9951685833722433,0.8271187654751426,0.9486868048806043,0.6515777029883298,0.6165828305709269,0.856386573580182,0.6846150264998259,0.9251107823479338,0.9740632250083674,0.9999614844464311,0.9949169999527768,0.9709178391710911,0.9790262702231819,0.995026939188156,0.9988988585265711,0.9949591197036192,0.9456849495520878,0.985762990781034,0.9903636261008019,0.9903323705732534,0.983926274743992,0.9899008099381171,0.8985559671954367,0.9882525652199371,0.9795725209585293
977.222203311,0.9991474530495923,0.9973770433968451,0.999078919017159,0.999776045206443,0.9958814776373265,0.8185386354792321,0.9510742000792075,0.6381791521924943,0.6257303335461376,0.8478919408758497,0.6667317974411585,0.9299067810578433,0.9709386226203511,1.0,0.9966300967691707,0.9695814227957112,0.9793029038771768,0.9954850635487996,0.9996758282301199,0.9957844619630598,0.9451244073390775,0.9867483256635715,0.9893287142389497,0.9875072051385283,0.9837780076085615,0.9884541830764378,0.8984734593527067,0.9870373297813255,0.9772897884224927
981.950057134,0.9990018474426253,0.9970559084451462,0.9983449084660743,0.999849985853719,0.9963065684252751,0.8108162710316109,0.9560298201878205,0.6255454707258363,0.6374842999869788,0.8396380547356872,0.6490717204336084,0.9349813957917644,0.9681187039820973,0.9998031981851717,0.9975970798972527,0.9681219228452517,0.9790986380529354,0.9957534287127624,1.0,0.996937190706247,0.9444930864700807,0.9874672766744864,0.9882481522754164,0.9841567727594397,0.9846142954326865,0.9867978481648838,0.8978643963235157,0.9861630743379899,0.9763369967228186
986.797291589,0.9989411311785275,0.9968880306410585,0.9984708984883823,0.9996908261369134,0.9969525698377661,0.8029786657597567,0.9623150758357346,0.613598649418618,0.6509123438820519,0.8315252964000694,0.6311359268243529,0.9404396927180513,0.965323202918304,0.9992641221343176,0.9978144247839978,0.9664072060974761,0.9784608193435445,0.9959417139394404,1.0,0.997116360879558,0.9444090687297402,0.9878580652444834,0.9879005125314502,0.9804648562212571,0.9860835707644782,0.9851997018142071,0.8973808823613062,0.985274452525433,0.9763400113573822
991.720028203,0.9987858861820277,0.9966930145325346,0.9989798203394644,0.9995767384521383,0.9972966896844973,0.7956925457947066,0.9693184961410125,0.6025439481499347,0.6660166271714952,0.8232646664741203,0.6137638622324054,0.9463476304349823,0.9617766799738556,0.9983302992677194,0.997668389844265,0.9646795089272657,0.9774043242788977,0.9961138193796953,0.999831819600721,0.996334981479626,0.9448764348805948,0.9885429930133511,0.987228312385178,0.9773241409653928,0.9877304121421869,0.9839445237063416,0.8975887708079454,0.9844142560322805,0.9767925520473116
996.671068522,0.9987134641578491,0.9966490762418272,0.9984610757623312,0.9992569816880608,0.9976630215937949,0.7886522182135658,0.975393830570493,0.5930707700298743,0.6835301266987811,0.8147244234457771,0.5974592120244522,0.9527125538158422,0.9578481872760132,0.9969812336418006,0.9980996632633599,0.9628871720931507,0.9753244485750212,0.9958797384608197,0.9997896736119515,0.9958454686775455,0.945418092607344,0.9893364901441568,0.9863437169402034,0.9748301912956688,0.989633122160801,0.9834018575804004,0.8979480296091193,0.9835953583472339,0.977680344125936
1001.65061855,0.9983082597491311,0.9969809867547467,0.9976701314900837,0.9987491786595166,0.9981199667034468,0.7810940036077112,0.9806028764942543,0.5851880736657248,0.703547093127394,0.8063711304014428,0.5825005039589162,0.9590526076272736,0.9542147318927274,0.9951436327314872,0.9983552053197472,0.961017418710011,0.9729465541441358,0.9955648858172702,0.9995618173639017,0.9964806130162209,0.9459455380163438,0.9901609342959271,0.985573607398237,0.9743743110793536,0.9914424939858274,0.9839111160698367,0.8987770436271899,0.9834485480320263,0.9782946004906335
1006.65888632,0.9974786511904377,0.9975966970595508,0.9977710282001441,0.9986079889399168,0.9986040465953913,0.7735493379374153,0.9850967854832473,0.5786920017019583,0.7252407214181252,0.7982114503477152,0.5684451384118273,0.9647937535925223,0.9508975510161769,0.9930888084453224,0.9979707329743268,0.9593435207510881,0.9705753457866134,0.9949216633262998,0.9991026280655209,0.9960162825285646,0.9471444856014569,0.9910995700612312,0.9854175295506198,0.9753963464548476,0.9929991663871227,0.9853713586728748,0.9003817431342247,0.9836673457556189,0.9796429642825614
1011.69608192,0.9967283360635354,0.9980746427094968,0.9981552800352548,0.9984970609325207,0.9986077115867551,0.7671404434583307,0.9883685411573123,0.5735585648902202,0.7482538855581035,0.7906618058703062,0.5555936504346092,0.969718762911034,0.9474519033304788,0.990817289602446,0.9976358344449952,0.9576676102481171,0.9681305677732865,0.9940155428319402,0.9983945371876431,0.9948953037763248,0.9483442126298235,0.992323763076779,0.9848736814175602,0.9780704655525154,0.9942363145715036,0.98738291458928,0.9024019232262968,0.9834748943041197,0.9814544423989272
1016.76241755,0.996775687461006,0.9984453686638571,0.9984363889528547,0.9984575703130617,0.9989162640293467,0.7625609745027581,0.9910088816946575,0.5695617624305603,0.7721367007733788,0.78360064596192,0.5438237266175666,0.9736592126011318,0.9442652147646714,0.988386300565538,0.9978152024177759,0.9558645266968641,0.9657969079383922,0.9934234681315139,0.9980371090636205,0.9941893332050868,0.9496666474087068,0.9934278604144902,0.9837451612339466,0.981860143740775,0.9952304386889351,0.9890784659704974,0.9048617099356977,0.9832684479084762,0.9835673955890367
1021.85810749,0.997021562053662,0.9984260364994699,0.9981458971745396,0.9987530339685629,0.9992038756886145,0.758507179897722,0.9929474015677741,0.5667640331022658,0.7965506177081252,0.7767819986053358,0.5327371501631805,0.9769746068982105,0.941078727652439,0.9856845028327946,0.998289557107659,0.9535378604610436,0.964169693924614,0.9931290897823776,0.9980522618639875,0.9937131484258453,0.951217261101348,0.9940593555607938,0.9829727736888784,0.9864762637696979,0.9962470434048654,0.9904371651353326,0.907629046951635,0.9833311312935087,0.985617595828738
1026.97288016,0.9972365847804856,0.9984482049304261,0.9972304309047149,0.9990986098982728,0.9991986012676909,0.7543038521773753,0.9942655162041358,0.5650615122273367,0.8206353433827847,0.7701980206724616,0.5226606228344244,0.9793651686084404,0.9378051901805546,0.9826877024770901,0.9985359314485897,0.9511423308530741,0.9627106950476022,0.9927190442370967,0.997713261048073,0.9939494225298463,0.953210269952385,0.9946401952857413,0.9825847729680524,0.9910762181811212,0.99693896440258,0.9920868636020348,0.9108059595695406,0.9838734188602868,0.9877210563664615
1032.10649695,0.9972065977556712,0.9985410595346798,0.996700245315723,0.9993497647698439,0.9992538381778304,0.7506551540728629,0.9947254387657686,0.5646455874181465,0.844460470925127,0.7633575022421568,0.5141746814279712,0.9808638923994428,0.9347487423905385,0.9794124153625715,0.9989787688422107,0.9491213412494971,0.9605528265580295,0.9927008748729839,0.9963347603020336,0.9941386946630097,0.9551813743010907,0.9954734310595048,0.982725095561258,0.9944518947269316,0.9976503559430062,0.9940565762413865,0.9145734492551524,0.984573602074936,0.9898612421097347
1037.25897753,0.9971174321540619,0.9985531660896382,0.9968204535523022,0.999399083350694,0.9995109351540203,0.7475606927674346,0.9948292885605821,0.5655200959388927,0.8682057124425425,0.7565216472690443,0.5071510606594754,0.9813496868670216,0.9315632226599587,0.9763167147978636,0.9991442648795066,0.9471530801639039,0.9580069780805703,0.9930659698962635,0.9946213314157453,0.9944782687967979,0.9573963654589029,0.9962871528097118,0.9831611613202569,0.9964194757174917,0.9984703072539243,0.9956415935523087,0.9186860476538116,0.9854286350355477,0.9918595579940057
1042.4303413,0.9967559759859014,0.9987252139701254,0.9975091266084684,0.9994531021628312,0.9998106883277524,0.7448053909093313,0.9954014239910688,0.5675096397494683,0.8908303210446986,0.7508289301424304,0.5010534501742793,0.9809494342566802,0.9285039846612811,0.973110169818167,0.999317154307277,0.9448175091671918,0.9557623145357885,0.9933145483637434,0.9933697117193582,0.9941235830412372,0.959925427338077,0.9966940305711012,0.9838481699465242,0.9977715309481502,0.9990486184575472,0.9969844778701504,0.9230037391066785,0.9863833039864838,0.9937964855324682
1047.62060737,0.9962435497577996,0.9988268645919851,0.9976471648657635,0.9994356963111659,0.9999213037338516,0.7427015166107509,0.9961080117347315,0.5705311949881118,0.9122272134182257,0.7451671201850953,0.49578927088148633,0.9798700547391622,0.9252709264878342,0.9702997358571444,0.9994956428216485,0.9422820494499765,0.9538815868083745,0.9936797870609685,0.9916178704299203,0.9932604403130052,0.9624998886258203,0.9972255425070778,0.9839361188845183,0.998730947469744,0.9993140912703593,0.9979563230951056,0.9273993480945816,0.9875779645239896,0.9956323827667629
1052.82979459,0.9963940893167594,0.9989164831255868,0.9974863890577597,0.9994900397915858,1.0,0.7415324830075601,0.9960957500529981,0.5746845561081969,0.93170204298193,0.739553446745618,0.49177945444840765,0.9780763447574073,0.9223047375678632,0.9671709697850143,0.999596331044219,0.9394416357354568,0.951934478928283,0.9942141941071264,0.9894574622696909,0.9919529371917049,0.9650867218739756,0.9978365460288663,0.9832557880587848,0.9991859197659663,0.9993699606031868,0.998444447242399,0.9316007204775719,0.9891081992569819,0.9970822249114875
1058.05208946,0.9959635605989099,0.9990020017776658,0.9978313228140521,0.9996749750232563,0.9997946688974931,0.7409227496317037,0.9957521459979509,0.5802658856826072,0.9489753626683984,0.7345982389531692,0.48859748821423893,0.9764885436561421,0.9196257106233847,0.9633045336357751,0.9996892320887643,0.9367368383127535,0.9497678746007909,0.9949157612648961,0.9880372270024467,0.9916869211931046,0.9676771928683213,0.998268346143529,0.9830514415487295,0.9994232885311161,0.9994173940563131,0.9988159344894333,0.9357651156417105,0.9906018548542311,0.998241317011353
1063.2810895,0.9958702526851111,0.9993671211538567,0.9985881249744227,0.9996977819255354,0.9997168942794896,0.7409625489521812,0.9956941625120218,0.5869980132392795,0.9638745656481988,0.7302631284791067,0.48685244610009465,0.9753292975445417,0.9169479809544809,0.9598289915039491,0.9995437510097911,0.9346102047631517,0.9474123308060812,0.9956572929517571,0.9865055561996862,0.9923555991466381,0.9703471460387305,0.9986799738726425,0.9833790504305878,0.999527227633861,0.9996041672960223,0.9992651633714577,0.9404770596834124,0.9923425090617227,0.9990955466475911
1068.51675432,0.9957966598745825,0.9995536240970531,0.9992359938061725,0.9996793518099873,0.9997488404776768,0.7420974665893152,0.9952729286220987,0.5946915436105308,0.9762574585843071,0.726354543194441,0.4862144342837513,0.9739592618998618,0.9140594789149897,0.9573344672196828,0.9992098927446119,0.9326719890615773,0.9447554393658248,0.996283666430608,0.9850223757807508,0.9933199594772034,0.973401675534831,0.9989879178194632,0.9839112615825584,0.999883151774481,0.9999193070382966,0.999716382178861,0.9448925175806906,0.9938407767858811,0.9995725661451027
1073.75904388,0.9960696055812187,0.9995403221989384,0.9988147370969118,0.9998551347370509,0.9999134613546318,0.7438616670052696,0.9949701826055162,0.6033155367053796,0.9857181006946508,0.7229047437711154,0.4860524413095235,0.9726454997838585,0.9111620991336955,0.9544188921252051,0.9985165211829171,0.9310783938346742,0.9420330306512742,0.9968286891924146,0.9836318046027656,0.9939570037696144,0.9764104438332762,0.9994086127439795,0.9846579415800628,1.0,1.0,0.9999770185700709,0.9490099575954267,0.9952809646740255,0.9999483512214188
1079.00791838,0.996731364741982,0.9995199846656488,0.9978312962319633,1.0,0.9999062364310155,0.7458757828152814,0.9947118774028557,0.6129075814660019,0.9926166582008292,0.7201910033644869,0.4870700042824244,0.9716232932862495,0.9086453819491428,0.9514151712245495,0.9979877118795677,0.92908760764803,0.93959516308241,0.9972671225102492,0.9818479077330461,0.9946256409551341,0.9790957431561078,0.9997566536858143,0.9850184297892038,0.9999083005014666,1.0,1.0,0.9533776901375788,0.996609862304169,1.0
1084.26333836,0.996926461948628,0.9996610653451268,0.9971941298235883,0.9999260716109334,1.0,0.7482798970712735,0.9941608642739829,0.6234967402118788,0.9969131516582661,0.7180581632082756,0.48921732315295785,0.9711126578789544,0.9059897860925797,0.9483900951069836,0.9982109521999718,0.9270752392848751,0.9377743184155088,0.9976504933993181,0.980185229025561,0.9940558626806435,0.9818727472145378,0.9998568843074455,0.9851719028546346,0.9998258932386714,1.0,1.0,0.957774541139807,0.9975494598779726,1.0
1089.52507305,0.9971649294133038,0.9997536386388974,0.9978822610442065,1.0,1.0,0.752228790021905,0.9932650746155399,0.6347737857319787,0.9994825221634001,0.7157303865577562,0.49219213667075085,0.9706431862911475,0.903693726868021,0.9456899193076916,0.9990296954646191,0.9255924322986099,0.9367404867266483,0.997825424230739,0.9787352881904254,0.994114587871141,0.9847265217656189,0.9999084748777236,0.9858323408034144,0.9995267461559814,1.0,0.9997827045611667,0.9614600769141405,0.9984408552823655,1.0
1094.78823545,0.996802957900249,0.9996755009546896,0.9989428455982182,0.9998768321488,0.999960241107033,0.7572267883313023,0.9918511153663302,0.6468777640113841,1.0,0.7139666032151883,0.49588461655476873,0.9701805734866107,0.901693409390974,0.9436841104037129,0.9993948666176641,0.9239069017869892,0.9358684991327274,0.9979633971303633,0.9779999622913693,0.994242253652051,0.986984991958184,1.0,0.9868054265355133,0.9991902354380816,0.9994984467511803,0.9995306284299251,0.9652325127997666,0.9991352399819099,1.0
1100.05281299,0.9965379086272966,0.9996444164776287,0.9991350755515891,0.9999707080132705,0.9999843394513115,0.7632408283256075,0.9897340475499373,0.6595914432379358,1.0,0.7131995227100564,0.5000483232851617,0.9702335921011446,0.8997556078723584,0.9417300990283306,0.999319038354371,0.9226720319612173,0.9352778550792561,0.9979237306976223,0.9772459254438363,0.9936873948332832,0.989244578326478,0.9999602852878521,0.9877750626861027,0.9990349128621435,0.9986772464611111,0.9995855786534896,0.968606527688161,0.9995985950765376,0.9999874449288532
1105.31879326,0.9962893346053827,0.9998949575249362,0.9993023853504392,0.9999349628407603,0.9998608534744604,0.7703858137093813,0.9872532425826421,0.672628379632108,1.0,0.7126695061295238,0.5045172011215402,0.9709935573699947,0.8978023974526388,0.9393427276652176,0.9992122199838379,0.9217161789541705,0.9347814086922634,0.9983390895774014,0.9764989625724421,0.9932848312919579,0.9915241033984589,1.0,0.9887554041308693,0.9987474718104004,0.9979820168650996,0.9998139474753633,0.9723098233958528,0.9999315202468771,1.0
1110.586164,0.9964164702141804,1.0,0.9993595684839428,0.9998788684881593,0.9998761757785375,0.7779543762710774,0.9847336901543334,0.6858519482228225,1.0,0.7125201160853374,0.5089443377400767,0.9719197969458182,0.8958566162317865,0.9374121060033099,0.9992763082702054,0.9210466031609553,0.9340669237840812,0.9989052845772254,0.97609808868456,0.9926716922553787,0.9934060628997595,0.9997784166406402,0.9897009454633802,0.9985457652317234,0.9974630118991232,0.9998138353048647,0.9756178749425068,1.0,0.999991971372958
1115.8549131,0.9960174777982553,1.0,0.9994479211046653,1.0,0.9998515262316112,0.7853466484257652,0.9826282777258076,0.6994227730923067,1.0,0.7125070396478729,0.5137870745366956,0.9727638434230432,0.8939098315329761,0.9360959246027672,0.9995101313693038,0.9208344434862614,0.9329291008076771,0.9996000753366013,0.9759268268883103,0.9917245295498384,0.9958361695299498,0.9990723709527954,0.9905874656601513,0.9985980877933127,0.9967878852481761,0.9996106723462768,0.9786557765480677,1.0,0.9999301838558816
1121.12502863,0.9961099686836837,0.9999305649798103,0.9993150979732099,0.9998287745903209,0.999523717801905,0.7928616478416668,0.9806188267046735,0.7130894384519193,1.0,0.7125323225385924,0.5188896890672816,0.9737163482210011,0.8919417915947043,0.9354301125146468,0.9996222517873475,0.9205201198364209,0.9321747226298321,1.0,0.9751358860867932,0.991008939678966,0.9975662030486182,0.9983558069395464,0.9913805518843343,0.99884030570524,0.9967370765268532,0.999196224392682,0.9816035055491694,1.0,0.9993434696791004
1126.42117712,0.9962370833842656,1.0,0.9988649585103585,0.9995753690581638,0.998818692798341,0.8004240575902585,0.9776962954282108,0.7268413939683924,1.0,0.7128935428442958,0.5238940304781363,0.9751343831233348,0.8902299520458425,0.9348940359847061,1.0,0.9197767513372475,0.931999453398138,0.999769173080421,0.974651946608875,0.9910459603411012,0.9985070859913647,0.9972632806486456,0.9922792928576629,0.9993553435930294,0.9962706803702613,0.998773500277297,0.9846081881857015,1.0,0.9985439675460144
1131.75559815,0.9964124379225999,1.0,0.9986200607343105,0.9995298853416178,0.9978089515669555,0.8083388232342732,0.9738168274717293,0.7402586365681318,1.0,0.7136110524526736,0.5283091083366249,0.9775738757150746,0.8883877675898408,0.9341304888849359,0.9995663776850422,0.9188430809541717,0.9317599144896629,0.9988087379460797,0.9743676573417658,0.991344975809878,0.9994374783990774,0.9949728684766915,0.9931431071842374,0.9998347921288064,0.9945192157596184,0.998026699485524,0.9871561837865995,1.0,0.9974246843307749
1137.12876151,0.9964553322350069,0.9998699095796018,0.998233634762822,0.9995402707168161,0.9963866570794935,0.8163843408223445,0.9681704337421215,0.7532945123916198,1.0,0.7148842274638071,0.532608536243161,0.9803902069255778,0.8865643960178592,0.9332538448376198,0.9996024102699352,0.9184300445617661,0.9314240280356317,0.9978127981298899,0.9745560816905635,0.9908623612184358,1.0,0.9913659037465073,0.9938656890961953,1.0,0.9915068928602937,0.9968437217446925,0.9890074393743941,1.0,0.995764729209199
1142.54114608,0.996690425682705,0.999952804869103,0.997798333962137,0.9996658928679794,0.9943043381738865,0.8249375593791034,0.9588994067290568,0.766121131771139,1.0,0.7170928712493834,0.537088927940641,0.982755610136075,0.8848037539683083,0.9330907715405596,0.9996267218321075,0.9182714542554289,0.9314591786910282,0.9967658912747936,0.974161487600606,0.989637388921399,0.999879250202513,0.9866736315004103,0.9941449253704944,1.0,0.9875567747849049,0.9951891007420816,0.9908321714409295,0.9999888002293099,0.9929109801759234
