Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
1068.51675432,0.9957213754320781,0.9996303332863381,0.9992018134740608,0.9997621732660366,0.9998673179248955,0.7419935517960701,0.9952996057532685,0.5947233990677071,0.9761779153766577,0.7264037850106668,0.4861620236144361,0.9739153896824327,0.9141501456994395,0.9573747622437668,0.9992569034166416,0.932550898162828,0.9447343461156593,0.9963311427362018,0.9850800501245024,0.9933702575259243,0.9734200285910127,0.998965800742695,0.9838500495298198,0.9999046560384063,0.9999130753715114,0.9996839998797754,0.94493283574787,0.9938800258185542,0.9995478743692572
1073.75904388,0.9959501357232865,0.9996464990978792,0.9987252080759155,0.9999042877903331,0.999890881864035,0.743829779813656,0.9949850004983114,0.6032958024248205,0.9857077151759629,0.7229557787758132,0.48600089744409747,0.9725840408978854,0.9112861589935428,0.9545164586838425,0.9986013226557309,0.9310602192738031,0.9420603686884029,0.9968248299588431,0.9836756093834834,0.9940447676175711,0.9764222076833529,0.9993943014864494,0.9845639663308535,1.0,1.0,1.0,0.9489926888804163,0.9952628187982115,0.9999150379003934
1079.00791838,0.9966429161539675,0.9995574487763531,0.9978377535862306,1.0,0.9999303741873339,0.7458926587113054,0.9946797483349789,0.6129200571045581,0.9926086643192981,0.7202260472992151,0.4870046577085013,0.9716455767043919,0.9086685617674654,0.9514117983407796,0.998123477563974,0.9289947290583871,0.9396881008973782,0.9972558597901251,0.9819769064095853,0.9946387095308777,0.9791228457686625,0.9997332811560488,0.9850112314954744,1.0,1.0,1.0,0.9534280076035078,0.9965579965473058,1.0
1084.26333836,0.9969344263764749,0.9996538757058204,0.9972562964319657,0.9999662746982085,1.0,0.7482321886909381,0.9941505897129944,0.6235191629680997,0.9969103455876485,0.7181113745984045,0.48916992828377687,0.9711066051984077,0.9061107375858038,0.9484657596654271,0.9982700419850206,0.9270661011035813,0.9378561907628115,0.9976177774419407,0.9802711874039609,0.9941045732209166,0.9819437057579613,0.999817830292025,0.9851826634404175,0.9998137770273947,1.0,1.0,0.9577583186730501,0.9975818683760169,1.0
1089.52507305,0.9969680650398022,0.9997277139176629,0.9979209161377851,0.9999250154645217,1.0,0.7521710073684917,0.9932783748105016,0.6347927959706966,0.9994158446125055,0.7158113157934479,0.492156041003533,0.9705966922381433,0.9037729661082639,0.9457741178977498,0.9991256282199578,0.9255838090807005,0.9367988209173872,0.9978446960542272,0.9789330969911563,0.9941431833976967,0.9847067426230546,0.9998114224901454,0.985756464000596,0.999454570876386,1.0,0.9998444439281824,0.9614649768286028,0.9984353883757553,1.0
1094.78823545,0.9967153949348322,0.9996195744407889,0.9988876931417642,0.9998972984353611,1.0,0.7571684832077015,0.9918945593808002,0.64687075238097,1.0,0.7140723627473946,0.49586993085465325,0.9701934449114402,0.9018379260343496,0.9437374713721374,0.9994516579632856,0.9239862296588677,0.9359630582602421,0.9978850172890219,0.9780940701145318,0.9942306170594958,0.9870155873158482,0.9999657308567679,0.9868106172514498,0.999206432795054,0.9994339353968618,0.9995350985195661,0.9651564987850837,0.9991423762035967,1.0
1100.05281299,0.9963944286886889,0.9996242231553563,0.9990761468106508,0.9999826672782423,1.0,0.763265972426501,0.989724763631515,0.6595950243631576,1.0,0.7132455928316851,0.5000554350053618,0.9702267580146197,0.8998567256499693,0.9417373942319671,0.9993228635222263,0.9227055536817054,0.9353387202208195,0.9980041044686225,0.9772901100383994,0.9937042764679991,0.9892366004828744,0.9999435134832381,0.9876956126621074,0.999011846931251,0.9986920531656505,0.9996307628762606,0.9686726722104325,0.9996540777435344,1.0
1105.31879326,0.9962315025699335,0.9997994923500826,0.999217030744277,1.0,0.9999593819823301,0.7703750309693287,0.9872074855603641,0.6726147518457508,1.0,0.712782297570777,0.5044769904469821,0.9708814041241652,0.897843077470782,0.9394252231071955,0.9992654241170618,0.9217415921605396,0.9348093738729782,0.9982574455569241,0.9765741383215674,0.9932868747689959,0.9914104429558771,1.0,0.9886584203372982,0.9987345241546038,0.9980158201733282,0.9998457184108241,0.9724220028790512,0.9999344700755867,1.0
1110.586164,0.9962484218523,1.0,0.999320287416012,0.9999851864319046,0.9998945912368887,0.7778942335662694,0.9847154136276575,0.6859228625034436,1.0,0.7125411117026459,0.508926167498506,0.9718054582964287,0.8959434116673258,0.9374200577254244,0.9993597993954834,0.9210312017736819,0.9341330143642563,0.9988502288469201,0.9761925748716523,0.9926849688015977,0.9935070708562578,0.9997173671343706,0.9896391890531695,0.9986039129889485,0.9973492130144095,0.9997944633302106,0.9757506525947631,1.0,1.0
1115.8549131,0.9959119075520627,1.0,0.999479532093994,0.9999840025453293,0.9998137857007406,0.7853962403703724,0.9826712756551331,0.6993914750982843,1.0,0.7126034467918124,0.5137102791322636,0.9726830102454064,0.8940241297123022,0.9360835185692836,0.9996163761678829,0.9208234752585578,0.9329781168645765,0.9995988164019143,0.9760436565779697,0.9918174785400015,0.995848517788753,0.999080634526505,0.9905643118159475,0.9986215929680734,0.996776871093418,0.999521313809005,0.9786775067488857,1.0,0.9998373996218275
1121.12502863,0.9959888949565101,0.9999692453500089,0.9993119045101919,0.999882373954872,0.9994648412429543,0.792865286845247,0.9805391878344759,0.7130998194470599,1.0,0.7126268803432014,0.5188766097733022,0.9736491445593539,0.8921157236762374,0.9354380749649056,0.9997580395555228,0.920536357786506,0.9321985304310465,1.0,0.9752636729707838,0.9909609501704104,0.997572993422046,0.9983970988578676,0.9913363143663291,0.9989459068210276,0.996759826642098,0.9992948074280164,0.9815621315274716,1.0,0.9993694917669856
1126.42117712,0.9961979877468863,1.0,0.9987799026470057,0.9996460166677064,0.9987991309842003,0.8004647367059957,0.9777708613063149,0.7268282483354971,1.0,0.7129946480085088,0.523860465510064,0.975160691610998,0.8903322909970283,0.934872021448405,1.0,0.9197935091278611,0.9320770129526941,0.9997921992921682,0.9747556548724178,0.9910088819593276,0.9985171228126415,0.9972959095900463,0.9922064660959777,0.9994081806192282,0.9963515356709716,0.9988168748164776,0.9846139519401836,1.0,0.9985007586786064
1131.75559815,0.9962626397423261,1.0,0.9985676841523654,0.9995337047781546,0.9978079830609495,0.8083603657613393,0.9738972971680583,0.7402137408763867,1.0,0.7137275142372342,0.5282751617339535,0.977525286699954,0.888490187259608,0.934123397292484,0.9997126218239524,0.9188407296545997,0.9318120470862163,0.9988555800707599,0.974535953524717,0.9914211451179701,0.9994515934980239,0.994984573977986,0.9930974348693032,0.9998547460474104,0.9944841433676584,0.9979941970695444,0.987139019572393,1.0,0.9974153088617193
1137.12876151,0.996331652890078,0.9999301931894352,0.9981553704635486,0.9996009832353892,0.9963307154741089,0.8164095468264362,0.9681287605244943,0.7532491928712084,1.0,0.7149818895526643,0.532620463547232,0.9803827240196348,0.8866187689727606,0.933236022637909,0.9996995856533267,0.9184828111643112,0.9315036798804853,0.997837088169501,0.9745710197647213,0.9908582105448214,1.0,0.9913635971691186,0.9937114099016714,1.0,0.9914768035222191,0.9968779770872229,0.9890249057718583,1.0,0.9956925525150653
1142.54114608,0.9965370913579975,0.9999277495178606,0.9977297962657581,0.9996604410662809,0.9942760052393987,0.824871379983483,0.9588926441989585,0.7661777927016916,1.0,0.7171754549587217,0.537082218619172,0.9827810771120398,0.8848320789504199,0.9330682060217614,0.9997843143816735,0.9182895636785766,0.9315261864950105,0.9967437242186296,0.9742252333773036,0.9896901284854202,0.9999296625273945,0.9866168183577971,0.9941453204826958,1.0,0.9875786965739773,0.9952299775659146,0.9908357606592536,0.999943519384263,0.9928831080044136
1147.99324008,0.9966923057888935,0.9998323127437782,0.9978244146479814,0.9995485400389701,0.9921492301477642,0.8339278099670177,0.943570722042489,0.7787428564240405,1.0,0.7199824335426143,0.541203492152564,0.9847528723775174,0.8829967990174373,0.9334643723011654,0.9994912607902402,0.9183801905430284,0.9320429953486762,0.9955339273652607,0.97374851109428,0.9885526895240463,0.9994972385939267,0.9813145071631281,0.994724276866627,1.0,0.982486304997213,0.9926058625477321,0.9927426218634446,0.9990183221784278,0.9887419784627035
1153.48554133,0.996383674281916,0.9997250660371932,0.9981661852616586,0.9994276654020341,0.9910440021048705,0.8435530125414119,0.9228482990881614,0.7907153110015516,1.0,0.7222803273878386,0.5451406992060347,0.9871204240419558,0.8812188962059219,0.9340331804325406,0.9994257401824806,0.9187067757133245,0.9326291562520884,0.994485688252361,0.9731426850025144,0.9887991921979862,0.9989664941550401,0.9778257914329326,0.9953282866105265,0.9999601718045914,0.9751787301282155,0.9886846446414832,0.9942745565470077,0.9974349281412371,0.9833619779923598
1158.99647413,0.9958242921981469,0.9997775155641278,0.9987394180785424,0.9993770398874485,0.991226086316654,0.8529119463412417,0.9057301176144605,0.8022371091268118,1.0,0.7236529239847092,0.5487828589790296,0.9896353153503071,0.879272838561811,0.9347061533737805,0.9996316834944172,0.9191312798598715,0.9331019973260355,0.9937293452297176,0.9731893372937479,0.9899338439826079,0.9989989493340222,0.9775604867239679,0.9957954959679695,1.0,0.9664991757092954,0.9840025442292216,0.9951341545369813,0.9957160811341796,0.977439195961774
1164.48107738,0.9959769731276388,0.9997989240140869,0.9996256158114255,0.999344320352624,0.9920750922439633,0.8618469305551585,0.9045222851059804,0.8132394597991119,1.0,0.7250295054293736,0.5516875545121617,0.9917387547585621,0.877198188626447,0.9356170657065253,0.9999407603582416,0.9196640837712368,0.9335420762242601,0.9933396450509371,0.974098898825538,0.9906289998539356,0.9996411071054581,0.9798497812994594,0.9964461535372172,1.0,0.9600864885471098,0.9783464644873789,0.9956685060402518,0.9943213393085898,0.9716930985313597
1169.93996942,0.996593181055198,0.9998493208955049,0.9999545816965646,0.9993885504650765,0.9930115909660243,0.8714669176863673,0.917230649923101,0.8238308190451604,1.0,0.7266941083285026,0.5539374534343097,0.993734668162832,0.8750879030481267,0.9366638721761553,0.9999333010611337,0.9203340081239422,0.9339621199723221,0.9933969540143346,0.9748433726006107,0.989922761824102,1.0,0.9827588396586507,0.9970863766222572,1.0,0.9593700950425228,0.9724284112764683,0.9963747369579077,0.9934035718362254,0.9666278157844597
1175.3737451,0.99694139487418,0.9999885997995153,0.9999210205013902,0.9994669317121648,0.9939094209354856,0.8820764777072122,0.9327155579687518,0.8335420869309457,1.0,0.7279030324622758,0.5560279403397612,0.9959950398134748,0.8733809014444396,0.9377143459507501,0.9996258178050483,0.9208362737543062,0.934496883224772,0.9938059776871199,0.9754859712398064,0.9896116674685058,1.0,0.9854974985627283,0.9976242963113726,1.0,0.9638929808816799,0.9677384930119834,0.9966699565615234,0.9926980825577991,0.9631990225318663
1180.78297699,0.996575734629827,0.9999912153059483,0.9994353392695168,0.9995948349619276,0.9946779706931069,0.8933706628198725,0.9448499106624236,0.8426052169624296,1.0,0.7283358217333803,0.5579157805356764,0.9981909150070271,0.8719391083027056,0.9388275174157513,0.9997247606562263,0.9217552510712707,0.9359977629706819,0.9944663215151331,0.9762831515315519,0.9899423192317445,1.0,0.9878960504459309,0.9985876439272509,1.0,0.9700888681454722,0.9649747467021614,0.9970656094769271,0.9919876993950903,0.9615960343238202
1186.16821657,0.9964520675243578,0.999899386416115,0.9985212711112601,0.9996749024352567,0.9951645151132653,0.9049954446525181,0.9522867561375536,0.8511450151463767,1.0,0.7292130615556471,0.559600659189921,0.9998018430710264,0.8702749026302671,0.9401239857291679,1.0,0.9235885418216006,0.9381266830865669,0.9952307335360151,0.9771354973493582,0.9905792465619027,1.0,0.9895108478350212,0.9996855431708737,1.0,0.9752182523659855,0.9632027687697157,0.9974690229635195,0.9912979723660504,0.9609599574988927
1191.52999524,0.9968034656760226,0.9997942458648978,0.9978221514331675,0.999736134636006,0.9955421829800116,0.9163663678988053,0.956462563861909,0.8591031758072607,1.0,0.7298679338516071,0.5608892776451837,1.0,0.8683989873013109,0.9414382624029465,1.0,0.925104484866991,0.9398608125394168,0.9961969052835945,0.9781409695755128,0.9920147993071764,0.9999194427898517,0.9908426297392571,1.0,0.9999836394591873,0.9786400747309717,0.9624392218429302,0.9979520465223533,0.9904514617632888,0.9606159962959168
1196.89576018,0.9971086443947841,0.9995935556932336,0.9975300783032257,0.9997359469362692,0.9960650218497121,0.926750324118597,0.9599548099880477,0.8668210220641567,1.0,0.7297349773097435,0.5622898932256881,1.0,0.8665768471508605,0.9430923774132055,0.9999062334400263,0.9261144261334973,0.9407949691859627,0.9976664569065609,0.9786627541428354,0.9937933436452039,1.0,0.992069036894219,1.0,0.9996763979115658,0.9809101548552438,0.9623207965118494,0.99859943586488,0.9891093213594341,0.9605396611618489
1202.26638934,0.9974604915219958,0.99949786400637,0.9983135865267115,0.9996067645160914,0.9966549880685237,0.935943368245673,0.9651025955464635,0.8741320908794683,1.0,0.7290694762374678,0.5637110545226182,1.0,0.8651214787631728,0.9450789325901705,0.9996888267627784,0.9273006490150764,0.9418085123559334,0.9991330791028207,0.9793852181253981,0.9962203049652044,1.0,0.9932649545933323,0.9997206104461926,0.9989401748715429,0.9825107387482711,0.9624799025634491,0.9990995789504512,0.9876828113780018,0.9608781576181076
1207.64185238,0.9973894707037266,0.9994767528455097,0.9988520721342599,0.9994452493790121,0.9972013182479698,0.945248465070956,0.9705380281052232,0.8805623165670026,0.9999182720849717,0.7281055515978526,0.5648599638489888,1.0,0.8639368373392544,0.9472318230276235,0.9992207116367428,0.9288242385800771,0.9434312872479359,0.9996085624166237,0.9807455173392833,0.9987239685214747,1.0,0.994132136165788,0.9995458335735936,0.9975730099927705,0.9842339147135196,0.9631634808569353,0.9995006207370944,0.9868104502364926,0.961565735145914
1213.0221192,0.9970397084817681,0.9991789968861723,0.9988444648372127,0.9992907204611963,0.9976614688218255,0.9540852340850006,0.9746284348550086,0.8865579648385434,1.0,0.7273332443367871,0.5658626514184871,1.0,0.8629388325674608,0.9493571919576143,0.9991027708088808,0.9307395366320189,0.9452857731156825,0.9997436781882147,0.9819545765444552,1.0,1.0,0.9953124629451245,0.9997906461314893,0.9956492106869745,0.9866076037143544,0.9652979646684013,0.9999857283693128,0.9860135157687864,0.962167705467967
1218.40715994,0.9971566010731772,0.9988710288710527,0.9984096240304126,0.9993101924439022,0.9980412651769501,0.9622330362680712,0.9775546181350449,0.8922370262327891,1.0,0.7263219735463219,0.5670318153150942,1.0,0.8618869599472412,0.9512631623663214,0.9984860883441605,0.9321941769314347,0.9470261861230194,0.9999665658232028,0.9828671301304552,0.9999034817148745,1.0,0.996418363188115,1.0,0.9927992290015794,0.989055098249723,0.968124954520081,1.0,0.985048036839889,0.9625497402243218
1223.79694502,0.9972254579805507,0.9988608762548772,0.9977792803227532,0.9994774806697616,0.9982620138847367,0.9700996800019027,0.9795891513302312,0.8976249504470205,1.0,0.7245997203998236,0.5683321820061151,1.0,0.8606957468650956,0.953036937790892,0.9970678285936069,0.9332807482607117,0.948502439899796,1.0,0.9831497384445028,0.9991509599533598,1.0,0.9973989978311696,0.9998553470290127,0.9890390614911636,0.9912323825812328,0.97028305958679,1.0,0.9840099339161545,0.9632424201832953
1229.190873,0.9972127837694643,0.9989980387269373,0.9975293008200339,0.9997678579358126,0.9983732701746769,0.9771111019429128,0.9805357062325184,0.9029511864757456,1.0,0.7225957375860063,0.5698499233088505,1.0,0.8597438654284723,0.9549110880578289,0.9952711891315217,0.9347510999643546,0.9501090031104967,0.9999620137240878,0.9830715732643658,0.9985844486839002,1.0,0.998066813299652,0.9994700980501754,0.9852237012556958,0.9930218111775341,0.9719912236802195,0.99999918174292,0.9832449589936767,0.9642832071976558
1234.58829679,0.9972717886496968,0.9992356276504517,0.997158523800782,0.9999498384057331,0.9984494355644629,0.9825777142294844,0.9809915478223592,0.9079143260104778,1.0,0.7212104636049665,0.5714328882765426,1.0,0.858894693802961,0.9568058290365851,0.993760704187081,0.9361830031187879,0.9518622120503695,1.0,0.9835073180394566,0.9991977054489865,1.0,0.9987238601042382,0.9995686241634634,0.9819193841424149,0.9944832227340007,0.974295852491049,0.9999394159052916,0.9826465651853005,0.9653874062066644
1239.98919257,0.9976532747395195,0.999569210041257,0.9970528308680534,1.0,0.9984910166893071,0.9871200963937016,0.9819209089569267,0.9125476970752163,1.0,0.7204320009404633,0.5730378161554129,1.0,0.8579459127113696,0.9587088787950018,0.992697571506691,0.9375383298152632,0.9539234564380571,1.0,0.9844719190572897,1.0,1.0,0.9991208221003298,0.9999192844753593,0.9788776532768798,0.9962150903520945,0.9774483133960111,0.9999555034942964,0.9821621888704434,0.966706369004744
1245.39353673,0.9978746534033489,0.9997513506354521,0.9974509228872477,1.0,0.998552138854718,0.991031488691495,0.9833330529408085,0.9173446265270779,1.0,0.7191954857807891,0.5746833677622104,1.0,0.8571037077517677,0.9604669785239042,0.9927320952387284,0.939248672471945,0.9558284476335709,0.9998041298233635,0.9857712455095967,1.0,1.0,0.9993898001520711,1.0,0.9755501565579485,0.9977214431351021,0.9806873040404092,1.0,0.9818003446788374,0.9681512279729986
1250.80130588,0.9979294275483165,0.9997765803981438,0.9981772835235727,0.9999787941639244,0.9987777491735759,0.9944334883350753,0.9846087839825601,0.9220959891617913,0.9999581574794194,0.7177490121341429,0.5766191772839775,1.0,0.8564305910778507,0.9618150509471503,0.9933874538042955,0.9408921073615106,0.9572069447562073,0.9992112876806865,0.9874021627005914,0.9997144695763367,0.9999420857145472,0.9999515993932732,1.0,0.9711359014197162,0.9989331751731757,0.983451026855873,1.0,0.9813541500277725,0.9696609194869052
1256.21247686,0.9981266409268107,0.9998545579773793,0.9989458161340204,0.9998813344262014,0.9991935822125526,0.9974296636997387,0.9851584278030912,0.9264713776853424,1.0,0.7161099981855259,0.5789502711416028,1.0,0.8558241542453283,0.9631707435686443,0.9941115709654894,0.9424067301438035,0.9587476174520627,0.9984818478801555,0.9886918286079044,0.9997492063967163,0.9999622198029655,1.0,0.9992907463820856,0.9646186127149537,0.9998192920238985,0.98587000290569,1.0,0.9811667212675164,0.9711747334076849
1261.62708732,0.9981011044086217,1.0,0.9997141682092311,0.9995147192311777,0.9996091285139415,0.9994458930446453,0.9853584628727267,0.9304844716847666,1.0,0.7145748926142899,0.5814747438876264,1.0,0.8553357836891734,0.9649351743165072,0.994129191697082,0.9436530854993012,0.9607659542753479,0.9979466204392448,0.9892629604996815,1.0,1.0,1.0,0.9973123466754116,0.956958311241506,1.0,0.9878420349924092,0.9998488033414283,0.9814947821308576,0.9726475161907329
1267.05580532,0.9978776259930392,1.0,1.0,0.9988813292267962,0.9999210466261548,1.0,0.985427229229673,0.9342233329801648,0.9998723853990517,0.7128663961302394,0.5840310473164937,1.0,0.8549008712463992,0.966813732819976,0.9933379387181758,0.9450635164022241,0.9627966112089387,0.9973827584325395,0.9894757993889824,0.9992955842504614,1.0,0.9995933893686642,0.993480792525058,0.9530591619306538,0.9997654815513455,0.9891996613522887,0.9999478158040075,0.9822676676645901,0.9740238845490493
1272.49861965,0.997665356246831,0.9998840220500385,0.9998418143848258,0.9980517063256709,1.0,1.0,0.985091012107089,0.9378714676525198,0.9992937763179948,0.7109416645494745,0.5868869297130229,1.0,0.8545923620648038,0.9686510652552481,0.9915345703769561,0.9465765701177556,0.9646845142495691,0.996035997424178,0.9901063382417082,0.9986685096187602,1.0,0.9986729562615854,0.988987880867695,0.9567600494326577,0.9996244381058191,0.9901991626037123,1.0,0.9831471584020629,0.9752513367317592
1277.95551888,0.997425359335667,0.9996404110731527,0.9995162450761276,0.9969804327958609,1.0,1.0,0.9841141062124621,0.9412578678630533,0.9983823606172669,0.7093033043766495,0.5900690437204482,1.0,0.8545191435402594,0.9704857520482253,0.989410790448098,0.948015898641648,0.9667369419289453,0.994375083550499,0.9903729247656464,0.9987422763735898,1.0,0.9981755868611286,0.9870574148710414,0.9662431561681845,0.9995330890524134,0.9910154822782056,1.0,0.9839353835259931,0.9763715670512753
1283.42649147,0.9974627848498769,0.9997035112226229,0.9990918440159204,0.995789549959759,1.0,0.9998599895630634,0.9820538280320394,0.9447187004185128,0.9970646305151979,0.7080024819153866,0.5934990044465549,1.0,0.8547403333544842,0.9724226595178844,0.9869318189500815,0.9497751886850246,0.9686872418171281,0.9941555671359409,0.9910109934225325,0.9980447437137138,0.9999956969671896,0.9984821365745732,0.9897568885353907,0.9778445441486724,0.9990907285822627,0.9916541677205449,1.0,0.9848207599941203,0.9774144458044268
1288.9115257,0.9977518743909357,0.9999398446840746,0.9987925704633354,0.9950911327355677,1.0,0.9993521045974925,0.9790451771594526,0.9482903305268282,0.9956904127765503,0.7070345002986107,0.5971816982981509,1.0,0.8553399991917585,0.9741524715876964,0.9836945439718353,0.951603975916739,0.9700317696003831,0.9964627770740055,0.9922996765789592,0.9970425585119802,1.0,0.9984525885944296,0.9925531990137197,0.9883973034145408,0.9981878907293841,0.9922519138684577,0.9997895385027039,0.9858170918895035,0.9782311413937309
1294.41060969,0.997910697531002,1.0,0.9984330873119454,0.9950299228481301,1.0,0.9988606312916284,0.9756054565726704,0.9515598151643508,0.9942435392420074,0.7058780834605083,0.6015226397842985,1.0,0.8560880235763464,0.9759601300165343,0.979479494990835,0.9530066911208762,0.9712727709785582,0.9989007918246033,0.9939900265888929,0.9961807149224943,0.999890979145556,0.9969886704420338,0.9926130565081365,0.9954652396157437,0.9969560375124982,0.9923938603638663,0.9997902166671689,0.9866828149040328,0.9787986753211635
1299.91690127,0.9980552787285945,0.9999225945219603,0.99811798067096,0.9951350862503703,0.9999846239379158,0.9975107030553413,0.9721726853387231,0.9546772938681105,0.9923625448507419,0.7043696085595762,0.6062388093293903,1.0,0.85678971664743,0.9779233148619113,0.9752007832953234,0.9545911961856574,0.9727636739350587,0.9999809402222279,0.9952778888079216,0.9951499222191067,0.9997274192953959,0.9955107797154431,0.9926404913597363,0.9989879525676708,0.9950982888774341,0.9920287294067944,0.9998298992339868,0.9874859303525753,0.9791239803440681
1305.42577023,0.9975762895981841,0.999814498868575,0.9982266115048426,0.9952888341815422,0.999585223840581,0.9954553869586715,0.968550875935358,0.9577924910730157,0.9901426451644637,0.7034021895110544,0.6108573276678445,1.0,0.8576867808145495,0.9798499122149075,0.9715272685987201,0.9565276947741729,0.9745750190014558,1.0,0.9957153528523299,0.9950136667136109,0.999450917132475,0.9941145416874593,0.9940400593798924,1.0,0.9924494238523695,0.9910793587483905,1.0,0.9881146314771723,0.9791685903176404
1310.93719838,0.9974192521484225,0.999933095882727,0.9981110994333136,0.9956765993296,0.9986238739187845,0.9930028951639319,0.963984719024068,0.9608391270086728,0.9877943722504378,0.7030512468549395,0.6156079794248815,1.0,0.8588448576989526,0.9817440346783289,0.9685929108104057,0.9581843411142854,0.9763693429497952,1.0,0.9960536448896252,0.9950371117611584,0.9987781826125994,0.9917386153843983,0.9948152614232966,0.999102162409726,0.9891074262309467,0.9897338152121468,1.0,0.9884897531640864,0.978922161340495
1316.45116775,0.997606204266966,1.0,0.9978883712061571,0.9961422605326455,0.9969920991133454,0.9908779006000719,0.9575946468142559,0.9638791353233324,0.9847536367468409,0.7025078898473597,0.6208207625775068,0.9999848158030673,0.8600996054767401,0.9837639110411831,0.9660027529955443,0.9593529207231475,0.977932169034628,0.9998363852254565,0.9970448243705654,0.9939584482760021,0.9976435624422457,0.9877586154966603,0.9942303864476607,0.995609302043412,0.9849043429122292,0.9877233335091579,1.0,0.9886089709679785,0.9784426455771015
1321.96766053,0.9976322406298567,1.0,0.9979308126285057,0.9963490417064901,0.9947069390948282,0.9893325380718581,0.9484767814367099,0.966621493537383,0.9810757505676183,0.7018742432729888,0.626159903919309,1.0,0.8613519765529732,0.9854582717080981,0.9633066502920076,0.9608006240068226,0.9793434855659504,0.9994953305382582,0.998082949548581,0.9929560521568376,0.9962076208381069,0.9826101585480105,0.993663896311059,0.9914493968914238,0.979143651600798,0.9848291014916281,0.9998137622093872,0.9881725115444504,0.9776994060148002
1327.4866591,0.997492977167995,1.0,0.9978310157072989,0.9964222256424654,0.9917404076540592,0.9877991091613836,0.9362757628677204,0.9691906183253196,0.9770011960825105,0.7015021787881862,0.6316950107983339,1.0,0.8624931071425984,0.9870419865532477,0.9608147230132366,0.9624815784372289,0.9805474369029442,0.9987091333714168,0.9984765236809204,0.9923545391382916,0.9948571144046725,0.9770269510917794,0.9936640958371474,0.987622490999986,0.9714346760610936,0.9810788895211541,0.9999581830139291,0.986999787424218,0.9767822043559805
1333.01349556,0.997106650208592,1.0,0.9978461681505075,0.9964345195416511,0.9881374790280689,0.9855208793981752,0.9215333896151614,0.9717127129447755,0.9726825076019727,0.7020544000535618,0.6381546070747538,1.0,0.8635172538416894,0.9886678029024396,0.958488840257611,0.9643535653104645,0.9819462122554281,0.9969230974231699,0.9983106559584616,0.9921213027356375,0.9937208372564561,0.9713888035314497,0.9936190324635983,0.9820905392632089,0.9623945737926493,0.9766109835940922,1.0,0.9848722499858727,0.9757373603062383
1338.5688161,0.9966836288464247,1.0,0.9976353251010487,0.9965050670151663,0.9840448144789895,0.9829223907994775,0.9064146574787804,0.9741511140406028,0.967989766429855,0.7032166665407487,0.6448822484257969,0.9998439097659914,0.864811551300151,0.9902515177275862,0.955506254002711,0.9655618036337555,0.9833305463945972,0.9938582370823058,0.9978141849326599,0.9917375651866147,0.9925691756744345,0.9657147525824891,0.9926855279068463,0.9776642682663469,0.9536933471320403,0.9715049906898453,1.0,0.9816139615129543,0.9745461108859844
1344.15282419,0.9960465854064072,1.0,0.9973470842709035,0.9964134389211139,0.9796004592760897,0.9808103052390748,0.8926997392084944,0.9762075964860547,0.9624784776600231,0.7039292503675519,0.6515984455188731,0.9999450478187681,0.8663800062613503,0.9914903037358404,0.9510060974303494,0.965658886254781,0.9843086234855164,0.9887049942399574,0.9967292879075065,0.9910373985730767,0.9913198628201003,0.9594514038701035,0.9910047960714866,0.9770384765028933,0.9476655782858865,0.966002890366953,0.9999429928297353,0.977305611578875,0.9732448130385634
1349.76572543,0.9949988286748916,0.9996037337759711,0.9970223854900988,0.9961450202877009,0.9748423109690291,0.9793896255351225,0.8809022598754718,0.9778045921014982,0.9559540330394851,0.7043566057269534,0.6581307461392933,1.0,0.868053586708868,0.9918530975005795,0.9437845711783374,0.9659336806715684,0.9851900036924828,0.9802477880234848,0.995116912837106,0.9897025302246939,0.9900596477049391,0.9523096961749994,0.9885632493311298,0.97782054472867,0.9447815114406246,0.959867960573157,0.9994943037195272,0.9722265187323065,0.9718079696613308
1355.4077275,0.993570478119428,0.9989723916749405,0.9964790280085408,0.9960460201084517,0.9691327523815778,0.9786035303945587,0.8712155135023085,0.9790728017537365,0.949124628043328,0.7051492277025022,0.6647834159260869,1.0,0.8697377020926528,0.9917359050372512,0.9345145837557998,0.9663562827011596,0.9857331833736812,0.9697407516713413,0.9921494963948078,0.9880737342532957,0.9887064674121967,0.944309152304293,0.9848418940116526,0.9791207685229864,0.9429752784958078,0.9536125553526317,0.999223676067694,0.9673171045215346,0.9701692180946232
