Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
909.999291084,0.9993216915343532,0.9988258698616692,0.9986578967149141,0.9996460798698942,0.9999781030810052,0.9756286301314406,0.9985818248232197,0.9459443508790865,0.8460638955441466,0.9770445869302984,0.9608389700159427,0.9620020191171469,0.9985542988848946,0.996219420204585,0.9997166567292916,0.9953061917546143,0.9934554651115106,0.9999514417753073,0.9968807452001833,0.9982112813729049,0.9866507466405258,0.9974976955629942,0.9999724711720971,0.9989199362858449,0.9983644235526148,0.9991887040198331,0.9722618334977516,0.9999923020004197,0.9991820115617835
913.430570243,0.9992362078941135,0.9986865859576051,0.9983491765170922,0.9997859345576935,0.9999584986098108,0.9672338177077391,0.9973319825537496,0.9269500548653242,0.8063931244138836,0.9694958906165446,0.9462733889616743,0.9513313577124963,0.9980892360429056,0.9955590312791185,0.9994481349434468,0.9937043021329484,0.9915962012712574,1.0,0.9962447413000074,0.9977111302484953,0.9823595289803815,0.9977428105065688,0.9997155206160658,0.9989139059684221,0.9977536207165003,0.9989337181702909,0.9647522153944835,1.0,0.998983515592903
916.914016797,0.9991494334245107,0.9985352258509169,0.9983982226639924,0.9998078666832966,1.0,0.9578549124960959,0.9961186062914491,0.9071095056758257,0.7717865429122581,0.9615120676008718,0.9309285995539843,0.9412593840978158,0.9977436631803036,0.9947999113844972,0.9990549810634508,0.9917248655707651,0.9905460479284584,1.0,0.9956560519020412,0.9973215270696862,0.9785465209060642,0.9976454244319728,0.9992555815620783,0.9992973194287742,0.9970197975004051,0.9988810843446596,0.9575555950657293,1.0,0.9988089742234686
920.451653694,0.9993262677437901,0.9982087673863669,0.9987675780996257,0.9997620316265494,1.0,0.9476935484977078,0.994894346765279,0.8868788405236401,0.7418509636351369,0.9532980330236304,0.9154914982266537,0.9322292845560005,0.9972785312092728,0.9939198782391401,0.998902806396428,0.9897588747616631,0.9901187281648651,1.0,0.9949310014833028,0.9970713223383219,0.9751481803747811,0.9968178646907689,0.9986646638869754,0.9997698714444283,0.9963148470219526,0.9988163897423655,0.9507028157686341,1.0,0.9985312519868703
924.045637162,0.9997987466013023,0.9979658021393834,0.9992642351980335,0.999847427184955,0.9997397034498217,0.9374552623861104,0.9934209723945373,0.8668615169439539,0.7150569962681929,0.9452472524844022,0.9001259574280455,0.9251807360365569,0.9964103990985903,0.9934804658070026,0.9991291570858822,0.9881263845182596,0.9896960344771016,0.9995905199668894,0.9939645541385653,0.9972944535171231,0.9717467567494809,0.9958990525755717,0.9980673182767437,0.9999006983757027,0.9959684170947907,0.9984132023324461,0.944643328566681,0.9999689914831544,0.9982143301105288
927.698269301,0.9998455624343116,0.9978345095809967,0.9997581516318864,1.0,0.9990333594342279,0.9275894111606063,0.9915072877715096,0.8464330796113821,0.6913570574670495,0.9375682861966826,0.8837980766681525,0.9208810093963711,0.9951741533429833,0.9944874473944894,0.9987537103149251,0.9862879434687595,0.9889396690388437,0.9988510784708646,0.9922543108335287,0.9980390969646654,0.9685238589402975,0.9950861784141661,0.9974394420731834,0.9998824169428262,0.9961730713268199,0.9980384948773344,0.9389463744620408,0.9999891674252056,0.9977407234028512
931.412012249,0.9996995950332581,0.9976645105813732,1.0,0.9999468771654939,0.9984180210011656,0.9182301681287509,0.9892533959580674,0.8262726711467779,0.6702307730074409,0.9302403350294313,0.8665944828733294,0.9180842790179063,0.9940361631696462,0.9957716190247411,0.9980957919570977,0.9846455223205189,0.9880268032927094,0.9979496597959941,0.9912811896598778,0.9991891208910983,0.9656800960238014,0.9941951530509778,0.996248510296259,0.9999239918741656,0.996297548263589,0.9979518470251706,0.9332851458708221,0.9999030501490042,0.9971288987685594
935.189504163,0.999673423469337,0.9975350030233096,0.999749042336635,0.9996356559901527,0.9979009252435634,0.9093501323081741,0.9868524716227471,0.8069194659558557,0.6521428560992465,0.9230662214684218,0.8490232299395208,0.9152019521575805,0.9930377298492742,0.9963785732306932,0.9976353796711561,0.9833741027629123,0.9872268900468558,0.9965809215718991,0.9917332609479526,0.9997409371518452,0.9629918575725251,0.9931392843273521,0.9937206542326623,1.0,0.9955706865447477,0.9981219556526432,0.928143857131066,0.9995315313129038,0.9963655350984022
939.033577299,0.9995427495357273,0.9976494081825399,0.9989410604757522,0.9995467870882665,0.9968743141408192,0.9006662873534862,0.9844589353252666,0.7877772167144328,0.6381894786661148,0.9158487123421459,0.8311872353854892,0.9117991206122715,0.9916146753511398,0.9969916027393607,0.9970941219071647,0.9818625877473317,0.9864607222509082,0.9941691309516762,0.9920572914228718,0.9986763374383011,0.9600685331964708,0.9915188525472006,0.9888929607324765,0.9998100554507103,0.993909460666246,0.9981952097254179,0.924092323058137,0.9988535458090887,0.9953947776972437
942.947278561,0.9994866308606984,0.9975652861678178,0.9978624280048543,0.9995835041442632,0.9958991459906515,0.8914905787587298,0.9822496923174531,0.7687409981300666,0.6268400737432598,0.9086228543960054,0.8132027584800272,0.9083417919621002,0.989847748479528,0.9974908241746628,0.9965514129339369,0.9803799186876198,0.985337913343141,0.9913620087154413,0.9918245963974669,0.9978617044148376,0.957390741328672,0.9878124991932491,0.9810005392077578,0.9990488866683233,0.9920288067180507,0.9976597840145384,0.9198120098882954,0.9978245758913445,0.9944779452649208
