Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
909.999291084,0.884045486646168,0.9009273635522823,0.9001910658986607,0.734645057817319,0.5696283071326892,0.2548584400537219,0.9062640751288952,0.2079483935864182,0.12126763300568534,0.2204512368897922,0.32372867775909997,0.251219768592283,0.32944239034000794,0.2775821479640476,0.9331862345313067,0.43905140383847635,0.4089292626362323,0.7432630507279105,0.4020338358580064,0.5794063038817651,0.38269557040309976,0.9096385004115066,0.5626866984482884,0.8696392155300777,0.9211601317625278,0.9430433607714326,0.408127642899277,0.8545725562644146,0.9483922821039119
913.430570243,0.8840276514218011,0.9008397318424015,0.8999622337625123,0.7348533356546448,0.5696143728097987,0.25391268451268995,0.9049740751387345,0.20474900424851442,0.12136864385385411,0.2194710391211608,0.3203365497763415,0.2537501207906972,0.3293276973622637,0.27829142494310954,0.9331293970335659,0.43920064453753227,0.40884390605302096,0.7437978980048413,0.4024926886680043,0.57947967801124,0.3822912817219411,0.9098514029732948,0.5632958215877971,0.8699543502281185,0.920518092053415,0.9427474438172412,0.40816856248566186,0.8546456086558066,0.9481045398419676
916.914016797,0.8840096261164075,0.9007418037995701,0.9000593571467043,0.7349758729468524,0.5696356668214874,0.25270356782569475,0.9037161226037426,0.20133489152397208,0.1217941366187701,0.21839072654394392,0.31665071894751107,0.2564041944193717,0.3292534153348266,0.27898508486734297,0.9329583455499307,0.4391919857389748,0.4091030699509218,0.7442688249220725,0.4029807590488773,0.5796230667034251,0.38208315108240626,0.9097494579977988,0.5638004868165349,0.8706162229184299,0.9197609766591885,0.9426432781072944,0.40834143130022,0.8546872241774897,0.9478383488409756
920.451653694,0.884227580983447,0.9004854575001993,0.9004483497573967,0.7350498924202618,0.5695737376172895,0.2512811759411284,0.9024468143629357,0.19780539272227537,0.1225819298959715,0.21725659255824095,0.31290504741524805,0.25931687878349774,0.3291400998838619,0.27965709099660524,0.9330171398164178,0.43919963849993077,0.4096310273054356,0.7446281429850456,0.40342355016301457,0.5798536748366796,0.38204842952331525,0.9089767540340664,0.5642417079876442,0.8713616950453015,0.9190299514678889,0.9425268753920467,0.40866357886637455,0.8546648102364081,0.9474721009749423
924.045637162,0.8847100581185118,0.9003057502439749,0.9009538914633478,0.7352228668570006,0.5692317320462855,0.24983158903588018,0.9009484420941459,0.19429504146011362,0.12355880336318917,0.21615901240063368,0.3091558201509091,0.2627757433876852,0.3288935586754022,0.28046730549449156,0.9334353653875908,0.43936737169206413,0.4101713178506901,0.7446843183727292,0.4037782524339259,0.5803675562764521,0.3820239287900157,0.9081203700499192,0.5646906530688761,0.8718127997918501,0.9186311776360003,0.9420879487823038,0.4093358537264635,0.8545931850307147,0.9470669623343654
927.698269301,0.8848141582127564,0.9002282930407641,0.9014579088195633,0.7354474294268013,0.5686313830697143,0.2484756358808741,0.8990465115671212,0.19066224838857698,0.12478207985189443,0.21514678520833933,0.3050415257241208,0.26704099620991983,0.3285254117083704,0.2817043898739828,0.9332908237090171,0.4394545558329013,0.4105829392671541,0.7444987986580955,0.40383894607215787,0.5811936511249586,0.38208240545694744,0.9073613942073456,0.5651340465018733,0.8721386961404319,0.9187432278538042,0.9416753914571926,0.4101778135269912,0.8545650993939427,0.9465106438053726
931.412012249,0.8847475523859425,0.9001164673900829,0.9017340486788376,0.7354667565589379,0.5680805232707072,0.24725132019800464,0.8968326489871312,0.18706003591905687,0.1262181132493555,0.21421614431548297,0.30058731556247015,0.2717929776474546,0.3281907005469518,0.2830384569633994,0.9328840069828528,0.43964184572381554,0.4109398993834657,0.7441976451158817,0.40421240624831983,0.5822646150916142,0.38230521147295454,0.9065307603017096,0.5652680845781541,0.8725230754062211,0.9187795546820412,0.9415357818326545,0.41104945691664074,0.8544450182683263,0.9458208279767131
935.189504163,0.8847888862935293,0.9000422678819431,0.9015530206485013,0.735295989584713,0.5675830825723265,0.24615351763121088,0.8944832959518887,0.18361243429787208,0.1280172889707627,0.213322215210639,0.2959676152264971,0.27657912319420874,0.327903177003948,0.28419702577408623,0.9326667083807217,0.44000914189617923,0.4113554310942392,0.7435516699824701,0.40518372516581974,0.5829920581766853,0.3826052372609898,0.9055489065778726,0.5646492959346391,0.8729439091301617,0.9180242333543324,0.9416391960307925,0.4121693344417125,0.8540788954675357,0.9449848137219135
939.033577299,0.8847383091874612,0.9001905185506812,0.9008672409437145,0.7352910400353183,0.5667910649863986,0.24510713160463202,0.8921393195579912,0.18018428900527858,0.13047958987035177,0.21241951886189814,0.2912164865641245,0.2812663293436968,0.32747532558765496,0.2853757965292553,0.9323771523562859,0.4402823223582965,0.4117970245050676,0.7421281871521163,0.4061167762017378,0.5827776642255418,0.38282722401046265,0.904048999820261,0.5627234661932153,0.8731308633723525,0.9164006318421726,0.9416496205486562,0.4138018406509849,0.8534487116216471,0.9439492921432143
942.947278561,0.8847554524697534,0.9001593291168843,0.8999368144201977,0.735380278232628,0.5660255647015922,0.2439241269857805,0.8899619247570271,0.17675151263362668,0.1333709935728174,0.21151645802648683,0.28637341500680485,0.2859958803232778,0.32693400289190705,0.2865409746519198,0.9320902261377347,0.4405830219749808,0.4121009618359095,0.74041327830174,0.4068349820381251,0.5827169527413529,0.38316463555273556,0.9006350171820753,0.5590467955915787,0.8728221899388799,0.9145726637405376,0.9410810370256993,0.4153610187448115,0.8525162823908614,0.9429637659000394
