Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
1068.51675432,0.8835249361075489,0.9034329751456138,0.9027026717542522,0.7374745706936646,0.5614686195681913,0.2382011598397188,0.8965240714062178,0.1601771777408271,0.47139842185993974,0.18896494711104178,0.19970847980680895,0.505677118612443,0.30317696953974216,0.30288094116000447,0.9417340985181026,0.4485066582573241,0.4188268050817359,0.7567404288695306,0.42673213177945624,0.5933491666349305,0.435427326877743,0.9103555179118933,0.5877582762995929,0.8850173937969809,0.9191412246736818,0.9410212190870155,0.5412628899811109,0.8475619310292016,0.9441937274950528
1073.75904388,0.8838164192272051,0.903503902207593,0.9023346937320768,0.7376604753098975,0.5611666449067806,0.2402693223418609,0.8960152285341204,0.16350072976566682,0.4870280078706768,0.18889847995142248,0.20088766862490065,0.5132578279714035,0.3022808310427523,0.3030957652678622,0.9414068316623674,0.4490152999833932,0.41862512084352244,0.7576397989335442,0.4269987076262364,0.5943052812390739,0.4386854255359069,0.9107229602310994,0.5893139166386651,0.8855757793199466,0.9191046687670009,0.9412349944214642,0.5483779282215874,0.8486778208675244,0.9443891468232987
1079.00791838,0.8845214331154483,0.9034794782608502,0.9015942465781578,0.7378121336113047,0.5608733538422986,0.24242037774383923,0.8955148319532124,0.167141467961369,0.5015479287422208,0.1890143598433275,0.20255606202338486,0.5210369289391031,0.3014665987736653,0.3032265714464959,0.9412479287444363,0.4492426694833081,0.4185540154517752,0.7584925930458837,0.4271355635404305,0.5952144221025244,0.4418209262389692,0.9110084927347439,0.5907119794371974,0.8859823973006186,0.918874438692167,0.9411052166050133,0.5557583594439411,0.8497183241055473,0.9443167358419423
1084.26333836,0.8848691117113163,0.9036234011480638,0.901131505619135,0.7378631021758855,0.5605967048697169,0.2446720701480306,0.8948121622897736,0.1710834162932997,0.5148860317328996,0.18928767818579356,0.20472097579891058,0.5290279436919975,0.30067212277678473,0.30340245739933075,0.9416802686703115,0.449532780219173,0.41872132065854956,0.7592937759281593,0.42726751888128073,0.5954469087133356,0.4450237718672324,0.9110613458602573,0.5919460458531282,0.8861941166689716,0.9186423685626354,0.940814864802286,0.5631266014751675,0.8505263255133239,0.9440682305745622
1089.52507305,0.884987065957214,0.9037466497122999,0.9017989757434073,0.7379084347244756,0.5602111919484392,0.2474621737333291,0.8937995744527077,0.17524825416865122,0.5273803873996797,0.18950772386667278,0.20724732445790825,0.5370344077369563,0.29995081564536696,0.3036546159037875,0.942783955560816,0.450036862333271,0.4192337199651575,0.7599925031894241,0.4275584015656987,0.5960237799675433,0.4482129142294645,0.911030689655615,0.5934245934303937,0.8862519102192692,0.9180708084509653,0.940067774467988,0.5701720529783068,0.8511879634279765,0.9437123966575749
1094.78823545,0.8848500025535213,0.9037048658041101,0.9027405674227454,0.7379638300820114,0.5597494747077257,0.25061957023502596,0.8923257248274503,0.179674445844166,0.5388929989156539,0.18987234397804037,0.21009889814826896,0.5450941092917807,0.2993634989691424,0.30411253437929603,0.943386698352194,0.45048101146260094,0.41984385404061175,0.7605490501287847,0.42806630437141596,0.5966302718872715,0.4512050390700991,0.9111470240542875,0.5951953287667039,0.8864085589442094,0.916928356618965,0.9391758391164693,0.5772463593590907,0.851724102742848,0.9431038312159845
1100.05281299,0.8846521401171434,0.9037654374752726,0.9029763179352583,0.7381030123893038,0.5592730240788216,0.2541643596976969,0.8901434725959153,0.18432165883695076,0.5491868143615062,0.19047764290136773,0.21317090009956874,0.5533982434998389,0.2987606249593576,0.30457784494145446,0.9435589373639748,0.4510767216830433,0.4205478072663475,0.7611661609090744,0.42858842189419166,0.5968672265606787,0.4541661503378966,0.9111020441116932,0.5968660943887295,0.8866129602821607,0.9156249572209162,0.9386658337912877,0.5842524717906861,0.852093119157928,0.9422922791745657
1105.31879326,0.8845951269065789,0.9039808168817355,0.9031690062988587,0.7381918416161249,0.5587573826375606,0.2580733814386383,0.8876490560134992,0.18909408795362118,0.5584881334570214,0.19117890121982165,0.21636491890016327,0.5620651131251639,0.298146755484743,0.30493714892624885,0.9437988752149881,0.451825121481159,0.42129358140511564,0.7618864189003632,0.42914816456417015,0.5971695206420509,0.4571145449555795,0.9111290681892946,0.5985863318975001,0.8867437973644058,0.9143829072169776,0.9382679386987971,0.5914368652487918,0.8522642964824635,0.9413843108740677
1110.586164,0.8846983986084298,0.9042191272978327,0.9033276485232237,0.738238290973525,0.5582282514816391,0.2621494772954236,0.8851788418931144,0.19399123189857273,0.5669493773888412,0.19193912219342274,0.21959202468223665,0.5709035718241442,0.2975706908627012,0.30539164390417234,0.9441828036476164,0.45269630622673607,0.4219717966185223,0.7628671825551406,0.4298545731666456,0.5973602092045025,0.46003601613558076,0.9106774705751369,0.6003198903770007,0.8870053727339742,0.9131506049368141,0.9376192337890359,0.5984011737754759,0.8522517869036833,0.94038337268819
1115.8549131,0.8844868116068656,0.9042245382007256,0.903537148647445,0.7382948663986749,0.557690227992974,0.26624989059804033,0.8831138689911125,0.19897804360443888,0.5742284941643028,0.19278119327700372,0.2229870850759642,0.5797319680075081,0.2969879063506853,0.3060609712628211,0.9447206698983053,0.45381437815501435,0.4224314229225286,0.7639681843045651,0.43066348923822373,0.5973900237772638,0.4630802196865862,0.9099026142448117,0.6020219685670599,0.8873992276113427,0.9120057001721812,0.936761915611962,0.6051508058341021,0.8521252937523907,0.9391982190214189
1121.12502863,0.8846443414366727,0.9041678029454844,0.9034508158016089,0.7382779121893616,0.5570037658290204,0.27037043578342923,0.8809720133160567,0.20407789709174598,0.5805248911577836,0.19361199826626985,0.2265678794948942,0.5886362991929871,0.29640844183592235,0.30695558044849164,0.9451519059627566,0.45489387466522674,0.42306018488447866,0.7648056643757399,0.4311938997859601,0.5974271258563189,0.46584766070681494,0.9090872674689698,0.6036341363990391,0.8880692554626616,0.9113722150724453,0.9359500195122137,0.6119076723931922,0.8517740729958067,0.937727182408704
1126.42117712,0.8849203722211824,0.9041674569544296,0.9030346145301762,0.7381618821387479,0.5561391179031678,0.2745740058248292,0.8782576492338038,0.20923452839582612,0.5862110326358461,0.19454071483715427,0.2300966802786044,0.5979356633482436,0.29587065307305144,0.3078806868926839,0.9456808681711012,0.45575267643170775,0.42399262303007307,0.7648571320063066,0.43184871170117783,0.5980140831888735,0.4682659573130844,0.9078909974790156,0.6053143419208235,0.8888657880019031,0.910377941562653,0.9349001368005216,0.6188248846920381,0.8510610485551064,0.9358759717514895
1131.75559815,0.8850683792783064,0.9040008534765314,0.9029089547589436,0.7381381803136501,0.5550901546164998,0.2789220925638311,0.8745477685760163,0.21434591984936371,0.5910544245993523,0.19557654102407634,0.2334059633370231,0.6078527016738847,0.2953134969256387,0.3087519564863009,0.9455611608388929,0.45651376976870583,0.42486628521254816,0.7643509237995415,0.4326373307621518,0.5988258306210038,0.4706977052891957,0.9055894098506777,0.6070175878928573,0.8896515154210559,0.9080436357588912,0.9335231868966724,0.625474678526201,0.8497609580261776,0.933815784676553
1137.12876151,0.8852209620235488,0.9037496753509608,0.9026022990642161,0.7382479670578433,0.5537677981746011,0.28336737190596334,0.8691321647904766,0.21940888588448126,0.5952073450069636,0.1967640561031994,0.23671569793472755,0.6181833380801957,0.29474675750173096,0.30958339645837857,0.945702828099547,0.4575784390336364,0.4257266645748083,0.7637831843168038,0.4335456403041383,0.5990509585022671,0.47296466537953613,0.9020925481990859,0.6085611880688028,0.8901715671399913,0.9046642379600255,0.931867800269144,0.6317777658237975,0.8478201978059675,0.9311527681097421
1142.54114608,0.8854958345506597,0.9035582766897212,0.9022841117515418,0.7383524350623125,0.552121933476167,0.28800194824981934,0.8605967914987963,0.22449374340678566,0.5990348420547159,0.19822108801089341,0.24010947327819093,0.6283324025592667,0.2942084759674431,0.31066112008461666,0.9459384578386051,0.45873368709840323,0.4267456693020851,0.7631592532194522,0.43429034237557285,0.5989124491784799,0.4749188897223676,0.897569026474412,0.6100039465797014,0.8903297386653892,0.9004698716570758,0.9297113116826041,0.638088998064914,0.845106468001706,0.9274679521113048
1147.99324008,0.8857266645686737,0.9032813186925672,0.9024383154041795,0.7383304404844109,0.5504345696603935,0.29289292810466355,0.8465883830221049,0.22952467649498953,0.6024425591803045,0.19986030700698745,0.24338152863264265,0.6383101641306073,0.2936541851350149,0.31193569957109546,0.9458168856439234,0.4600401584928014,0.4279997140311128,0.7624471854184457,0.4349823964821962,0.5987954748836931,0.4767143891428434,0.8925397255017153,0.6115457659235141,0.8901320476880441,0.8951849833851977,0.9266387376450389,0.6445191525792631,0.8416399176465801,0.9225356279994498
1153.48554133,0.8855441915388111,0.9029910957898716,0.902816831460351,0.7383015159498584,0.5493124532925407,0.2980341086198914,0.8277278921676678,0.2344321581681022,0.6056007390043152,0.20137043152852652,0.24660516284512968,0.6486425444591111,0.2931193766744414,0.313277033355358,0.9459106007169493,0.4614740690266227,0.42929384332028675,0.7618588474179936,0.4356212009104296,0.5995215809951265,0.47847362106006536,0.8891637557480914,0.613111982997435,0.8897185264649123,0.8878788679121072,0.922350619311678,0.6507584346624525,0.837603239998651,0.9164460194893618
1158.99647413,0.8851373662281039,0.9028423088298027,0.9034047168637033,0.7383233048700748,0.5489023657639789,0.3031236462502254,0.8121189594541723,0.23925024304261247,0.6084117077780882,0.2026297504640612,0.24972669506837264,0.6591349809634846,0.2925287168542837,0.31465739616228955,0.9462588660291208,0.4629607001748555,0.43053918605126823,0.7614920085181058,0.43655306567398744,0.6007878588298605,0.4805046426111157,0.8887242361377428,0.6145965771971807,0.8893703385098551,0.8793272576766045,0.9173523661492997,0.6565804255309851,0.8334498671609686,0.9098565729105669
1164.48107738,0.8853648695630119,0.902666411376036,0.9042762731658028,0.7383581010584089,0.5488645309585127,0.30809161736253315,0.8108243261101361,0.24394484833042807,0.6108664983740196,0.2038890189028846,0.25251909534014705,0.669351936112657,0.2918946368911381,0.3161144376698972,0.9467044581380128,0.46449722375242425,0.4317653628066241,0.7614058134230397,0.43786948905033923,0.6017850348363546,0.48282128186945134,0.8906137574426508,0.616190280319202,0.888964788059243,0.8728576097155032,0.9114537766424956,0.6621694262708385,0.829590464440369,0.9034505112219876
1169.93996942,0.886005215629722,0.9025177253687116,0.9046420801121619,0.7384496531223946,0.5488767488858955,0.3133347965767191,0.8220375951028539,0.2485460315630752,0.6129837060127623,0.20522883598154182,0.25501510786402726,0.6794912404604733,0.29124815796102593,0.31761445560188317,0.9468490620774924,0.46609884601644325,0.4329783010243671,0.7616622243992358,0.43910881082955183,0.601926166549913,0.48499350656151197,0.8930676763446266,0.6177734409965939,0.8885273254242608,0.871588858361607,0.9053213284079435,0.6678546902530563,0.8261493966336834,0.897696406617453
1175.3737451,0.8864063079913453,0.9024503900992543,0.904678764660197,0.7385662612848408,0.548868991526379,0.318967659571956,0.8357387378004377,0.2529089284485418,0.6149707525909747,0.20643868373787364,0.25744069409086506,0.6898086693804313,0.29073582400445974,0.31911295176039883,0.9467082757906796,0.46761111688118095,0.43424082498479355,0.7621882248067292,0.4402992697434949,0.6023050271423411,0.486956971583575,0.8953658854653952,0.6192889826178564,0.8879942704431031,0.8750929106201081,0.9003453340085651,0.6732450544523794,0.8229024161136976,0.8934805467104995
1180.78297699,0.8861706061821912,0.902260321177004,0.9043050365716336,0.7387193204691581,0.5487911655441549,0.32488509260868426,0.8464226595615494,0.2570999538440747,0.6167080450768971,0.20742549007745206,0.25977451836600424,0.700080913858593,0.29031158885116826,0.3206302519743428,0.9469527281131027,0.46933171259399037,0.4359509290859315,0.7629068142942311,0.44155691807050174,0.6030728873524609,0.48886979258490776,0.8973540043329049,0.6210656427485426,0.8874334633077278,0.8801151527883875,0.8971737895730011,0.678683357263697,0.8196675719496522,0.8909730830204426
1186.16821657,0.8861502698036205,0.9019857718746425,0.9035424087882007,0.7388367067763538,0.5485590575243681,0.33096148361436134,0.8528830240606919,0.26115416655255563,0.6183300006619833,0.20853679384228632,0.2620150277800277,0.7099369959686137,0.28981264821697206,0.3222081058082413,0.9473640385480797,0.4715170176530395,0.4379535529616752,0.7637048885579196,0.4428371052421391,0.6040258224212018,0.4906362419841661,0.8986284679684944,0.6229233371280114,0.8867265216582033,0.8841623531297271,0.8949323553824738,0.6841080129494719,0.8164656747772829,0.8893708430366767
1191.52999524,0.8865538269769687,0.9017017193596255,0.9029750154747779,0.738940866102258,0.5482699540828216,0.33698532288598443,0.8564142915845369,0.26505137324020167,0.6196747012621778,0.20958171392214262,0.2640648329100319,0.718772870708753,0.28924235299125806,0.3237911168156834,0.9474108662269458,0.47354014189565663,0.4397717537477577,0.7646595247130425,0.44418605624033153,0.6054670251139589,0.4922802035919628,0.8996474497542338,0.6242898000274075,0.8856391720778677,0.8866557771309502,0.8936354740750782,0.6895734386836395,0.8131517390991119,0.8880460178621408
1196.89576018,0.886916319881241,0.9013313172556572,0.9027769891169618,0.7389996111686007,0.5480602460663305,0.3426911548015583,0.8593298380979482,0.268901656870645,0.6208099748306374,0.21040081460130233,0.2661748944310215,0.726827664616871,0.28868983560959977,0.325495649246647,0.9471435807797133,0.4753080148352964,0.44121830393233147,0.7660021500125335,0.44531700921530604,0.6071202784649752,0.49400500396652963,0.9005699164404322,0.6252210992158139,0.8842935117918022,0.888099037078541,0.892939234312888,0.695162239381942,0.8094341355492054,0.8869689687358714
1202.26638934,0.8873205661499469,0.9010557454911418,0.9035549423376981,0.7389628429432401,0.5478865847422256,0.34799735015016314,0.8637283878453211,0.27265203451961306,0.6217722868505663,0.21106563546881318,0.2683027063863923,0.7345350767916309,0.28825969489212483,0.32732051387673666,0.9467589212474589,0.47717060836655617,0.4427051058504879,0.7673433476713678,0.44654140398265346,0.6091733463823705,0.4956107433966654,0.9014639596585612,0.6259206942594104,0.8825679779541535,0.8889316263344854,0.8925005786680642,0.7006588265938405,0.8056525775564416,0.8862747266823167
1207.64185238,0.8873478388537656,0.9008474563904777,0.9041107138640719,0.7389021767697109,0.5476879063916426,0.35338454485579684,0.8683819625679411,0.27615149983015586,0.622494928256491,0.2116425684227146,0.2703075429673277,0.74185442301547,0.28791989135942697,0.3292090590064769,0.9461363953193473,0.479211907755432,0.44448259328777123,0.7679223795378136,0.4480598790856083,0.6112766589441231,0.4970210844682342,0.9020584074073775,0.6266863557964476,0.8802854282347411,0.8898726605684973,0.8925483367600491,0.7060949789441983,0.8023280486185754,0.8859012225972507
1213.0221192,0.8871266052629716,0.90038921627605,0.9041710880326741,0.7388467458666225,0.547440888803351,0.35863499719223824,0.8718266641509447,0.2795366326334761,0.6233203275540045,0.21227399978559713,0.2722483199810783,0.7490139474181353,0.2876423619625567,0.3310941438198328,0.9458461881945514,0.4814614336107918,0.4463740453158188,0.7682397840586171,0.44951226160387114,0.6126296677387911,0.49825255143912694,0.902937008633498,0.6277165067757006,0.8775135766886326,0.891399934663873,0.8939413914722364,0.7115996736587235,0.7990673023721088,0.8854463724960071
1218.40715994,0.8873216512570873,0.8999217609196405,0.9038438630430187,0.738920319907341,0.5471488684730335,0.36366239584432847,0.8742256128419126,0.2828427395016766,0.6240439886524699,0.21283406481548087,0.274276011217046,0.7557313669687611,0.28734674237721375,0.3329083948451155,0.945082931883716,0.48347781536979767,0.4482161979983159,0.7686251157149216,0.4508313885331463,0.6130623235126825,0.4993718521708868,0.9037473078698519,0.6287255469483315,0.873928347183608,0.8929903259097983,0.8959734841566356,0.7167759313204548,0.795672252509756,0.8847867062129162
1223.79694502,0.8874739494671947,0.8997230981411263,0.9033392693796763,0.7391034890608917,0.5467687579089612,0.3686177051956061,0.8758239254063191,0.2860763535726375,0.6244899571485406,0.2131826696533745,0.2763747446605189,0.7616058914274628,0.28700445286674175,0.33468168744321436,0.9435597398428143,0.48530741712754183,0.44993733041817247,0.7688648136671606,0.4518628977161034,0.6130920158188018,0.5004589894643595,0.9044431235385255,0.6294819780634897,0.8695468555600173,0.8943326137534048,0.8973813962220109,0.7215947410246271,0.792221627115643,0.8844111705211206
1229.190873,0.8875536003342789,0.8996572336531817,0.9031798810112454,0.7393779334394619,0.5463280284257263,0.37327943359046206,0.8764464784695593,0.2893095149389685,0.6247574097016838,0.21344436968482988,0.27858773269350573,0.7669763652219761,0.2867420836015992,0.33649552792790816,0.9416783300263982,0.4873413486617599,0.4517244260651983,0.7689244317135423,0.45272916046521516,0.6132358281426816,0.5015169914616359,0.904854189147756,0.6300868486833657,0.865124410373679,0.8953211129435268,0.8983692882137017,0.7263335472845562,0.7889943220756481,0.8843532928095573
1234.58829679,0.88769727342953,0.8996818266774309,0.9029109128949895,0.7395721110536199,0.5458676945780947,0.377377007219461,0.8766290088536676,0.2924444963307963,0.6248649433469118,0.21388582820971047,0.2808412354902702,0.7722739731777154,0.2865139709869503,0.3383219064938866,0.9400688545893748,0.48935992101050685,0.4535856035691829,0.7690427292932354,0.4538334422889373,0.6141059081872063,0.5024470178120737,0.905255100249967,0.6309976365092217,0.8611588862643512,0.8960107317190878,0.8999066799777818,0.7310322368215837,0.7859030880690228,0.8843507227700165
1239.98919257,0.8881287402694351,0.8997928131499482,0.9028825713192358,0.739668650495529,0.5453880893829568,0.3811409189279741,0.8772350708955532,0.29549028084041734,0.6249177611328819,0.21450566237041946,0.28311428983791237,0.7772941062708432,0.28625245925591425,0.34015653372925525,0.9388838788389829,0.4913429616778808,0.4555985666363461,0.7691003988304895,0.4551840586459095,0.6150934178778243,0.5032675065222743,0.9054195027585193,0.6320688438821068,0.857430555858474,0.8969420569555775,0.9022249216296825,0.7357892659537094,0.7829046052010346,0.8845420390683236
1245.39353673,0.8884174794622789,0.8997670066099863,0.9033115392569365,0.7396300176970693,0.5449188585840878,0.3846794929446181,0.8782725871522171,0.2986060829532052,0.6249214409509134,0.21498684509329397,0.2854163940035709,0.7821311721342091,0.28602650861824813,0.3419447839386306,0.9387392085276225,0.49351734469554925,0.45754162329814835,0.7688886072243392,0.4566923582043996,0.6155022348003405,0.504016777731066,0.9054674837019079,0.6329700279282292,0.8534579586602611,0.8976674297968315,0.9046187057752546,0.7405705186234254,0.7800047395411955,0.884845156529519
1250.80130588,0.8885576627088688,0.8995995772876049,0.9040385671864734,0.7395687517973418,0.5445391408744312,0.3880363810618391,0.8791872116866698,0.3017241952282072,0.6247804748443057,0.21540241032609536,0.28787310072143846,0.786495305629059,0.28585705228261515,0.3435912807100485,0.9391825218580893,0.49566184387912376,0.4592363090892987,0.7683710797798448,0.4583577944401064,0.6156696480414882,0.504590489878476,0.905781005309468,0.6335472501632775,0.8485409221555892,0.8981250494532569,0.9065689662746743,0.7452582331905022,0.7770383773449926,0.8852038109340161
1256.21247686,0.8888250390525884,0.8994796000946439,0.9048040037420058,0.739450980029396,0.5442627257141435,0.3912491472734541,0.8794516488513591,0.30473553096201367,0.6246919477828835,0.21575687504228677,0.29053959960427667,0.7901923701447658,0.28570984694817364,0.3452444991105026,0.939690637063062,0.49774344106966867,0.46101270840006286,0.7677484813580729,0.45986781403416815,0.6160348341357054,0.5052041117812778,0.9056284234420947,0.6335396829971144,0.8417946213612163,0.8982876083801346,0.908197105484817,0.7498793370669001,0.7742775017546518,0.885562329236954
1261.62708732,0.8888939994238837,0.899420956533491,0.9055695857533388,0.7391341877019398,0.5439859787580443,0.39408948114201364,0.879403694351865,0.30764303931289116,0.6245610096369968,0.21613932922636092,0.29331528061049783,0.7936565771342978,0.2856020195698482,0.347049389000819,0.9395303451491849,0.49968817835643425,0.4630240339406599,0.7672763208227352,0.46104597569115924,0.6165343572370082,0.5058281374439862,0.9050220853756029,0.6327258255969447,0.8340650100918409,0.897814697637246,0.9094100935534581,0.754329832280618,0.7719227753103663,0.8858799379890929
1267.05580532,0.8887865477002229,0.8992032005036884,0.9058974009984753,0.7386197009424061,0.5436510993175047,0.3963632576759449,0.8792377418016735,0.3104770441722683,0.6241635378883601,0.21646752222607887,0.29612377617027924,0.7968177705845448,0.2855121568053519,0.34890285645351127,0.9386039946022515,0.5017269055678639,0.46504835498207175,0.7667821071391054,0.4620600087908318,0.6163690047680637,0.5062767799505394,0.9039653774986264,0.6307328893882308,0.8296294279724792,0.8969289074803768,0.9100526938688958,0.7589809679690556,0.7699089014545454,0.8861038243440028
1272.49861965,0.8886893246929819,0.8987641777331441,0.9058031814695602,0.7379598287873987,0.5431878752246404,0.39839861980081487,0.8787092882935237,0.31329759573038884,0.6234835554538484,0.21672773051297642,0.29910245023801807,0.7993454872627968,0.28546469108353584,0.35074899029628875,0.9367197329088218,0.5038275412100371,0.4670105223944742,0.7656850073153032,0.46327257646745923,0.6162518439165994,0.5066833391338753,0.9024424213021673,0.6283169357326883,0.8318187037546065,0.8961257006831435,0.910362142378089,0.7636091087078789,0.7679675860199265,0.8861864973575434
1277.95551888,0.8885675758212089,0.8982095314341957,0.9055571368858134,0.7371209645409639,0.5425830545194026,0.4004238799520997,0.8776080664367241,0.3160467619185401,0.6225953367661421,0.21707336393025597,0.30226739441419653,0.8016804525409769,0.2854961080107356,0.35260169613727743,0.9345326380370286,0.5058962599016046,0.46905944459070115,0.7643461309465385,0.4643178146004079,0.6165684876792452,0.5069582736367864,0.9013017278725427,0.6275301667730248,0.8390264719352843,0.8953655926658401,0.9105001530740993,0.7681966052299058,0.7659436346805247,0.8861663512696426
1283.42649147,0.8886937104230345,0.897930215034848,0.9052214892708254,0.7361935478057227,0.5419193798298595,0.40223652847017805,0.8755391886501598,0.3188368803102102,0.6214533155612681,0.21752118457112216,0.3055806759211185,0.8039373528166889,0.2856262493144334,0.3544992687767791,0.9320100021193358,0.5081437413995837,0.4710657765111555,0.764117181170726,0.465540714071682,0.6164087635309282,0.5071192812498891,0.900886603646947,0.6296935016026322,0.8480506663824279,0.8942891562204041,0.9104721810850583,0.7726865313787327,0.7639842094859974,0.8860708610848952
1288.9115257,0.8890447928840483,0.8978058466843634,0.9049995687260459,0.7356309199971095,0.5411695818841554,0.40390466814847564,0.8726240208038673,0.3216807349066868,0.6202761938276962,0.21807093264976588,0.30904683462654264,0.8060215651788244,0.28588332916007425,0.3563287865286451,0.9287707898650692,0.5104367551741585,0.47278331231057846,0.7658333650789968,0.4670738866117831,0.6160608732168047,0.5072851814695953,0.9001658161036303,0.6319221354396275,0.8561366610805147,0.892799047995472,0.9104042128255578,0.7769117100254715,0.7620991970739469,0.8857652644644066
1294.41060969,0.8892796896021656,0.8975216656608034,0.9047230023739132,0.735539925267368,0.5402667693941394,0.40558194426568484,0.8693246692832318,0.32443771638036784,0.6190536225103214,0.21856207776630354,0.31288048689772485,0.8079474192398891,0.2861903636900447,0.35819396172451756,0.924607442351433,0.5125083347741015,0.47445559465846615,0.7676493776279855,0.4688011780269998,0.6157997127735251,0.5073820871687867,0.8981485534996623,0.6324077414166691,0.8611764671839199,0.8910135771955225,0.9099148859634778,0.7813103903514617,0.7601009478800319,0.885229160064386
1299.91690127,0.8895019153598418,0.8969634027644091,0.9044867237962677,0.7355719260984356,0.5392127635214148,0.40690899951650694,0.8660327612375381,0.32715584438366047,0.6175608713930589,0.21894187282597724,0.31693604060365727,0.8096902760062418,0.2864820484341562,0.3601223308308092,0.9203851190460044,0.5146834487459802,0.47625436457295695,0.7684195815018466,0.4703421175752579,0.6154336001043929,0.5074511657882171,0.8961196168415145,0.6328730834799472,0.8631309703580086,0.8886688242440703,0.9089589117867788,0.7857448247416122,0.7580462267226595,0.8844710411202886
1305.42577023,0.8891673601943378,0.8963774786431311,0.9046352347541777,0.7356398850847047,0.5379513756674783,0.40794254365995786,0.8625738953416332,0.3298847474097889,0.6158581827094572,0.2194876189763621,0.3209651636384003,0.8112487827973819,0.28683930523961637,0.3620425605281627,0.9167365143292348,0.5170541200688169,0.4782143826557613,0.7683730358159189,0.471482680027175,0.6156214449201924,0.507462970468839,0.894166117283419,0.6342155508708321,0.8629074530946222,0.8856192474394435,0.9074672897070397,0.7902848746084045,0.7558523192235665,0.8834580393630496
1310.93719838,0.8891203294486126,0.895994949930255,0.9045802607289947,0.7358810823987858,0.5363881122140736,0.4088056131006126,0.8582745870991917,0.3326014397045922,0.6140769871273972,0.2202249363890029,0.3250889247045205,0.8126264334964516,0.28728417403478285,0.36395604376322976,0.9137878369625052,0.5192788709522423,0.48017047043555283,0.7678298378333482,0.4725774028517256,0.6159083937195029,0.5072734039065714,0.8913324786538578,0.6351602321402889,0.8605407551980835,0.8819540433207406,0.9056135333010547,0.7946576736222555,0.753460213270361,0.8821817472121438
1316.45116775,0.8893805773154208,0.8955657530464474,0.904427959991177,0.7361798962822651,0.5344665219475473,0.40979598301944725,0.8523513373206901,0.3353271476086222,0.6118663455479176,0.2209011080844394,0.3294841752391602,0.8138988488664789,0.2877616007319618,0.36592159804302543,0.9111654971253248,0.521243251935232,0.4820166924608008,0.7669161999259471,0.47398401001730744,0.6155120032233324,0.5068488977957827,0.887059208221382,0.6352355114453737,0.8559420853302343,0.8775247838391423,0.9031522526071307,0.7988133629019143,0.750870223530281,0.8806953808285451
1321.96766053,0.8894971751797555,0.894904488415395,0.9045164926108459,0.7362870158089029,0.5321978692754157,0.41102035143803806,0.8439998756384033,0.337959940464273,0.6092613508425201,0.22154774858606097,0.3339748118159909,0.815196913282149,0.28823838877033003,0.3677710461575545,0.9084440999123322,0.5233637494547254,0.48379186691797116,0.7658663875357277,0.4754153116326201,0.6151625373841542,0.5062709355695661,0.8817412770509467,0.6353222997352194,0.8507808390389358,0.8717121446862243,0.8998844745857005,0.8028129182909466,0.7478572032465963,0.8789721229482629
1327.4866591,0.8894663048816523,0.8941228567557156,0.9044759707393745,0.7362954302827337,0.5295695167491236,0.41224515997457095,0.8329058671252869,0.34054222679223856,0.6064123525801685,0.22227621846716772,0.33859876505442166,0.8162789588674262,0.2886779932276703,0.36958397749854793,0.9059169224878859,0.5256167134109916,0.4854680093320602,0.764475915439889,0.47654128788169403,0.6150618430352708,0.5057366363937992,0.876040458904571,0.6357722524748514,0.8459184765622755,0.8641715464975576,0.8958376163537376,0.8070808499177744,0.7442895434663908,0.8770938430968103
1333.01349556,0.889215354249836,0.8932321532833585,0.9045402170407799,0.7362595343432743,0.5266073222030191,0.41315568427490657,0.8195546581335298,0.3431198717478694,0.6034147811277132,0.22329938152933065,0.34375159412741557,0.8169676606608485,0.28907843592581545,0.37141928996969437,0.9035486744783069,0.5279820805244071,0.48724596411222526,0.7623211714381647,0.4774026868912371,0.6151910930970862,0.5053129588407287,0.8702988397857637,0.6361949523253331,0.8396082115995486,0.8554565936834424,0.8911399582693839,0.8112759574942633,0.7400068631397128,0.8751024590339582
