,10_Otago_00001 10_otago,10_Otago_00002 10_otago,10_Otago_00003 10_otago,10_Otago_00004 10_otago,11_Iceland_00001 11_iceland,11_Iceland_00002 11_iceland,11_Iceland_00003 11_iceland,11_Iceland_00004 11_iceland,15_Oxia_Sophia_00001 15_oxia_sophia,15_Oxia_Sophia_00002 15_oxia_sophia,15_Oxia_Sophia_00003 15_oxia_sophia,15_Oxia_Sophia_00004 15_oxia_sophia,2_Atacama_Red_00001 2_atacama_red,2_Atacama_Red_00002 2_atacama_red,2_Atacama_Red_00003 2_atacama_red,2_Atacama_Red_00004 2_atacama_red,3_Sabtha_00001 3_sabtha,3_Sabtha_00002 3_sabtha,3_Sabtha_00003 3_sabtha,3_Sabtha_00004 3_sabtha,4_Watchet_Bay_00001 4_watchet_bay,4_Watchet_Bay_00002 4_watchet_bay,4_Watchet_Bay_00003 4_watchet_bay,4_Watchet_Bay_00004 4_watchet_bay,4_Watchet_Bay_00005 4_watchet_bay,4_Watchet_Bay_00006 4_watchet_bay,5_Granby_00001 5_granby,5_Granby_00002 5_granby,5_Granby_00003 5_granby,5_Granby_00004 5_granby,6_Hydrothermal_Clay_00001 6_hydrothermal_clay,6_Hydrothermal_Clay_00002 6_hydrothermal_clay,6_Hydrothermal_Clay_00003 6_hydrothermal_clay,6_Hydrothermal_Clay_00004 6_hydrothermal_clay,7_Oxia_Teresa_00001 7_oxia_teresa,7_Oxia_Teresa_00002 7_oxia_teresa,7_Oxia_Teresa_00003 7_oxia_teresa,7_Oxia_Teresa_00004 7_oxia_teresa,8_Mudstone_00001 8_mudstone,8_Mudstone_00002 8_mudstone,8_Mudstone_00003 8_mudstone,8_Mudstone_00004 8_mudstone,9_Congo_00001 9_congo,9_Congo_00002 9_congo,9_Congo_00003 9_congo,9_Congo_00004 9_congo,00001 Standard,00002 Standard,00003 Standard,Standard_retest_00001 Standard_retest,Standard_retest_00002 Standard_retest,Standard_retest_00003 Standard_retest
1137.12876151,0.8896844389870056,0.9230780371820986,0.9183190196410952,0.903500718716256,0.8705731232816736,0.8759529360836658,0.9280865446536001,0.9210387431214334,0.9453534270605805,0.9474297410720829,0.946547898835677,0.9464255693879914,0.974307265404004,0.9785526355842096,0.9783734988005748,0.9759685775735014,0.992002696373103,0.9959547151131024,0.9954762851478258,0.9949775792009777,0.9501637207393884,0.9844783578806803,0.9567456030791864,0.9791659996688504,0.9790650051905678,0.9587079853385077,0.9425352484070121,0.9374587988984782,0.9051367060094639,0.9297127066959557,0.9730759912637492,0.9739106322342186,0.9749580640705832,0.9652029024083713,0.9655345590411964,0.9647465738400969,0.9672173640584172,0.967074684395675,0.9277030278044521,0.9300695014047689,0.9300607709723621,0.9442126884209585,0.9128571863953531,0.9241749238237479,0.8986780200683233,0.89759280135491,0.9991329011883674,0.9990485145444385,0.9999831630260616,0.9971689207553689,0.9967145692509102,0.9970477634643066
1142.54114608,0.8894129184040428,0.922966433507628,0.9182871887237112,0.903494171190591,0.8785176502793278,0.884104019608594,0.9336682911369419,0.9265425111241097,0.9446894260449028,0.9470052348153778,0.9457574338668312,0.9458072342413112,0.9728856612552639,0.9769789309633237,0.9767875178282013,0.9740895704956719,0.9863974492939896,0.9934157227168071,0.993274247481016,0.992148915389459,0.9496083775025088,0.9839518962594435,0.9564353918989847,0.9787357055895832,0.9785469464258619,0.9584513896132166,0.9434405535166281,0.9379250335537376,0.9053064950748717,0.9302766474176887,0.974575139072513,0.9752040345288455,0.9763595759891721,0.9670201656389281,0.966392783784271,0.9657917521559207,0.968199380570442,0.9679881842036511,0.9271510838992376,0.9295875920274299,0.9293352222826063,0.9433393656172846,0.9129221909818878,0.9238061946315964,0.8985997503736807,0.8977188920117829,0.99918934223745,0.9990345296253957,1.0,0.9972327966785902,0.996762386199213,0.9970424321933299
1147.99324008,0.8891136286070922,0.9228963141409406,0.9182935835211017,0.9031895814630995,0.8859699813887129,0.891387173322425,0.9387201456332044,0.9313629651160422,0.9438471676868155,0.9465804832308541,0.9448447292466894,0.9449681626513666,0.9712555780846123,0.9752095710698855,0.9752392011023464,0.9720954434866007,0.9779957420780603,0.9896377016222954,0.9898713033866425,0.9877730309045958,0.948933816924077,0.9834341168052844,0.9560902580936506,0.97837176784664,0.9779959387542568,0.9581689809850094,0.9440666264780175,0.9387570786872197,0.9054462330498794,0.9306543320052599,0.9759439595941912,0.9765402473064562,0.9775471280775506,0.968813651378376,0.9672035769688947,0.966808424442213,0.9690967429091298,0.9686725490546202,0.9270296467525531,0.9291744809138558,0.9282966615726899,0.9427501765791703,0.9130384764798913,0.9236012858226605,0.8983749207523852,0.8979860476847012,0.9992810082904424,0.9989966037523501,0.999871547010151,0.9972293854902142,0.9967792423548718,0.9969970482032122
1153.48554133,0.8890721232441722,0.9230230975215429,0.9184600949534428,0.9030166653403442,0.8929253395958476,0.8981019921198132,0.9434564383217688,0.9355970533397472,0.9430734593128823,0.9461025378117366,0.9439690324463226,0.9442291314434088,0.9695558849466523,0.9734701582680241,0.9737673739791785,0.9701812282820079,0.9669436978081324,0.9846169609043703,0.9851836816781775,0.9817549527705919,0.9484644652698055,0.9830706378809536,0.9558351777804018,0.9781853374894202,0.9776403944160339,0.9579723815837882,0.9445261182183785,0.9399365593165446,0.9059998312561723,0.9309821383814453,0.9772800393393664,0.9779994428959142,0.9788431230650066,0.9707041096419804,0.9681412070022679,0.9677171905969191,0.969999093601533,0.9694189048872378,0.9274379860293822,0.9288815077363816,0.9272310985904602,0.9424924776537644,0.9134594543198619,0.9236938608501851,0.8983068012815228,0.8983175933830063,0.9992692488854009,0.9989661027589068,0.9997967191792525,0.9971824570241069,0.9967893309203913,0.9969758121895175
1158.99647413,0.8892660254129812,0.9232607827190205,0.9187943439111039,0.9030454372503939,0.8990896520731767,0.9041665476724279,0.9478112781517232,0.939490914617762,0.9423675472804035,0.9454906927047751,0.9430692669302532,0.9436209515009968,0.9679313633145445,0.9717611663478091,0.97226871747099,0.968279556716467,0.9535707269354287,0.9783837555580015,0.9793827159462684,0.9743463397155104,0.9481881910740889,0.9826627640471334,0.9554690080864701,0.9779268558351979,0.9773950362626176,0.9577505021332556,0.9453161376045417,0.941098791695898,0.9069824836984965,0.9315240853468423,0.9786671282666386,0.9794393427453035,0.9802851163758498,0.9726486206424333,0.9691629391659828,0.9684262239880251,0.970832630858396,0.9703663869652555,0.9277575112236036,0.9287694129274844,0.9265006629668598,0.9422850023243527,0.9141169245443861,0.9240969832160828,0.8982793637243701,0.8987208749448249,0.9992114530420434,0.9989708436805482,0.9996877766656668,0.9971785743342708,0.996855872963408,0.9969624336788213
1164.48107738,0.889913974185732,0.9238629228750522,0.9193475477095612,0.9034611365322911,0.9047116836901998,0.9098578436708883,0.9513909048227264,0.9432937906449647,0.9420522497556039,0.945138587967104,0.9423757723723064,0.9433388275162482,0.9665665819993342,0.9702643843563031,0.9709148888058688,0.9664854785470156,0.9390269310068972,0.9716571191509473,0.9730650797600828,0.9664492824455636,0.9482285064349304,0.9824557436374168,0.9551859608099137,0.9777645005801734,0.9772984884463303,0.9576313472993404,0.9468972402766868,0.9424650409452706,0.9086424597921559,0.9325874729631716,0.980354727787977,0.9811575685898162,0.9819677697148741,0.9747916164061166,0.9702827166978824,0.9692276645130116,0.9718147679379433,0.9717058392311279,0.9280304182116998,0.9290869839985694,0.9265117553667822,0.9423448862507434,0.9147119542441433,0.9248568194258578,0.8985442437946377,0.8996032558323014,0.9991881678164733,0.9989661891758678,0.9996282471948345,0.997187481878098,0.9969341432886195,0.9969304855990201
1169.93996942,0.8908068958237352,0.9249666143370976,0.9200179319553429,0.9040456360091037,0.9096315740044407,0.9150340822886077,0.9543482262043691,0.9468338910915374,0.9421503336305386,0.9450581296776418,0.9418511220541994,0.9432028298770561,0.9649393567136599,0.9688893726283728,0.9695642129130717,0.9646159928492215,0.9252694473535982,0.965336753444881,0.9671362005250292,0.9592608046117826,0.9485472874968085,0.9825161711882616,0.955114047464219,0.9778306257023562,0.9773680941513931,0.9577037276921531,0.9490344491496984,0.9438857612548703,0.9106043897745153,0.9339798843637009,0.9820834518415099,0.9829968471196272,0.9838121876817432,0.977036085876249,0.97132133531306,0.9701618053624157,0.9729319615417231,0.9730987815255675,0.9282563506897672,0.929502259963475,0.9268927481541664,0.9426709967269705,0.9152373281157222,0.9257788381308714,0.8991619322789954,0.9007210045636792,0.99918535295165,0.9989527713916438,0.9996390525920225,0.9971245587213429,0.9969787820454753,0.9968639456858648
1175.3737451,0.8916103618420905,0.9262850388790793,0.920740226532344,0.904501183730012,0.9136869072704589,0.9193834897227824,0.9570612528502989,0.9496144587686883,0.9421939109745212,0.9448609031728914,0.9413290647309447,0.9428026057176492,0.9627698062578881,0.9673522394781119,0.9678599456571687,0.9626177692044129,0.9143150104133431,0.9600768318080602,0.9622768971393784,0.9535909700491482,0.9488186589354614,0.9826344844089467,0.9549950177831522,0.9779382209598549,0.9775504897258303,0.9577596284810002,0.9511656558092275,0.9450436806384791,0.9124251254921799,0.9353928335661408,0.9834029976581152,0.9845075447402819,0.9855780446044892,0.9789738503789066,0.9720151151538768,0.9709808789775651,0.9739618208939691,0.9740784249468668,0.928413302066032,0.9298879946798879,0.9270987369107259,0.942868841061076,0.9159456365259152,0.9266616056765926,0.89979588547899,0.9017046971981268,0.9991957778834029,0.9989406184375844,0.9996924025788084,0.9969652991313103,0.9969268828473176,0.9967492030717306
1180.78297699,0.8923133067764063,0.927668747376415,0.9215602858817887,0.90501442116455,0.9172525757637656,0.9229939935166789,0.9592368262549088,0.9516481033554144,0.9419755823247399,0.9445037678784487,0.9408379802015931,0.9421294340445856,0.9604127926818596,0.9655743231914397,0.9658908329283502,0.9607003221794471,0.9071442321517478,0.9564873991056398,0.9589165691154208,0.949968682162995,0.9491117797380737,0.9828388379449182,0.954993977135617,0.9781154188483258,0.9777932496005984,0.9578413354818331,0.9529943973517777,0.9461104201030317,0.9140785384544142,0.936723709796418,0.9845582094476539,0.9856808405348889,0.9870231130759882,0.980570692736781,0.9724461301639467,0.9715992196606567,0.9747944489681967,0.9747440202533801,0.9287802815470662,0.9302665835934805,0.9273379825466628,0.9429374779976977,0.9167417849428084,0.9274694994967623,0.9003160222018286,0.9022990829292583,0.9991927492624909,0.9989359982096833,0.999718844121195,0.9968561115313364,0.9968096217492927,0.9966364111323275
1186.16821657,0.8933492163211251,0.9293731710051583,0.9229569817760868,0.9059701932519274,0.9205201767029038,0.9263338150442496,0.9613226352794467,0.9536953492122513,0.9421018523127171,0.9444253200298519,0.9408116569737152,0.9418234373695616,0.9586323535256777,0.9640514414596898,0.964182309428516,0.9591186407975693,0.9038210022779903,0.9549172484873932,0.9572676239834536,0.9484687865694953,0.9498948315974993,0.9834120075628444,0.9557219591374256,0.9786296314755378,0.978395423250114,0.9583477467325676,0.954982797718438,0.9476306803900836,0.9159640695978923,0.9384544705050022,0.9860736226595264,0.9871028135321797,0.9885013836198928,0.982394410334447,0.9731311521099815,0.9724645761316804,0.9756170553258107,0.9756433856338824,0.9295408796001798,0.9311120157619407,0.9282828746133766,0.9436500566105592,0.9182488533474465,0.9286343265498019,0.9015274740546212,0.9028761335772331,0.9992098169730743,0.9989223487488218,0.9998590938627929,0.9968428772029607,0.9966588031694963,0.9965476695767085
