,10_Otago_00001 10_otago,10_Otago_00002 10_otago,10_Otago_00003 10_otago,10_Otago_00004 10_otago,11_Iceland_00001 11_iceland,11_Iceland_00002 11_iceland,11_Iceland_00003 11_iceland,11_Iceland_00004 11_iceland,15_Oxia_Sophia_00001 15_oxia_sophia,15_Oxia_Sophia_00002 15_oxia_sophia,15_Oxia_Sophia_00003 15_oxia_sophia,15_Oxia_Sophia_00004 15_oxia_sophia,2_Atacama_Red_00001 2_atacama_red,2_Atacama_Red_00002 2_atacama_red,2_Atacama_Red_00003 2_atacama_red,2_Atacama_Red_00004 2_atacama_red,3_Sabtha_00001 3_sabtha,3_Sabtha_00002 3_sabtha,3_Sabtha_00003 3_sabtha,3_Sabtha_00004 3_sabtha,4_Watchet_Bay_00001 4_watchet_bay,4_Watchet_Bay_00002 4_watchet_bay,4_Watchet_Bay_00003 4_watchet_bay,4_Watchet_Bay_00004 4_watchet_bay,4_Watchet_Bay_00005 4_watchet_bay,4_Watchet_Bay_00006 4_watchet_bay,5_Granby_00001 5_granby,5_Granby_00002 5_granby,5_Granby_00003 5_granby,5_Granby_00004 5_granby,6_Hydrothermal_Clay_00001 6_hydrothermal_clay,6_Hydrothermal_Clay_00002 6_hydrothermal_clay,6_Hydrothermal_Clay_00003 6_hydrothermal_clay,6_Hydrothermal_Clay_00004 6_hydrothermal_clay,7_Oxia_Teresa_00001 7_oxia_teresa,7_Oxia_Teresa_00002 7_oxia_teresa,7_Oxia_Teresa_00003 7_oxia_teresa,7_Oxia_Teresa_00004 7_oxia_teresa,8_Mudstone_00001 8_mudstone,8_Mudstone_00002 8_mudstone,8_Mudstone_00003 8_mudstone,8_Mudstone_00004 8_mudstone,9_Congo_00001 9_congo,9_Congo_00002 9_congo,9_Congo_00003 9_congo,9_Congo_00004 9_congo,00001 Standard,00002 Standard,00003 Standard,Standard_retest_00001 Standard_retest,Standard_retest_00002 Standard_retest,Standard_retest_00003 Standard_retest
2281.73525558,0.3924219399153308,0.3967819614117286,0.3080154761071006,0.16977440469009752,0.14289618282654076,0.1312498793558182,0.08375789604389546,0.08538813633183055,0.4237887272794536,0.44214565052544536,0.43038841816813267,0.42706783870360454,0.2742195413350148,0.25841014805708284,0.3113717102925887,0.32257925323918835,0.145763118776591,0.28316544174099684,0.3227496607232424,0.20595043327124027,0.4219113309174178,0.42276299877537593,0.38656607661742126,0.3895448425405626,0.34944813920535106,0.41486281283593796,0.22613329482925992,0.15106135611425434,0.13650426494466555,0.166914512150983,0.33155449112769614,0.25595260184707375,0.2385977955740619,0.2725382933776319,0.4395507322440535,0.4374704726640128,0.40173654449817764,0.4166265310986889,0.1175270498069609,0.12874331648925283,0.10957283764151925,0.16891201187397265,0.14469362052469595,0.1368350670900566,0.14036046316266926,0.13985347431027562,1.0006871724233566,1.0003606494795196,0.5918896286900621,0.9996115921861566,0.9964188539601003,0.9963600200628888
2291.16202877,0.38681835595451214,0.39141956175740616,0.30390109289859235,0.16901974572709264,0.14259056597031128,0.13103000559631264,0.0839102874716653,0.08559038164167737,0.41744458733114764,0.43512080801043374,0.423655307760764,0.4203067233517414,0.274336576155823,0.2587329475347134,0.3114312953509455,0.32306219216616866,0.1455834940854721,0.28279132722726813,0.3214074334031455,0.20658393995322719,0.4190559702367345,0.4225921887217428,0.3860208772778367,0.3880359202588645,0.3483996573274308,0.4142486331818806,0.22075517996270386,0.14816616863894036,0.13277187663539383,0.16292924451252733,0.32880322313171034,0.25424575164697033,0.23639823277836033,0.2698040309278565,0.4377917250540528,0.436199567325586,0.40091939000328125,0.41452001576770414,0.11560625981469556,0.1266520438647884,0.10755712771537648,0.16669125482128946,0.14467371497172987,0.1365148502121586,0.14009239711249907,0.1395320335592473,1.0007178726145474,1.0003496374806635,0.5940789373602366,0.9990405525821839,0.9963172948691124,0.9961605165670938
2300.61297471,0.379360404287208,0.3840760007156888,0.29879553312733054,0.1672587241990334,0.1430974599512231,0.13132200895684545,0.08396764454215792,0.08605275534372647,0.4116954504160759,0.42872591097495516,0.4175576069438369,0.41432245206153845,0.27512952867271734,0.2588839959785775,0.3118472216144781,0.32350469105367835,0.14565973076222086,0.281747692331828,0.31936765185079075,0.20713326760371117,0.41504959226783633,0.4211969901873545,0.38424466571559646,0.38614340581278983,0.3466983685949714,0.4123936315246839,0.21728522729103453,0.14611780882288475,0.13002536509611662,0.16030364979900882,0.32567579095682625,0.25165759218416056,0.23375033349062746,0.26685885575166013,0.43646999781118084,0.435313343725967,0.40003362551277405,0.41364652240099953,0.11329723747450995,0.12415925206220975,0.10566833920536399,0.16436660224516736,0.1432671518399773,0.13557258228204544,0.13831678103940867,0.13810631121492914,1.000562815349211,1.0003119913505976,0.5960458274182736,0.9983717923446287,0.9956871758902437,0.9959667510782095
2310.08279923,0.370388611795255,0.3751514191455453,0.2926655175203823,0.16446152095178718,0.14357071419241058,0.1316281997201709,0.08417806933730813,0.08697158811723905,0.4069870743699467,0.4233278293073997,0.41251081612122276,0.4092977795565437,0.2757798108759533,0.2591996171890874,0.31210764148989895,0.3235963422082745,0.14575141818613374,0.280535407110985,0.31705279793097074,0.2071668302894466,0.4102688999285289,0.4190109135127776,0.38151772353290503,0.38420814353347194,0.3451186493993822,0.4094260761585005,0.21539698382309583,0.14489615915026757,0.1286152549107075,0.15792169690526944,0.32163202285845777,0.2487368938279552,0.23022471093826558,0.26329164427624696,0.43549526663018334,0.43463174896455187,0.39929223876640635,0.41315920337255047,0.11171745831132551,0.12232345055983357,0.10400684145809819,0.1627868820361811,0.14022768268100333,0.1329879982196166,0.13537002767107628,0.13483017469464842,1.0006557328114671,1.000295254925816,0.597983018726336,0.9977732186550152,0.9953286599505539,0.9956214149816918
2319.55711841,0.36124391632898273,0.36532600881069344,0.28559157598156526,0.16107441982024123,0.14426163216524363,0.13197539692688934,0.0842201862934078,0.08826333472011862,0.40378367441363133,0.41935144172209887,0.4088634611339115,0.40567849709051546,0.2761691047893764,0.2596459387759219,0.3120455760166579,0.3237638129494767,0.14529341457680428,0.2789063035445815,0.31448864060450893,0.20681576484351596,0.40565923645418883,0.4167563280957303,0.3779582232886644,0.3821083558973641,0.3431763133261584,0.4058600501028107,0.21415220875376842,0.14456515841150855,0.12772221959793464,0.15592471275660938,0.3164842102736956,0.24533111701314103,0.2262756533335696,0.2590769177154491,0.4353693241363606,0.4344250033454235,0.3990407728587268,0.4128800241474304,0.110272781558331,0.12167366581430253,0.10305122063951754,0.1616746137233083,0.13626765945522396,0.1299763774015492,0.13191120779979212,0.13096842302407194,1.0001937946396953,1.0004490755450544,0.5994513144340401,0.9975510985037414,0.995486434328149,0.9955257306909017
2329.03590187,0.35231773405847855,0.3554149550704119,0.27807677960222177,0.1573262685117779,0.1447661017186055,0.13240811694843743,0.08427927353048979,0.08917637512496675,0.4035872364458594,0.4184507933971456,0.4081774716566846,0.4050565898750827,0.277177839048184,0.2602486722533763,0.3122214959968448,0.324270346117625,0.14543085821076557,0.27800745444613545,0.31195027202190845,0.2067361142053733,0.40180586398285467,0.4146167068994014,0.37444604915693736,0.3803670922224566,0.34244077171800824,0.40197235130923525,0.21256720619309458,0.1446086015154207,0.12663561044460947,0.15464848913487236,0.3111938528832739,0.24117009392077748,0.22248551721164037,0.25456542837602436,0.43530556014955163,0.4349982127683142,0.3994095081591701,0.4130259307688539,0.10876252881131845,0.12093170948350233,0.10265343621491463,0.16068988970830297,0.13294375377248743,0.12725489561289627,0.1281047080571067,0.12743065238850976,0.9998567844520313,1.0005004725611846,0.6002004020628163,0.9967354776166668,0.9955795272279716,0.9953193870086249
2338.51911953,0.3448260451286108,0.3462476527851781,0.2728302058895442,0.15443642425618218,0.14498630555982278,0.13242937228507393,0.08473907564317608,0.08943506716410742,0.4063869085766579,0.42127614967470406,0.41101991811546396,0.4074010730588071,0.2781674143134045,0.260405766807099,0.31236947864467063,0.3248733603883253,0.1455602098246119,0.27693370983607146,0.3091135366892476,0.20754578408640184,0.3994448046344697,0.4132714890857526,0.37080868706009135,0.37854858688486526,0.3418743326998617,0.3985113154817709,0.21047243852753333,0.14400937396752542,0.12523756371266662,0.15395096948043413,0.3060434477168466,0.23725156889854102,0.21821869959830617,0.25026548397360576,0.43635900940398126,0.4355729279409025,0.40005941936713607,0.41384404957350757,0.10818900851865787,0.11914235790831704,0.10141864273747903,0.1593073572674574,0.13015424434109202,0.12458333103485185,0.12516937465112965,0.12437452386425116,0.9994775687976222,1.0006852010791971,0.6022864695095936,0.9968388974215031,0.995729998717432,0.9961074149514003
2348.0067416,0.3403204552954999,0.3401144510353483,0.269891094226813,0.15215371515396434,0.1456154416868075,0.13259748707637342,0.08492186834239655,0.08936240905922359,0.409571300991595,0.4249816121493858,0.4143877013605174,0.4106750392880181,0.27864518080910183,0.25993356709402304,0.31336758818276245,0.3252912195637302,0.14562484730687894,0.27502023362927774,0.3066723307800908,0.20782254577831116,0.3980421961141357,0.41269822397443146,0.3666237811120272,0.37653247606414547,0.341042689204307,0.39514258726152457,0.2079561813195783,0.14305664204492657,0.12352546150459458,0.15221467434321057,0.30113691426041406,0.23400639059253486,0.21455341688093732,0.24632938030971718,0.43756592459447274,0.4356521141062767,0.40067807623335144,0.41437866307980836,0.10820984249071286,0.11749745382521183,0.10068149661359922,0.15800592938894772,0.12819609460795625,0.12235040207678605,0.12381039496741163,0.12219150779899125,0.9996118296791383,0.999818926788624,0.6046124055655849,0.9965690641003268,0.9963213816061042,0.9963517430370324
2357.49873856,0.3398203986283394,0.33631605657247526,0.268642122080944,0.15129193531772478,0.14616069341684082,0.1331991535106314,0.08515921205077698,0.08972072075530631,0.4111261943188751,0.427221748294916,0.4161963086745011,0.4118264759489128,0.27841779677556916,0.25958392129634716,0.3137512373263611,0.3252319675456482,0.1452650195107678,0.27230067379505396,0.30294679020842535,0.2070646514728928,0.39642098102562395,0.41084099237244837,0.3620036213980221,0.37395987295569155,0.33968226218342235,0.3899459245951132,0.20583915686372806,0.14189444372992233,0.12273734822045741,0.150413738399316,0.2968858547604104,0.2307068411385489,0.21209884339574536,0.24253769364321243,0.4376755960017019,0.4351844532444512,0.4003360781544133,0.41467094472254346,0.10831426316964461,0.11668245766350656,0.10064806476838371,0.15742113801291724,0.12819724130565022,0.12117121165877007,0.1230025859740806,0.12160486181673524,1.0005678560885725,0.9988936735991776,0.6055832901054728,0.996416807883107,0.9970506910397788,0.9973398107450868
2366.9950812,0.34120128095157515,0.33370625776009427,0.26752645302991335,0.15098501169518153,0.14744292307570425,0.1342629592484119,0.08493982731924345,0.08952599133549846,0.410301588914545,0.42659288839161325,0.4161681778043713,0.41130571093423784,0.27828626887310504,0.2586603580253959,0.3130095378091418,0.3254244460385842,0.14396059802242436,0.268788847787639,0.2983040339254227,0.20603467669355885,0.39305203303057035,0.4065654865120515,0.3558889082044363,0.37122139939553467,0.33670709408105953,0.38287718542631755,0.2031882423801652,0.14079149474726263,0.12119954088525293,0.14829252771720958,0.293152166733258,0.228069114934171,0.20904597789156407,0.23933873224380142,0.43711254493814017,0.4339142029009948,0.3995454455504699,0.41438986057183325,0.10800434041053951,0.11647171615846869,0.0999326798014635,0.15787603686842394,0.12935390888227094,0.12145481329911703,0.1227555643689633,0.1228235009581477,1.0006442853505417,0.9992190202877637,0.6068217596462367,0.996669695278671,0.996702234625882,0.9972909800585348
