,10_Otago_00001 10_otago,10_Otago_00002 10_otago,10_Otago_00003 10_otago,10_Otago_00004 10_otago,11_Iceland_00001 11_iceland,11_Iceland_00002 11_iceland,11_Iceland_00003 11_iceland,11_Iceland_00004 11_iceland,15_Oxia_Sophia_00001 15_oxia_sophia,15_Oxia_Sophia_00002 15_oxia_sophia,15_Oxia_Sophia_00003 15_oxia_sophia,15_Oxia_Sophia_00004 15_oxia_sophia,2_Atacama_Red_00001 2_atacama_red,2_Atacama_Red_00002 2_atacama_red,2_Atacama_Red_00003 2_atacama_red,2_Atacama_Red_00004 2_atacama_red,3_Sabtha_00001 3_sabtha,3_Sabtha_00002 3_sabtha,3_Sabtha_00003 3_sabtha,3_Sabtha_00004 3_sabtha,4_Watchet_Bay_00001 4_watchet_bay,4_Watchet_Bay_00002 4_watchet_bay,4_Watchet_Bay_00003 4_watchet_bay,4_Watchet_Bay_00004 4_watchet_bay,4_Watchet_Bay_00005 4_watchet_bay,4_Watchet_Bay_00006 4_watchet_bay,5_Granby_00001 5_granby,5_Granby_00002 5_granby,5_Granby_00003 5_granby,5_Granby_00004 5_granby,6_Hydrothermal_Clay_00001 6_hydrothermal_clay,6_Hydrothermal_Clay_00002 6_hydrothermal_clay,6_Hydrothermal_Clay_00003 6_hydrothermal_clay,6_Hydrothermal_Clay_00004 6_hydrothermal_clay,7_Oxia_Teresa_00001 7_oxia_teresa,7_Oxia_Teresa_00002 7_oxia_teresa,7_Oxia_Teresa_00003 7_oxia_teresa,7_Oxia_Teresa_00004 7_oxia_teresa,8_Mudstone_00001 8_mudstone,8_Mudstone_00002 8_mudstone,8_Mudstone_00003 8_mudstone,8_Mudstone_00004 8_mudstone,9_Congo_00001 9_congo,9_Congo_00002 9_congo,9_Congo_00003 9_congo,9_Congo_00004 9_congo,00001 Standard,00002 Standard,00003 Standard,Standard_retest_00001 Standard_retest,Standard_retest_00002 Standard_retest,Standard_retest_00003 Standard_retest
1058.05208946,0.2761907324010809,0.32321606379882306,0.2274264883785569,0.14093320070503132,0.1109885871106214,0.10505690836593644,0.07838365348596336,0.07761480789163439,0.31077528338899424,0.3214408253310508,0.31058294280851895,0.31251833663939443,0.287771926147685,0.2635927301590517,0.31425114263947923,0.3216578761379241,0.37121014140559855,0.49138365611233886,0.5212303656255237,0.4327135211530108,0.380071346618996,0.41368943158391924,0.41498707877177227,0.39744662864183833,0.3483426624481186,0.42642651251962255,0.1650878089426038,0.13478517591742264,0.10397296680867253,0.12267892507026473,0.33619947472503753,0.2750262440462664,0.23639805704000463,0.28595798720731885,0.35485998174329414,0.3550620204027343,0.3398720275844077,0.3541563493901628,0.10097192574412375,0.10847396102988645,0.09822583486197574,0.14473115505209425,0.10911265465818146,0.10099521574027816,0.1100326366455122,0.11239019391356458,1.0002358315049658,1.0000345854822648,0.4720213619331512,0.9947152265994679,0.9925796991001273,0.9937918453763848
1063.2810895,0.2764366950649052,0.3234981191766744,0.2275961170296286,0.1410957560664723,0.11209151382618282,0.10605504262326554,0.07887324666748073,0.07807854827613293,0.311130476129421,0.3217676416082757,0.31085443278051406,0.3127763008137104,0.2874121034282461,0.26333157832206466,0.3138749726157884,0.3212872153244984,0.37131943031629744,0.49140404821466166,0.5213675848881598,0.4327794088186,0.3802451184608264,0.413618078751747,0.41524779776701637,0.39745106926415463,0.3482001935364667,0.42667364752717746,0.16572292805766034,0.13510783637231089,0.10431169004029746,0.12304552473360358,0.3371039429955165,0.27577505479705666,0.23711236046761602,0.28686874215649083,0.35514535161091537,0.35538922442264814,0.340171238991343,0.3544608521685718,0.10103378125060448,0.10851835317914307,0.09829137826757545,0.1447809786468016,0.10918674972846983,0.10100037285806628,0.11000819330818926,0.11235014070762958,1.000191874670969,1.0000404668173015,0.47260168039886474,0.9947213092747146,0.9925390235553526,0.9938595316056951
1068.51675432,0.27669913645950484,0.3238053957606146,0.22780842224404402,0.14122269139237972,0.11330948953197294,0.1071528603202219,0.079442616478773,0.07864221252186075,0.3114777458637035,0.32211166855638595,0.31110185809898866,0.31299371057581327,0.2869472612984751,0.26308660134197304,0.31345687297098973,0.3208341735247524,0.3713073193985205,0.49136786891128625,0.5213715953804694,0.4327296905953853,0.38043189442090397,0.4134997185797465,0.415477629639166,0.3974248500841573,0.3480506822744691,0.4268542435429068,0.16638475023082258,0.1354313618078655,0.10466937009510217,0.12340868503754243,0.33799816360435375,0.2765239033366489,0.23789488037877793,0.2878083780578942,0.3554971208500485,0.3557272828429255,0.34052125431173996,0.3548607005490697,0.10112649135135743,0.10858309774639259,0.09834205006375328,0.14485085184781898,0.10927851281795561,0.10103398995848631,0.1100115040679879,0.11232986410623459,1.000126133660473,1.0000496399996428,0.4731615697463947,0.9947035777354247,0.9924652634441425,0.99390648769643
1073.75904388,0.2769841821464719,0.32413009723613695,0.22802128522564283,0.14132656103795482,0.11460539236837596,0.10833874095181066,0.08003618227920514,0.07926631795947874,0.31182462324039856,0.3224757179495553,0.31130581847200167,0.31318885370000266,0.2864004642690371,0.2628045282665669,0.313018083470026,0.3203700364985273,0.37114304672795484,0.49119743913911945,0.5212086391590881,0.4326053208970253,0.38065599838295455,0.41329931653353164,0.4156520634111905,0.39728305347085585,0.34781876881426377,0.4270021872272679,0.1671097496022324,0.13575436484865047,0.10499338993790944,0.1237520555518128,0.3388916517803005,0.27731104871759116,0.23869349459732625,0.28879043810651095,0.3559175243888369,0.3561091121950092,0.34091333608248836,0.35535604677605076,0.10125957292136392,0.10868454516353984,0.09839650374424216,0.14491571527391076,0.10935946873935315,0.10109134486642639,0.11002814463499334,0.11232236937723504,1.0000797246782414,1.0000545567787327,0.4737121494218298,0.9946056070457528,0.992416115449265,0.9939201451161984
1079.00791838,0.2773272566366567,0.3245034724858404,0.22825555432954978,0.14146406372370418,0.11601772294916773,0.10960918296153338,0.0806558949041383,0.07991879446771795,0.3121769100136389,0.3228492191165788,0.31157307040771115,0.31343171450249235,0.285854151853128,0.26249271567720595,0.31262482806956216,0.3199545731249041,0.3708565967000645,0.4908941217332961,0.5209885969593901,0.4324668745408822,0.3809466929543668,0.4131805656980613,0.41582206769959834,0.3971150953644684,0.34758501978950873,0.4271476175253975,0.16790425715103224,0.1361074999263281,0.10530071212063717,0.1240894816641579,0.3398908107780653,0.27818413699683225,0.23948282314818706,0.28981818772263923,0.35642434688982816,0.35657811697030295,0.34138563853663956,0.3558888146666747,0.10139921433958814,0.108805849782565,0.09847956964024447,0.14497201730526738,0.10948202344590716,0.10115373498812737,0.11004035048137677,0.11232173282325192,1.000121990248736,1.0000485539094803,0.47425332001459797,0.9944308405167339,0.9923754981781128,0.9938646428245045
1084.26333836,0.2777900213910972,0.3249327092073679,0.22858050432674615,0.14165556255092296,0.11758278316349773,0.11101025174038606,0.08133451582502577,0.08062576272201204,0.31256959027495945,0.3232268245108254,0.3119875661962236,0.3137456981934091,0.28538815567180337,0.26218107189155576,0.3123108628733198,0.31964687911993467,0.37050492510182337,0.49051929410354933,0.520896055289383,0.43227361518422436,0.3813571868686168,0.41325163106345836,0.4160711218074673,0.3970894495265692,0.34742970229146475,0.4273587217281794,0.16872508736119085,0.13648749921260117,0.10566199616782297,0.12446041669718458,0.3410261239919224,0.27917853587803065,0.2403472103354043,0.29094066554718373,0.35707477140744914,0.3571797699379599,0.3419553013247439,0.3564694314959988,0.10154673504438451,0.10889725465493887,0.09857126448363786,0.145095102997368,0.10965370509798635,0.1012583358006839,0.1100675259512287,0.11234649927624402,1.0001939164306362,1.0000358107233358,0.4748321264407444,0.9943055513907163,0.9923392079616074,0.9937769104462444
1089.52507305,0.27835132527467904,0.3254295502399205,0.2289703171182938,0.14188114534906215,0.11927490245870162,0.11252644843667765,0.08206184134255509,0.08136415938114104,0.3129880739045767,0.3236034383577483,0.31249857507775775,0.31411758477998647,0.2849917706186696,0.26189174762575934,0.31203397126194105,0.31937302158972186,0.37010940464433767,0.4901221540704667,0.5208818956181972,0.43195293394048834,0.3819063806108694,0.4134379323480554,0.4164130140665358,0.39722569078405867,0.3473338696249959,0.42769167534208535,0.16954317850029813,0.13694560639567838,0.10607740732803936,0.12489027731468955,0.34228792919102236,0.28023712941389217,0.2413133477165164,0.2921991300936427,0.35783845534774456,0.35790279744360937,0.3426751347785926,0.3570904948149189,0.10168336541210325,0.10899246576809551,0.09868463523660818,0.1452513242598783,0.10986405689582486,0.10140982142969987,0.11013322345526198,0.11240504916544226,1.0002340351159014,1.0000261072391359,0.47544537948798193,0.9943854189713657,0.9923649801034422,0.9937987086179018
1094.78823545,0.27895381908863787,0.3259513772742148,0.2293378107640554,0.14213564178053026,0.12102044437998817,0.1141045411645588,0.08282028935178767,0.0821105484267394,0.3133612026285506,0.32394894392050605,0.31296456599620087,0.31443309617548876,0.2845768024160451,0.261581388501736,0.3117155730854655,0.31902952308114246,0.36960410289317236,0.48971050395760074,0.520796899013422,0.43147445359328224,0.38244562007229116,0.4135821001520896,0.4168066854976323,0.3973646618463881,0.3472515292644131,0.42804774102297505,0.17035642535425383,0.13740971353980064,0.10651803886116737,0.12536996577971,0.3435778469991268,0.2813072136895477,0.24233747031174288,0.29352438320803215,0.35863972005313316,0.3586341294646542,0.3434530434294651,0.3577376402015504,0.10180106609260176,0.10915249723033302,0.09884365739054489,0.1453730594272197,0.11009498620297065,0.10157180963001693,0.11022756004674575,0.11248396720548637,1.0002188598684782,1.0000094544299538,0.4760564833788955,0.9945372534554043,0.9923905830403517,0.9938767432786954
1100.05281299,0.27957552109700606,0.3265220127815362,0.22973790296846697,0.14243673220368627,0.12278690487343209,0.11572700186685062,0.08360279221196587,0.08288761351481842,0.3137360865183275,0.32426559505025104,0.31333982839165436,0.3147304194703936,0.2841621507905843,0.261240195605761,0.3113377492209074,0.31861743649016266,0.36894848828554044,0.4892968983443321,0.5205778380959893,0.4309421621490319,0.38294638046851004,0.4136330105538831,0.41726036201814687,0.39745405477951606,0.34716815679976776,0.4284261230964458,0.17113500279017815,0.1378420044976735,0.10699979998473914,0.12589038192555224,0.3449006146021892,0.2823753652853113,0.24334946136375266,0.29487321651863424,0.35943701141224194,0.359361473934514,0.3441971400402032,0.3584704152344635,0.1019458837652786,0.1093736045810561,0.09903872385711086,0.14551666956012876,0.11029992858511085,0.10173092395870462,0.1103657925578257,0.11256761362822075,1.0001600544511087,0.9999904018959156,0.4766665541721222,0.9946122897541976,0.9923653664924894,0.9939071008257937
1105.31879326,0.28022766345845823,0.3271699686864345,0.2302513898342054,0.14277708940829986,0.12457814392397533,0.11732409476639613,0.0843932232337391,0.08366342799503859,0.31412117978948606,0.3245326123377299,0.31370880328430917,0.31509223581190654,0.28374718330333215,0.2609021635712918,0.3109785996811226,0.3181835915645278,0.3682102874070877,0.48890305267745593,0.5202394853397698,0.4304562944933487,0.3835293309805991,0.4136231100519212,0.41779504875999846,0.3974703635934462,0.3470767434772665,0.4288731985441745,0.17191599706854044,0.13825995541592148,0.10748690206138639,0.1264168000682025,0.3462783922359679,0.2834372358361866,0.244374400543302,0.29623157428996666,0.3602337239812461,0.360170456241582,0.3449438322508976,0.3592583074477265,0.10212324343695159,0.10958771755707471,0.0992398880924777,0.14573741814001143,0.11046951976976721,0.10188052576607737,0.11051796807582821,0.11263863490861169,1.0001266468665497,0.9999845547673049,0.4772534183311179,0.9946405562686065,0.9923671814594712,0.993925245328846
1110.586164,0.2809610809580014,0.327833859395892,0.2308086315179777,0.1431272056819741,0.12638961438954194,0.11888391668918878,0.0851735935910081,0.08444252857394645,0.3144922851801689,0.3247900982152086,0.3140748353453129,0.31547667230804266,0.28330569752166246,0.2605743476990506,0.3106385722665305,0.31773209759708626,0.3674211479154794,0.4884312571043171,0.519778346425385,0.4299518385733078,0.3841985033793213,0.41360463679894055,0.4183808463936552,0.3974817093212724,0.3470124392888832,0.42937775452275817,0.17276670270697278,0.138706653005856,0.10799974166858818,0.1269662384482972,0.3476626547387762,0.2845265586524475,0.24542521453973323,0.29757040508598576,0.3610430097102812,0.3610061329245483,0.3457332819845788,0.36002760388257965,0.10231772292891378,0.10978205025630179,0.09945675204140418,0.14602018282734902,0.11065270998012053,0.10205041081265624,0.11065572193131788,0.11272560044761133,1.00013830340628,1.0000286654651451,0.4778102483105112,0.9946228199601775,0.9923895705562086,0.9939639005368833
1115.8549131,0.28179249061163936,0.32850365126756265,0.23137347349743734,0.14349040121901654,0.1281898893281632,0.12043771243052931,0.08593593322849,0.08521686227528995,0.31484244987911353,0.3250665248693168,0.3144268530537598,0.31588489524356966,0.28281947637712146,0.2602297070743122,0.31026197461095356,0.31727667679987587,0.3665657683807846,0.4878503784411606,0.5192842771755186,0.42940031302708914,0.3849277221357692,0.41363895475399026,0.4190080464934721,0.39761762095260805,0.34697525211530783,0.42994051357677615,0.17365628002757855,0.139195286909535,0.10855030195324525,0.12750618073215328,0.34902140744465127,0.28564529340754496,0.24648668242669386,0.29892034445975535,0.3618839664527214,0.36181695711696377,0.3465223688837754,0.36081034962934677,0.10252238281176063,0.10997925281668332,0.09966809767465236,0.14630411541558208,0.11086901018695054,0.10224174697285154,0.11080995678653496,0.11288372655897405,1.0001594746990663,1.0000583793975304,0.4784084868575014,0.9945313218394611,0.9923456586256014,0.993971424613724
1121.12502863,0.28265627260372106,0.3291495968527459,0.2319569042878675,0.14387472757722586,0.12994210803189474,0.121952802571977,0.08667044992658976,0.08592300609171678,0.3151519086223774,0.32531830116088256,0.31473080991830915,0.3162988398696801,0.2822733864866323,0.2598315265727188,0.3098402499075103,0.3168047103899887,0.3655640416416847,0.48712464998162003,0.5187407032890151,0.42874100792459285,0.3856785549136388,0.4137073409760403,0.4196484618650853,0.3978369604232019,0.3469274522261139,0.4305044871368699,0.17455309884390643,0.13968694731238102,0.10912531092828259,0.12805680932416427,0.3503704768324733,0.2867521351729721,0.2475413500174466,0.30027041147451083,0.3627451569857704,0.36255634214464244,0.347278315009643,0.36158585105372565,0.10270467996059732,0.11020667053527061,0.09985509637083965,0.14653621803305145,0.11109004528385961,0.10242581526742092,0.11097947688399906,0.11308896020037384,1.0001391283948717,1.0000285500766224,0.4790567776523425,0.9944198852088235,0.9922439510626764,0.993877008090201
1126.42117712,0.28350162998648043,0.32979874372767704,0.23259390882260547,0.14424331820162392,0.13161841616382092,0.12344266747375032,0.08735930941414367,0.08657986211278901,0.315413151846613,0.32552944782306026,0.31502214153341657,0.31672795019113376,0.28170292750606285,0.2593776475917208,0.3093488286335385,0.31627114339427126,0.36435070757107213,0.48623089209183346,0.5180497784685419,0.4279281133250591,0.38640505312067375,0.4137277615796252,0.4202559673865008,0.3980305163070632,0.3468695590715768,0.43102891702410456,0.1754670908656122,0.1401755238652919,0.10971521275076818,0.12859643233557158,0.3517467324936179,0.2878569144783496,0.24856438197511915,0.3016170132302357,0.3635796040184275,0.3632647956496445,0.3480041754418752,0.3622995458294546,0.10285139395741626,0.1104587566519288,0.10003927247161407,0.14672992101860804,0.11132347033746144,0.10262257719901452,0.11114178361026715,0.11331539927346304,1.000085896325719,1.0000125540704408,0.4796995012575759,0.9943227262178508,0.9920902997528427,0.9937212404413087
1131.75559815,0.28443641120270696,0.33060676513893655,0.23327170072783543,0.14467365330298895,0.13326864272996475,0.12497454932961446,0.08803657139417559,0.08724503816781122,0.3157649321399033,0.3258758521756448,0.3154314608852054,0.3172586079245483,0.28123905193518856,0.2589765742540417,0.308859993646645,0.31577359015160483,0.3629106288516368,0.48525274099899524,0.5172200995008222,0.42702363561735535,0.3872125903599386,0.4137974013376812,0.4209210846355891,0.3982859124146866,0.3468981257054779,0.4316649008849339,0.17644785167264035,0.1406782314101642,0.11034815654076152,0.12915261128603495,0.3532032786743678,0.2890069562688066,0.24963664074437208,0.30303693572733764,0.36447795594341126,0.36407060473112696,0.34875504538551166,0.3631205695719737,0.10302688766746866,0.11072670460823088,0.10026618517045656,0.1468963341061439,0.11163817263520907,0.10284683920034873,0.11135494264601939,0.11356161141644114,1.0000491634770634,1.0000179568143697,0.4803545278721287,0.9943152358076705,0.9920609168601002,0.993663408122213
1137.12876151,0.28546909796471287,0.33153378516768295,0.23399239176147593,0.14523335425979153,0.13491521963896427,0.12651574338713334,0.08869633220350688,0.08790795284432866,0.31624970995126167,0.3264142825618427,0.3159152356787105,0.31781771034672457,0.28083512652348097,0.258606534408533,0.3083742535409738,0.31526497900668815,0.36098376007156446,0.4840335217035103,0.5161870471003787,0.42587984897894743,0.38810330847301777,0.41392252998254664,0.4216754780748039,0.39856384091419517,0.34696415670272734,0.43242553851062165,0.17744987011976163,0.14120016528196047,0.11098341756551251,0.12975324883959513,0.3547016273540819,0.2901933848544351,0.25076131311574207,0.30450997056777107,0.36542514251351554,0.36498339403776253,0.349566926282773,0.36404500832799536,0.10325173001795149,0.11100039257153738,0.1005057242454146,0.14705944313933417,0.11201706672747631,0.10309322540390983,0.11163424129167648,0.11384262486347392,1.0000387169176574,1.0000315546985172,0.4810117993193956,0.9944166574744969,0.9921656012018696,0.9937009407043711
1142.54114608,0.2865024521063199,0.3324838103623961,0.234742265351964,0.14578386874472174,0.13646922783313664,0.12794269507303654,0.08929074059978732,0.08850456704503784,0.316740370914738,0.3270160114886615,0.3163712537154596,0.3183139784794372,0.2803836345146861,0.25817956897194433,0.30787447603488366,0.314672805226792,0.3582162120903435,0.482306976004504,0.5147486811189496,0.424226528273209,0.3889445520850695,0.41399592867052015,0.4224268110862843,0.39880933788945383,0.3469765695260774,0.43319420030372974,0.1784222314160089,0.14173106682821465,0.11154318772677008,0.13035779377700196,0.35618889636938234,0.2913895448837633,0.25184599431704535,0.3059614123410505,0.36632057789136896,0.36592179352690873,0.3503884819378713,0.3648854853040007,0.10348891658390849,0.11126545223356515,0.10072516515950676,0.1472288328925797,0.11237957656423155,0.10335104703820591,0.11191896942870178,0.11416136956437445,1.0000943247189047,1.0000383332270246,0.4816317038784444,0.9944934625683782,0.9922287269703001,0.9937087281608823
1147.99324008,0.2875343598858407,0.3334558483200147,0.2355074508036846,0.14629014785619054,0.1379548244778785,0.12925025026403253,0.08983561719590569,0.08903723069380347,0.31717535323735946,0.32762247023708324,0.3167903604776526,0.31874003234915144,0.27987188453851763,0.2577008558366103,0.30738657040284156,0.31404349226757067,0.3544381535076811,0.47997840936873504,0.5126874695282153,0.42191162253601444,0.38974341350269576,0.4140748289215953,0.4231686245118529,0.3990846170305315,0.3469785223042785,0.43395718472503014,0.17934897377582124,0.14232126702301623,0.11210339432405723,0.13094063080504117,0.35763821397587714,0.2926066394165785,0.2528827261308781,0.3074150642951426,0.36720320942538726,0.36685453975356574,0.3511837341023778,0.3656440550589067,0.10377613017424135,0.11154080160991904,0.10091229794834826,0.14744433378171956,0.11275107088055084,0.10362920335342646,0.11218750425189834,0.11450040776893555,1.0001851828074777,1.0000212980985326,0.4821785734299899,0.9945032623301673,0.992261147695524,0.9936766922652954
1153.48554133,0.28865752176856724,0.3345064470561055,0.23631947580034435,0.1468215558587779,0.13937080784347788,0.13048126365505375,0.09035139597668276,0.08951507536170882,0.31763742930518857,0.3282153510436564,0.31722584154556716,0.31920386741980944,0.2793399110618732,0.25723001436099063,0.30692277406903395,0.31344004515830926,0.3497087383042294,0.47704788654865843,0.5099611285785374,0.41889669693448567,0.39063318661805924,0.4142206191244959,0.4239563275124434,0.3994351875020979,0.3470510943887889,0.43476515382130637,0.1802509635011838,0.14296856538408764,0.11271926359091032,0.13152076109928523,0.35908517234716525,0.2938689654001006,0.25395476048326704,0.30890940464681077,0.368139281794047,0.3677514733196283,0.35198514072141285,0.3664304584444037,0.10412496159047246,0.11183272037842482,0.10109802371213476,0.14771366966466548,0.1131630371017783,0.10394292168702973,0.11247769875866238,0.1148501101807321,1.0001725152141807,1.0000118483700906,0.48275566832500877,0.9944697604632396,0.9922869472785519,0.9936688203592614
1158.99647413,0.2898611653730991,0.33560104314170863,0.23717768977365467,0.14738756480562745,0.14066935158490565,0.1316223443721796,0.09083145984606569,0.08996125185941548,0.31812365469959336,0.3287634775576473,0.31765433381799896,0.3197133378369677,0.278829597109458,0.2567672130546332,0.3064505213899419,0.31284064238037596,0.3441557939520125,0.4735339161669235,0.5066606578302022,0.415293037310758,0.39160530054910714,0.4143484821966342,0.4246972259201867,0.39975758911794246,0.34716333309157094,0.4355643002224311,0.1812198740573936,0.14361599856030466,0.1133913000956829,0.13213345470718418,0.3605567930343683,0.29513074235954967,0.25506923710327073,0.31042752056241546,0.3691104782735185,0.36857530178832315,0.3527640366188395,0.3672954809977556,0.1044650882273344,0.1121473828152492,0.1013207272115769,0.1479917742574343,0.11360594799049835,0.10429277801800745,0.11277396855936812,0.1152102788721799,1.0001137665868898,1.000037748424043,0.4833182579732501,0.9944792317066321,0.992369000011725,0.9936688245257487
1164.48107738,0.291208434007266,0.3368242130029603,0.23808947903494937,0.14801431800007211,0.1418858440421308,0.13271121890128884,0.0912374581495906,0.09039896601903902,0.3187375010419705,0.32939751353743735,0.3181475803817866,0.3203291910109185,0.27839443812960174,0.25636057421852376,0.30602391631808756,0.3122758732738676,0.3382046285919971,0.4697900142160232,0.503097996788402,0.4114902383337603,0.392702708615337,0.4145594176701948,0.4254701432378546,0.4001170569060085,0.3473274060887857,0.436405544507698,0.18233857435384523,0.14429357826798436,0.11414698624160349,0.13281847239899428,0.3621375450100429,0.2964750914431409,0.2562451498319205,0.3120084574707683,0.3701175162517558,0.3694325134972682,0.3535955405931922,0.36830763856676957,0.10479870590414953,0.11251243092717386,0.10162284383735362,0.14831033649767453,0.11403986599635978,0.104681819989412,0.11310558410818462,0.11563083063121937,1.0000895641168406,1.0000541419514766,0.4839016946023913,0.9945013948769061,0.992462654987433,0.9936502561396842
1169.93996942,0.29263250161386856,0.33822738036651245,0.23902903120764038,0.14866672274831158,0.14299455733477423,0.13372684994626816,0.0915839144949295,0.0908117240366173,0.31948766935840867,0.3301223309543292,0.31869348406915915,0.32099101423766957,0.27788401561699816,0.25598619435239184,0.3055983041529052,0.31168661364128264,0.33256106993961576,0.46625137129439137,0.4997414089570297,0.4079979866982426,0.3939107825627559,0.41488176349447353,0.4263325595034032,0.4005679842474969,0.3475495938336253,0.4373298322382041,0.1835637314921472,0.14497868242421566,0.11494021468048216,0.1335492481845281,0.3637323264358806,0.2978551336874941,0.25746245966971054,0.3136216964026072,0.37109216282598845,0.3703387031927948,0.3544749827136898,0.36933911953197457,0.10512576149729372,0.11288803657117367,0.10196424850422078,0.1486694754685494,0.1144638522573039,0.10508834725357045,0.11348050334769855,0.11608087600123147,1.0000858546992033,1.0000616635817845,0.48451627917230716,0.9944518578649492,0.9925227574042218,0.9935971462038353
1175.3737451,0.29402412581145315,0.339707077464698,0.23997970274859592,0.14929599985854966,0.1439691301655062,0.1346231528079734,0.09190701056188408,0.09115178604153046,0.32021616306782363,0.33080267517223455,0.31923613682451335,0.3215592571796004,0.27721776973430584,0.2555690652518916,0.3050612421851121,0.31105562909610224,0.3279465061029868,0.46323291671575667,0.4969420770300634,0.4051594115690458,0.3950948854854438,0.41522724042843573,0.4271696508735879,0.4010340246892931,0.34781103163954125,0.43824261291638716,0.1847876351726071,0.14562254437259664,0.11571537157705207,0.13428210641918087,0.36517412386177467,0.2991346243001329,0.2586585186398529,0.3151361902702359,0.3719334324660773,0.37119942928323524,0.35532147109916407,0.3702126417936418,0.10544374167637542,0.11325883737735096,0.10228521248662914,0.14900714001137152,0.11490954971057077,0.1054896164564272,0.11385652073834134,0.11651294844580842,1.000095401107725,1.0000703545016167,0.48514872005245974,0.9943061788956084,0.9924866811652919,0.9934959283514961
1180.78297699,0.2953794090449964,0.34120911428476275,0.24095368410745313,0.1499328875099373,0.14486782983062593,0.13541233453091517,0.09217853119681106,0.09142019208946299,0.320852289401672,0.3314232116213482,0.3197852720024931,0.3220304249491753,0.27649792785577815,0.255088409956934,0.3044407022713679,0.3104506204143803,0.3247055272054174,0.461027021979,0.494920612535831,0.40319687603374277,0.396283841491852,0.41560783695456555,0.4280553858225889,0.4015268244286762,0.3480931443263975,0.439163321261338,0.18595248337650971,0.14625134604401036,0.1164689170370502,0.13500233851561194,0.36655298637958883,0.3003101222258791,0.259769459902465,0.31654012423057293,0.3726722202849545,0.37198175075162804,0.3560947761206783,0.3709653852215495,0.10578438849970874,0.11362757025196078,0.10260864114759786,0.14932308740105663,0.11536523921293541,0.10588155038177921,0.114217178107485,0.11689387134902009,1.0000914858547616,1.0000864921063368,0.4857654107915474,0.9942103754142134,0.9923854610810459,0.993396592420806
1186.16821657,0.2968421128422954,0.34282800584727396,0.24207688603751476,0.15064153402603989,0.1457204637592183,0.13616260650854134,0.09244142569767626,0.09168989327135403,0.32160257120976854,0.3321378880583101,0.3204888089610731,0.3226232617550252,0.27594443841914346,0.2546752163224104,0.3039022970134532,0.309953996795457,0.3228524445980335,0.45979907734295355,0.4937851966558902,0.4021393101846395,0.3976738326942875,0.41614331969245777,0.4292646302921216,0.40215640484302495,0.3485025082761539,0.44027537580524445,0.18714812929461602,0.14694946039032092,0.11725172661732125,0.13577958081949593,0.3680643095314051,0.30155990386278975,0.26088805631575585,0.31801644610304397,0.37350646309430124,0.3728570535479441,0.35686313309325535,0.3718056798475659,0.10616890273790072,0.11405231800503302,0.10300920906562794,0.14973990755589658,0.11590970595820688,0.10631353831041883,0.11466479564655323,0.11727159353767509,1.0001076889173477,1.0000934976072284,0.48643482309806174,0.994210210856889,0.992250759458302,0.9933211680002438
1191.52999524,0.2984372281559843,0.34454878670614214,0.24331913386761775,0.15142280284170667,0.14651979050134467,0.1368648208677963,0.09273040024331289,0.09196722777001139,0.32245871018224476,0.3329914110221452,0.32131910567655836,0.3233805822626398,0.27554527987837896,0.2543398681497597,0.30346233054926075,0.3095209117655459,0.3218801137908854,0.4592094411009525,0.4932534197538191,0.40157223058065145,0.39924025981922256,0.41673785281432163,0.43071091518364574,0.4028868889143326,0.34902108030168316,0.44158272333030374,0.18836959914432105,0.14769047357085105,0.11807097968004479,0.13663950054593865,0.369649712665608,0.30289857969465134,0.262016725631154,0.31954801873186495,0.37442020622816824,0.3738173864366993,0.3576550256257564,0.37273204243243613,0.10657739020297853,0.11453950750005074,0.10346035536233442,0.15020905462050113,0.11652610165466094,0.10679503822130801,0.11519916812182589,0.117723728698039,1.000123058571912,1.0000824428434323,0.48706385492730536,0.9942292257784545,0.992128543818743,0.9932769148999012
1196.89576018,0.30008635902651426,0.34626203711581494,0.24452051496553934,0.15218867008220402,0.147270547688609,0.1374870199520733,0.09300771807506815,0.0921794356327095,0.32325523434518755,0.33382386461810076,0.32212272290201516,0.3241511839160459,0.27510774448447634,0.25397574607291135,0.3030484983321835,0.30904468997289436,0.3212218072856482,0.4588391469674504,0.4929488826374823,0.4011384664753678,0.40081571121614434,0.4172048972586623,0.4321177889395228,0.40353906577767973,0.3494879354866768,0.44292638534753503,0.18956519488183554,0.1484165880088818,0.11890185532939718,0.13749378210594632,0.37115220328159393,0.30417858011334253,0.26306452398580704,0.32097987260461297,0.37528812418255486,0.37466057702880023,0.35842731151986423,0.37361201854640447,0.10698815750377859,0.1150063341003819,0.10389372361507145,0.15062104676931257,0.11709735566071285,0.10727672490169642,0.11572834879393372,0.11822873941292585,1.0001280684281773,1.000069881186985,0.4875520278924048,0.9941999888285905,0.9920820274754525,0.9932972391566174
