,10_Otago_00001 10_otago.,10_Otago_00002 10_otago.,10_Otago_00003 10_otago.,10_Otago_00004 10_otago.,11_Iceland_00001 11_iceland.,11_Iceland_00002 11_iceland.,11_Iceland_00003 11_iceland.,11_Iceland_00004 11_iceland.,15_Oxia_Sophia_00001 15_oxia_sophia.,15_Oxia_Sophia_00002 15_oxia_sophia.,15_Oxia_Sophia_00003 15_oxia_sophia.,15_Oxia_Sophia_00004 15_oxia_sophia.,2_Atacama_Red_00001 2_atacama_red.,2_Atacama_Red_00002 2_atacama_red.,2_Atacama_Red_00003 2_atacama_red.,2_Atacama_Red_00004 2_atacama_red.,3_Sabtha_00001 3_sabtha.,3_Sabtha_00002 3_sabtha.,3_Sabtha_00003 3_sabtha.,3_Sabtha_00004 3_sabtha.,4_Watchet_Bay_00001 4_watchet_bay.,4_Watchet_Bay_00002 4_watchet_bay.,4_Watchet_Bay_00003 4_watchet_bay.,4_Watchet_Bay_00004 4_watchet_bay.,4_Watchet_Bay_00005 4_watchet_bay.,4_Watchet_Bay_00006 4_watchet_bay.,5_Granby_00001 5_granby.,5_Granby_00002 5_granby.,5_Granby_00003 5_granby.,5_Granby_00004 5_granby.,6_Hydrothermal_Clay_00001 6_hydrothermal_clay.,6_Hydrothermal_Clay_00002 6_hydrothermal_clay.,6_Hydrothermal_Clay_00003 6_hydrothermal_clay.,6_Hydrothermal_Clay_00004 6_hydrothermal_clay.,7_Oxia_Teresa_00001 7_oxia_teresa.,7_Oxia_Teresa_00002 7_oxia_teresa.,7_Oxia_Teresa_00003 7_oxia_teresa.,7_Oxia_Teresa_00004 7_oxia_teresa.,8_Mudstone_00001 8_mudstone.,8_Mudstone_00002 8_mudstone.,8_Mudstone_00003 8_mudstone.,8_Mudstone_00004 8_mudstone.,9_Congo_00001 9_congo.,9_Congo_00002 9_congo.,9_Congo_00003 9_congo.,9_Congo_00004 9_congo.,00001 Standard.,00002 Standard.,00003 Standard.,Standard_retest_00001 Standard_retest.,Standard_retest_00002 Standard_retest.,Standard_retest_00003 Standard_retest.
1440.21938683,0.3562581944880107,0.37251065053685195,0.27762834049279134,0.17684534410755695,0.17272288240592165,0.15807384564779448,0.09823598537821716,0.09842114969362804,0.3643553409788696,0.37620873893544504,0.36386983995887157,0.36559149815987224,0.25721877586303205,0.23782393431298487,0.2843389565974693,0.2902928368328408,0.2165217122784345,0.3611418430514988,0.384357385462595,0.3104146075359102,0.4346233594795268,0.414773876293537,0.4316304989606549,0.4050083343143158,0.34719564482785437,0.4474464640403049,0.21662017696306007,0.1636044840747023,0.13857273239787138,0.15466482721932015,0.3805723872223194,0.31163554251928516,0.268960198531166,0.3307359667068131,0.4054427533764801,0.4037607374683778,0.38330267740463986,0.3998383572466187,0.12476787704295374,0.1339414641117732,0.12046632944429658,0.16922904515647652,0.13890361895661552,0.12454428702964576,0.13536426249249514,0.13810420327403383,1.0,0.9999657220474076,0.5113617854675568,0.9940894598854565,0.9917748125771365,0.9928024018365191
1445.9515979,0.35904631764451234,0.37546544186831465,0.2795025876113668,0.17859441446622618,0.17344792782991933,0.158563834868793,0.09839663130332604,0.09859357011662387,0.3658603494625165,0.37765402799819275,0.36530738897677334,0.3669446945932635,0.25701925593196256,0.23757369739113776,0.28399420106309414,0.2901271834131274,0.21454286699021546,0.35819302146042126,0.380621818194268,0.3078993521068462,0.4354209885521786,0.4142358644274039,0.4301585066857739,0.4047522919293323,0.3470819029830012,0.44617962211657813,0.21893139218795488,0.16509967840857842,0.14028465540733204,0.15643562687714152,0.3835727339880072,0.3142592599334773,0.27114031878696765,0.33350029013685956,0.40636575601187136,0.4046553537856009,0.38410712037275574,0.4007511264044706,0.12560287283175367,0.1348422036488471,0.12139071850224879,0.17011199058430376,0.1401076964626293,0.12555123419114297,0.13655905557155182,0.1393082667912813,1.0,1.0,0.5118159376137944,0.993829780294208,0.9917329954603559,0.9927835343832032
1451.69304835,0.3616976702761938,0.3782780047849158,0.28128635453834977,0.18010694409058278,0.174097237172875,0.15907782339296794,0.09855706345540453,0.09875526517448036,0.36736636970888487,0.3790548795323231,0.36672832750755496,0.36833550471697585,0.25689127226297387,0.23743960461587618,0.2839637623430533,0.2901096523238145,0.21391885989931822,0.35746044822888795,0.37988397561715637,0.3075461393769249,0.43785112063960635,0.4151471778240441,0.4323997040556785,0.4059813191403906,0.347842931417285,0.4484948443250411,0.2210221007093302,0.16636591777844068,0.14180612141456914,0.1579919860797937,0.38604003992280805,0.3163784090855941,0.27291772145487764,0.3356763257637893,0.4072498728512632,0.4056350183941766,0.38488730706640156,0.40159157037451937,0.12634317543145068,0.13557864374779377,0.12218642221318578,0.1708531449282886,0.14108071656471022,0.12635315723134743,0.13750446988517045,0.14033215287688475,1.0,1.0,0.5122222894515865,0.9937183604588145,0.9917063997360631,0.9929116950109089
1457.44370948,0.36422181738197934,0.3809625978846096,0.2830142891259512,0.18148183921011476,0.1746594409149942,0.1595939115969834,0.09870330018374461,0.09889406331624291,0.3688185831138839,0.380627810880362,0.36805366175351195,0.369682534119175,0.25689199711274513,0.23744048926190378,0.28407177947862045,0.2902201236147041,0.2139971395011422,0.35798308258473643,0.3811053836332301,0.3083686521276935,0.4410265417440606,0.4167382761920966,0.4366687569676148,0.40793403465230693,0.3490851658040034,0.45260120473492466,0.22280143126653984,0.16750678995198823,0.1431957890450354,0.15932246606703623,0.3881137367892979,0.3182168728055536,0.2744562864454755,0.3375423054443387,0.4083534960086968,0.40657510058703616,0.3856779893494755,0.4025058697111999,0.1270761034347328,0.13626146456675575,0.12285496481275203,0.17144249631357777,0.1418426163746997,0.12704767837941475,0.13831301011395997,0.1411888152437924,1.0,1.0,0.5127759017183984,0.9936201178684991,0.9915479580654919,0.9929653746949675
1463.20355265,0.3667106511968822,0.38348387718856913,0.2846042087667602,0.18272345032192477,0.17521534436315125,0.16015386382993718,0.09884029575014155,0.09905735259908599,0.3702470375656462,0.3821900657651873,0.3693760121259665,0.37107603386357074,0.2569267973270589,0.23754943265452214,0.2841982183114918,0.29024347320871813,0.2142644959078746,0.3589657749652537,0.3827410550043478,0.30935369680480423,0.44407201168130533,0.4182441316132624,0.4405361227800395,0.4097544619471493,0.35029366981320326,0.456337538125802,0.22447353141128717,0.16867846633074116,0.144481373065766,0.16054011045748498,0.3900182040320394,0.31989958421822573,0.2758328568498877,0.33932411664335504,0.40944648694970875,0.4075695620782615,0.38646185001195293,0.4032376286274101,0.1277467995249508,0.13693878415199767,0.12348130203177811,0.1719959670721893,0.14255570059101028,0.1277278240444598,0.13906568859786836,0.14208846253585045,1.0,1.0,0.5132906342732618,0.9936192863144826,0.9915057562893377,0.9927518621434002
1468.97254925,0.36930495637786986,0.38626255110898183,0.28634336328029203,0.1841253101275356,0.17577218770268319,0.1606891601848564,0.09897034436474228,0.09924113902875809,0.37162580717128874,0.38378873696091886,0.37072247668536623,0.37252730795412325,0.2570314443666037,0.23768848984435414,0.2842894882531457,0.2902922546020753,0.21451796168834816,0.35975762997042277,0.3843172352528653,0.3101477273952102,0.4466793876217306,0.41948442138150516,0.44354760246404945,0.4112876057175604,0.35121984864086775,0.45933034820199725,0.2262705880470309,0.17001994403772994,0.14596391138788312,0.16185954492982926,0.3919098104771374,0.32146344072558847,0.2772319139069604,0.3410960253448552,0.4104358362427807,0.4085977460701586,0.3871413545396173,0.4040298045178123,0.12833534095904134,0.13760034715345826,0.12411924761163988,0.17252026403139972,0.14326423863016935,0.12837211406075386,0.13977968820871645,0.14296847427879147,1.0,1.0,0.5138067426765903,0.9935320369459905,0.9914098450969621,0.9928760592621868
1474.75040717,0.37212452268189944,0.3894561763303887,0.2882545557679903,0.18564488412814475,0.17636687970684434,0.16117314014975004,0.0991136313959002,0.09945142380973535,0.37295813811033085,0.38527369239600706,0.37205352334211556,0.3738452562866225,0.2570944308578408,0.23786389664670798,0.28430120622403776,0.29043371296663173,0.21463619431385983,0.36035794089823886,0.3856805764727808,0.3108534548526192,0.4489829468769767,0.4204741897965044,0.4458203548697007,0.41251074664631215,0.35212406314883243,0.461589491193585,0.22821462283641575,0.1714798239380479,0.1476154500700575,0.1634596290384199,0.3938856135185161,0.3232136693159346,0.27860394655465176,0.34296479428686183,0.4114637770170217,0.4096238935336608,0.3880304991681329,0.40480962097208456,0.12885935187312042,0.138280217415798,0.12472313668607221,0.17312446597803213,0.1439220923098677,0.12898760254762567,0.140474866270443,0.14370606662366026,1.0,1.0,0.5143248828605018,0.9934898799019313,0.9914578130885237,0.9927335322222632
1480.53455271,0.3750476281418376,0.3929303473716838,0.2903812045886989,0.18724035305082196,0.17702430617420936,0.16165143923127537,0.09929180138600774,0.09969887483273338,0.3744503758724777,0.38681634531119996,0.37351931503166136,0.3752840311574362,0.25711020956879843,0.23799397206012185,0.28435193995516855,0.2905538799412593,0.21467771383380957,0.360914720322809,0.38653138841791734,0.31127234478865484,0.45097538867186665,0.4212172097218531,0.4472617635890576,0.4134595550599359,0.35287765940971755,0.46310396271877674,0.23032165171400437,0.17291499676774733,0.1493126369202628,0.1651543071969819,0.39592919509591284,0.32504896519608056,0.28002409066759953,0.3448189405348127,0.4124862857054529,0.41079591599519544,0.3889991113152714,0.4058287635733872,0.1293262001447165,0.13892917838605512,0.1253161359579563,0.17371013886544487,0.14462529065743437,0.12958408515289815,0.14115060247045616,0.14443494221330372,1.0,0.9999723152815402,0.5148551186185427,0.9936308984470279,0.9916052693845787,0.9928552301108627
1486.32495713,0.37794775387577895,0.39662180864118846,0.29254855397030577,0.18881135813301625,0.17765252585430913,0.16206631838668478,0.09943217678115993,0.09990983830458632,0.3760737595439424,0.3882085634317527,0.3751299599817262,0.37675955401598654,0.2571290992311238,0.23802336883095943,0.2844476863477715,0.29060965198272054,0.21467310597369482,0.36138723828402763,0.3871556714991821,0.31170226021446895,0.45286333192276096,0.42175021270686686,0.4484458942421974,0.4143389433088987,0.35344770578835016,0.4642899903230172,0.23240023852513178,0.1743767572575842,0.1509548114329391,0.1667350941845472,0.3978083935999508,0.32674307867564095,0.281399219339431,0.34665259051016806,0.4134532827400928,0.4118848118455178,0.38999125593910067,0.40686973141912897,0.1298427265069106,0.1394956143557484,0.12584616215832686,0.17432435704721436,0.1453199026038172,0.13010432257435864,0.14183353552776037,0.14513629235657735,1.0,0.9999245777994201,0.5153144110226313,0.9938854268157307,0.9918357860857484,0.9930169144448012
1492.12159183,0.3807297559401831,0.400219007694141,0.2947482469594488,0.1903249456390165,0.1782044364199838,0.16243353634651458,0.09952012905535998,0.10004287484225281,0.3775615395279594,0.3896447880514744,0.37656567632445287,0.37835475140955255,0.25710794882420884,0.23803429747838512,0.284616265542747,0.2905702201050009,0.215066193931867,0.36229339881361844,0.38850548619600406,0.31278412712423065,0.45499990011491387,0.42251649682657094,0.4506198636060168,0.41542916106881644,0.3541122255637712,0.4663022952765781,0.23450110241572175,0.17575018817728774,0.15251280316109014,0.16821363824063973,0.3996128223190723,0.3282876389201118,0.28274473298762276,0.3483491023346819,0.4144926035786865,0.41293632277291037,0.3910531164700886,0.4078470947007402,0.13037727456682718,0.14000095703747378,0.12637758264150656,0.17493797327944538,0.14602112949286009,0.13059107343678564,0.14247359653757116,0.14580554378709842,1.0,1.0,0.5157696480286459,0.9938994994943643,0.9918928793234145,0.9931353351013602
1497.92442836,0.3835716664333866,0.4037792339707208,0.2968999239068336,0.1917853251686943,0.17876419897466975,0.16282307658291528,0.09960821846593056,0.10016085836150812,0.3790351020059677,0.3910806524805312,0.37804599611307155,0.3798223160001197,0.257124909169175,0.23809362076020438,0.2848857028735358,0.2906216745466571,0.2160176373157713,0.3640340711287413,0.39107536718027375,0.3145151079557724,0.4578870112263041,0.4238511315554887,0.4543857870714866,0.4171128680773722,0.35519353031418543,0.46978135176241204,0.23662218567154783,0.1770266858836159,0.154054443683497,0.1696908320385569,0.40137345093672755,0.3297944545665429,0.2840655312739128,0.3499183203090172,0.41555405928346156,0.41380581861713245,0.3919413895436761,0.4087877307144885,0.13089689277974303,0.14059166215879607,0.12694837915971102,0.17557905457203857,0.14667820608065701,0.1311299962975322,0.1430747295560018,0.1464501089756202,1.0,0.9999716626585935,0.516448928509084,0.9938984470168405,0.9919477017577977,0.9929764921422397
1503.73343845,0.38634985948316064,0.4072552853592655,0.2988641477860264,0.19312164474604096,0.17930142437565016,0.1631891373823711,0.09972562544266503,0.10025821388579449,0.38050556728550117,0.3926332307831474,0.3795448455981848,0.3812873863465237,0.25707696415657266,0.23815213687267728,0.28518516594747245,0.2907073250923852,0.21723460956138388,0.3660937990704633,0.3940623466337067,0.3166446603807117,0.461066252723624,0.42570416806132727,0.45886436205416237,0.41908273029300164,0.3563941301225623,0.47407607724946277,0.23861482196039885,0.17823939017799123,0.1556073490001251,0.17113494873119794,0.4030337052494694,0.33115201288150664,0.2853423771288676,0.3514071037184061,0.4166227343656707,0.41463942957390804,0.392768093384479,0.40964127213617785,0.1314420700367656,0.14118189799854747,0.12749033061239382,0.17627497893435162,0.14731013892696498,0.1316610898875977,0.14371653772152002,0.14707762076450967,1.0,0.9999724012473861,0.5168990602703208,0.9938070966018727,0.9918378087014477,0.9928906645616546
1509.54899004,0.3890242518985366,0.4106506396293945,0.3007452610094917,0.1944047578585119,0.17983690933167276,0.16354146616275128,0.09986839749558778,0.10036760970408229,0.3820416913970187,0.3941956856774288,0.3810126989674524,0.38275475393949593,0.2570161518868412,0.23818087511865305,0.2854978906538047,0.29079354260334067,0.21824179518136697,0.36783455750234156,0.3968025259391679,0.3184558619616892,0.4642127041928765,0.4273611407442946,0.4626846959148848,0.42075988417481364,0.3573764797956057,0.4779657756764203,0.24047840412767812,0.1793995532413408,0.15707975947646083,0.17250495874509408,0.4047013778099258,0.332490561966106,0.2866314595079874,0.3529064503620084,0.4176201145209283,0.4155121231633893,0.3936622485808017,0.410508472508978,0.1320413755213886,0.14177047208797294,0.12804892597615236,0.17692298118225558,0.14793241192842937,0.13224097465490273,0.1443630162446916,0.14773200657923494,1.0,0.99998488387836,0.5173459122027704,0.9938424506180122,0.9916421602724537,0.9928803763407226
1515.38336105,0.3916613011419831,0.41392232801883955,0.30262547383782457,0.1956193046398083,0.18039544726269952,0.16389286429353433,0.10000312576846605,0.10049208741609725,0.3835649727848261,0.39578702974953867,0.382438074223175,0.38410170734374083,0.25705473356960057,0.2382122069065863,0.2857737037527743,0.29075999224447935,0.21889050341254723,0.36895668857726355,0.3988038611761147,0.31973193387556037,0.46665632008930824,0.4285776030260219,0.4654985452032244,0.4220257347177964,0.35800279154248527,0.480802980755901,0.2422321765674896,0.18046074461538536,0.15847621982438573,0.17378418722035235,0.40623282187096826,0.33379610219496125,0.28780665416480133,0.35425331503328594,0.41875148164085985,0.4165213276564666,0.3945820967646215,0.4112538480556887,0.13266277955048184,0.14233508071171222,0.12860764411724201,0.17754718116569654,0.14862161613286898,0.1328128694579788,0.14499219740692187,0.14836021495295612,1.0,0.9999286921637343,0.5178148203670866,0.9938945562146998,0.9918025276455789,0.9929304909168009
1521.23658861,0.39423764476334616,0.4169023919449887,0.3043860207841943,0.19686987822757074,0.18091244414498497,0.16424362503968076,0.10011053244347058,0.10064941924720161,0.3849223100782336,0.39725364782787,0.38388277397994364,0.3854486668552743,0.2571269401295153,0.23821808082809268,0.28598848508857716,0.2906869159574336,0.21918400769086918,0.36951391967964725,0.4000563997112196,0.3204424287354936,0.4686128523073283,0.42930357697423854,0.46727821658631347,0.4228446348286003,0.35838917465341696,0.482527981967438,0.24394790363420238,0.1814450948758536,0.15981437126655026,0.1749835724174287,0.4075863304038837,0.33494914848470303,0.28877565893393203,0.35541433884120366,0.4196700639454594,0.4173508062629805,0.3953304231326744,0.4119669877075679,0.13317650091308886,0.14288430661796314,0.12910076583141147,0.17804999183279205,0.14922074235743124,0.13328652378202152,0.1455427628389311,0.14893263714294006,1.0,1.0,0.5183220122354104,0.9939603476808412,0.9920487377480646,0.992737714603185
1527.10870977,0.3966294394918573,0.4195417542297192,0.30594190996373644,0.19808976615800003,0.18137330211142816,0.16456034235610528,0.10018153629401089,0.10081989704590423,0.38619570605835074,0.3984958786571462,0.38511360349338,0.3866876675231106,0.2570675084747111,0.23820963355174388,0.28606356986160536,0.290580143342569,0.21914159404015776,0.3696906482412575,0.4007074612865569,0.3207030808189582,0.47019929166225344,0.42975079332640537,0.4684537904778584,0.4235218718789463,0.35859509077503027,0.4835996830705118,0.24547395463401164,0.1823932553057273,0.16103500800645507,0.1760264784221745,0.4087590255466797,0.335931158388792,0.2895679993995397,0.3564626575519678,0.4205385279385728,0.4180134932949586,0.39587781797362137,0.41263408995409057,0.13366540834844318,0.14341950198067965,0.12960332476489686,0.17838801444096164,0.1497117986950675,0.1336780933507906,0.14606687354875264,0.14944009782803838,1.0,1.0,0.5187661615477764,0.9938697610179873,0.9917752287203219,0.9926738126971827
1532.99976154,0.39898350551052114,0.4220281054269233,0.3074199451807567,0.19934053940607258,0.18180988464680733,0.16488318290574,0.10030382848118875,0.10096924819677826,0.3873384125084219,0.39970347500221953,0.3862849817693075,0.38773729118517175,0.25699266334894033,0.23818521533060374,0.2861406910045458,0.2905907634148802,0.21930692346243577,0.37003442837238787,0.40143444784464577,0.32106570540052526,0.47178014652725214,0.4300909629534124,0.4696934299671116,0.42400812303790714,0.3588363251648623,0.4847814775253343,0.24693212220777777,0.18337484330239234,0.16215601246700392,0.17703012810569793,0.4098265546883053,0.3369588575193512,0.2902995979936344,0.3574725584736527,0.42134042394280097,0.41879730403933696,0.39642726840247994,0.41334847665568114,0.13411589025002418,0.14389455070091764,0.13010105721147372,0.17870016397147925,0.15021056221574924,0.134066543741105,0.14657809804892144,0.1499306893433545,1.0,1.0,0.5191748428571002,0.9937783332032306,0.9915217621767255,0.9926520725311776
1538.90978084,0.40134102364972835,0.42451112284834747,0.308986853415494,0.20054452278590376,0.1821765835908574,0.16530869283615024,0.10041433178911252,0.10112129524103189,0.3883512250242245,0.40087456102071406,0.3874814890051332,0.3889044787371192,0.2569148616162912,0.23816663532314616,0.28616559680188325,0.29061887264506847,0.22017455225042765,0.3711453842936943,0.40333448017339985,0.322294680741828,0.4738350398593398,0.43073711407408505,0.4719616164430489,0.42500206633466353,0.3593525127735588,0.48675634727352723,0.2483495750393426,0.184325350266369,0.16319436352352565,0.17798207852917436,0.4110263741792015,0.33794260033739604,0.2911240102874533,0.3584999687402955,0.42207863706977444,0.41951688439545287,0.39684165526471266,0.4140092884417878,0.13459686414455094,0.1444200772395453,0.13059718144147445,0.1790838281679927,0.15068341778392713,0.13454356088931962,0.14711454423924003,0.1504059502338494,1.0,1.0,0.5196793439078439,0.99357484589362,0.9914868917756817,0.9926755548266047
1544.8387776,0.40364191046328457,0.4269952394480669,0.31056520357941614,0.20173775325301677,0.18262955305056727,0.16568170975043445,0.10046032204287665,0.10124012795660649,0.3893969423444704,0.4021213265823589,0.38874817190586636,0.3900552922808833,0.2568635843176096,0.23827558902672227,0.28631447225054985,0.29070533418415906,0.22217478954177722,0.3733762411066786,0.4066088184250722,0.32465463611546125,0.4765947944900249,0.4318254439584799,0.475632584379592,0.42660629736234984,0.36021854050998464,0.49006122586932777,0.2497693971475801,0.18526686359704966,0.16420742981786787,0.17898143871772035,0.4121258092290766,0.3388205889037944,0.29191136215489893,0.3595533714876722,0.42287478223615216,0.420161246934115,0.39733202139128404,0.41467511751199343,0.13512600063878835,0.14492553236120062,0.13111652896487566,0.17945225997677605,0.15116287796247738,0.13506718503403056,0.1476559316577946,0.15089347517106635,1.0,1.0,0.5202074593313148,0.9935172622731554,0.9912246352636978,0.9926175293882241
1550.78660554,0.40582979865203006,0.42927369239489815,0.3120596132579206,0.20285313463380986,0.18305074455509796,0.16602234047043973,0.10044820542998276,0.10126432537579129,0.3904367979983098,0.40328765277881895,0.3900167982891249,0.3911714563968717,0.2569128764929248,0.23830648157603626,0.2864512318481965,0.29084555947303936,0.2252673453042668,0.37627264754831197,0.41103030003930197,0.32789825592289895,0.4796398175186595,0.433324199010853,0.48012341281243875,0.42842075601557406,0.3611997790575806,0.4943334172157206,0.25113655959155046,0.1861854050624037,0.16517365156968772,0.17996942426177542,0.4131163473636773,0.3396392210270118,0.2925916163176606,0.3605102992668027,0.4235256875917033,0.42074490232254924,0.39783882629909123,0.41530872764854604,0.13563652254754552,0.14536678996949007,0.1315861316623232,0.1797818570908376,0.15167587818013523,0.13557123768516147,0.14816536125469118,0.15137985472326063,1.0,1.0,0.5207031535259796,0.9935935933351269,0.9912232680303151,0.9926084636599493
1556.75329898,0.40804865475354396,0.43154188467160004,0.313361627171818,0.20393751386782,0.18345086446120765,0.16630382233814933,0.10044773276567777,0.10120190278284355,0.39153046991889695,0.40429530220498805,0.39130158714889735,0.3922321167373378,0.25687817687315123,0.23828356432775005,0.2864512062853485,0.29097677605819067,0.22898683312064988,0.37964365749777224,0.41601176666196166,0.33136035605803754,0.48261068710615734,0.43461917551114093,0.48474640570191413,0.43024618966213607,0.36213142397043396,0.49862355505971084,0.25240003589078813,0.18702889549088772,0.16614950607450685,0.18091470879923027,0.41392859442100416,0.3404144201075275,0.29315965913201586,0.3612540508387616,0.4241646050985302,0.4213109897596114,0.39845914624791945,0.41594465616617804,0.13609492466091236,0.14587104152560168,0.13207539399386395,0.180178828500034,0.1521628963048511,0.13599520549174315,0.1486675637775814,0.15192846405337815,1.0,1.0,0.5210768875354677,0.9935750813242837,0.9911252530340191,0.9929203181133986
1562.73889214,0.4103023598280248,0.43379989621277415,0.3146810627542186,0.2050918246591086,0.18374402204293544,0.16661659189879705,0.10051825326020836,0.10120976586796038,0.39258246470408403,0.40521605452993015,0.392478810256406,0.39322957340372383,0.2568116637250118,0.2383397764535894,0.28651574819631437,0.2911090300575417,0.23294116864255748,0.38317870311122476,0.42110253686950205,0.3349003976847998,0.48545613840993374,0.4358120130935438,0.48913648504460916,0.4320119205092107,0.36306848388665025,0.5025784134171967,0.2536158284115762,0.18778874308692367,0.16710618894041102,0.18183744168858895,0.41473485676183663,0.34112559759669303,0.2937666119746924,0.3619621126791793,0.4247526037386168,0.4220511876415833,0.39904446957312467,0.4166561405135345,0.13649368041089557,0.14635308441111325,0.13259551292185418,0.18064949851667272,0.15264253473626405,0.13639770008442356,0.14917215494521596,0.15246361710934608,1.0,1.0,0.5216378279366243,0.9935971149610344,0.9913616702991164,0.9928837670013673
1568.7434192,0.4127263295062024,0.4361054339950903,0.31614827351097924,0.20621779652218158,0.18408757267612672,0.16689791651210148,0.10063075669234418,0.10123874832235566,0.3936123132985501,0.4061439106368073,0.3935950924906061,0.3943802878168708,0.25688595657061586,0.23856321099675215,0.2864843986604476,0.2913731937033628,0.23690004163423134,0.3866939240515307,0.4260844589071686,0.338316390404676,0.4882448508442758,0.43700238276421544,0.4932107796536924,0.4338364939713441,0.36410916121342685,0.506319824180905,0.25490997605131227,0.18854182978012046,0.1681479748118656,0.18276653715144736,0.41557409537494894,0.34172822374216183,0.2945114485969377,0.36272832782925923,0.4254418170582175,0.4230243267796526,0.39963862748614587,0.4173553548305387,0.13692821010486678,0.14686373632606128,0.13314773913326686,0.18115657615678468,0.15318338368727857,0.13685260976006092,0.14965798892010085,0.15304982179402007,1.0,1.0,0.5222175732369767,0.9936221475101642,0.991493161148845,0.9928656621247806
1574.76691423,0.41510559587983603,0.43834277640083685,0.3177063733426989,0.20728361023096506,0.18437277772166868,0.16717078531118532,0.1006898905561298,0.10128979589901003,0.3945824368098619,0.4071266562705981,0.39468355499372304,0.3955755636600151,0.25703677063079483,0.2388253503334339,0.2865577795061604,0.29162480826816206,0.24084869613272633,0.390144273589194,0.4304529967215719,0.34162353528006534,0.4907923077830731,0.4381430513760925,0.4968806569941689,0.4353914677927099,0.36505879254860607,0.5098609874633762,0.25611167534633533,0.18925130671703286,0.16911168511513144,0.18373250622314174,0.41639763785644285,0.342321208490126,0.2951976440781056,0.36354464542358866,0.4261789868031596,0.4237548013604589,0.4002573431893674,0.41786451190587676,0.13732968777949528,0.14731289740375186,0.13367024306216366,0.18169978476283413,0.15373576491857172,0.13735078070005724,0.1501238102414998,0.15361051618556973,1.0,1.0,0.5228301476866537,0.9938200094506721,0.9918148560524638,0.993060896249055
1580.80672696,0.41728803755742866,0.44049474080418016,0.31928640411058784,0.2083404575784519,0.18459688470492006,0.16744247962441378,0.10073838662073173,0.10141985855324864,0.3955678783370352,0.40819219854980654,0.39581609366273135,0.39650106947625935,0.25715475398402493,0.23901766521504478,0.2867068174084162,0.29184365579739324,0.24486802823695197,0.3934711948882909,0.43454193359818927,0.344708329699707,0.4932635215098727,0.43935219038770046,0.500088948365765,0.43678800965435666,0.3658749914994772,0.5130348609507334,0.25732425023841216,0.18995254216969912,0.17003509944891473,0.18468243671798948,0.41713802069844363,0.3430376911075773,0.2958197775767586,0.3641861377076583,0.42685768881082986,0.4244158251477481,0.40090206144889695,0.4183071746828993,0.13771113648352845,0.14770794559837525,0.13417773560666896,0.18222746361218817,0.1542902583751368,0.1378566867392246,0.1506120281421836,0.1540748688907365,1.0,0.9999996069677476,0.5231999858415941,0.9937320821101832,0.9918897711817608,0.9931542162592985
1586.85843732,0.41936127606753915,0.442439425476281,0.320609391904342,0.20932507666066089,0.1847274073299267,0.16765433618802247,0.10072853085004604,0.10152491929947731,0.3965100265854783,0.4092604652191282,0.3968601697619406,0.39744019277548964,0.2572948170850197,0.23920692762132614,0.28684549356395755,0.29185862808384044,0.248815714458016,0.39662728432173266,0.43840228692563016,0.347822442123828,0.4952993304972065,0.4405431737704791,0.502908063660663,0.4379367186940347,0.36658736391736285,0.5158243879115871,0.25847629069856937,0.19058292517234698,0.1709021149576852,0.18550233713959832,0.4176496785215832,0.3437150374391275,0.29620202904389625,0.3646787319489832,0.4274562788910433,0.4250015322978493,0.4013609417835369,0.41860395833180153,0.1380208750932062,0.14816772786536006,0.13460284741846334,0.18265028611983486,0.1548550284371514,0.13834063967626328,0.1511161927080749,0.1544620892538785,1.0,1.0,0.5236262402176917,0.9936886047344545,0.9917549621621966,0.9927418274274947
1592.92202448,0.4213928402525306,0.4442244274480209,0.32184557015809473,0.2102732103135379,0.18481513722878368,0.16773339516507343,0.10075898930421907,0.10155612334039452,0.39725916127847166,0.410197884494936,0.3976949407700973,0.39827356066742675,0.25734608631930955,0.23927799046679618,0.28695017804883616,0.29191371958535445,0.25279230591470375,0.39971388865076074,0.44224353601294764,0.3508261856165595,0.4974509692358863,0.4414977380431612,0.5057493598271986,0.43895758143771135,0.36723406082242405,0.5183267299985819,0.2596048597009545,0.19124329837993814,0.17179058329374583,0.1863006272441373,0.4180733383663049,0.3442226178586264,0.29650206641654364,0.3650180131325518,0.4280225888648426,0.42553535061381914,0.40166105312255695,0.4189535594907019,0.13828335391125207,0.14857727278967126,0.13501409798852596,0.1829387430907947,0.15532429384401983,0.13871321065079958,0.15155914320147856,0.15481316472648057,0.9999065224676458,0.9999623712633617,0.5241154478084417,0.9933561280167376,0.9915514671663148,0.992566450420839
