,10_Otago_00001 10_otago.,10_Otago_00002 10_otago.,10_Otago_00003 10_otago.,10_Otago_00004 10_otago.,11_Iceland_00001 11_iceland.,11_Iceland_00002 11_iceland.,11_Iceland_00003 11_iceland.,11_Iceland_00004 11_iceland.,15_Oxia_Sophia_00001 15_oxia_sophia.,15_Oxia_Sophia_00002 15_oxia_sophia.,15_Oxia_Sophia_00003 15_oxia_sophia.,15_Oxia_Sophia_00004 15_oxia_sophia.,2_Atacama_Red_00001 2_atacama_red.,2_Atacama_Red_00002 2_atacama_red.,2_Atacama_Red_00003 2_atacama_red.,2_Atacama_Red_00004 2_atacama_red.,3_Sabtha_00001 3_sabtha.,3_Sabtha_00002 3_sabtha.,3_Sabtha_00003 3_sabtha.,3_Sabtha_00004 3_sabtha.,4_Watchet_Bay_00001 4_watchet_bay.,4_Watchet_Bay_00002 4_watchet_bay.,4_Watchet_Bay_00003 4_watchet_bay.,4_Watchet_Bay_00004 4_watchet_bay.,4_Watchet_Bay_00005 4_watchet_bay.,4_Watchet_Bay_00006 4_watchet_bay.,5_Granby_00001 5_granby.,5_Granby_00002 5_granby.,5_Granby_00003 5_granby.,5_Granby_00004 5_granby.,6_Hydrothermal_Clay_00001 6_hydrothermal_clay.,6_Hydrothermal_Clay_00002 6_hydrothermal_clay.,6_Hydrothermal_Clay_00003 6_hydrothermal_clay.,6_Hydrothermal_Clay_00004 6_hydrothermal_clay.,7_Oxia_Teresa_00001 7_oxia_teresa.,7_Oxia_Teresa_00002 7_oxia_teresa.,7_Oxia_Teresa_00003 7_oxia_teresa.,7_Oxia_Teresa_00004 7_oxia_teresa.,8_Mudstone_00001 8_mudstone.,8_Mudstone_00002 8_mudstone.,8_Mudstone_00003 8_mudstone.,8_Mudstone_00004 8_mudstone.,9_Congo_00001 9_congo.,9_Congo_00002 9_congo.,9_Congo_00003 9_congo.,9_Congo_00004 9_congo.,00001 Standard.,00002 Standard.,00003 Standard.,Standard_retest_00001 Standard_retest.,Standard_retest_00002 Standard_retest.,Standard_retest_00003 Standard_retest.
1245.39353673,0.3161207902076146,0.3624392664832171,0.2552258536491612,0.16004738644870892,0.15250688175387167,0.14175366856379867,0.09428664000375403,0.09339340828194896,0.33144128559276886,0.3426404600881875,0.3303186855535234,0.33220471939012874,0.2709812178566994,0.25064495323128116,0.2993021633465237,0.3049499718135789,0.3343233768660785,0.46759159958573143,0.5040793874542728,0.4102672975026012,0.415924047348141,0.4219659788140992,0.446355153539196,0.4103165132009213,0.35288556994871806,0.4569467673634991,0.20044394422024725,0.15502717769604202,0.12663201276446084,0.14485236758098988,0.38331466779455303,0.3141000311446374,0.2718363301211891,0.3327616791269378,0.38334730830072233,0.38229687539365953,0.3654126947570839,0.38080518642546846,0.11099563737940442,0.11909088438915405,0.10764622617665712,0.15484439924751392,0.12245988368001437,0.11143064131779627,0.12055741615593557,0.12326891149532145,1.0,1.0,0.4923866175749321,0.9944137686327759,0.992452988086453,0.9934256072788755
1250.80130588,0.3179138938799532,0.36435993244460024,0.2565780323507092,0.16094719037403696,0.15292861202143293,0.1421174117246943,0.09442487341178765,0.09349409114856302,0.33253696124055937,0.34372866043773725,0.3312887218519487,0.3332459034266318,0.2705680848373107,0.2502325702092096,0.29895808046955813,0.304500979817797,0.3365783813472265,0.46916658911760495,0.505785116120806,0.41173725025699043,0.4178402139846016,0.42262070256687817,0.44798504823993884,0.41114139323653576,0.3533210084014801,0.4586520361339583,0.2015507237227505,0.15575473286684513,0.127483379966772,0.14565099069540816,0.384478406089373,0.315062499776078,0.27269464997480714,0.3339197481448604,0.384059782903331,0.3831273713686312,0.36616897443913565,0.3814991095672249,0.11146664353622766,0.11958173227999547,0.10809030759827305,0.15535342984746406,0.12303012490098593,0.11193108345597136,0.12116864333011075,0.12382256689756212,1.0,1.0,0.4929089917738572,0.9942591932999302,0.9922667330018531,0.9935290930903954
1256.21247686,0.31982588939520773,0.36623910732944515,0.2578353253663289,0.16186449034647576,0.15335159492874956,0.14247669449176212,0.09452217793074241,0.0935847074762006,0.3336449013127946,0.34471887976571025,0.33227956326166097,0.3343005979471798,0.2701516459714474,0.24985070344605867,0.2985335829013857,0.3039895590718983,0.33833943545285683,0.4702807850239679,0.5070830022725824,0.41289269304251636,0.4197019435217783,0.4231537076179156,0.44956510736359134,0.4119032728490068,0.3537918526224008,0.4602317514338294,0.20261965475424534,0.1564671236315001,0.12833334625545811,0.14645770140890765,0.3856551628475942,0.3160379263380513,0.27349199798029067,0.33499623963655545,0.3848102088263369,0.38382080559836435,0.3668936807663537,0.3822903531186935,0.11191109531289219,0.12008224336547028,0.10857647195745831,0.15580111964352678,0.12358661352217236,0.11242682571965047,0.1217254048134243,0.12436523200693717,1.0,1.0,0.4933805191600403,0.994152516512649,0.9921171544929325,0.9933734305675906
1261.62708732,0.3217123214855719,0.3680288690514922,0.2590318141729741,0.16270993126160596,0.15378378048782476,0.14284413802631718,0.0946058556154035,0.09369704334569182,0.3347414392551634,0.3457166700425682,0.33321432941822515,0.3353553375188571,0.2696520422432816,0.2494577020032265,0.2981048212689958,0.30346829549163346,0.33964870471778313,0.47102436400728837,0.5080453324599654,0.41370928550679614,0.4213915476397572,0.4237266590405494,0.45110215419973404,0.41254537123887547,0.3541998683646797,0.4617409429920423,0.2037095949366284,0.15716525379419188,0.12916120095186273,0.14724147187650893,0.386720320154379,0.3170247035238367,0.2742597211198053,0.3360350804608695,0.3856389474706812,0.38452121300711545,0.3675610163853994,0.38307228297025236,0.11237850296764886,0.12052802315283023,0.10907566883098548,0.15627318349991057,0.12414579566159024,0.1129519246157215,0.12230049573330784,0.12487930494348189,1.0,1.0,0.49401486732921024,0.9938870173232092,0.9919057397851367,0.9932682115546331
1267.05580532,0.32358084621901245,0.3697606033422595,0.26019074214891436,0.16357465201133226,0.1542185910073857,0.14319960697499856,0.09470106907982327,0.09383360025102334,0.3358314704435419,0.3466753062375257,0.3341051775488161,0.33636862613765306,0.2691392375601176,0.2490307105666298,0.2976378452694769,0.30299547793841863,0.3407445623547803,0.47146714602177847,0.508907134234727,0.4143012141419102,0.4230750021452269,0.4242316400208045,0.45270982098399565,0.41312885627604323,0.35455595173399673,0.4633017154275917,0.20483529482647986,0.15788995799023217,0.1300064183412953,0.1480133983651768,0.3876907150788338,0.3179263690771444,0.2749909013237309,0.3370600833599759,0.386532095014206,0.3852302486949692,0.36823321372175943,0.38385899515790345,0.11283480099013316,0.1209350720302378,0.10955783462589853,0.15671239826394226,0.12471337968807127,0.11344250314162964,0.12288149944388017,0.12539577631946489,1.0,1.0,0.4944854452040808,0.9938600964715146,0.9919931266862418,0.9930940756550531
1272.49861965,0.325458221330602,0.3715164389201159,0.26136237144288244,0.16445089900682597,0.15470197632023835,0.14358912348132608,0.09479828845259984,0.09397702607614296,0.3369449835959813,0.3476716852060096,0.335072200134739,0.3373831364061008,0.26863779787047043,0.24874272243540657,0.2972117669336309,0.3025948513178243,0.34166207669369064,0.47183935778173813,0.5095457287748322,0.41479554688025494,0.424840370491164,0.42474769633462517,0.45430697960843147,0.4138536723767342,0.35489599355466706,0.4649239430071646,0.20598034666235765,0.158606936550812,0.13084514684659426,0.1487801594988315,0.3886219966141757,0.3187427201122875,0.27573964859628053,0.33812050790565146,0.3874179340272736,0.3859632840939093,0.3689326067001749,0.3845946052159986,0.11330217560712806,0.12133264000947386,0.11004747037381916,0.15713449241780109,0.12525830069104057,0.11392853022307957,0.12345371160201377,0.12594083753368,1.0,1.0,0.49502572969886627,0.993983470672868,0.9919911571058546,0.9931560329901388
1277.95551888,0.3273339039659231,0.37313380721614836,0.2626548282904965,0.1653837079989075,0.1551780649949012,0.14398918113495096,0.09488987150192194,0.09407647245465395,0.33805151232259073,0.3487242978417866,0.3361255550202521,0.3385680512495211,0.2682108592806163,0.24844682726850492,0.2967758299523374,0.30223078290536065,0.342067386888386,0.4721345330000146,0.5099406829777865,0.41521742339524015,0.42666949684945904,0.42530508506416104,0.4560537399682088,0.41462990001707867,0.35531963861413146,0.4666299576200121,0.20717211799610027,0.15933498983443256,0.1316880115595668,0.1495477289519108,0.3895827483800647,0.3195427545589011,0.27650883433306517,0.33912868240231187,0.38844833497715353,0.38674368000287823,0.36971437178278904,0.3852414209512418,0.11377751972558099,0.12180429256820546,0.11056977264018547,0.1576146475212035,0.12586983658698814,0.11444790009986139,0.12404457302684525,0.12656170358015714,1.0,1.0,0.49556448234718853,0.9941013353174267,0.9921137104249694,0.9931983649501488
1283.42649147,0.32926107620463907,0.37479437240417107,0.26400117692421576,0.16634778443052337,0.15565715749229259,0.14439210622417217,0.0949832310092669,0.09415826987302787,0.3392606321844387,0.34992731091369766,0.33721517183638877,0.33972040078119564,0.26783078095622176,0.24824653359414847,0.2964103283366824,0.301990361447484,0.3421761594231043,0.4722487934373217,0.5100814729447081,0.4154195186031023,0.4282888559637647,0.42593455179003004,0.4577069091644192,0.4154030741844521,0.35579613102278157,0.46830234578929636,0.20841220190724058,0.16005585939924197,0.13253770631486692,0.15033303288031655,0.39043066417917,0.32037785122260576,0.2771583278742206,0.3400185030625276,0.3893431517224312,0.3876172772783217,0.37048426715203164,0.3860008389251954,0.11424945681955942,0.12229178085625332,0.11111134836188155,0.1581589747187301,0.12649715165959163,0.11495597263171349,0.12462711753502301,0.12718585200085525,1.0,1.0,0.4961837735191973,0.994290894012809,0.992148856073515,0.9932682882953913
1288.9115257,0.3311015097594948,0.3765328162072785,0.26527242933074446,0.16723974888209062,0.15616166398018225,0.14478936437542506,0.0950580936999091,0.09426193697681888,0.34048972782805664,0.351188518080704,0.33836932643271544,0.3409365315253512,0.2674757301923931,0.24801840522510354,0.29601807361703836,0.301633729722047,0.3418304150230991,0.47208669520169555,0.5101358594869894,0.4153620368000343,0.4298526859675504,0.4264196044968392,0.45922568966262295,0.41614260032494144,0.35626543857844895,0.4698299629049249,0.2096686394950679,0.16080199892836045,0.1333640156681872,0.15107870615475502,0.3913676552437481,0.3211339162148486,0.27782451391573343,0.34084658839034093,0.39017950191850165,0.38847633078345,0.37129967939597164,0.38673224710871557,0.1147325353959976,0.12274019737948637,0.11159172446941107,0.15865919349282487,0.12710836233711512,0.11544578981279494,0.12519110706650846,0.12778115445352609,1.0,1.0,0.49674871947192484,0.9944846599595087,0.9921381832202883,0.9934158543750203
1294.41060969,0.33291999049447546,0.3783020649472711,0.26661859826004325,0.16802609935616225,0.1566667628427583,0.14518269126589822,0.09516088443397706,0.09440089684398109,0.3417489997971704,0.35255556065043436,0.3395308099863129,0.34219261762854886,0.26712371147663716,0.24775832599200973,0.2957247475532493,0.301197132192534,0.34118708093549266,0.4715905532935693,0.5098158854881264,0.41505400824753513,0.43147201667172014,0.4269263197190982,0.46056961148162745,0.41682113408617555,0.356692300552764,0.47115183943541883,0.2108813923360462,0.16153062336970753,0.13419804057997844,0.15184562098338159,0.3922085555201464,0.3219031419297967,0.2784126279438265,0.34161825407101903,0.3909847276786833,0.38938453844674575,0.371996984927673,0.38762556479178656,0.1152300619498148,0.12324063883965376,0.1120197363258923,0.15910168282298662,0.1277097574357764,0.11595679319091579,0.125764208240962,0.12836883463759038,1.0,1.0,0.49728269251404894,0.9944832787206407,0.9921201732104131,0.9934811552476223
