Sample ID,2_Atacama_Red_00004
Species,2_Atacama_Red
Subgroup,2_Atacama_Red
Group,2_Atacama_Red
Library,EXM_MRS
Sample Description,Sample 2
Date Added,"02/20/2024,02/20/2024"
Viewing Geometry,
Other Information,"Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,40,50,30 integration times; 100,100 scans averaged"
Composition,
Resolution,2.8nm@700nm 8nm@1500nm 6nm@2100nm
Grain Size,
Locality,
Database of Origin,ExoMars Mission Reference Samples
Wavelength,Response
500.0,0.09267500000000001
501.0,0.092971
502.0,0.09325900000000001
503.0,0.093518
504.0,0.09377
505.0,0.094024
506.0,0.094278
507.0,0.094538
508.0,0.094803
509.0,0.09508100000000001
510.0,0.09535500000000001
511.0,0.095621
512.0,0.09588200000000001
513.0,0.096167
514.0,0.096471
515.0,0.09673400000000001
516.0,0.096989
517.0,0.09725199999999999
518.0,0.097549
519.0,0.097859
520.0,0.09818199999999999
521.0,0.098527
522.0,0.09887399999999999
523.0,0.09922700000000001
524.0,0.09960000000000001
525.0,0.099985
526.0,0.10038399999999999
527.0,0.100806
528.0,0.10120599999999999
529.0,0.101626
530.0,0.102127
531.0,0.10259399999999999
532.0,0.10306699999999999
533.0,0.103576
534.0,0.104095
535.0,0.104663
536.0,0.10530400000000001
537.0,0.10592800000000001
538.0,0.10656
539.0,0.10721
540.0,0.107913
541.0,0.108597
542.0,0.10924400000000001
543.0,0.10986599999999999
544.0,0.11057499999999999
545.0,0.111367
546.0,0.11213100000000001
547.0,0.112929
548.0,0.113783
549.0,0.11474000000000001
550.0,0.11566599999999999
551.0,0.11661300000000001
552.0,0.117666
553.0,0.118705
554.0,0.11975799999999999
555.0,0.120847
556.0,0.12202199999999999
557.0,0.12320700000000001
558.0,0.124374
559.0,0.125666
560.0,0.12694
561.0,0.128192
562.0,0.12961
563.0,0.13097899999999998
564.0,0.132305
565.0,0.13366
566.0,0.135132
567.0,0.136654
568.0,0.138088
569.0,0.13958299999999998
570.0,0.141081
571.0,0.142522
572.0,0.14408300000000002
573.0,0.14565799999999998
574.0,0.147201
575.0,0.148848
576.0,0.15049300000000002
577.0,0.152073
578.0,0.153504
579.0,0.155019
580.0,0.156555
581.0,0.157949
582.0,0.159467
583.0,0.161003
584.0,0.16244399999999998
585.0,0.163942
586.0,0.165469
587.0,0.166986
588.0,0.16837
589.0,0.16978400000000002
590.0,0.171239
591.0,0.172662
592.0,0.17392
593.0,0.175138
594.0,0.17648499999999998
595.0,0.177703
596.0,0.1789
597.0,0.180148
598.0,0.181339
599.0,0.182501
600.0,0.183629
601.0,0.18468800000000002
602.0,0.185761
603.0,0.18683700000000003
604.0,0.18787900000000002
605.0,0.18886199999999997
606.0,0.189819
607.0,0.190778
608.0,0.19176500000000002
609.0,0.192722
610.0,0.193644
611.0,0.194586
612.0,0.19543
613.0,0.19624
614.0,0.197106
615.0,0.197963
616.0,0.198823
617.0,0.19968599999999997
618.0,0.20051200000000002
619.0,0.201253
620.0,0.201936
621.0,0.202623
622.0,0.20336300000000002
623.0,0.204125
624.0,0.204874
625.0,0.205576
626.0,0.206246
627.0,0.206885
628.0,0.207481
629.0,0.208082
630.0,0.20867899999999998
631.0,0.20925999999999997
632.0,0.209928
633.0,0.210615
634.0,0.211285
635.0,0.211959
636.0,0.212591
637.0,0.21317799999999998
638.0,0.213729
639.0,0.214309
640.0,0.214894
641.0,0.21547899999999998
642.0,0.216122
643.0,0.216783
644.0,0.217438
645.0,0.21806599999999998
646.0,0.218688
647.0,0.219281
648.0,0.219844
649.0,0.22044899999999998
650.0,0.221043
651.0,0.22163699999999997
652.0,0.222256
653.0,0.22285799999999997
654.0,0.223426
655.0,0.223977
656.0,0.224571
657.0,0.22515000000000002
658.0,0.225737
659.0,0.226355
660.0,0.226908
661.0,0.227464
662.0,0.22805399999999998
663.0,0.228705
664.0,0.229355
665.0,0.229966
666.0,0.23052499999999998
667.0,0.23108599999999999
668.0,0.23166399999999998
669.0,0.232269
670.0,0.232909
671.0,0.233548
672.0,0.234115
673.0,0.234619
674.0,0.235164
675.0,0.235734
676.0,0.236353
677.0,0.23703700000000003
678.0,0.23767600000000003
679.0,0.23831
680.0,0.238947
681.0,0.23959399999999997
682.0,0.24018
683.0,0.24073
684.0,0.24127500000000002
685.0,0.241877
686.0,0.242577
687.0,0.243312
688.0,0.244025
689.0,0.244717
690.0,0.24539000000000002
691.0,0.246035
692.0,0.24665299999999998
693.0,0.247341
694.0,0.248
695.0,0.248639
696.0,0.249311
697.0,0.249944
698.0,0.250616
699.0,0.25130199999999997
700.0,0.251895
701.0,0.252506
702.0,0.253137
703.0,0.253784
704.0,0.254423
705.0,0.255073
706.0,0.25571699999999997
707.0,0.25634799999999996
708.0,0.256999
709.0,0.25766500000000003
710.0,0.258348
711.0,0.259041
712.0,0.259708
713.0,0.260346
714.0,0.26100999999999996
715.0,0.261739
716.0,0.262393
717.0,0.263
718.0,0.263606
719.0,0.264249
720.0,0.264874
721.0,0.26551400000000003
722.0,0.266152
723.0,0.26675
724.0,0.267263
725.0,0.267747
726.0,0.268275
727.0,0.268913
728.0,0.269573
729.0,0.270173
730.0,0.27075099999999996
731.0,0.27135200000000004
732.0,0.271965
733.0,0.27250800000000003
734.0,0.27302499999999996
735.0,0.27356
736.0,0.27411
737.0,0.27472799999999997
738.0,0.275329
739.0,0.275843
740.0,0.276285
741.0,0.27674299999999996
742.0,0.277241
743.0,0.27776599999999996
744.0,0.27825700000000003
745.0,0.27875900000000003
746.0,0.279162
747.0,0.27949999999999997
748.0,0.279951
749.0,0.280485
750.0,0.280929
751.0,0.281316
752.0,0.28173200000000004
753.0,0.28201
754.0,0.282426
755.0,0.282851
756.0,0.283215
757.0,0.283753
758.0,0.284199
759.0,0.284559
760.0,0.284854
761.0,0.28511600000000004
762.0,0.285533
763.0,0.285912
764.0,0.286231
765.0,0.286534
766.0,0.28685
767.0,0.28715
768.0,0.287443
769.0,0.287733
770.0,0.288005
771.0,0.28825500000000004
772.0,0.288457
773.0,0.28861000000000003
774.0,0.288738
775.0,0.288919
776.0,0.289177
777.0,0.289436
778.0,0.289652
779.0,0.289816
780.0,0.289954
781.0,0.29023299999999996
782.0,0.290497
783.0,0.290647
784.0,0.290846
785.0,0.290947
786.0,0.29107299999999997
787.0,0.29122
788.0,0.291337
789.0,0.291426
790.0,0.291511
791.0,0.291654
792.0,0.291804
793.0,0.29184
794.0,0.291801
795.0,0.291817
796.0,0.29188
797.0,0.292011
798.0,0.292221
799.0,0.292331
800.0,0.292491
801.0,0.292634
802.0,0.292727
803.0,0.292788
804.0,0.292847
805.0,0.292911
806.0,0.2929
807.0,0.29289000000000004
808.0,0.293005
809.0,0.292973
810.0,0.29309799999999997
811.0,0.293227
812.0,0.293298
813.0,0.293338
814.0,0.293467
815.0,0.29351700000000003
816.0,0.293537
817.0,0.29351
818.0,0.29347
819.0,0.293557
820.0,0.29357700000000003
821.0,0.293565
822.0,0.293555
823.0,0.293595
824.0,0.293694
825.0,0.293666
826.0,0.29375599999999996
827.0,0.293812
828.0,0.29374300000000003
829.0,0.29362
830.0,0.293618
831.0,0.29342
832.0,0.29326
833.0,0.293311
834.0,0.29341100000000003
835.0,0.293394
836.0,0.2934
837.0,0.293528
838.0,0.293674
839.0,0.293717
840.0,0.293664
841.0,0.293595
842.0,0.29357700000000003
843.0,0.293689
844.0,0.293806
845.0,0.293915
846.0,0.293897
847.0,0.293793
848.0,0.293789
849.0,0.293956
850.0,0.29411000000000004
851.0,0.294107
852.0,0.294192
853.0,0.294341
854.0,0.294424
855.0,0.294429
856.0,0.294379
857.0,0.294399
858.0,0.294481
859.0,0.294546
860.0,0.294588
861.0,0.294682
862.0,0.294894
863.0,0.29489699999999996
864.0,0.294979
865.0,0.295092
866.0,0.29519100000000004
867.0,0.295327
868.0,0.295492
869.0,0.295542
870.0,0.295521
871.0,0.29568300000000003
872.0,0.295809
873.0,0.296091
874.0,0.296224
875.0,0.296254
876.0,0.29639
877.0,0.296549
878.0,0.296559
879.0,0.296725
880.0,0.296907
881.0,0.296982
882.0,0.297222
883.0,0.29739699999999997
884.0,0.29739699999999997
885.0,0.297497
886.0,0.297724
887.0,0.297796
888.0,0.297808
889.0,0.297998
890.0,0.298173
891.0,0.298406
892.0,0.29864
893.0,0.298927
894.0,0.299291
895.0,0.299502
896.0,0.299726
897.0,0.299947
898.0,0.300116
899.0,0.300361
900.0,0.30052
901.0,0.300668
902.0,0.300771
903.0,0.301032
904.0,0.3014
905.0,0.301645
906.0,0.30188
907.0,0.302085
908.0,0.302428
909.0,0.302759
910.0,0.303168
911.0,0.30339700000000003
912.0,0.303706
913.0,0.303935
914.0,0.304172
915.0,0.304375
916.0,0.304642
917.0,0.304805
918.0,0.304977
919.0,0.305156
920.0,0.30509000000000003
921.0,0.30531600000000003
922.0,0.305473
923.0,0.305773
924.0,0.305928
925.0,0.30625
926.0,0.306837
927.0,0.307307
928.0,0.307572
929.0,0.307773
930.0,0.307896
931.0,0.308276
932.0,0.308273
933.0,0.308435
934.0,0.308877
935.0,0.309473
936.0,0.309858
937.0,0.30993200000000004
938.0,0.309957
939.0,0.310098
940.0,0.31031600000000004
941.0,0.31064800000000004
942.0,0.31095300000000003
943.0,0.31132899999999997
944.0,0.311755
945.0,0.311979
946.0,0.31235399999999997
947.0,0.312608
948.0,0.312511
949.0,0.312781
950.0,0.313006
951.0,0.313292
952.0,0.31365
953.0,0.314101
954.0,0.31440999999999997
955.0,0.31455500000000003
956.0,0.314734
957.0,0.31502800000000003
958.0,0.315598
959.0,0.315457
960.0,0.316068
961.0,0.316301
962.0,0.31641400000000003
963.0,0.317077
964.0,0.317301
965.0,0.317313
966.0,0.316957
967.0,0.317191
968.0,0.317666
969.0,0.317786
970.0,0.318301
971.0,0.318826
972.0,0.318328
973.0,0.319007
974.0,0.319289
975.0,0.319375
976.0,0.32007599999999997
977.0,0.31943
978.0,0.319534
979.0,0.319636
980.0,0.31999099999999997
981.0,0.320131
982.0,0.32034999999999997
983.0,0.32059899999999997
984.0,0.320832
985.0,0.32104900000000003
986.0,0.321251
987.0,0.32143700000000003
988.0,0.321607
989.0,0.32176099999999996
990.0,0.32189999999999996
991.0,0.322023
992.0,0.32213099999999995
993.0,0.322223
994.0,0.322299
995.0,0.322359
996.0,0.322412
997.0,0.32246600000000003
998.0,0.32252000000000003
999.0,0.322573
1000.0,0.322627
1001.0,0.322681
1002.0,0.322733
1003.0,0.32278300000000004
1004.0,0.322835
1005.0,0.322893
1006.0,0.322964
1007.0,0.323047
1008.0,0.323129
1009.0,0.32319499999999995
1010.0,0.32323300000000005
1011.0,0.32325200000000004
1012.0,0.323267
1013.0,0.32329500000000005
1014.0,0.323346
1015.0,0.32341200000000003
1016.0,0.323478
1017.0,0.323532
