Sample ID,10_Otago_00001
Species,10_Otago
Subgroup,10_Otago
Group,10_Otago
Library,EXM_MRS
Sample Description,Sample 10
Date Added,"02/20/2024,02/20/2024"
Viewing Geometry,
Other Information,"Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged"
Composition,
Resolution,2.8nm@700nm 8nm@1500nm 6nm@2100nm
Grain Size,
Locality,
Database of Origin,ExoMars Mission Reference Samples
Wavelength,Response
1001.0,0.273671
1002.0,0.273714
1003.0,0.273758
1004.0,0.273802
1005.0,0.273843
1006.0,0.27388
1007.0,0.273916
1008.0,0.273949
1009.0,0.273983
1010.0,0.274013
1011.0,0.27404
1012.0,0.274071
1013.0,0.274114
1014.0,0.274178
1015.0,0.274257
1016.0,0.274339
1017.0,0.27441099999999996
1018.0,0.274476
1019.0,0.274538
1020.0,0.274587
1021.0,0.274611
1022.0,0.27459700000000004
1023.0,0.274554
1024.0,0.27450600000000003
1025.0,0.274475
1026.0,0.274461
1027.0,0.274454
1028.0,0.274458
1029.0,0.274476
1030.0,0.27452000000000004
1031.0,0.274581
1032.0,0.274637
1033.0,0.274665
1034.0,0.27466
1035.0,0.274636
1036.0,0.27460999999999997
1037.0,0.274596
1038.0,0.274593
1039.0,0.274595
1040.0,0.274601
1041.0,0.27460999999999997
1042.0,0.274627
1043.0,0.27464700000000003
1044.0,0.274666
1045.0,0.274678
1046.0,0.274678
1047.0,0.27467600000000003
1048.0,0.274685
1049.0,0.27472
1050.0,0.27478
1051.0,0.274854
1052.0,0.274932
1053.0,0.27500399999999997
1054.0,0.27508
1055.0,0.275155
1056.0,0.27521999999999996
1057.0,0.275266
1058.0,0.275295
1059.0,0.275316
1060.0,0.275337
1061.0,0.275364
1062.0,0.275391
1063.0,0.27542
1064.0,0.275453
1065.0,0.275491
1066.0,0.275535
1067.0,0.275582
1068.0,0.275627
1069.0,0.275672
1070.0,0.275717
1071.0,0.27576
1072.0,0.275798
1073.0,0.275825
1074.0,0.275844
1075.0,0.275864
1076.0,0.275893
1077.0,0.275934
1078.0,0.275981
1079.0,0.276037
1080.0,0.276103
1081.0,0.276175
1082.0,0.276256
1083.0,0.276347
1084.0,0.276455
1085.0,0.276589
1086.0,0.27674
1087.0,0.27689
1088.0,0.27701899999999996
1089.0,0.277122
1090.0,0.277212
1091.0,0.27730499999999997
1092.0,0.277416
1093.0,0.277549
1094.0,0.277692
1095.0,0.277832
1096.0,0.277958
1097.0,0.27807
1098.0,0.278175
1099.0,0.278278
1100.0,0.278382
1101.0,0.27848500000000004
1102.0,0.278587
1103.0,0.278692
1104.0,0.278802
1105.0,0.278914
1106.0,0.27903
1107.0,0.279153
1108.0,0.279283
1109.0,0.279418
1110.0,0.27956
1111.0,0.279711
1112.0,0.279875
1113.0,0.280051
1114.0,0.280235
1115.0,0.280424
1116.0,0.280621
1117.0,0.280829
