Sample ID,10_Otago_00003
Species,10_Otago
Subgroup,10_Otago
Group,10_Otago
Library,EXM_MRS
Sample Description,Sample 10
Date Added,"02/20/2024,02/20/2024"
Viewing Geometry,
Other Information,"Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,40,50,30 integration times; 100,100 scans averaged"
Composition,
Resolution,2.8nm@700nm 8nm@1500nm 6nm@2100nm
Grain Size,
Locality,
Database of Origin,ExoMars Mission Reference Samples
Wavelength,Response
350.0,0.143699
351.0,0.143236
352.0,0.143029
353.0,0.14288299999999998
354.0,0.142835
355.0,0.142949
356.0,0.142929
357.0,0.142793
358.0,0.142641
359.0,0.14244
360.0,0.14219400000000001
361.0,0.141953
362.0,0.141635
363.0,0.141218
364.0,0.14083500000000002
365.0,0.14052699999999999
366.0,0.140332
367.0,0.140427
368.0,0.140679
369.0,0.140898
370.0,0.141205
371.0,0.141553
372.0,0.141809
373.0,0.142103
374.0,0.142439
375.0,0.142761
376.0,0.142958
377.0,0.142992
378.0,0.143018
379.0,0.143039
380.0,0.143066
381.0,0.143231
382.0,0.1435
383.0,0.143819
384.0,0.144225
385.0,0.144715
386.0,0.145262
387.0,0.145935
388.0,0.146693
389.0,0.147279
390.0,0.147875
391.0,0.148528
392.0,0.149216
393.0,0.149915
394.0,0.150615
395.0,0.15141
396.0,0.15219
397.0,0.15287800000000001
398.0,0.153373
399.0,0.153752
400.0,0.154142
401.0,0.1543
402.0,0.154305
403.0,0.154357
404.0,0.15454
405.0,0.154865
406.0,0.155366
407.0,0.15595900000000001
408.0,0.156606
409.0,0.157231
410.0,0.157883
411.0,0.15857200000000002
412.0,0.159204
413.0,0.159884
414.0,0.16067
415.0,0.16135100000000002
416.0,0.162018
417.0,0.162752
418.0,0.16351500000000002
419.0,0.164243
420.0,0.16485
421.0,0.16544799999999998
422.0,0.166066
423.0,0.16676400000000002
424.0,0.167437
425.0,0.168116
426.0,0.168925
427.0,0.169785
428.0,0.170659
429.0,0.17147600000000002
430.0,0.17230499999999999
431.0,0.17316800000000002
432.0,0.174103
433.0,0.175074
434.0,0.176054
435.0,0.176937
436.0,0.17781400000000003
437.0,0.178734
438.0,0.17959
439.0,0.180419
440.0,0.18124400000000002
441.0,0.18198599999999998
442.0,0.182682
443.0,0.183368
