,CAGR01 Calcite.,F1CC06B Magnesite.,HS433 Halite.,LAZE03 Prehnite.,bkr1jb329c Siliceous-sinter.,GDS26 Epidote.,GDS1 Analcime.,NBPP22 Clinopyroxene.,LAPP47B Orthopyroxene.,LAPO05 Fayalite.,LASC02 Forsterite.,GDS27 Hematite.,NCLS04 Plagioclase.,LACL14 Chlorite.,LAKA04 Kaolinite.,LAIL02 Illite.,GDS106 Margarite.,c1cy29 Vermiculite.,LALZ01 Serpentine.,LAMO02 Montmorillonite.,NCJB26 Nontronite.,LASA58 Saponite.,GDS23 Talc.,F1CC08B Alunite.,GDS145 Bassanite.,LASF41A Gypsum.,LASF21A Jarosite.,F1CC15 Kieserite.,799F366 Mg-sulphate.
1911.98008732,0.9879167745983696,0.9284954680132667,0.965047464885356,0.9810296474685344,0.6080787351705784,0.9969178177048377,0.4434516022374717,0.8936323510940484,0.3283731652616551,0.9986308628781938,0.9931838641615365,0.9506164073827988,0.9738112857829936,0.9813897324643662,0.9641203114718386,0.9362704516059405,0.9872700900461728,0.8098024184962339,0.9470494133978016,0.7241131816350383,0.8269100076270046,0.5568127220432721,0.9265950224262076,0.9302470517568252,0.6021034459080642,0.6894213282895459,0.9959773099762039,0.5605419680988525,0.7742594851736219
1920.75997429,0.9884958032786998,0.914956035132982,0.9545832236509999,0.978913700411355,0.6130613676260749,0.9994880763844246,0.45879863350287675,0.8804143755191399,0.331130319534857,0.9940780578162228,0.9947324071050248,0.9544517693401372,0.9727400721150198,0.9889600252777659,0.9604883963333453,0.9371574984358464,0.9885676183375082,0.8008499250084067,0.9418738193694456,0.7536093144653112,0.8355566530342902,0.5741325152185375,0.9315156346013983,0.9137781709470693,0.5550736601047226,0.6295319036294285,0.9907704004831976,0.5249264255655849,0.728793904558436
1929.54914243,0.9871234728447145,0.9010464054047959,0.9596415043059499,0.9721368794174783,0.6247675979311672,0.9885593762395596,0.5103632255837481,0.8845096357745343,0.3359815607361739,0.9962903825212692,0.9905074945853775,0.9521266260178796,0.9746339621151504,0.9813895366850093,0.956138609117377,0.9385439605764438,0.9838609595580472,0.8011577463233891,0.942461126001134,0.7919311393447194,0.85853320650994,0.6032290050068061,0.9417662025560702,0.903618971805715,0.5570375207138871,0.5663506013343087,0.9892649211595768,0.49843303223327234,0.7013449236502399
1938.35679058,0.9936161788226727,0.8961224070467635,0.9606556074576375,0.9742919176936398,0.6378389777228896,0.9740354010130683,0.568433691756271,0.8697688045898078,0.3398688793347746,0.9928769782234739,0.9882321953694416,0.9536326314689405,0.9709982834266011,0.980789111453093,0.9649754416288613,0.9501532182776724,0.9812569951943189,0.8038462730629665,0.9386170645875686,0.8173364474368792,0.8773032310715355,0.6272786304074998,0.9461928979437181,0.9010096686947546,0.5906394413390366,0.5211025132591799,0.988188269178111,0.4778113816758716,0.6950950703541767
1947.18286652,0.9907322142297648,0.8889891897586076,0.9572136607549394,0.9785546004514929,0.6583622291705296,0.9647840263472763,0.6282092356309771,0.868885164962756,0.34261105030670336,0.9928751247887294,0.9879395705000225,0.9565396279495804,0.9678827047187437,0.97473727665532,0.9733624770530228,0.9497783532105519,0.9832332411578877,0.8090384352342642,0.9378176918924565,0.8319232115220556,0.8925274165583923,0.6488318906162862,0.9480463492922702,0.8914941745600158,0.6253659767052707,0.5040621989255988,0.9827631175202526,0.4586396342749041,0.6959090077617693
1956.02731804,0.9913797502724655,0.8802213288763342,0.9604545767194058,0.9755209555809287,0.6765299950181748,0.9766760818941044,0.6740112082541388,0.855837698212135,0.347065581085377,0.9955161488107033,0.990697918745713,0.9507640334628867,0.9744325139164579,0.9716972215117848,0.9696588056176093,0.9494777028990662,0.9751534496960912,0.8188598174245266,0.9404102269942619,0.8404456987847521,0.9045735439435347,0.6713940473164693,0.9595844033448518,0.8912515215769964,0.6641339704251041,0.5199988487285931,0.9769629168876316,0.44121503409891294,0.7083786443329122
1964.89009294,0.9827660096267968,0.8830901645776432,0.9653753200898668,0.9831541178054816,0.6967253165167928,0.9861609677912255,0.7305595286997447,0.8491511306225629,0.3526456560244597,1.0,0.9916460876393318,0.950319959201691,0.9749963601559061,0.9746970209239432,0.9779986280299057,0.9616201691554751,0.9762929038401188,0.8199427064872267,0.9485278831798343,0.8594761185617675,0.9134753417487068,0.684376807897416,0.9670393427709324,0.8918072095197491,0.7039093258348714,0.5521029387160096,0.9910170870582538,0.4232973760120057,0.7248992880579975
1973.77113898,0.9896553534110916,0.880682673758264,0.9569753902664434,0.9833980110809187,0.7239215343735741,0.9975735947143175,0.7770642799624109,0.8425913646967922,0.3605919595449096,0.985952639856953,0.9865456588969524,0.9617381810846101,0.9694996842039345,0.9725351997491973,0.9878948854882948,0.9630866432553846,0.9754702236885214,0.8298373329402217,0.9419959274682403,0.8688533337448423,0.9244557554823438,0.7083707070495824,0.9691675056709979,0.8910157340084724,0.7402845302862107,0.5806805986597245,0.9858841034520864,0.4197276363137254,0.7439142826878574
1982.67040395,0.9869468272855948,0.8765402623717009,0.9630976625694337,0.981782515591069,0.7480265311647014,0.9994837477899798,0.8209983806235528,0.830832427613751,0.36634412510323927,0.9900172543166602,0.9859579484103405,0.9566723046199668,0.9684908045364904,0.9715317708298955,0.9873745192776731,0.9669467003757029,0.9709808381569186,0.8381716253580951,0.9413326362031351,0.8795315942111886,0.9332606881764092,0.7317483345938679,0.971260033300037,0.884203627603164,0.7754747850192892,0.6166527471674448,0.9933460143171959,0.4173852122190692,0.7616366119173006
1991.57932378,0.987589003051106,0.8825808155232207,0.9557779535409683,0.987729887643083,0.7779404353563649,0.9980880549689554,0.8496678652705633,0.8304118570004707,0.3738341575506915,0.9957130499605882,0.9837104272518842,0.9598347339200437,0.9730186549086111,0.9717426583572972,0.9933507154119449,0.971044150819291,0.9705851857632178,0.8537572894883375,0.953971388174662,0.9006208196732691,0.93997809764138,0.7587257616950183,0.9634902769040191,0.8767287113813703,0.812611086344607,0.6609591234198926,0.993132563388991,0.4250425374323453,0.7776715517091494
