,CAGR01 Calcite,F1CC06B Magnesite,HS433 Halite,LAZE03 Prehnite,bkr1jb329c Siliceous-sinter,GDS26 Epidote,GDS1 Analcime,NBPP22 Clinopyroxene,LAPP47B Orthopyroxene,LAPO05 Fayalite,LASC02 Forsterite,GDS27 Hematite,NCLS04 Plagioclase,LACL14 Chlorite,LAKA04 Kaolinite,LAIL02 Illite,GDS106 Margarite,c1cy29 Vermiculite,LALZ01 Serpentine,LAMO02 Montmorillonite,NCJB26 Nontronite,LASA58 Saponite,GDS23 Talc,F1CC08B Alunite,GDS145 Bassanite,LASF41A Gypsum,LASF21A Jarosite,F1CC15 Kieserite,799F366 Mg-sulphate
1538.90978084,0.9979955942924252,0.9594989419224861,0.9962745722230499,0.9935520491280524,0.938512453951959,0.8455766167493196,0.9459385135933409,0.9999276352628532,0.629332136957842,0.8618298127995809,0.9317106041154368,0.99889114193496,0.9534912074926966,0.9954734748572149,0.992779151904753,0.9963392251769706,0.9872176019715573,0.9647093717050156,0.9995389301493711,0.9883651038779935,0.9714039377083735,0.9387441194694947,0.9840689121813028,0.9614186068591734,0.9311118837341094,0.843592685053068,0.9715155064729023,0.6349150403179182,0.944391757141376
1544.8387776,0.9979705099623496,0.9610399877848742,0.996540017637145,0.9942203680649757,0.9442251208027529,0.8436974655554376,0.9524378050013345,1.0,0.6183649339860408,0.8682571413782314,0.9379953817252226,0.999557440902798,0.9558111163660632,0.9957016542100002,0.9941293652902481,0.997055860600549,0.9880069895385383,0.9679829592928352,0.9996240052577573,0.9897358734150964,0.9736163550025765,0.9445789961294099,0.9862531076816389,0.9673565312932932,0.9360502137980165,0.8508245024998871,0.9713397350804035,0.6297152120224646,0.9479665055646055
1550.78660554,0.9978990881558729,0.9630037804831583,0.9968416183076095,0.9953102896131049,0.9495189927708454,0.8479876215700269,0.9586565309009961,1.0,0.6074071065790329,0.8744949581243053,0.9440651076764158,0.9995748714066259,0.9575924660469917,0.9960099475529456,0.9949691819402183,0.9973921723956496,0.9893035078391366,0.9707205680647039,0.9995906845343036,0.9898983865419997,0.9756436883029846,0.9498010915024981,0.9891644361781531,0.9720643614310633,0.9427731118038104,0.8626730608203227,0.9718797380712637,0.6281075814884505,0.9513270205237279
1556.75329898,0.9979550811786413,0.9651192290837806,0.9973300987492705,0.9961988319337676,0.9544166178085552,0.8560690209892335,0.9639722833264995,0.9998362561666668,0.5964282393251528,0.8804531690448284,0.9499257043536828,0.9997194131778848,0.9591753586553209,0.9962765897214971,0.9952204256439364,0.9976297306421157,0.9905717421713502,0.9726640543150664,0.999564143897309,0.9905553975873475,0.9776927063186626,0.9546695258653277,0.9913348005148632,0.9759496685483638,0.9498340395650157,0.8766288758521068,0.9733356208291979,0.6296266800310923,0.9544591633469629
1562.73889214,0.9981234115825197,0.9670734518395736,0.9979078245854005,0.996925566383837,0.9590176457726948,0.8649870996009104,0.968439350165118,0.9999172699205792,0.5856117592132067,0.8857910485183553,0.955439203741548,1.0,0.9609998129508166,0.9963846451683998,0.9959006730805016,0.9979310568780247,0.9912166035356935,0.9741645935551108,0.9998215146780596,0.9914976517911777,0.9797410468214942,0.9596153227693112,0.9926335873818686,0.9790406980942978,0.9563387326145205,0.8897392296098867,0.975996304483802,0.6320812608574671,0.9574465319704017
1568.7434192,0.9981141353531713,0.9691991791702579,0.9975942918257362,0.9974821134799136,0.9632387873045242,0.8730383111418552,0.9723206329851576,1.0,0.5749936313568037,0.891050555501429,0.9605576854481505,0.9998100867675379,0.9624473749741568,0.9966803045347138,0.9967629503530763,0.9980596242669075,0.9915179340780763,0.9758289853485433,1.0,0.9931472741854029,0.9817315724359846,0.9640828602800473,0.9934536031774011,0.9813551370785343,0.9621571976273601,0.9010354682782332,0.9789636969430804,0.6340798918367454,0.960342020675757
1574.76691423,0.9979618610663901,0.9715184061866438,0.9970671192394137,0.9979433693852932,0.9671087042476415,0.8801030681806857,0.9761987060987872,1.0,0.5642921820675352,0.8966751304433656,0.9655220035582879,0.9996554208240485,0.9638408469070917,0.9969751321169975,0.9974023944457151,0.9984894151901637,0.9923969358680341,0.977755091761666,1.0,0.9947727527959048,0.9834831659862056,0.9677349850456631,0.9942061484748251,0.9832467490413617,0.9673402502051355,0.9106660299401584,0.9819972772130239,0.635108086624011,0.9630998792795591
1580.80672696,0.9978281864544767,0.9736025148382658,0.997256238130527,0.9982156374269429,0.9707672014022791,0.8867106073473623,0.9802966641748675,1.0,0.5537829382959556,0.9022591922039421,0.9702193812133099,0.9998451993542625,0.9653003037172088,0.9976339935317774,0.9980884583777101,0.9992679295187089,0.9935893158006764,0.979712075296467,1.0,0.9951598618195677,0.9850806611068834,0.9712675596938412,0.9948404784296404,0.984684076382211,0.9717109977291147,0.9198003150253056,0.9846672426757337,0.6351482592578543,0.9657278421954836
1586.85843732,0.9979050684869711,0.9754358754767273,0.9977983999859309,0.9985184308060577,0.9741572505978782,0.8929536115155423,0.9843084617703313,1.0,0.5436244553371644,0.9078971912611382,0.9744424467553793,0.9999527532782744,0.9665655007251591,0.9983597944119893,0.9982660422599571,0.9996016251462441,0.9947995703473101,0.9814203544061884,0.99988140009263,0.9958540262162696,0.9864952376780781,0.9750337023157021,0.9951551399346734,0.9858768363015908,0.9751531325147751,0.9283046224929284,0.9872351176958276,0.6342930239399145,0.9683137841143938
1592.92202448,0.9983823572627922,0.9772117080950117,0.9978120432449922,0.9987906888548173,0.977291911081161,0.8985406728466492,0.987395575349507,1.0,0.533593224051564,0.9136375240934944,0.9781182143461301,0.999864914577819,0.96789662826537,0.9987644701841305,0.9987454797546537,0.9996744659920754,0.9958954784421612,0.9831788783912644,0.9996381063522626,0.9967443807127343,0.9878074008889893,0.9785634882660762,0.9953513475266056,0.9872822075261266,0.9785706478317643,0.9362273340959895,0.9898861363303528,0.6330208407282977,0.9708008148999816
1598.99746754,0.9992144628908127,0.9789738167350428,0.9971174213652892,0.9985093492464373,0.9801918752115246,0.9034324982267032,0.9893297289486529,1.0,0.5235718835435362,0.9191210838260211,0.981548157562255,0.9996521656545492,0.969604360947654,0.9993184117752889,0.9993603529380646,0.9995898075109363,0.9964676512493673,0.9848043222804742,0.9997546813415245,0.9981818922315797,0.9891518298675945,0.9817013444244458,0.9958134688974318,0.98838100051016,0.9826560443168724,0.9441390268591103,0.9922646260862724,0.6318890299151236,0.973272894775832
