,CAGR01 Calcite,F1CC06B Magnesite,HS433 Halite,LAZE03 Prehnite,bkr1jb329c Siliceous-sinter,GDS26 Epidote,GDS1 Analcime,NBPP22 Clinopyroxene,LAPP47B Orthopyroxene,LAPO05 Fayalite,LASC02 Forsterite,GDS27 Hematite,NCLS04 Plagioclase,LACL14 Chlorite,LAKA04 Kaolinite,LAIL02 Illite,GDS106 Margarite,c1cy29 Vermiculite,LALZ01 Serpentine,LAMO02 Montmorillonite,NCJB26 Nontronite,LASA58 Saponite,GDS23 Talc,F1CC08B Alunite,GDS145 Bassanite,LASF41A Gypsum,LASF21A Jarosite,F1CC15 Kieserite,799F366 Mg-sulphate
Category,carbonates,carbonates,hydrated silicates & halides,hydrated silicates & halides,hydrated silicates & halides,hydrated silicates & halides,hydrated silicates & halides,iron oxides & primary silicates,iron oxides & primary silicates,iron oxides & primary silicates,iron oxides & primary silicates,iron oxides & primary silicates,iron oxides & primary silicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,sulfates,sulfates,sulfates,sulfates,sulfates,sulfates
Sample ID,CAGR01,F1CC06B,HS433,LAZE03,bkr1jb329c,GDS26,GDS1,NBPP22,LAPP47B,LAPO05,LASC02,GDS27,NCLS04,LACL14,LAKA04,LAIL02,GDS106,CY-PLH-029,LALZ01,LAMO02,NCJB26,LASA58,GDS23,F1CC08B,GDS145,LASF41A,LASF21A,F1CC15,799F366
Species,calcite,magnesite,halite,prehnite,siliceous-sinter,epidote,analcime,clinopyroxene,orthopyroxene,fayalite,forsterite,hematite,plagioclase,chlorite,kaolinite,illite,margarite,vermiculite,serpentine,montmorillonite,nontronite,saponite,talc,alunite,bassanite,gypsum,jarosite,kieserite,mg-sulphate
Subgroup,calcites,calcites,chlorides,prehnites,hydrated-silicas,epidotes,zeolites,pyroxenes,pyroxenes,olivines,olivines,hematites,feldspars,chlorites,kaolinites,micas,micas,micas,serpentines,smectites,smectites,smectites,talcs,hydrous_sulphates,hydrous_sulphates,hydrous_sulphates,hydrous_sulphates,hydrous_sulphates,hydrous_sulphates
Group,carbonates,carbonates,halides,inosilicates,mineraloids,sorosilicates,tectosilicates,inosilicates,inosilicates,nesosilicates,nesosilicates,oxides,tectosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,sulphates,sulphates,sulphates,sulphates,sulphates,sulphates
Library,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree
Sample Description,,,,,,,,,,,,,,,,,,"LLANO,TX",,,,,,,,,,,
Date Added,,,,,,,,,,,,,,,,,,19-Jul-90,,,,,,,,,,,
Viewing Geometry,,,,,,,,,,,,,,,,,,"i=30, e=0",,,,,,,,,,,
Other Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain Size,,,,,,,,,,,,,,,,,,0 - 500 µm,,,,,,,,,,,
Locality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
900.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
903.28574336,0.99960053507592,0.9998402447863719,0.9996176986196916,0.9997366878486996,1.0,0.9915891382632459,1.0,0.98224009587425,0.9394258236352316,0.9919554337703441,0.9870833051590816,0.9860511586119598,0.9996425831159557,0.9982578344322838,0.9999676158396296,0.9981994119606665,0.99797725313997,0.9997042970463451,0.9991125599600402,0.9998017320407527,0.9953443895335629,0.9992177738563065,1.0,0.9995709637067302,0.999436931838131,0.9997230200980999,0.9899328489462542,0.999948522864304,0.9999496505716758
906.618278421,0.99935619118928,0.9994025124804788,0.9991356051131336,0.9995842179891183,1.0,0.9834834383874086,0.999621551674694,0.9641892380662477,0.8875596484995871,0.9843108068282599,0.9741102835910184,0.9734922756079416,0.9991446661688484,0.9970500147685044,0.9998560813338825,0.9966220223405987,0.995721697683312,0.99968751211446,0.9979656895088491,0.9990667350214754,0.9909380588648818,0.9981678667482365,1.0,0.9991865949981964,0.998891520956399,0.9994599886371427,0.980728014839887,0.9999759373314453,0.999651829004119
909.999291084,0.9993159823498209,0.9988176871889448,0.9986459895048345,0.9996434820341349,0.9999776586459104,0.9755351754988539,0.9985659843897096,0.9456482433027262,0.8430889871579047,0.9769982353102006,0.9606532099250819,0.9621415891756495,0.9985335372250627,0.9962015871839355,0.9997188683658997,0.9952943660193243,0.9934498640547983,0.9999509301140801,0.9968632932353371,0.9982072050155488,0.9866301946749247,0.9974815018028949,0.9999801926572498,0.9989109509510632,0.9983517708574969,0.9991831040869945,0.972273341062922,0.9999920626350632,0.9991763762291797
913.430570243,0.9992299250537542,0.9986778897672268,0.9983350150395762,0.9997844803405217,0.9999579159674002,0.9671137192596548,0.9973047528278893,0.9265579137339139,0.8028851170751266,0.9694348895902956,0.9460035146269348,0.9515174523093654,0.9980624081646103,0.9955391074493465,0.9994499074994584,0.993689384226661,0.9915914261762114,1.0,0.9962243297903742,0.9977068094385841,0.9823332903534966,0.9977299654370477,0.9997288918841999,0.9989049036106404,0.9977367938122217,0.9989265173362827,0.9647777588406349,1.0,0.9989766914336491
916.914016797,0.9991426427502547,0.9985259676686252,0.9983847004779809,0.9998065943741299,1.0,0.9577058328436054,0.9960808000074474,0.9066199506098884,0.7679058923511587,0.9614326973220515,0.9305641459391439,0.9414896763249194,0.997711951191829,0.9947767231839578,0.9990555291816238,0.9917047652938813,0.990548210622256,1.0,0.9956328514833054,0.9973179288199753,0.9785179880018685,0.9976333367659973,0.9992728749092847,0.9992911594339431,0.9969981543071417,0.9988738710032293,0.9575948964550474,1.0,0.9988011657182473
920.451653694,0.9993209637056454,0.99819770370098,0.9987571444668178,0.9997604108606276,1.0,0.9475143992412076,0.994846378979205,0.8862936407745592,0.7377280081429584,0.9531984677371327,0.9150309807768489,0.9325048009132888,0.9972413940089547,0.9938921919770355,0.9989040241142827,0.9897343215341954,0.9901321925439769,1.0,0.9949038963079746,0.9970695689962015,0.9751200963405573,0.9968013180704869,0.9986847972838577,0.9997671396441093,0.9962888848516674,0.9988090646129236,0.9507559502740055,1.0,0.998521702966752
924.045637162,0.999797037102281,0.9979536294718944,0.9992578377742303,0.999846399746451,0.9997368277057533,0.9372485415635243,0.9933615417489039,0.8661862927808648,0.7107710445208759,0.9451289284955452,0.8995699281606105,0.9255087055029719,0.9963654179040098,0.9934510320268215,0.9991337978993023,0.9881002139437903,0.9897204323115381,0.9995899906611856,0.9939317955698518,0.9972979354878516,0.9717188682595409,0.9958776671722561,0.9980901768421733,0.9998990077474085,0.9959409387961914,0.9984033001149966,0.9447142397576478,0.9999685820344455,0.9982027933367713
927.698269301,0.9998443913427979,0.997822084124753,0.9997557932373894,1.0,0.9990250052485371,0.9273596222714559,0.9914338353743191,0.8456689538752928,0.6869769348636444,0.9374341979392263,0.8831346523757557,0.9212731306166162,0.9951192986518208,0.994465652348862,0.9987576221238442,0.9862593142562418,0.9889722645123985,0.9988481853919732,0.9922109068826672,0.998051348038323,0.9684971666732521,0.9950609653049413,0.9974647596030632,0.9998808351634673,0.9961480567374729,0.9980263056114842,0.9390352443169364,0.999988853484525,0.997726121674479
931.412012249,0.9996976842157834,0.9976515977936938,1.0,0.9999468053141433,0.99840529017338,0.9179821597331387,0.9891641796145995,0.825424973632897,0.6658064960300027,0.9300931452863245,0.8658133017983523,0.9185439130746642,0.9939725715874604,0.995758520006442,0.9980972279460956,0.9846162393022562,0.9880662701542785,0.9979437823016186,0.9912321973576743,0.9992127157896671,0.965656875772075,0.9941658162474724,0.9962723855153308,0.9999230326814278,0.99627445798512,0.9979394583487468,0.9333895524298229,0.9999022419692037,0.9971103397697239
935.189504163,0.9996716778660849,0.9975219227847886,0.9997472784246182,0.9996337716799132,0.9978849145933497,0.9090883344389439,0.9867471231488528,0.8059965227299236,0.6477276020423564,0.9229069416836471,0.8481202395047456,0.9157228990425214,0.9929667437571839,0.9963690007280127,0.9976358831408092,0.9833469908195386,0.9872738404907028,0.9965695506885605,0.9916878698732818,0.9997717388642815,0.9629728519978632,0.993104967006995,0.9937341867473708,1.0,0.9955438562338478,0.9981111272783982,0.9282654387770695,0.9995284788281,0.99634207622816
939.033577299,0.9995405443784422,0.9976378299755261,0.9989340852019688,0.9995446712943818,0.9968521964520948,0.900393610446094,0.984338105564296,0.7867831272038228,0.6338500952092934,0.9156768142542828,0.830159672602845,0.912373285660639,0.9915340286093376,0.9969850674866304,0.9970933471445019,0.9818365733202898,0.9865152211833409,0.994146313652145,0.9920143694853839,0.9987038797967502,0.9600520313757528,0.9914761193579331,0.9888813399657898,0.9998117008034572,0.993872978212257,0.9981852216425398,0.9242371223807324,0.9988464560499014,0.99536513806884
942.947278561,0.9994845459396727,0.9975538807101951,0.9978488177929428,0.999582020049242,0.9958717614126168,0.891206764831389,0.982115126714994,0.7676789168346565,0.6226078736759594,0.9084380841542891,0.812049213863859,0.9089645086136879,0.9897557988993236,0.9974861475332812,0.9965495502223833,0.9803556445943644,0.9853974527792712,0.9913260858233116,0.991780445798891,0.9978879207990623,0.95737812049189,0.9877482597205812,0.9809447132684951,0.9990488410067323,0.9919816789904006,0.99764654869913,0.9199756970941939,0.9978114595785887,0.9944426429614471
946.933892918,0.9994274689530847,0.9974453695220644,0.9970628085008452,0.9996129697058178,0.9955594528276597,0.8818067463582612,0.9798481454611014,0.7486573819111758,0.6136144461167001,0.9009065395045999,0.7939885312007594,0.9064419148117112,0.9876680439779512,0.9975659583545163,0.9958986029254813,0.9788795048136525,0.9841622314685504,0.9895839836721791,0.9915470474351304,0.997810673132311,0.9552291224676213,0.9838685456808941,0.9734396274895284,0.9981884495064021,0.9903344792171681,0.9968082424529219,0.9155958726742791,0.9965439776823506,0.9935544080397996
950.996970209,0.9992916175735721,0.9975094797336549,0.9972669872999018,0.9996694052941818,0.9956970926736323,0.8730517984358543,0.9769540662077367,0.7301530368764023,0.6070331718015481,0.8930683679387315,0.7759297929829571,0.9060130135599207,0.9855577859107043,0.9975491887184296,0.9947719066149112,0.9771557193750978,0.9834077497637959,0.9899234166455093,0.9919026643428914,0.9977090344110299,0.9532528688245292,0.9829050677858467,0.9724203977366096,0.9975821656704875,0.9891330332411993,0.996114665694629,0.9114448434762579,0.995200494713792,0.9922810534499438
955.140355948,0.9991834550018671,0.9975394392825888,0.9983734707916838,0.9997780990348155,0.9956045688143368,0.8648613522706418,0.9726586542180949,0.7126151578406854,0.6028491677512547,0.885411060759693,0.7575834851816129,0.9082699590258434,0.9836529989339047,0.9981038528486081,0.993449944670104,0.9752739538090704,0.9828873903708161,0.9916290830271441,0.992912483893156,0.997148824784586,0.9511726073004428,0.9842227821162952,0.9787742396233962,0.9969691522288332,0.988333400994837,0.9952648684838724,0.9075248972863312,0.9938707701092079,0.9902319902842892
959.368226885,0.9991624780654182,0.997467524359873,0.9992087821789617,0.9998542449774329,0.9952035046015993,0.8559370657219346,0.9663622872136279,0.6957896870968847,0.6013968952894995,0.8782046220763405,0.7388993760732288,0.9124283863714217,0.9815854169693377,0.9991840190981298,0.9928578403883784,0.9736910816886295,0.9814622123042268,0.9929372485029239,0.994291784655167,0.9964391926599023,0.9493684538527256,0.9841424998107181,0.9853273802769039,0.9960248501263481,0.9875202287686625,0.9938404778400277,0.9043495728536523,0.9925416008295258,0.9875690488475708
963.685132242,0.9992077349935952,0.9974424582645863,0.9995372581261113,0.9999056737812578,0.9949018595076278,0.8462569647491728,0.958490071499198,0.679806072445372,0.602861989343828,0.8711862386343876,0.7201334656790058,0.9172775253226785,0.9794118119189327,1.0,0.9925311592218168,0.9725836798042442,0.9796849918574417,0.9938109087066279,0.9958557005801393,0.9959226186915205,0.9478110021394374,0.9836630995731025,0.9891766646959556,0.9945643443612302,0.9863732337740935,0.9926147498003396,0.901631156776203,0.9910352960579442,0.9847962500562055
968.096041789,0.9990125952498243,0.9974931483004813,0.9997338793890256,0.999808248178857,0.9949133326998413,0.8365394628304706,0.9510717053722957,0.6645429336588343,0.6070582217989501,0.8641830646107838,0.7011995980839599,0.9217170048843135,0.9768527468380027,1.0,0.9931576145482655,0.9717807626125331,0.9790228095365069,0.9944804632698946,0.9974877509878058,0.9953532654539557,0.9465134996220568,0.98425008136789,0.9906607048835642,0.9926559342801106,0.9848510326925022,0.9912359952429427,0.8995658679741864,0.9895240428329882,0.9821182082556131
972.606402173,0.998989192476382,0.9974884108425086,0.9997339084935282,0.9996940738986267,0.9952662722479579,0.8268492364407698,0.9484267160815822,0.6502091345650546,0.6136710063708836,0.8560760780172135,0.6825332493880552,0.9261727447685822,0.9739146872495659,1.0,0.9949425805078518,0.9708532415125799,0.9792410449503754,0.995069595682945,0.9988762785991275,0.9950905636956059,0.9457041290890444,0.9856168944760229,0.9904138677582103,0.9903342447074633,0.9837455576845808,0.9897862435010987,0.8988315119503204,0.9881406787018565,0.9795251524305464
977.222203311,0.9991188424378474,0.9972852859124286,0.9990157240685176,0.9997599664063186,0.9958132355494218,0.8181587354504519,0.9508346757344461,0.6367674828408572,0.6230507268477741,0.8475400746952452,0.6645619681597732,0.9310791600620036,0.9708608109597692,1.0,0.9966639470975696,0.9695936841636451,0.9794373125018907,0.9955243396008191,0.9997386949009472,0.9958914284174494,0.9450963886462221,0.9867059660546648,0.9893050407615581,0.9875167613948214,0.9836758296999787,0.9884019643683498,0.8987728977036524,0.986965340674263,0.9773118664392536
981.950057134,0.9989843993399059,0.9971041397876218,0.9982216026591509,0.9998875249749544,0.9964687353889693,0.8104891843632003,0.9557183717805234,0.624107570127619,0.6350171464652834,0.8393868631592526,0.6466873507863794,0.9362329923364089,0.9680471547026808,0.9998997627760104,0.9976273253740433,0.9681319153986679,0.9792565196723252,0.9958226238022854,1.0,0.9970251707390084,0.9445230304334118,0.9873403262306394,0.9884088258916282,0.9841400722798398,0.9845480846552321,0.9867361092219746,0.8982236168746475,0.9860827276447037,0.9761880101463932
986.797291589,0.998810224409527,0.9969636511259264,0.998425076149734,0.9998202596282618,0.9970233569273572,0.8027182510010911,0.9621294840504329,0.6121867832493438,0.6487033298007399,0.8312055839165627,0.62870816962784,0.9416567560153231,0.9652094118961472,0.9994399596330968,0.997883714863452,0.9665045000553035,0.9786302463949089,0.9960669355105095,1.0,0.9972266240583905,0.9444956672863991,0.9878383866059467,0.9879303184391466,0.9804607162874734,0.9860048158821596,0.9850889185849981,0.8977591240782303,0.9852646389237498,0.9761790229751328
991.720028203,0.9987465589714465,0.996757730957608,0.9989622477680746,0.9995324829061577,0.9972745267164844,0.7953922835424646,0.9690657419593021,0.6011986293880546,0.6641397845399286,0.8229334228860435,0.6113681476803654,0.9476403636377995,0.9616514276015707,0.9985118579186572,0.9977656127191153,0.9646603125222813,0.9775674275427155,0.9961643116477049,0.9999732119193029,0.9964228494379737,0.9450204815496077,0.9884492391792284,0.9872646695627202,0.9771257982039464,0.9876842521650576,0.9838308284051492,0.8980013061974357,0.9843171303955602,0.9767155380696628
996.671068522,0.9986377901193462,0.9967372497949731,0.9984801192697851,0.9991383523951083,0.9976157020174719,0.7883309441290101,0.975209510420391,0.5916791871701024,0.6820009138349845,0.8143973152856505,0.5950570384315962,0.9540315970549815,0.9576976872354062,0.9970153330969003,0.9981734547266127,0.9627922681432403,0.9756716871562295,0.9960175842355498,0.9998918649797287,0.9959865492211207,0.9455041179631642,0.9892841024197369,0.9863193763269397,0.9748616767062521,0.9894893234586131,0.9832268203130304,0.8984352157886336,0.9835324035512136,0.9774554218260084
1001.65061855,0.9982345045134211,0.9970200271796662,0.9976223661544276,0.998766413998685,0.9982238536829151,0.7807628959599915,0.980450570220989,0.5837423870957922,0.702288509787996,0.8060308685142192,0.5799873502853633,0.960318680235819,0.9540901113241878,0.9952017333447158,0.9984545397115845,0.9610508457861422,0.9730928693947215,0.9956412481874984,0.9996858795838776,0.9965998215203812,0.9461067020415954,0.9901197701992014,0.9857006521300122,0.9742647498447417,0.9913698037915266,0.9837979766468168,0.8993259619222953,0.9833263675846671,0.9782611052240479
1006.65888632,0.9973721427758524,0.9976127880531117,0.9976848432582879,0.9985815174856965,0.9986623014878572,0.773236095042084,0.9849741079571244,0.5773647779782921,0.7242814807573407,0.7978891219090294,0.5659595201775616,0.9661099731401502,0.9507423316097359,0.9931330386006796,0.9979560959643902,0.959352368446628,0.9706703931812816,0.9949015026166151,0.9991840607946991,0.9961795628660205,0.9472216808282449,0.9911159993721712,0.9854682252799924,0.9753880370412973,0.9929888430791013,0.9853229280500222,0.9009101635905307,0.9835154772899869,0.9795396770630286
1011.69608192,0.9967146287497628,0.9981121355071351,0.9981093613617944,0.9985183708260746,0.9987162289415894,0.7667964948676821,0.9882724573862276,0.5722668795164778,0.7475631986609959,0.7902865331185956,0.5531430545480545,0.9709681637018094,0.9472542699836746,0.9909003009332163,0.9976422127737962,0.9577060866550741,0.9682892519172541,0.9940091198771503,0.9986105906508623,0.9950132733042281,0.9484740904056145,0.992235956377193,0.9849104747850972,0.9780182663725745,0.9942141790187982,0.9873216937461854,0.9030018863793444,0.9834407683196215,0.9813709758712305
1016.76241755,0.9966528135053401,0.9984239287621032,0.9984427504079819,0.9984943576858951,0.9988987062083644,0.7622097779021175,0.9908895040337005,0.5682688950637048,0.7716312311620802,0.7832985719592079,0.5414469523711187,0.9749552509296151,0.9439728266624557,0.9884964294711216,0.9978964773394552,0.9558362630898719,0.9659632254748557,0.9934803810898656,0.9982169443559261,0.994221859847764,0.9497260808120391,0.9933849145891821,0.9838048414935349,0.9818726718044948,0.9952453440160208,0.9889908411501042,0.9053705982273821,0.9832391881345637,0.9834056532768208
1021.85810749,0.9968822199574914,0.9984702048338087,0.998104169818792,0.9986853159141027,0.9992494237774477,0.7581569312015135,0.992904064346714,0.5655180736044193,0.7962380797335391,0.7764403276227931,0.5303602783529533,0.978225905223702,0.9407770136413232,0.9857597994607494,0.9983398231474463,0.9535055586939146,0.9643096164308826,0.9930850912282246,0.9981688498872046,0.9937885078879096,0.9513921910900958,0.9940442984414407,0.9829413077747203,0.9865207587645203,0.996183489281862,0.9903481298276949,0.9080789795893376,0.9833260793702641,0.9854670111322535
1026.97288016,0.9971201881537696,0.9984955253913959,0.9971938905395424,0.9991071151340023,0.9992763404472782,0.7538819418238836,0.9941991586031593,0.5638792371343296,0.8205042360368774,0.7698644686902776,0.5203437937601496,0.9805664269554671,0.9375080645567933,0.9827353849271895,0.9986171041906633,0.951071472815927,0.9628677505900893,0.9927722937847596,0.9977885902090111,0.9939363767693326,0.9533377020897708,0.9945601561557731,0.9826292648729111,0.9911399196715659,0.9970116635982527,0.992102171037372,0.9113424646549624,0.9838350659166031,0.9876448854850939
1032.10649695,0.9971101530001558,0.998597991854332,0.9966395126250612,0.9993718308712704,0.9992855432315624,0.7502744799383408,0.9946256456686858,0.5634901078541129,0.8445325881273504,0.7630251486727899,0.5118888751308653,0.9820562307268054,0.9344662632347129,0.9794987465895763,0.9989914551269269,0.9490527908967331,0.9606904450085981,0.9927675211016664,0.9964415915579202,0.9942324100129384,0.9552981422831898,0.9954531153873502,0.9826491297185097,0.9943825127240522,0.997735105034089,0.9940017458538436,0.915187423424803,0.9845510887444863,0.9897809152526018
1037.25897753,0.9969993744739888,0.9986611197297388,0.9968571403410129,0.9994197760841426,0.9996515369296595,0.7472251746153765,0.9947382374376378,0.564417788023754,0.8683611563176968,0.7562350573118488,0.5049186579878266,0.9824844400774821,0.931410825668375,0.9763236431171052,0.999164464316521,0.9471459607424275,0.9581709546516052,0.9929698184143362,0.9948112638279457,0.9945354469375783,0.957555753895248,0.9961607609583044,0.9831350858472788,0.99645469969699,0.9984005414029135,0.9955387368928341,0.9193010008597705,0.9853729683761339,0.9918495358065472
1042.4303413,0.9966207762857224,0.9988276439353432,0.9974342176708004,0.9994785895344828,0.9999384163316906,0.7444486251573625,0.9954009493564615,0.5664421954300397,0.8912012847348806,0.750460196311586,0.49889497084272555,0.9820001421075725,0.928131482775035,0.9731986762343243,0.9993620484131162,0.9447540822160534,0.9559595544581382,0.9932990366024776,0.9935104216460736,0.994245540120746,0.959987665550376,0.9966290006383245,0.9838283792058152,0.9978444367137694,0.9989447290888628,0.9969871325135321,0.9235776477450003,0.9863576566624064,0.9938471372863806
1047.62060737,0.9962673403654481,0.9989069432187845,0.9975691387371195,0.9995539993945384,0.9999721463312868,0.7423708753583425,0.9960737048890406,0.5695132262749325,0.9125584478055228,0.7448684769727058,0.4937110810556786,0.9808965592780098,0.9249190928639599,0.9703348206702553,0.9995252537472834,0.9422388027043552,0.9540875558574513,0.9936655410153461,0.9917490681680249,0.9931840970841772,0.9624927076275371,0.9972299697478192,0.9839343080555754,0.9987401861019726,0.9992961891310166,0.997954178884164,0.9280660646503814,0.9875686296082643,0.995604232175831
1052.82979459,0.996177995939348,0.998867705800038,0.997413868883747,0.9995392659810863,1.0,0.7411864357125155,0.9960217176848329,0.5737646622965995,0.9320652287536112,0.739308482134646,0.48972060101614406,0.9790503813860771,0.9220134559937836,0.9671910614919891,0.999636254693694,0.9394271063708126,0.9521368577823508,0.9941885876160266,0.9895192522336754,0.9920106373779802,0.9651664606894506,0.9977559572297641,0.983330083625027,0.9992242360361006,0.9993690996564109,0.998492385967828,0.9322382183033646,0.9890333978515957,0.9970306491605955
1058.05208946,0.9958250042840239,0.99897130946112,0.9977813071363085,0.9996329795220602,0.9998718660428894,0.7405387718731584,0.9957088949703007,0.5793498989646034,0.9493631820506264,0.7342800641084347,0.486630449867184,0.9774672278399706,0.9193393791954985,0.9633371386683496,0.9997022671318492,0.9366687543387942,0.9499840792752228,0.9949078023477352,0.9881499183161978,0.9916907778187167,0.967844694208348,0.9982536416037762,0.9830902230110304,0.999425541192664,0.9993875733546066,0.9988726562131963,0.9365143399088186,0.9906339444695924,0.9981358103289952
1063.2810895,0.9957839877121973,0.9993104936363975,0.9986310294453665,0.9997071809327017,0.9997637522852846,0.7406095653664837,0.995538692786437,0.5861659351547446,0.9642717623131487,0.7299879831330462,0.48496309857252845,0.9761849553068689,0.9166149287850646,0.9599260473863297,0.9995879750596145,0.9343501197117198,0.9476087090996466,0.9957141399665149,0.986606920947231,0.9923810844877372,0.9705251350112493,0.9985661496401763,0.9833655625721114,0.9996586900421505,0.9996401365702402,0.9992692858555833,0.9411777911022267,0.9923119188886084,0.9989906754616614
1068.51675432,0.995696611507615,0.9996324223252215,0.9991888068422138,0.9997619991295486,0.9998658104635922,0.7416773390140073,0.9952245926917727,0.5939287829942475,0.9765489195871099,0.7260965912553962,0.4843986958168173,0.9747751494626514,0.9137250533680276,0.9572962226340757,0.9992712793064021,0.932478869731518,0.9448097514022828,0.9963384567938862,0.9850285422356229,0.9933973630343699,0.9735380198574254,0.9989713857814475,0.9838910859802019,0.9999069870354941,0.9999135126956392,0.9996830040041322,0.9455650305313543,0.9938579556776561,0.9995461805660523
1073.75904388,0.9959256187947705,0.9996482215724564,0.998709830348552,0.9999042945207848,0.9998895989824889,0.7435236026392144,0.9949079786829335,0.6025578036453696,0.9860292254398472,0.7226613838620807,0.48432414726570255,0.9733968910169055,0.9108541449061714,0.9544321476197261,0.9986115379272311,0.9309854233291913,0.9421298316192817,0.9968315086925499,0.9836195457127017,0.9940722851707634,0.9765353846479757,0.9994000583609336,0.9846053695103276,1.0,1.0,1.0,0.9496191638381422,0.9952460145166501,0.9999147430392512
1079.00791838,0.996620261033981,0.9995584411649859,0.9978187499148861,1.0,0.9999295851719621,0.7455963989948632,0.9946008845232713,0.6122386541990522,0.9928650937697174,0.719946359484596,0.4854177157286656,0.9724130689440963,0.9082307818412353,0.9513212280499992,0.998130322819785,0.9289154833597847,0.9397528345789249,0.9972617710871325,0.9819156074049515,0.9946662857303521,0.9792295920944329,0.9997388859071911,0.9850518156571753,1.0,1.0,1.0,0.9540481248652061,0.9965459643734961,1.0
1084.26333836,0.9969121659878831,0.9996548120798044,0.9972349309565187,0.9999661683632779,1.0,0.7479457854944483,0.9940692508591884,0.6228940331273881,0.9970888180492706,0.7178477706664576,0.48767590105758735,0.971830134235051,0.9056676924710849,0.9483697004081427,0.9982757282969269,0.9269830003733789,0.9379181400360926,0.9976227698824487,0.9802048922045536,0.9941284633071324,0.9820436772533694,0.9998224238615849,0.985221295468274,0.999812127301489,1.0,1.0,0.9583698212058654,0.9975735197982423,1.0
1089.52507305,0.9969452421298295,0.9997284700283172,0.9979013552651623,0.9999247571708505,1.0,0.751895943931279,0.9931935311664739,0.6342228703233498,0.9995084042982153,0.7155624617436711,0.4907581801266033,0.9712749411410861,0.903325616574158,0.9456732310548785,0.9991322884216192,0.9254979692277612,0.9368604569785463,0.9978480775657649,0.9788627680832349,0.9941650675247637,0.9847983652442884,0.9998146070019537,0.9857940481434683,0.9994505921775262,1.0,0.9998425029225307,0.9620633957867789,0.9984299508121789,1.0
1094.78823545,0.9966911101640027,0.9996195520829458,0.9988708686890215,0.9998969479636809,1.0,0.7569058994607966,0.9918047854051047,0.6463550279850191,1.0,0.7138392875280812,0.4945678900343782,0.9708273660433022,0.9013876780572619,0.943633846830577,0.9994575441302818,0.9238974211564118,0.936024961758753,0.9978863597772446,0.9780213439310905,0.9942506910419516,0.9870971604576433,0.9999680902045492,0.9868484476727764,0.9992006607119527,0.9994304053813409,0.9995308198159323,0.9657403508757859,0.9991393056619122,1.0
1100.05281299,0.996368541335724,0.9996238193237639,0.9990595375676562,0.9999826025714057,1.0,0.763016930578435,0.9896278886544675,0.659132072525156,1.0,0.7130305305812266,0.4988472777732272,0.9708178585019517,0.8994036186147877,0.9416312411915131,0.9993265925744674,0.9226147666400873,0.9354013947091592,0.9980037838496089,0.9772152048649769,0.9937207354194487,0.98930749378393,0.9999445392889428,0.9877329015644525,0.9990046128146826,0.9986846868245011,0.9996256075519034,0.9692401225987578,0.9996527167023955,1.0
