Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
1063.2810895,0.8834508155144172,0.902841350526049,0.9021208689636443,0.7372111669789221,0.5615490355345896,0.23646933079487095,0.8967962338646566,0.15721333842267404,0.4546783263744309,0.18919023972913754,0.19891949716476823,0.4981742827494341,0.30408801477903585,0.3025503197367793,0.9415056130582155,0.4481421726452031,0.4190412007913741,0.755625651335244,0.42644274751123384,0.5920672593562143,0.4320872480931672,0.9097542340060591,0.5862285557247299,0.8840562503331707,0.9187988514294599,0.9404452117114408,0.5338994085782619,0.8460338413205323,0.9435390175540466
1068.51675432,0.8834609258301217,0.9031870830974712,0.9026894663664469,0.7373313947031295,0.561290308644964,0.23827957825180732,0.8962883343648244,0.16027439428051757,0.4713951252686087,0.1890127241326743,0.19989751236058909,0.5057497448084931,0.3031862477273868,0.302843951940039,0.9414999463050248,0.4484715725008419,0.4187910546854164,0.7566223229577861,0.42663676023916397,0.5932243818925185,0.4353363337450136,0.9100984681940512,0.5876674370295857,0.8847492337942039,0.9189328028551513,0.9407482158830508,0.5411532919325569,0.8472823796254644,0.9439092827298875
1073.75904388,0.8837518800167397,0.903256309826821,0.9023215241304358,0.7375162541880752,0.5609872041665246,0.24034756882303462,0.8957780288782985,0.1635974673747322,0.48701927354539326,0.18894662077520535,0.20107761115363695,0.5133283303985651,0.3022904869336223,0.3030584523166532,0.9411711506606547,0.44897979814942557,0.4185891918143589,0.7575205599680934,0.4269025856762371,0.5941792926607739,0.4385926781234487,0.9104640013784553,0.5892219063257284,0.8853055776944352,0.9188948104817977,0.9409600275785899,0.5482651316655123,0.8483959451488963,0.944102672716916
1079.00791838,0.8844562151648687,0.9032302024605261,0.9015812437018474,0.7376668689817859,0.560692769667522,0.24249841869615052,0.8952761531172249,0.16723760639211335,0.501534068466381,0.18906280456084235,0.20274675099063535,0.5211052066167352,0.30147660878554716,0.30318896072791174,0.9410106454901953,0.44920684504045927,0.41851786073086167,0.7583722248864491,0.42703872880528937,0.5950872328714962,0.44172644558055263,0.9107476341710323,0.5906188393870401,0.8857101864169933,0.9186631975308159,0.9408283866340392,0.5556422304884512,0.8494341260716433,0.9440283059294925
1084.26333836,0.8848033355900021,0.9033723758417167,0.9011185750074074,0.737716824523365,0.5604149673313272,0.24474986218766864,0.8945720703985914,0.17117883493058572,0.5148673903585508,0.18933637257127467,0.20491223456299448,0.529093886529346,0.3006824842731479,0.30336453144964276,0.9414411683759701,0.4494966089978526,0.4186848556379913,0.759172288845715,0.4271699695332205,0.5953187483023383,0.4449275163370494,0.9107986600343694,0.5918518240567775,0.8859199549833927,0.9184297397191007,0.9405362203863653,0.5630071056931062,0.8502398731731658,0.9437778985164983
1089.52507305,0.8849208686070693,0.9034940994402281,0.9017857308917572,0.7377612726808827,0.560028498151885,0.2475394488526594,0.8935583900418819,0.17534277362298742,0.5273572188965013,0.18955664357517807,0.20743884994251102,0.5370979168356412,0.29996149744810957,0.30361637993774776,0.9425430053455943,0.4500002987197992,0.4191968533568115,0.7598700348783003,0.42746016529717595,0.5958946362869446,0.4481149575463258,0.9107664332482669,0.5933292792990851,0.8859760887497308,0.9178570970200554,0.9397877197509397,0.5700493750281423,0.8508995528248896,0.9434204530727668
1094.78823545,0.8847834707784903,0.90345083501312,0.9027269071701944,0.7378157717691414,0.5595658430904508,0.2506961902221711,0.8920836026016058,0.17976796067651385,0.5388655981058129,0.18992143957980953,0.210290574850458,0.5451551351502516,0.29937445712986,0.3040739120843163,0.9431440577643568,0.4504440726444612,0.419806546769493,0.7604256412115672,0.42796729720992327,0.5965001244832884,0.45110543230999567,0.9108811299140267,0.5950988065605679,0.886131026837775,0.9167137560066513,0.9388944130268129,0.5771204524856944,0.8514337593692479,0.9428103512202547
1100.05281299,0.8845852928009859,0.9035098758133857,0.9029624901653374,0.7379540193894087,0.5590884514892291,0.25424017663044574,0.8899006586735233,0.18441407614854124,0.5491555665471578,0.19052682963423456,0.21336264787860765,0.5534566673603177,0.2987718682552301,0.30453882966084533,0.9433147437808289,0.451039349463511,0.4205100209731718,0.7610417802301723,0.4284886310023323,0.5967361975974843,0.45406488617454543,0.9108345543796579,0.5967683867385453,0.886333684192594,0.9154095176797595,0.9383828874839183,0.5841233233140671,0.8518008840289223,0.9419973215824955
1105.31879326,0.8845279106686021,0.9037236543028246,0.9031550247028504,0.738041923202726,0.5585718747578488,0.2581482530466147,0.8874056583741048,0.18918534768797676,0.5584533496892043,0.19122814488468254,0.21655669155525684,0.5621207715486032,0.2981582911948834,0.30489777475849406,0.9435530891889355,0.45178725621715593,0.4212552957882414,0.761761019463143,0.42904756849336045,0.5970375779380176,0.4570116094378849,0.9108599418606288,0.5984874080922026,0.8864627871747097,0.9141665999253576,0.937983417922054,0.5913043736525048,0.8519702225794598,0.9410878973193773
1110.586164,0.8846307520712827,0.9039603403893077,0.9033135237870128,0.7380874537746205,0.5580418048629056,0.26222333017862476,0.8849348486647521,0.19408127311577067,0.5669113193887634,0.1919884013592773,0.21978380735855654,0.5709563677667125,0.2975825086967865,0.30535187267970143,0.9439353574745485,0.4526578980465459,0.4219330306773206,0.7627406595366156,0.42975311061058397,0.5972273841853346,0.45993140030630536,0.9104068655869526,0.600219732319892,0.886722564598406,0.9129334193254443,0.9373332149570502,0.5982653802475193,0.8519559231982121,0.9400855240795752
1115.8549131,0.8844188455614707,0.9039641965363284,0.9035228607022863,0.7381430980896191,0.5575028375239504,0.2663227020976135,0.8828691291994373,0.19906681706526988,0.5741875533992108,0.19283047776118725,0.2231788134310968,0.5797818690096195,0.2970000120488501,0.3060207205044664,0.9444714911181041,0.4537753310430792,0.42239225111384204,0.7638404821718459,0.4305611139210252,0.5972563664822799,0.46297385995087265,0.9096306349174788,0.6019205742429126,0.8871145560793775,0.9117875972394337,0.9364744612866847,0.6050117505425344,0.8518276648414917,0.9388989900503113
1121.12502863,0.8845755955380211,0.903904681435355,0.9034364038652114,0.7381245118954362,0.5568145907952583,0.2704425223150598,0.8807253940945572,0.2041657559708266,0.5804811884828827,0.1936615236424547,0.22676038383694672,0.5886834618622703,0.29642089592493676,0.3069145701039476,0.9448998348819304,0.45485400872693016,0.42302035409789723,0.764676260854131,0.4310902184133161,0.5972919921549722,0.4657391302237665,0.9088126290079006,0.603531042002032,0.8877812511474634,0.9111519671465625,0.9356597395924219,0.6117646445530499,0.8514733349464313,0.9374252508507152
1126.42117712,0.8848506308421787,0.9039008832402944,0.9030201668100672,0.7380065068342805,0.5559477615624259,0.27464547877728845,0.8780087712282758,0.2093216242604192,0.5861646318831882,0.1945905604501039,0.23029042632153035,0.5979799782298917,0.2958834761379241,0.3078387961793393,0.9454252381801982,0.4557119657614683,0.4239519153800445,0.764725992043585,0.43174341594899623,0.5978769317433438,0.46815509288778384,0.9076131678867049,0.6052092518188574,0.888573683441652,0.9101551422904007,0.9346064071689282,0.6186774106712842,0.8507565933397299,0.9355707438192459
1131.75559815,0.8849976697598352,0.9037308187322571,0.9028943614153386,0.7379807541527932,0.5548966428785567,0.278992875341409,0.8742969669696542,0.2144322427001791,0.59100557603114,0.1956266712663733,0.23360105281298935,0.607893855213066,0.2953267052566144,0.3087091855107763,0.9453021412694169,0.45647223188203545,0.42482470252674365,0.7642182218969452,0.43253033479143466,0.5986865326032675,0.4705844478132596,0.9053087431752085,0.6069104478336379,0.8893552272286837,0.9078187409035315,0.933226061338789,0.6253227520203873,0.8494529314350204,0.9335072745574572
1137.12876151,0.885149262186591,0.9034761398986628,0.9025876267236494,0.7380883958187919,0.5535721926980421,0.2834374031056534,0.8688800613242063,0.21949442670616504,0.5951562512151028,0.19681441674935996,0.23691215199353982,0.6182210829911641,0.29476036420806256,0.3095397401702214,0.9454402468550319,0.4575359384112125,0.4256841915097245,0.7636489121096257,0.43343686060951037,0.598909691640416,0.47284902228949427,0.9018094480830466,0.6084520121648797,0.8898711073219108,0.9044376091757683,0.9315673169238559,0.6316214117475537,0.8475087729835974,0.9308411424626899
1142.54114608,0.8854230757820974,0.9032811439600877,0.9022693638959529,0.7381906751641926,0.5519243184481387,0.2880711283075486,0.8603445835605448,0.22457846564588552,0.5989815725212334,0.19827157674086104,0.240307281092688,0.6283667136469809,0.2942224798093513,0.31061646219058753,0.9456722017293432,0.45869016572348775,0.4267022232544374,0.7630234003076349,0.4341798026215425,0.5987693122551282,0.4748009268642528,0.8972838481402439,0.6098927271466004,0.8900251581474591,0.9002417963669817,0.9294075976586189,0.6379281054413263,0.8447918774654379,0.9271535481090051
1147.99324008,0.8856528412507892,0.9030005463166887,0.9024233049348818,0.7381664948428639,0.5502349220901092,0.29296112708929223,0.846338245067335,0.22960857215735767,0.6023872239750153,0.1999108516647354,0.24358075968891743,0.6383410119267321,0.2936686022535118,0.3118899387059614,0.9455470155389593,0.45999553229969115,0.42795517910345143,0.7623097539557511,0.43487007800885413,0.5986504194009545,0.4765941149462596,0.8922526340587696,0.6114324166647618,0.8898233981495309,0.8949558698641713,0.9263320896785714,0.6443535632957397,0.84132239636529,0.9222188864077594
1153.48554133,0.885469745700913,0.9027077536745469,0.9028015243829592,0.7381360074675652,0.5491113179626473,0.2981009246010658,0.8274828282753762,0.23451491335748798,0.6055436154925995,0.20142087800433378,0.2468050542111003,0.6486695799797927,0.29313415005571297,0.3132303045388383,0.9456380506562574,0.46142844411953754,0.42924836028156654,0.7617203137388412,0.43550754306180867,0.5993748201417594,0.4783514882010103,0.8888752238156484,0.612996908193188,0.8894070621524652,0.8876504343085022,0.9220427079289397,0.650588792723659,0.8372842461587171,0.9161286431502468
1158.99647413,0.8850629938473775,0.902558646487487,0.9033891524984329,0.7381575595232593,0.5487010992647805,0.3031885338091336,0.8118797495513072,0.23933119876995582,0.6083533849428499,0.20267978214083068,0.24992564812649531,0.6591578748362721,0.2925437510867003,0.31461005807025905,0.9459857496596791,0.462914420276681,0.43049313840189374,0.7613534132505445,0.4364388730407003,0.6006403671756515,0.4803815281822051,0.8884354542317627,0.6144807380273711,0.8890585679644958,0.8791018900155506,0.9170459970609068,0.6564082497263567,0.8331320588308182,0.9095413688501175
1164.48107738,0.8852903115301195,0.902382415321167,0.9042603361852616,0.7381920992975427,0.5486629676762809,0.3081546244341006,0.8105852539133105,0.24402405501474517,0.6108071099133857,0.2039386386747467,0.2527172550250465,0.6693707874192353,0.29190995136129877,0.3160664539498455,0.9464307122996458,0.4644502631360083,0.43171875265367915,0.7612670328961246,0.43775459706171255,0.6016369053916101,0.48269705868940344,0.890323771175654,0.6160736213024716,0.8886527075506944,0.8726344676895704,0.9111492888003142,0.6619947876627108,0.8292737017040861,0.9031373869753809
1169.93996942,0.8859303003519897,0.9022333611027573,0.9046259702773812,0.7382833582471742,0.5486748517954845,0.3133958120081954,0.8217936402300199,0.24862352717720834,0.6129233787428253,0.20527801427686843,0.2552126059178389,0.6795060685965433,0.29126375976578023,0.31756580319224087,0.946574783256753,0.46605117272603214,0.4329311281166002,0.7615231099461729,0.43899323891860115,0.6017777277674191,0.4848682189110114,0.8927762330241441,0.6176559543838283,0.8882149218892399,0.87136585164922,0.9050187972352552,0.6676775285008432,0.8258334903842959,0.8973850833535028
1175.3737451,0.8863311243715236,0.9021656019969826,0.9046626119832724,0.738399649519866,0.5486667519712503,0.31902652514983293,0.8354888681791484,0.25298480855868377,0.6149095308239186,0.20648747492319885,0.2576375716745734,0.6898193903837052,0.2907516615958606,0.3190636252921766,0.9464335553693506,0.467562760640836,0.4341930639053875,0.7620486565864533,0.4401830263002845,0.6021561713199498,0.48683068985002137,0.8950730200932447,0.6191706836270324,0.8876815570853397,0.8748681105934281,0.900044279696719,0.6730654655239886,0.8225872672390524,0.8931703904877324
1180.78297699,0.8860954032777962,0.9019751359152749,0.9042890044050335,0.7385523637293285,0.5485885954049403,0.32494169081986596,0.8461680463388426,0.2571742872860629,0.6166460213172065,0.20747398593441033,0.2599708247356526,0.7000875319761789,0.2903276289004846,0.32058023787606454,0.9466773894705015,0.4692825837983064,0.4359023945589925,0.7627667030190128,0.44143996512243155,0.6029234458291266,0.4887425241918236,0.8970598145325647,0.6209464148888981,0.8871204269667718,0.8798879270453993,0.8968734709094248,0.6785012999862728,0.8193531548793362,0.8906633894077698
1186.16821657,0.8860749555959062,0.9017002015647855,0.9035266527988514,0.7386694061887731,0.5483562030700699,0.3310157461577382,0.8526253294743835,0.2612270079050002,0.6182672138618619,0.20858494672430555,0.2622108124419876,0.7099396637108798,0.28982892267598453,0.3221573736286002,0.9470879924914001,0.47146692307768995,0.4379041209999643,0.7635641901778342,0.4427194227145187,0.6038757078707011,0.49050803300532003,0.898333214649885,0.6228031357885347,0.8864131974580596,0.883933068348872,0.8946323796039601,0.6839234706260346,0.8161519564257693,0.8890612276042302
1191.52999524,0.8864778416892497,0.9014142964031976,0.9029593780843254,0.7387723639175544,0.5480657929944378,0.33703752905705425,0.856153349245438,0.2651231471667507,0.6196109340830404,0.20962979521531167,0.264261174941686,0.7187719794646917,0.289258976528519,0.32373939726809997,0.9471328348358219,0.47348888105208364,0.4397212368511968,0.7645174472419596,0.44406700478000766,0.6053152620664456,0.4921504361142553,0.8993497089762689,0.6241681974349906,0.8853241007413214,0.8864238652528402,0.8933339196741746,0.6893854238937089,0.8128371583043488,0.8877347773266964
1196.89576018,0.8868396600728208,0.9010420100437355,0.9027613191715997,0.7388298850378883,0.5478546984312116,0.3427414121608144,0.8590658156590613,0.268972377304625,0.6207452896709614,0.2104489222618239,0.26637180503476754,0.7268234817467738,0.28870680835712603,0.32544287140686673,0.9468636242841497,0.4752556679200743,0.44116683097281606,0.765858495346829,0.4451966413454889,0.6069667353171557,0.4938736044264438,0.900269649889085,0.6250982355657076,0.8839767292737843,0.887864855953161,0.8926357911820514,0.6949706257345856,0.8091188002046956,0.8866559349439894
1202.26638934,0.8872432073716989,0.9007644968513376,0.903538838894005,0.7387919196542957,0.5476796219091856,0.3480457929451841,0.8634606392778019,0.2727217249674498,0.6217067434367987,0.2111138318832582,0.2685001805701408,0.7345276971807085,0.2882769711687353,0.3272666146283534,0.9464770682738136,0.47711712232131626,0.44265264794014253,0.7671980978200774,0.44641966590260457,0.6090178376298951,0.49547774106267456,0.901161151491566,0.6257966501309898,0.8822496252742246,0.8886954009487303,0.8921951228859506,0.7004636057467732,0.805336512672016,0.8859597260288634
1207.64185238,0.8872699294541588,0.9005542194540491,0.9040942630243892,0.7387300541623385,0.5474795244637802,0.3534311115616423,0.8681103361278457,0.27622024690359426,0.6224286153068324,0.21169088987099255,0.27050563382790094,0.7418439607637567,0.28793743771247626,0.32915399739078516,0.9458527251353864,0.4791571937042658,0.4444290173583922,0.7677758310532792,0.44793663290397695,0.6111191398333976,0.49688654097980145,0.901753153860214,0.6265610904169319,0.8799657229350624,0.8896343234420413,0.8922406471535621,0.7058961295427492,0.802011064206502,0.8855841035072411
1213.0221192,0.8870482433555272,0.9000940755412264,0.9041544917142084,0.7386734096883844,0.5472310936346068,0.3586797158697372,0.8715516152978272,0.2796044680139866,0.6232531930706615,0.2123224239883467,0.27244705718661194,0.7490004242841314,0.2876601558767508,0.33103790606758676,0.9455605442833395,0.48140538852483505,0.44631928913077934,0.7680920314917099,0.4493875166560189,0.6124704264033316,0.49811652303916987,0.9026291649355478,0.6275898958665318,0.8771927129797076,0.8911592178423637,0.8936308841628128,0.7113971204391136,0.79874936823861,0.8851271478315594
1218.40715994,0.8872426580199201,0.8996247018246903,0.903827282373681,0.7387457037209798,0.5469376647603831,0.36370533159262675,0.873947538903752,0.2829096808364864,0.6239760654273822,0.2128826218467856,0.2744753616552455,0.755714924006055,0.28736479456305936,0.3328509952792764,0.9447954925991005,0.4834205193936831,0.4481602666049023,0.7684761174270749,0.45070518269258103,0.61290172600438,0.4992343684633002,0.9034368742621878,0.62859758352152,0.8736066597295568,0.8927471753756243,0.8956598591547884,0.7165697643778566,0.7953534210316924,0.8844654411366765
1223.79694502,0.8873943448144048,0.8994240202397867,0.9033227818891322,0.738927552023503,0.5465561914471131,0.3686588564864817,0.8755431590201638,0.28614240918647366,0.6244213605063994,0.21323144430676783,0.2765746598535805,0.7615868446479026,0.2870227843850603,0.33462313441321684,0.9432708397730016,0.48524893891695203,0.4498802654994097,0.768714633538926,0.4517353487094755,0.6129302348107262,0.500320061801052,0.9041301533727013,0.6293527667828019,0.8692247135877352,0.8940871323020496,0.8970649152068332,0.7213850873908966,0.791901952655867,0.8840877594549909
1229.190873,0.8874734181327834,0.8993560950440073,0.903163343395844,0.7392006433304069,0.5461141362818595,0.3733188936951014,0.8761634371367832,0.2893746625930501,0.624688215982016,0.21349339514198615,0.2787881431434551,0.7669548944478296,0.28676066181250676,0.3364357961192907,0.9413881424839833,0.4872815926596256,0.4516661914217351,0.768773151183123,0.4526003378768029,0.613072821391532,0.5013766316757664,0.9045388125991161,0.6299564548372195,0.8648018717657355,0.8950734532374806,0.8980501349149919,0.7261204214404087,0.7886737438412947,0.8840276166112486
1234.58829679,0.8876164803729181,0.8993785678474066,0.9028943719153593,0.7393934880667957,0.5456524722213815,0.37741499271923495,0.8763438566483731,0.29250876320769226,0.6247952145994665,0.21393502967054862,0.2810421253076558,0.772250075396703,0.2865327842440692,0.338260975390743,0.9397772524839519,0.48929887719553544,0.4535261522368631,0.7688903116418709,0.45370322941576846,0.6139413510667626,0.5023052643007427,0.9049372960828702,0.6308659155320245,0.8608357586362672,0.8957609976661342,0.8995845893767713,0.7308156124205548,0.7855815438484264,0.884022734568292
1239.98919257,0.8880472056825507,0.8994873752197549,0.9028659234192628,0.7394887228759388,0.5451715321428476,0.3811775516319801,0.8769476024585198,0.29555369090963113,0.6248475153363211,0.21455496399822588,0.28331565181802104,0.7772678670273013,0.2862715248767192,0.3400943843251205,0.9385906664996624,0.49128062863631294,0.45553781715556274,0.7689468581864592,0.455052332772339,0.6149272419318264,0.5031243906611865,0.9050993472794919,0.6319357110498535,0.8571067376340106,0.8966901212838646,0.901899523221321,0.7355690738241546,0.7825820502172746,0.884211631274404
1245.39353673,0.8883352572675324,0.8994594267330944,0.9032945843248262,0.7394488307452683,0.5447009488883766,0.3847148502850288,0.877982589388088,0.298668591486429,0.6248506940888472,0.21503630737939872,0.2856182166224669,0.7821026379446341,0.2860458142624969,0.34188142069180505,0.9384439181197555,0.4934536223463343,0.4574795890338815,0.768734049004162,0.45655903265195463,0.6153346731938238,0.503872315010918,0.9051450027966823,0.6328355406089671,0.853133555646723,0.8974133574787094,0.9042899282359007,0.7403467032350115,0.7796811255584843,0.8845122551310706
1250.80130588,0.8884748106182989,0.8992898957180375,0.9040211705801375,0.7393863025669963,0.5443198261777229,0.38807052313764023,0.8788947100718044,0.30178578628458386,0.6247092851600023,0.21545206305529827,0.2880753171341733,0.7864646512992013,0.2858765761441518,0.34352675009222505,0.9388848737874518,0.49559672705827046,0.45917308204442986,0.7682156276839934,0.45822278100856056,0.61550079127502,0.5044447419809791,0.9054560581608441,0.6334115345735585,0.8482163494592057,0.8978689341432081,0.9062369645552515,0.7450307897309438,0.7767137275328257,0.8848683651669822
1256.21247686,0.8887414933884159,0.899167771139121,0.9047861423644556,0.739267278503821,0.5440419438584644,0.3912821193911892,0.8791568991545491,0.3047962371883987,0.6246202869952097,0.21580674720566634,0.29074211938513894,0.7901598598562991,0.28572958206877913,0.34517878240782984,0.9393905734525535,0.49767693845160554,0.46094823620753717,0.767592171497805,0.4597311592141849,0.6158645789467823,0.5050570450428726,0.9053011857500598,0.6334029818594741,0.8414706902683671,0.898029555105059,0.9078619808170826,0.7496482464361557,0.7739517160951714,0.8852243082136735
1261.62708732,0.8888096741189768,0.8991063085321259,0.9055512169132497,0.7389489431763806,0.543763274340896,0.39412149419585973,0.8791062227139892,0.3077030107727628,0.6244887489248641,0.21618950951678326,0.29351845572172974,0.7936222202577361,0.2856219904909153,0.346982270655119,0.9392275375102387,0.49962019806483815,0.4629580652350851,0.767118766587844,0.4609075332588681,0.6163622879258229,0.505679438169071,0.9046920822319073,0.6325882148835107,0.833741537155086,0.8975544533686566,0.909071324598647,0.7540946588378054,0.7715950176934794,0.8855386571278642
1267.05580532,0.888701512322938,0.8988857697123559,0.9058787131126365,0.7384329836817763,0.543426474540994,0.396394546851576,0.878937566306181,0.3105362969064871,0.6240907898980803,0.2165180382729325,0.29632759327506086,0.7967816706874578,0.28553235882819217,0.3488342921406322,0.9382987522448802,0.5016573814019646,0.46498085942766276,0.7666233036091734,0.4619198266536716,0.6161953956676207,0.5061265046123905,0.9036327775658338,0.6305948898847012,0.8293049575838728,0.8966666309041564,0.9097104873483393,0.7587415581190667,0.7695789993303488,0.885759283383696
1272.49861965,0.8886035661286293,0.8984440300437315,0.9057843611879279,0.737771687491988,0.5429613644972283,0.39842927805681255,0.8784065389304544,0.3133561190958042,0.6234104433367285,0.21677861691777361,0.29930683319116363,0.7993079011748051,0.2854851082498094,0.3506789600490327,0.9364124613322264,0.5037564199013016,0.466941503154066,0.7655252133435456,0.46313053946146643,0.6160766535381357,0.5065314854981874,0.9021074055712289,0.6281787396718663,0.8314902267554326,0.8958613302625166,0.9100166036184654,0.7633654067009503,0.7676354840601388,0.8858387180496896
1277.95551888,0.8884810966149336,0.8978866865650992,0.9055382523221207,0.736931464890725,0.5423546995576282,0.4004538983479653,0.877302973613743,0.3161045716555797,0.6225219531694295,0.21712458591392264,0.3024722574891248,0.8016414426079086,0.2855167071558474,0.3525301732744142,0.934223454251723,0.5058235299213028,0.46898883689709714,0.7641854473428007,0.46417397226036394,0.6163914968266723,0.5068048806729901,0.9009640938725806,0.6273910312083969,0.8386916306149605,0.8950990834961935,0.910151316737281,0.7679485624755765,0.7656093474045876,0.8858153388383923
1283.42649147,0.8886063872557018,0.8976045127553327,0.9052025816965108,0.7360027156904543,0.5416891855065185,0.40226599162044435,0.8752321723608382,0.3188939407613263,0.6213797768835517,0.21757269856710187,0.30578594846948703,0.8038969303220567,0.2856469871239504,0.35442620837034455,0.9316990418430141,0.5080692936621773,0.47099357384212914,0.7639550863164417,0.46539495798765584,0.6162301681386584,0.506964381069132,0.9005459846505526,0.6295520513769541,0.8477085183703993,0.8940206287077916,0.9101200807601334,0.7724341249036375,0.7636476840205801,0.8857166086451935
1288.9115257,0.888956509745711,0.8974771788126356,0.9049805856232767,0.7354385704859658,0.5409375661993703,0.4039336313772056,0.8723154566112498,0.3217370035602992,0.620202517657488,0.21812269393306372,0.3092524418408077,0.8059797861478322,0.2859041478856,0.35625419534806757,0.9284583708838552,0.510360539970857,0.47270962319853627,0.7656689325374124,0.4669260436194453,0.615880740435616,0.5071287518200445,0.8998223169671742,0.6317783038198252,0.855787524785429,0.892528671725318,0.9100488246778448,0.7766549949513609,0.761760374708669,0.8854078283343899
1294.41060969,0.889190599142372,0.8971904823701294,0.9047039927991914,0.7353460594936384,0.5400332735674871,0.4056103567301059,0.8690151115054869,0.3244931468864362,0.6189799236496215,0.2186140512394384,0.3130859945805709,0.8079043883768389,0.2862112142386875,0.35811789284682505,0.9242943796507425,0.5124305240692393,0.47438050969614426,0.7674827324256256,0.4686513117929941,0.6156182084152619,0.5072243367605859,0.8978031799684668,0.6322624937241997,0.8608221066721365,0.8907418096762433,0.9095568118820775,0.781049542398167,0.7597602814393964,0.8848690569018653
1299.91690127,0.8894120893820148,0.8966300858536467,0.9044676849119546,0.7353766323429581,0.5389780410995256,0.40693699374288966,0.865722462522928,0.32721039325921014,0.6174873424809509,0.21899406916498446,0.3171411615192782,0.8096460981935335,0.28650292031897945,0.36004479798069927,0.92007170519726,0.514604036728758,0.4761778676939031,0.7682513312731949,0.47019041635984754,0.6152509117075309,0.5072922257098882,0.895772648335454,0.6327265345649346,0.8627730785334665,0.888396147542868,0.9085986454709046,0.785479991402872,0.7577040132053251,0.8841086507579887
1305.42577023,0.8890770567002261,0.896042019689679,0.9046159827614296,0.7354431307704286,0.5377155143732203,0.40797025286230026,0.8622629334769303,0.32993839468979325,0.615784928873016,0.2195399608043429,0.32116989870437024,0.8112035302822084,0.28686016686415455,0.3619635481408711,0.9164224788628192,0.5169729917488615,0.47813637790346963,0.7682035518488785,0.4713293122998018,0.6154372953158225,0.5073028551037336,0.8938175041496809,0.634067266314261,0.8625470288839343,0.8853459928090713,0.9071050650943798,0.7900159539980169,0.755508612117334,0.8830934602877718
1310.93719838,0.8890294057281403,0.8956572292357484,0.9045608909823977,0.7356827682294135,0.5361512473430947,0.40883311427712604,0.8579633659850535,0.3326541761241698,0.6140040525488366,0.22027733223713838,0.32529321660338917,0.8125801785663277,0.28730498247868885,0.3638755353814301,0.9134728425690437,0.5191960733320959,0.4800909393592449,0.7676593457515672,0.4724223702975456,0.615722718639223,0.5071121974505657,0.8909826304054628,0.6350103817989083,0.8601788034988099,0.8816805065733088,0.9052495062102932,0.7943846933068371,0.7531150958035212,0.8818150843607245
1316.45116775,0.8892888778965684,0.8952257697159204,0.9044085185093438,0.735979976941421,0.5342288193261168,0.4098232104605012,0.8520406501405687,0.33537895347789093,0.6117939456438879,0.22095358702248766,0.329687879602956,0.8138516288437224,0.28778233881969634,0.36583954843190286,0.9108493801800682,0.5211588887550617,0.48193566772014546,0.7667448693089083,0.47382714094524414,0.6153251166870328,0.5066867027287719,0.8867088151868856,0.63508449796706,0.8555796769944461,0.8772513395093102,0.9027867015855746,0.7985363756150518,0.7505237807726625,0.8803267158659857
1321.96766053,0.889404761552357,0.8945623323541743,0.9044968611610233,0.7360855669579265,0.5319594930560704,0.41104718580942246,0.8436909266887335,0.3380108455579423,0.6091896887205203,0.22160032488711998,0.3341778671438507,0.8151487024409737,0.28825905517122336,0.3676874914006281,0.9081269011009561,0.5232777233589319,0.48370936306878354,0.7656942773671996,0.4752565709949043,0.614974403672531,0.5061078169513602,0.8813908522063084,0.6351701043993047,0.8504182532304971,0.871439478542059,0.8995177818951477,0.8025319485077776,0.747509632362095,0.8786015526688596
1327.4866591,0.8893731513357657,0.8937782301110556,0.9044561913640379,0.736092286183301,0.529330408689451,0.4122716200109466,0.8325997452669077,0.3405922894205895,0.606341492984057,0.22232890308619718,0.33880128668089826,0.8162298022306467,0.2886986246418016,0.36949883267506256,0.905598229286481,0.525528851216944,0.48538397349136797,0.7643030187702072,0.476380646394832,0.6148721419121028,0.5055724041241103,0.8756898601865812,0.6356185336164493,0.8455552214334313,0.8639002658954521,0.8954698020420316,0.8067954365148396,0.7439407720167407,0.8767210639944724
