Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
906.618278421,0.8839883286134986,0.9012826867620657,0.9005748638722783,0.7344206393369273,0.5695447982151194,0.25571745965338455,0.9072349825324786,0.21104502272706407,0.12131895473600394,0.22139432274514106,0.32677523016953824,0.248924058928262,0.3296038940876765,0.2769210328466945,0.9329969620927713,0.43877250206419327,0.40917428468067235,0.7425145536304371,0.40172375327735355,0.5794808440692646,0.38307178070998005,0.9101376467774368,0.5619133932522064,0.8694197710804721,0.9216175660311211,0.9432081842611495,0.4084488265221765,0.8543395849761563,0.948784107359236
909.999291084,0.8840095555338298,0.900790690433411,0.9001842085807255,0.734565816226291,0.5695275828826842,0.25489882787583856,0.906131217492919,0.20799330961515217,0.1213327269506958,0.22047163014563273,0.3238099169995221,0.251308818227159,0.32944248259674275,0.2775663178132719,0.9330579774870172,0.43903365514505843,0.4089112909329338,0.7432000009463806,0.40198549049199606,0.5793397060671156,0.38265497579706226,0.909495719011479,0.5626410187913118,0.8694928974920417,0.9210439300906609,0.9428911432072148,0.4080917500697998,0.8544157780095943,0.9482331755647111
913.430570243,0.88399106136143,0.9007005463017208,0.8999552936119652,0.7347725853194782,0.5695117810230905,0.2539540072404275,0.9048389999327069,0.2047953778606702,0.12143492930930191,0.21949200504637,0.3204199613456408,0.25384033210819446,0.32932781444462356,0.27827516465534113,0.9329987630259302,0.43918253810355196,0.4088256170029361,0.7437335722629087,0.4024433569040791,0.5794118266893239,0.38225001394737756,0.90970592825032,0.5632491742973398,0.8698052566482948,0.9203998560463139,0.9425924576831913,0.408132004117156,0.8544859045527818,0.9479425374481396
916.914016797,0.883972349612479,0.900600002739064,0.9000522657796932,0.7348935679283262,0.569531122289474,0.25274591621556003,0.903578729601422,0.20138282399828672,0.1218615991450487,0.2184123083125752,0.3167364496376501,0.2564955934138915,0.3292535501813245,0.27896838010069896,0.932825257589845,0.439173538075222,0.4090843817678397,0.7442031828724751,0.4029303941372815,0.5795538954955926,0.3820411427154816,0.9096012398585479,0.5637528525679519,0.8704641689837469,0.9196406434762574,0.9424853691683257,0.40830415348450116,0.8545244779996717,0.9476733248727344
920.451653694,0.884189540888565,0.9003409609276698,0.9004410416666692,0.7349659760438029,0.5694671734935831,0.2513246362079237,0.9023070054744077,0.19785497156533743,0.12265054697135598,0.21727882666841494,0.3129932059088209,0.259409466117855,0.3291402611136327,0.27963992766332973,0.9328814459225544,0.43918083168562144,0.4096118686509185,0.7445611511503492,0.4033721173786111,0.5797831095708417,0.3820056135692948,0.9088258105969271,0.5641930577012676,0.871206537482702,0.918907425293456,0.9423659207469819,0.40862552081587694,0.8544989045577647,0.9473039459873706
924.045637162,0.8846711665245551,0.9001584238610624,0.9009463333791675,0.7351372480252434,0.5691231174084266,0.24987621447171887,0.9008061574190885,0.1943463321184699,0.12362858735015761,0.21618191907224493,0.3092465107768317,0.26286946089667196,0.32889377488043453,0.2804496355035678,0.9332968767998903,0.4393481569164531,0.41015166594320435,0.7446159803464146,0.403725723442081,0.5802954773637579,0.3819802676685132,0.9079665982366903,0.5646409408710571,0.8716544637280117,0.9185062928878913,0.9419238811614239,0.4092969092820114,0.8544239912019226,0.9468955465661184
927.698269301,0.8847744570081427,0.9000779878253862,0.9014500902405984,0.7353600207924406,0.5685206796948673,0.24852145798849767,0.8989017232805618,0.1907153507158041,0.12485303228854705,0.21517037584900342,0.3051349362591621,0.2671357279097418,0.3285257107906469,0.28168610119411763,0.9331495333796117,0.43943493185956706,0.4105627994683445,0.7444291047637248,0.40378533377596376,0.5811199249903873,0.3820378436244986,0.9072046453280724,0.5650832261056445,0.8719770652272502,0.9186157702582137,0.9415080646999948,0.4101379077524677,0.8543924600499471,0.9463358519235563
931.412012249,0.884707041054546,0.8999630531053235,0.9017260070506359,0.735377519800808,0.5679676233882869,0.24729836474579278,0.8966853066536051,0.18711502374768357,0.12629024356251367,0.21424043212017302,0.3006836411503237,0.27188866967006203,0.3281910788200677,0.2830195013096141,0.9327398415454281,0.4396217721982585,0.41091926127015915,0.7441265573537359,0.40415759334495477,0.5821891136088656,0.3822596720231488,0.9063709114221893,0.5652161716979628,0.8723579850827975,0.9186494216450702,0.9413649861590905,0.4110085399312119,0.8542687938657977,0.9456425321480666
935.189504163,0.8847475026700915,0.8998855886561641,0.9015448461146109,0.7352048797401358,0.5674678695800777,0.24620181369266617,0.894333305832267,0.18366935967989723,0.12809057475699828,0.21334722437563952,0.2960670263885691,0.27667581831959537,0.3279036275473003,0.28417741138859454,0.932519489099896,0.4399885581133255,0.4113342584698021,0.7434791976141979,0.40512752362634824,0.5829147735149561,0.38255865704919184,0.9053858428713879,0.5645964042432995,0.8727751875124051,0.9178914717782203,0.9414647131444364,0.412127304703219,0.8538989696749043,0.9448028790312729
939.033577299,0.884696031464352,0.9000303650770476,0.9008590401952593,0.735197928280901,0.5666734915670445,0.2451567276231969,0.8919865486424156,0.1802432386069681,0.13055394054475064,0.21244528572150478,0.2913191587631587,0.2813641037960412,0.327475883167445,0.28535548796029375,0.9322267459533271,0.4402612249446347,0.4117752858379003,0.7420544364996536,0.40605912783495657,0.5826987215494338,0.38277957009254404,0.9038826796111687,0.562669840803916,0.8729583861505156,0.9162653075549368,0.9414712913781916,0.413758530038363,0.8532649625920891,0.9437635848764037
