,CAGR01 Calcite.,F1CC06B Magnesite.,HS433 Halite.,LAZE03 Prehnite.,bkr1jb329c Siliceous-sinter.,GDS26 Epidote.,GDS1 Analcime.,NBPP22 Clinopyroxene.,LAPP47B Orthopyroxene.,LAPO05 Fayalite.,LASC02 Forsterite.,GDS27 Hematite.,NCLS04 Plagioclase.,LACL14 Chlorite.,LAKA04 Kaolinite.,LAIL02 Illite.,GDS106 Margarite.,c1cy29 Vermiculite.,LALZ01 Serpentine.,LAMO02 Montmorillonite.,NCJB26 Nontronite.,LASA58 Saponite.,GDS23 Talc.,F1CC08B Alunite.,GDS145 Bassanite.,LASF41A Gypsum.,LASF21A Jarosite.,F1CC15 Kieserite.,799F366 Mg-sulphate.
Category,carbonates,carbonates,hydrated silicates & halides,hydrated silicates & halides,hydrated silicates & halides,hydrated silicates & halides,hydrated silicates & halides,iron oxides & primary silicates,iron oxides & primary silicates,iron oxides & primary silicates,iron oxides & primary silicates,iron oxides & primary silicates,iron oxides & primary silicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,sulfates,sulfates,sulfates,sulfates,sulfates,sulfates
Root Data ID,CAGR01 Calcite,F1CC06B Magnesite,HS433 Halite,LAZE03 Prehnite,bkr1jb329c Siliceous-sinter,GDS26 Epidote,GDS1 Analcime,NBPP22 Clinopyroxene,LAPP47B Orthopyroxene,LAPO05 Fayalite,LASC02 Forsterite,GDS27 Hematite,NCLS04 Plagioclase,LACL14 Chlorite,LAKA04 Kaolinite,LAIL02 Illite,GDS106 Margarite,c1cy29 Vermiculite,LALZ01 Serpentine,LAMO02 Montmorillonite,NCJB26 Nontronite,LASA58 Saponite,GDS23 Talc,F1CC08B Alunite,GDS145 Bassanite,LASF41A Gypsum,LASF21A Jarosite,F1CC15 Kieserite,799F366 Mg-sulphate
Sample ID,CAGR01,F1CC06B,HS433,LAZE03,bkr1jb329c,GDS26,GDS1,NBPP22,LAPP47B,LAPO05,LASC02,GDS27,NCLS04,LACL14,LAKA04,LAIL02,GDS106,CY-PLH-029,LALZ01,LAMO02,NCJB26,LASA58,GDS23,F1CC08B,GDS145,LASF41A,LASF21A,F1CC15,799F366
Species,calcite,magnesite,halite,prehnite,siliceous-sinter,epidote,analcime,clinopyroxene,orthopyroxene,fayalite,forsterite,hematite,plagioclase,chlorite,kaolinite,illite,margarite,vermiculite,serpentine,montmorillonite,nontronite,saponite,talc,alunite,bassanite,gypsum,jarosite,kieserite,mg-sulphate
Subgroup,calcites,calcites,chlorides,prehnites,hydrated-silicas,epidotes,zeolites,pyroxenes,pyroxenes,olivines,olivines,hematites,feldspars,chlorites,kaolinites,micas,micas,micas,serpentines,smectites,smectites,smectites,talcs,hydrous_sulphates,hydrous_sulphates,hydrous_sulphates,hydrous_sulphates,hydrous_sulphates,hydrous_sulphates
Group,carbonates,carbonates,halides,inosilicates,mineraloids,sorosilicates,tectosilicates,inosilicates,inosilicates,nesosilicates,nesosilicates,oxides,tectosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,sulphates,sulphates,sulphates,sulphates,sulphates,sulphates
Library,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree
Sample Description,,,,,,,,,,,,,,,,,,"LLANO,TX",,,,,,,,,,,
Date Added,,,,,,,,,,,,,,,,,,19-Jul-90,,,,,,,,,,,
Viewing Geometry,,,,,,,,,,,,,,,,,,"i=30, e=0",,,,,,,,,,,
Other Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain Size,,,,,,,,,,,,,,,,,,0 - 500 µm,,,,,,,,,,,
Locality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
900.0,0.8844637011990039,0.9017081992776248,0.9012621993842854,0.7345019171379118,0.5695282918604884,0.2575121191680687,0.9076168529376761,0.2167938839896798,0.12253681437291879,0.22346030059884842,0.33228491588993514,0.2449410197891128,0.32980421765787565,0.27599748437179955,0.932846591868544,0.4385764683136542,0.4095884024660155,0.7418255509253382,0.4011214805480855,0.5792821617790003,0.3841153408783678,0.9119608983830018,0.5599262884894888,0.8694440520729335,0.9227831241573969,0.943856563018078,0.4101355312884796,0.8542388038950021,0.9493975070390149
903.28574336,0.8840880726708213,0.9016340845137014,0.9008998879678712,0.734437546141343,0.5694703343026312,0.2565398879415216,0.9077109685694892,0.2139533015330846,0.12171783672566114,0.2224021531048244,0.32955240166996486,0.24677772645428117,0.32973235934027817,0.2763749202487253,0.9328942414628706,0.43863928988660633,0.4094252898962206,0.7419386633614085,0.4014620770910682,0.5795721977422843,0.383542005690117,0.9111194516606722,0.5609797578496116,0.8695634703517631,0.9222475209777443,0.9435187652168446,0.40912998194934846,0.8542281241252472,0.94918495198066
906.618278421,0.8840648582581129,0.9012097280063118,0.9006531547850735,0.7344509327635849,0.5695637152426751,0.2557187580827183,0.9072232924380967,0.2110464284543733,0.12132238678711978,0.22137858257280135,0.3267437450203907,0.24893012512116153,0.32961642679662895,0.27692665704935765,0.9329716382994429,0.438765796358596,0.4091748559065545,0.7425155748816775,0.40167512124333127,0.5794720076465033,0.38304804412504795,0.9100996019670792,0.5618964873417294,0.8694014306298564,0.9215402064981202,0.9433421378890191,0.4084965205332219,0.8542498426996126,0.9488325913383358
909.999291084,0.8840041093307066,0.9008102898609439,0.9002035579602,0.734513389200749,0.5695099957856996,0.2549043287173688,0.906080225479034,0.20799179654560948,0.12132832611677183,0.22047777976138302,0.32376604019823035,0.2513109291474626,0.32944447388990616,0.2775552898460844,0.9330130543335697,0.4390478887560487,0.40891520203315257,0.7432012074126815,0.40198725809534563,0.579400045200072,0.3826297057844076,0.9095469229537254,0.562657874820625,0.8694266322904627,0.921065835557272,0.9428118093701789,0.40807614977158796,0.85444204767664,0.948343962316676
