Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
2262.95428072,0.8424575317414599,0.6223434995839642,0.9063326607087437,0.6378263491410424,0.28765444246411226,0.3899683439930467,0.670201985943584,0.3061013645389576,0.45317917536553515,0.43278135627837006,0.7617683244037607,0.8022650254403212,0.3378262595125044,0.427905213421465,0.6672871381640916,0.6222209415069758,0.38857478922596195,0.5293900867287742,0.44742367541513617,0.5637289923414673,0.4662793980073353,0.6480146877258736,0.3955439702141869,0.5079704548248161,0.5697498294089851,0.5950085915406136,0.6271326094095849,0.29348873666010256,0.6996920487996378
2272.33266852,0.8365088869235765,0.6124248095985422,0.9107777554641805,0.6322975322873136,0.28627938873159403,0.38859986719895484,0.6638038316202849,0.30231011769335386,0.4569545354270198,0.43254998258730065,0.7611904031402136,0.7952291814217105,0.3376683146313981,0.4219590033610988,0.669245862031351,0.6249799087699277,0.38809499749413734,0.5161566689766917,0.43439580989779136,0.5666762195850192,0.4514013426289037,0.6219539352687535,0.34217921859196476,0.5045410824366899,0.5644880147693506,0.6008939623091474,0.6252068043771831,0.2919100480073306,0.6941867668203493
2281.73525558,0.819204468405983,0.6075818832975123,0.9050253375709328,0.6257775929935016,0.28814224991992377,0.3758264820169853,0.6549762808929385,0.3018638812858748,0.4682583586266983,0.43286462164997425,0.75994313715861,0.7895252377981763,0.3413845914954041,0.41466923816920664,0.6614022547801464,0.6284866889464434,0.3866269796505343,0.503903141420216,0.4259274330080738,0.5652825317319998,0.44048618874256334,0.5964468010664361,0.2776241188767571,0.4977723402357672,0.5612675346842774,0.6085714634837182,0.6327131752914282,0.2830828969297372,0.6827576809094317
2291.16202877,0.8093422391430264,0.6016172974653243,0.9114019563466522,0.6209283679216538,0.28866208134093796,0.34963746510880905,0.6542312626494874,0.3034301402803008,0.47244252119098906,0.43054676250857193,0.7512550091072268,0.7932553337596481,0.34118264955162686,0.4013067310598239,0.6473049891155193,0.6336953594333992,0.37863852124728115,0.48897280904472434,0.4163000134775966,0.5599347765264887,0.4417320819421191,0.5528487688811073,0.227497439123001,0.4894590296948371,0.5609972314462358,0.6114420766132452,0.6609433572049673,0.2768820390664891,0.6721167571860611
2300.61297471,0.8067641368215874,0.5926383056543465,0.9027940719623352,0.6182336094199714,0.2885706620315411,0.315612724915905,0.6464093270412447,0.3038022034737759,0.4782265621029132,0.4314777409223144,0.7653737155372415,0.7953766695129509,0.341198301339438,0.3951051613081265,0.6358815643226666,0.6280434246898023,0.3645197921085572,0.4727954603316018,0.40094296409840346,0.5555468395833764,0.4516242726184611,0.5291402408866861,0.19959660039388047,0.46935682288652175,0.5633391016689551,0.614159242457667,0.6821110825251865,0.26989395237556274,0.6627424057055922
2310.08279923,0.8030988664306936,0.5941669752159885,0.9075559335444283,0.609932068059013,0.2879959275130079,0.27555031053203244,0.6362662075614467,0.3057230574611976,0.4792066112373988,0.42962250853698314,0.7638113605604885,0.7923480405367309,0.34148438328483044,0.3872908608234618,0.6263142589435561,0.6274688779642391,0.3509996329684678,0.45757076468008206,0.39118126440841583,0.5499993835656013,0.4641419482532721,0.503889539829876,0.18829397733461883,0.4374931459441373,0.5558366572358063,0.6210637909217436,0.6974322473772463,0.26617739792139167,0.6512387894070253
2319.55711841,0.7967377853041159,0.6013614618030535,0.91174882579272,0.5832837223632492,0.29061856295366745,0.2407842184367472,0.6275289058893969,0.30434961551776607,0.4860827273038475,0.4317827975090057,0.7593366924592475,0.7960228471552979,0.34113401832985457,0.382047773007931,0.6114968073957305,0.6161995604545005,0.33861614232586174,0.44918954789334464,0.37855507442551645,0.5415984589966042,0.4685596997947254,0.4983372241703471,0.2125671013907874,0.42040902029656996,0.556898603383762,0.613897707726263,0.7129184846564373,0.2601430096919955,0.6377203874453968
2329.03590187,0.7909822134680172,0.6033484816443813,0.9007713181589797,0.5358670898833171,0.2900067255359801,0.21977843769261146,0.6229938700312526,0.30607108332993244,0.49662560966787095,0.429190996799907,0.7586531103348063,0.7894751882645326,0.34480353574348865,0.37827170755401934,0.6042251421001216,0.6083213892701482,0.3299853300934812,0.45255143921449703,0.3712098200096592,0.5332687316406866,0.46932752508683223,0.5189406133189813,0.2696599644449886,0.4158899446219631,0.5480081703821146,0.6095063832320091,0.7283304215701413,0.25337957183083926,0.6258376986911853
2338.51911953,0.7859485331977801,0.6179046950303495,0.9030491076878087,0.4907047643229864,0.2877562589283779,0.21748365678530354,0.6119498957516253,0.3086444176143012,0.504067819901492,0.4297845191694876,0.7614690501366999,0.7825881299676435,0.34180043963537826,0.37894775771654504,0.6011244651754087,0.5978333819801838,0.3201019660391456,0.4665296683269331,0.3757299933731159,0.5280700246917417,0.4709792396645814,0.5387358946214127,0.3210976971719008,0.4242985570956147,0.5414526544693732,0.6032871409460442,0.7298027062466224,0.2433177758003824,0.6010908482799747
2348.0067416,0.7982049868186396,0.616397938155408,0.9057141029752485,0.46047750819680167,0.2848604932568429,0.24080838717818048,0.6023190419696166,0.31066631305098935,0.513075841207989,0.42855224819161514,0.7610260603865446,0.7802623758816709,0.3435205485835489,0.3863734546748111,0.5892178698266954,0.6011360496874063,0.31487324540038747,0.47675744107832974,0.3876705011638519,0.5176274636958639,0.46081653515289744,0.548359492414341,0.33507220416537714,0.43573290767466494,0.5317304458160936,0.5908535029814536,0.7273569790579724,0.23641541804025906,0.5785155289613991
