Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
850.0,0.2441139966249466,0.15938399732112885,0.24350999295711517,0.367008,0.23360884189605713,0.33118900656700134,0.8714749813079834,0.9253349304199219,0.947022020816803,0.43840599060058594,0.8532029986381531,0.950984001159668,0.2793410122394562,0.9365959763526917,0.44295400381088257,0.4137313663959503,0.40556401014328003,0.5758860111236572,0.39794400334358215,0.9132980108261108,0.5545176267623901,0.8837389945983887,0.905256986618042,0.8984077572822571,0.7343779802322388,0.5673800110816956,0.2581835687160492,0.9109612107276917
851.0,0.2441355973482132,0.15793679654598236,0.24283159375190735,0.3664176,0.23350999355316163,0.3311142027378082,0.8716981887817383,0.9252349138259888,0.946148419380188,0.43717198967933657,0.85344979763031,0.9512779951095581,0.2791986107826233,0.9363669753074646,0.44239080548286436,0.4130660116672516,0.405292409658432,0.5761360049247741,0.3977304041385651,0.9133788108825683,0.5546494126319885,0.8840021967887879,0.9047919869422912,0.8990332365036011,0.7342205882072449,0.5674520134925842,0.2585292935371399,0.910989785194397
852.0,0.2441571980714798,0.15648959577083588,0.24215319454669954,0.3658272,0.23341114521026612,0.3310393989086151,0.8719213962554931,0.9251348972320557,0.945274817943573,0.43593798875808715,0.853696596622467,0.9515719890594483,0.2790562093257904,0.9361379742622375,0.4418276071548462,0.4124006569385529,0.40502080917358396,0.5763859987258911,0.39751680493354796,0.9134596109390258,0.5547811985015869,0.884265398979187,0.9043269872665405,0.899658715724945,0.734063196182251,0.5675240159034729,0.25887501835823057,0.9110183596611023
853.0,0.2441787987947464,0.1550423949956894,0.2414747953414917,0.3652368,0.2333122968673706,0.330964595079422,0.8721446037292481,0.9250348806381226,0.944401216506958,0.4347039878368378,0.8539433956146241,0.9518659830093383,0.27891380786895753,0.9359089732170105,0.441264408826828,0.4117353022098541,0.404749208688736,0.576635992527008,0.3973032057285309,0.9135404109954834,0.5549129843711853,0.8845286011695862,0.9038619875907898,0.9002841949462891,0.733905804157257,0.5675960183143616,0.2592207431793213,0.9110469341278076
854.0,0.244200399518013,0.1535951942205429,0.24079639613628387,0.3646464,0.2332134485244751,0.3308897912502289,0.8723678112030029,0.9249348640441895,0.943527615070343,0.43346998691558836,0.854190194606781,0.9521599769592285,0.2787714064121246,0.9356799721717834,0.44070121049880984,0.4110699474811554,0.40447760820388795,0.576885986328125,0.39708960652351377,0.9136212110519409,0.5550447702407837,0.8847918033599853,0.9033969879150391,0.900909674167633,0.7337484121322632,0.5676680207252502,0.259566468000412,0.9110755085945129
855.0,0.2442220002412796,0.15214799344539642,0.24011799693107605,0.364056,0.2331146001815796,0.33081498742103577,0.8725910186767578,0.9248348474502563,0.942654013633728,0.432235985994339,0.854436993598938,0.9524539709091187,0.27862900495529175,0.9354509711265564,0.4401380121707916,0.41040459275245667,0.4042060077190399,0.5771359801292419,0.3968760073184967,0.9137020111083984,0.5551765561103821,0.8850550055503845,0.9029319882392883,0.901535153388977,0.7335910201072693,0.5677400231361389,0.2599121928215027,0.9111040830612183
856.0,0.24397299885749818,0.15090199410915375,0.23969639837741852,0.3634072,0.23291153013706206,0.3309227883815765,0.8723854184150696,0.9247328877449036,0.9429770112037659,0.4317835867404938,0.8543684005737304,0.9522889733314515,0.278437602519989,0.9350393772125244,0.44000900983810426,0.40988656878471375,0.403903603553772,0.577198588848114,0.39640960693359373,0.9139584064483642,0.5553442358970642,0.8848482012748718,0.9035139918327332,0.9019972920417786,0.7337898135185241,0.567710018157959,0.26014935970306396,0.9108582973480225
857.0,0.24372399747371673,0.14965599477291108,0.239274799823761,0.3627584,0.23270846009254456,0.3310305893421173,0.8721798181533813,0.9246309280395508,0.9433000087738037,0.43133118748664856,0.854299807548523,0.9521239757537842,0.27824620008468626,0.9346277832984924,0.4398800075054169,0.4093685448169708,0.40360119938850403,0.5772611975669861,0.3959432065486908,0.91421480178833,0.5555119156837464,0.8846413969993592,0.904095995426178,0.9024594306945801,0.7339886069297791,0.567680013179779,0.26038652658462524,0.9106125116348267
858.0,0.2434749960899353,0.14840999543666838,0.23885320127010345,0.36210960000000003,0.23250539004802703,0.33113839030265807,0.8719742178916932,0.924528968334198,0.9436230063438416,0.43087878823280334,0.8542312145233154,0.951958978176117,0.27805479764938357,0.9342161893844605,0.43975100517272947,0.4088505208492279,0.4032987952232361,0.5773238062858581,0.39547680616378783,0.9144711971282959,0.5556795954704284,0.8844345927238464,0.9046779990196228,0.9029215693473815,0.7341874003410339,0.5676500082015992,0.2606236934661865,0.9103667259216308
859.0,0.24322599470615386,0.14716399610042571,0.23843160271644592,0.3614608,0.23230232000350953,0.3312461912631989,0.8717686176300049,0.9244270086288452,0.9439460039138794,0.43042638897895813,0.854162621498108,0.9517939805984497,0.2778633952140808,0.9338045954704285,0.4396220028400421,0.408332496881485,0.40299639105796814,0.5773864150047302,0.3950104057788849,0.9147275924682617,0.5558472752571106,0.8842277884483337,0.9052600026130676,0.9033837080001831,0.7343861937522889,0.5676200032234192,0.2608608603477478,0.910120940208435
860.0,0.24297699332237244,0.14591799676418304,0.2380100041627884,0.360812,0.232099249958992,0.3313539922237396,0.8715630173683167,0.9243250489234924,0.9442690014839172,0.4299739897251129,0.8540940284729004,0.9516289830207825,0.2776719927787781,0.9333930015563965,0.43949300050735474,0.40781447291374207,0.4026939868927002,0.5774490237236023,0.39454400539398193,0.9149839878082275,0.5560149550437927,0.884020984172821,0.9058420062065125,0.9038458466529846,0.7345849871635437,0.5675899982452393,0.2610980272293091,0.9098751544952393
861.0,0.24270339608192443,0.1446711987257004,0.23766940236091613,0.360207,0.23196039199829102,0.33136579394340515,0.8712988138198853,0.9243093490600586,0.9441594004631042,0.4288801908493042,0.8546336174011231,0.9515539884567261,0.2774965941905975,0.933758807182312,0.43966240286827085,0.40787234902381897,0.4025835871696472,0.5771224141120911,0.3939406037330627,0.9137193918228149,0.5561944246292114,0.883953583240509,0.9053124070167542,0.9037743806838989,0.734414792060852,0.5678599953651429,0.2608631432056427,0.9099739074707032
862.0,0.24242979884147645,0.1434244006872177,0.23732880055904387,0.35960200000000003,0.23182153403759004,0.3313775956630707,0.8710346102714539,0.9242936491966247,0.9440497994422913,0.4277863919734955,0.8551732063293457,0.9514789938926697,0.27732119560241697,0.9341246128082276,0.439831805229187,0.4079302251338959,0.4024731874465942,0.5767958045005799,0.39333720207214357,0.9124547958374023,0.5563738942146301,0.883886182308197,0.9047828078269958,0.9037029147148132,0.7342445969581604,0.5681299924850464,0.2606282591819763,0.910072660446167
863.0,0.24215620160102844,0.14217760264873505,0.23698819875717164,0.358997,0.23168267607688903,0.3313893973827362,0.8707704067230224,0.924277949333191,0.9439401984214782,0.42669259309768676,0.8557127952575684,0.9514039993286133,0.2771457970142365,0.934490418434143,0.44000120759010314,0.4079881012439728,0.4023627877235413,0.5764691948890686,0.39273380041122435,0.9111901998519898,0.5565533638000488,0.883818781375885,0.9042532086372376,0.9036314487457275,0.7340744018554688,0.56839998960495,0.26039337515830996,0.9101714134216309
864.0,0.24188260436058046,0.14093080461025237,0.23664759695529938,0.35839200000000004,0.23154381811618804,0.33140119910240173,0.870506203174591,0.9242622494697571,0.9438305974006653,0.4255987942218781,0.856252384185791,0.9513290047645568,0.2769703984260559,0.9348562240600586,0.4401706099510193,0.4080459773540497,0.4022523880004883,0.5761425852775574,0.3921303987503052,0.9099256038665772,0.5567328333854675,0.883751380443573,0.9037236094474792,0.9035599827766418,0.7339042067527771,0.5686699867248535,0.26015849113464357,0.9102701663970947
865.0,0.24160900712013245,0.13968400657176971,0.23630699515342712,0.357787,0.23140496015548706,0.33141300082206726,0.8702419996261597,0.9242465496063232,0.9437209963798523,0.42450499534606934,0.8567919731140137,0.9512540102005005,0.27679499983787537,0.9352220296859741,0.4403400123119354,0.4081038534641266,0.4021419882774353,0.5758159756660461,0.391526997089386,0.9086610078811646,0.5569123029708862,0.883683979511261,0.903194010257721,0.9034885168075562,0.7337340116500854,0.5689399838447571,0.2599236071109772,0.9103689193725586
866.0,0.24120820462703704,0.1389560043811798,0.23603699505329132,0.357125,0.23126609921455382,0.3314718008041382,0.8702095985412598,0.9242308497428894,0.9437619924545289,0.42343159914016726,0.8563101768493653,0.9509724140167236,0.27663180232048035,0.9351826190948487,0.4402530074119568,0.4081617295742035,0.40199679136276245,0.5758797764778137,0.3912303984165192,0.9088362097740174,0.5570917844772338,0.88399418592453,0.9034176111221314,0.9034170508384705,0.7339964151382447,0.5689319849014283,0.2596887230873108,0.9104676604270935
867.0,0.24080740213394164,0.1382280021905899,0.2357669949531555,0.35646300000000003,0.2311272382736206,0.3315306007862091,0.8701771974563599,0.9242151498794555,0.9438029885292053,0.4223582029342651,0.8558283805847168,0.9506908178329467,0.2764686048030853,0.9351432085037231,0.4401660025119781,0.4082196056842804,0.4018515944480896,0.5759435772895813,0.39093379974365233,0.9090114116668702,0.5572712659835816,0.8843043923377991,0.9036412119865418,0.9033455848693848,0.7342588186264039,0.5689239859580993,0.2594538390636444,0.9105664014816284
868.0,0.24040659964084626,0.1375,0.23549699485301973,0.355801,0.23098837733268737,0.33158940076828003,0.8701447963714599,0.9241994500160218,0.9438439846038819,0.42128480672836305,0.8553465843200684,0.95040922164917,0.2763054072856903,0.9351037979125977,0.44007899761199953,0.4082774817943573,0.40170639753341675,0.5760073781013488,0.39063720107078553,0.9091866135597229,0.5574507474899292,0.8846145987510681,0.9038648128509521,0.9032741189002991,0.7345212221145629,0.5689159870147705,0.25921895503997805,0.9106651425361634
869.0,0.24000579714775086,0.1367719978094101,0.23522699475288392,0.355139,0.23084951639175416,0.33164820075035095,0.87011239528656,0.9241837501525879,0.9438849806785583,0.4202114105224609,0.8548647880554199,0.9501276254653931,0.2761422097682953,0.9350643873214721,0.4399919927120209,0.4083353579044342,0.4015612006187439,0.5760711789131164,0.3903406023979187,0.9093618154525757,0.5576302289962769,0.8849248051643371,0.9040884137153625,0.9032026529312134,0.7347836256027221,0.5689079880714416,0.25898407101631166,0.9107638835906983
870.0,0.23960499465465546,0.1360439956188202,0.2349569946527481,0.354477,0.23071065545082092,0.3317070007324219,0.8700799942016602,0.924168050289154,0.9439259767532349,0.41913801431655884,0.8543829917907715,0.9498460292816162,0.27597901225090027,0.9350249767303467,0.43990498781204224,0.4083932340145111,0.40141600370407104,0.576134979724884,0.3900440037250519,0.9095370173454285,0.5578097105026245,0.8852350115776062,0.904312014579773,0.9031311869621277,0.7350460290908813,0.5688999891281128,0.25874918699264526,0.9108626246452332
871.0,0.23900679647922515,0.13501439690589906,0.2344485968351364,0.353825,0.23093971312046052,0.33157939910888673,0.8703187942504883,0.9241766691207886,0.9437179803848267,0.41878660917282107,0.8547509908676147,0.950044822692871,0.27589440941810606,0.934870183467865,0.4396413922309875,0.4082464039325714,0.4013004004955292,0.5759933829307556,0.389833402633667,0.9099272131919861,0.5578309416770935,0.8852542042732239,0.9043742060661316,0.9028536200523376,0.734835422039032,0.5688999891281128,0.25884200930595397,0.9108127236366272
872.0,0.23840859830379485,0.1339847981929779,0.23394019901752472,0.353173,0.2311687707901001,0.3314517974853516,0.8705575942993165,0.924185287952423,0.9435099840164185,0.41843520402908324,0.855118989944458,0.950243616104126,0.2758098065853119,0.9347153902053833,0.4393777966499329,0.4080995738506317,0.4011847972869873,0.5758517861366272,0.3896228015422821,0.9103174090385437,0.5578521728515625,0.8852733969688416,0.9044363975524903,0.9025760531425476,0.7346248149871826,0.5688999891281128,0.2589348316192627,0.9107628226280212
873.0,0.23781040012836457,0.13295519948005677,0.23343180119991302,0.352521,0.2313978284597397,0.3313241958618164,0.8707963943481445,0.9241939067840577,0.9433019876480102,0.41808379888534547,0.8554869890213013,0.9504424095153808,0.2757252037525177,0.9345605969429016,0.43911420106887816,0.407952743768692,0.40106919407844543,0.5757101893424987,0.3894122004508972,0.9107076048851013,0.5578734040260315,0.8852925896644592,0.9044985890388488,0.9022984862327575,0.7344142079353333,0.5688999891281128,0.25902765393257143,0.9107129216194153
874.0,0.23721220195293427,0.1319256007671356,0.23292340338230133,0.351869,0.23162688612937926,0.33119659423828124,0.8710351943969726,0.9242025256156922,0.943093991279602,0.41773239374160764,0.8558549880981445,0.9506412029266358,0.27564060091972353,0.9344058036804199,0.4388506054878235,0.40780591368675234,0.40095359086990356,0.5755685925483703,0.3892015993595123,0.9110978007316589,0.5578946352005005,0.8853117823600769,0.9045607805252075,0.9020209193229676,0.7342036008834839,0.5688999891281128,0.25912047624588014,0.9106630206108093
875.0,0.23661400377750397,0.13089600205421448,0.23241500556468964,0.351217,0.23185594379901886,0.3310689926147461,0.8712739944458008,0.9242111444473267,0.9428859949111938,0.4173809885978699,0.8562229871749878,0.9508399963378906,0.2755559980869293,0.9342510104179382,0.4385870099067688,0.4076590836048126,0.4008379876613617,0.5754269957542419,0.38899099826812744,0.9114879965782166,0.5579158663749695,0.8853309750556946,0.9046229720115662,0.9017433524131775,0.7339929938316345,0.5688999891281128,0.25921329855918884,0.9106131196022034
876.0,0.23605360388755797,0.12995860278606414,0.2320324033498764,0.3505604,0.2321769744157791,0.3311337947845459,0.8712365984916687,0.9242258310317993,0.943192994594574,0.4164219915866852,0.8563345909118653,0.9510419964790344,0.2753066003322601,0.9348460078239441,0.439013808965683,0.4074610710144043,0.4006885886192322,0.5757259964942932,0.3887313961982727,0.9116635918617249,0.5578975439071655,0.8850373744964599,0.9043217778205872,0.9014142632484436,0.73402259349823,0.5689819931983948,0.2593880474567413,0.9105260491371154
877.0,0.235493203997612,0.12902120351791382,0.23164980113506317,0.3499038,0.23249800503253937,0.3311985969543457,0.8711992025375366,0.924240517616272,0.9434999942779541,0.4154629945755005,0.8564461946487427,0.9512439966201782,0.2750572025775909,0.93544100522995,0.43944060802459717,0.40726305842399596,0.40053918957710266,0.5760249972343445,0.388471794128418,0.9118391871452332,0.5578792214393615,0.8847437739372254,0.9040205836296081,0.9010851740837097,0.7340521931648254,0.5690639972686767,0.2595627963542938,0.9104389786720276
878.0,0.234932804107666,0.12808380424976348,0.23126719892024994,0.34924720000000004,0.23281903564929962,0.3312633991241455,0.8711618065834046,0.9242552042007446,0.9438069939613343,0.4145039975643158,0.8565577983856201,0.951445996761322,0.2748078048229218,0.9360360026359558,0.43986740708351135,0.40706504583358766,0.40038979053497314,0.5763239979743957,0.3882121920585632,0.9120147824287415,0.5578608989715577,0.8844501733779907,0.9037193894386292,0.9007560849189759,0.7340817928314209,0.5691460013389588,0.25973754525184634,0.9103519082069397
879.0,0.23437240421772004,0.12714640498161317,0.2308845967054367,0.34859060000000003,0.23314006626605988,0.3313282012939453,0.8711244106292725,0.9242698907852173,0.9441139936447144,0.4135450005531311,0.8566694021224975,0.9516479969024658,0.2745584070682526,0.9366310000419616,0.44029420614242554,0.4068670332431793,0.40024039149284363,0.576622998714447,0.3879525899887085,0.9121903777122498,0.5578425765037537,0.8841565728187561,0.9034181952476501,0.9004269957542419,0.7341113924980164,0.5692280054092407,0.2599122941493988,0.9102648377418519
880.0,0.23381200432777405,0.12620900571346283,0.23050199449062347,0.347934,0.23346109688282013,0.3313930034637451,0.8710870146751404,0.9242845773696899,0.9444209933280945,0.4125860035419464,0.856781005859375,0.9518499970436096,0.2743090093135834,0.9372259974479675,0.4407210052013397,0.406669020652771,0.4000909924507141,0.5769219994544983,0.38769298791885376,0.9123659729957581,0.5578242540359497,0.8838629722595215,0.9031170010566711,0.9000979065895081,0.7341409921646118,0.5693100094795227,0.2600870430469513,0.9101777672767639
881.0,0.23293240368366241,0.12551620453596116,0.23011099696159362,0.3474204,0.23374141454696656,0.33127360343933104,0.870780611038208,0.9243254780769348,0.9447199940681458,0.4119290053844452,0.8566956043243408,0.9516077995300293,0.2743276059627533,0.9359455943107605,0.44022340178489683,0.40668938159942625,0.39998339414596557,0.5771603941917419,0.38758679032325744,0.9113297820091247,0.5577595114707947,0.8840345740318298,0.902987802028656,0.9000158429145813,0.7341679930686951,0.5694080114364624,0.2601671278476715,0.9100083827972412
882.0,0.23205280303955078,0.12482340335845947,0.22971999943256377,0.3469068,0.23402173221111297,0.33115420341491697,0.8704742074012757,0.9243663787841797,0.9450189948081971,0.41127200722694396,0.8566102027893067,0.9513656020164489,0.2743462026119232,0.9346651911735535,0.439725798368454,0.40670974254608155,0.399875795841217,0.5773987889289856,0.3874805927276611,0.9102935910224914,0.5576947689056396,0.8842061758041382,0.9028586030006409,0.8999337792396546,0.7341949939727783,0.5695060133934021,0.26024721264839173,0.9098389983177185
883.0,0.23117320239543915,0.1241306021809578,0.22932900190353395,0.3463932,0.2343020498752594,0.33103480339050295,0.8701678037643432,0.9244072794914245,0.9453179955482482,0.41061500906944276,0.8565248012542724,0.9511234045028687,0.27436479926109314,0.9333847880363464,0.4392281949520111,0.4067301034927368,0.39976819753646853,0.5776371836662293,0.38737439513206484,0.9092574000358582,0.5576300263404846,0.8843777775764465,0.9027294039726257,0.8998517155647278,0.7342219948768616,0.5696040153503418,0.2603272974491119,0.9096696138381958
884.0,0.23029360175132751,0.12343780100345611,0.2289380043745041,0.3458796,0.2345823675394058,0.3309154033660889,0.8698614001274109,0.9244481801986695,0.9456169962882995,0.4099580109119415,0.8564393997192383,0.9508812069892884,0.27438339591026306,0.9321043848991394,0.43873059153556826,0.4067504644393921,0.39966059923172,0.5778755784034729,0.3872681975364685,0.9082212090492249,0.5575652837753295,0.8845493793487549,0.9026002049446106,0.8997696518898011,0.7342489957809448,0.5697020173072815,0.2604073822498322,0.9095002293586731
885.0,0.22941400110721588,0.12274499982595444,0.22854700684547424,0.345366,0.23486268520355225,0.3307960033416748,0.8695549964904785,0.9244890809059143,0.9459159970283508,0.4093010127544403,0.8563539981842041,0.950639009475708,0.274401992559433,0.9308239817619324,0.43823298811912537,0.40677082538604736,0.39955300092697144,0.5781139731407166,0.3871619999408722,0.9071850180625916,0.5575005412101746,0.8847209811210632,0.9024710059165955,0.8996875882148743,0.7342759966850281,0.5698000192642212,0.26048746705055237,0.9093308448791504
886.0,0.22874300181865692,0.12244919985532761,0.2283226042985916,0.3446208,0.2350819319486618,0.3307386040687561,0.8697625994682312,0.9245692729949951,0.9459551930427551,0.4092728078365326,0.8560917973518372,0.950652801990509,0.2744607925415039,0.9309873819351197,0.4382669925689697,0.40711873173713686,0.3995184004306793,0.5782043814659119,0.38687959909439085,0.9083456158638,0.5573661684989929,0.8846649885177612,0.9025130033493042,0.8999760866165161,0.7344075918197632,0.5697360157966613,0.2604255497455597,0.909037983417511
887.0,0.22807200253009796,0.12215339988470078,0.22809820175170897,0.3438756,0.23530117869377137,0.3306812047958374,0.8699702024459839,0.924649465084076,0.9459943890571594,0.40924460291862486,0.8558295965194702,0.9506665945053101,0.27451959252357483,0.9311507821083069,0.4383009970188141,0.4074666380882263,0.3994837999343872,0.5782947897911072,0.38659719824790956,0.9095062136650085,0.5572317957878112,0.8846089959144592,0.9025550007820129,0.900264585018158,0.7345391869544983,0.5696720123291016,0.26036363244056704,0.9087451219558715
888.0,0.227401003241539,0.12185759991407394,0.22787379920482637,0.3431304,0.2355204254388809,0.3306238055229187,0.8701778054237366,0.9247296571731567,0.9460335850715638,0.4092163980007172,0.8555673956871033,0.950680387020111,0.27457839250564575,0.9313141822814941,0.43833500146865845,0.4078145444393158,0.3994491994380951,0.5783851981163025,0.3863147974014282,0.9106668114662171,0.5570974230766297,0.8845530033111573,0.9025969982147217,0.9005530834197998,0.7346707820892334,0.5696080088615417,0.2603017151355743,0.9084522604942322
889.0,0.22673000395298004,0.12156179994344711,0.22764939665794373,0.3423852,0.23573967218399047,0.33056640625,0.8703854084014893,0.9248098492622375,0.946072781085968,0.40918819308280946,0.8553051948547363,0.9506941795349121,0.2746371924877167,0.9314775824546814,0.4383690059185028,0.40816245079040525,0.399414598941803,0.5784756064414978,0.3860323965549469,0.9118274092674256,0.556963050365448,0.8844970107078552,0.9026389956474304,0.9008415818214417,0.7348023772239685,0.569544005393982,0.26023979783058165,0.9081593990325928
890.0,0.22605900466442108,0.12126599997282028,0.2274249941110611,0.34164,0.23595891892910004,0.3305090069770813,0.8705930113792419,0.9248900413513184,0.9461119771003723,0.40915998816490173,0.8550429940223694,0.9507079720497131,0.2746959924697876,0.9316409826278687,0.43840301036834717,0.40851035714149475,0.39937999844551086,0.5785660147666931,0.3857499957084656,0.912988007068634,0.5568286776542664,0.8844410181045532,0.9026809930801392,0.9011300802230835,0.7349339723587036,0.5694800019264221,0.260177880525589,0.9078665375709534
891.0,0.2253098040819168,0.12073780000209808,0.2269061952829361,0.3408178,0.23622577488422394,0.33044480681419375,0.8704898118972778,0.9249057650566102,0.9459495782852173,0.4095355927944183,0.85521559715271,0.9507415771484375,0.2746925950050354,0.9316817879676819,0.4381854057312012,0.4087738454341888,0.3993918001651764,0.5783730149269104,0.38541359901428224,0.9131862044334411,0.5568264603614808,0.8845286130905151,0.9027031898498535,0.901338791847229,0.7348527789115906,0.5696099996566772,0.2600496709346771,0.9077248811721802
